T85n2767_001:0310c17	藥師經疏	藥 師 經 疏 
T85n2767_001:0314b29	有四。一煻煨增。謂此增內煻煨沒膝有情遊	有 四 一 煻 煨 增 謂 此 增 內 煻 煨 沒 膝 有 情 遊 
T85n2767_001:0314c01	彼繞下足時。皮肉與血俱焦爛墜舉足還生	彼 繞 下 足 時 皮 肉 與 血 俱 焦 爛 墜 舉 足 還 生 
T85n2767_001:0314c02	平復如本。二屍糞增。謂此增內屍糞泥滿於	平 復 如 本 二 屍 糞 增 謂 此 增 內 屍 糞 泥 滿 於 
T85n2767_001:0314c03	中。多有娘矩吒蟲紫利如針。身白頭黑有情	中 多 有 娘 矩 吒 蟲 紫 利 如 針 身 白 頭 黑 有 情 
T85n2767_001:0314c04	遊彼。皆為此蟲鑽皮破骨唼食其髓。三鋒刃	遊 彼 皆 為 此 蟲 鑽 皮 破 骨 唼 食 其 髓 三 鋒 刃 
T85n2767_001:0314c05	增。謂此增內復有三種。一刀刃路。謂於此	增 謂 此 增 內 復 有 三 種 一 刀 刃 路 謂 於 此 
T85n2767_001:0314c06	中仰有刀刃以為大道。有情遊彼纔下足時	中 仰 有 刀 刃 以 為 大 道 有 情 遊 彼 纔 下 足 時 
T85n2767_001:0314c07	皮肉與血俱斷碎墜舉足還生平復如本。二	皮 肉 與 血 俱 斷 碎 墜 舉 足 還 生 平 復 如 本 二 
T85n2767_001:0314c08	劍葉林。謂此林上純以銛利劍刃為葉。有情	劍 葉 林 謂 此 林 上 純 以 銛 利 劍 刃 為 葉 有 情 
T85n2767_001:0314c09	遊彼風吹葉墜。斬剌支體骨肉零落。有鳥驟	遊 彼 風 吹 葉 墜 斬 剌 支 體 骨 肉 零 落 有 鳥 驟 
T85n2767_001:0314c10	狗攎掣食之。三鐵刺林。謂此林上有利鐵剌	狗 攎 掣 食 之 三 鐵 刺 林 謂 此 林 上 有 利 鐵 剌 
T85n2767_001:0314c11	長十六指。有情被逼上下樹時其刺銛鋒下	長 十 六 指 有 情 被 逼 上 下 樹 時 其 刺 銛 鋒 下 
T85n2767_001:0314c12	上纔刺。有鐵[此/束]鳥探啄。有情眼精心肝爭競	上 纔 刺 有 鐵 [此束] 鳥 探 啄 有 情 眼 精 心 肝 爭 競 
T85n2767_001:0314c13	而食。刀刃路等三種雖殊。而鐵仗同故。一僧	而 食 刀 刃 路 等 三 種 雖 殊 而 鐵 仗 同 故 一 僧 
T85n2767_001:0314c14	攝四烈河增。謂此增量廣滿中熱鹹水有情	攝 四 烈 河 增 謂 此 增 量 廣 滿 中 熱 鹹 水 有 情 
T85n2767_001:0314c15	入中。或浮或沒。或逆或順。或橫或轉。被壓	入 中 或 浮 或 沒 或 逆 或 順 或 橫 或 轉 被 壓 
T85n2767_001:0314c16	被煮骨肉糜爛。如大鑊中滿盛灰汁置麻米	被 煮 骨 肉 糜 爛 如 大 鑊 中 滿 盛 灰 汁 置 麻 米 
T85n2767_001:0314c17	等猛火下然麻等。於中上下迴轉舉體糜爛。	等 猛 火 下 然 麻 等 於 中 上 下 迴 轉 舉 體 糜 爛 
T85n2767_001:0314c18	有情亦然。設欲逃亡於兩岸上。有諸獄卒手	有 情 亦 然 設 欲 逃 亡 於 兩 岸 上 有 諸 獄 卒 手 
T85n2767_001:0314c19	執刀槍禦桿令迴無由得出此河如塹。前三	執 刀 槍 禦 桿 令 迴 無 由 得 出 此 河 如 塹 前 三 
T85n2767_001:0314c20	似園。此是增上被刑害所故說名增。四面合	似 園 此 是 增 上 被 刑 害 所 故 說 名 增 四 面 合 
T85n2767_001:0314c21	十六通本為十七八十七合有一百三十六。	十 六 通 本 為 十 七 八 十 七 合 有 一 百 三 十 六 
T85n2767_001:0314c22	所罪人於中受熱惱。苦寒地獄有八。一頞浮	所 罪 人 於 中 受 熱 惱 苦 寒 地 獄 有 八 一 頞 浮 
T85n2767_001:0314c23	陀。由寒苦所逼肉生細胞。二尼剌浮陀。由寒	陀 由 寒 苦 所 逼 肉 生 細 胞 二 尼 剌 浮 陀 由 寒 
T85n2767_001:0314c24	風所吹通身成胞。三阿吒吒。由脣不得動唯	風 所 吹 通 身 成 胞 三 阿 吒 吒 由 脣 不 得 動 唯 
T85n2767_001:0314c25	舌得動故作此聲。四阿波波。由舌不得動。唯	舌 得 動 故 作 此 聲 四 阿 波 波 由 舌 不 得 動 唯 
T85n2767_001:0314c26	脣得動故作聲。五喉喉。由脣舌不得動振氣	脣 得 動 故 作 聲 五 喉 喉 由 脣 舌 不 得 動 振 氣 
T85n2767_001:0314c27	故作此聲。六優鉢羅。此是青蓮花。此華佃由	故 作 此 聲 六 優 鉢 羅 此 是 青 蓮 花 此 華 佃 由 
T85n2767_001:0314c28	肉細岸似此花開。七波頭摩。此是赤蓮花。由	肉 細 岸 似 此 花 開 七 波 頭 摩 此 是 赤 蓮 花 由 
T85n2767_001:0314c29	肉色大岸似此花開。八忿陀利。此是白蓮花。	肉 色 大 岸 似 此 花 開 八 忿 陀 利 此 是 白 蓮 花 
T85n2767_001:0315a01	由彼骨岸似此花開前二。從身相受名次三。	由 彼 骨 岸 似 此 花 開 前 二 從 身 相 受 名 次 三 
T85n2767_001:0315a02	從聲相受名後三。從瘡相受名。又前二了叫。	從 聲 相 受 名 後 三 從 瘡 相 受 名 又 前 二 了 叫 
T85n2767_001:0315a03	次三不了叫。後三不叫。此八在四洲間著鐵	次 三 不 了 叫 後 三 不 叫 此 八 在 四 洲 間 著 鐵 
T85n2767_001:0315a04	圍山底仰向居止。罪人於中受寒凍苦。邊地	圍 山 底 仰 向 居 止 罪 人 於 中 受 寒 凍 苦 邊 地 
T85n2767_001:0315a05	獄有三。一在山間。二在水間。三在曠野受別	獄 有 三 一 在 山 間 二 在 水 間 三 在 曠 野 受 別 
T85n2767_001:0315a06	業報寒熱雜受。	業 報 寒 熱 雜 受 
T85n2767_001:0315a07	經。此等眾生至流轉無期　五殃神長劫。謂	經 此 等 眾 生 至 流 轉 無 期 五 殃 神 長 劫 謂 
T85n2767_001:0315a08	諸破戒及謗法等。以惡業故。應於地獄受苦	諸 破 戒 及 謗 法 等 以 惡 業 故 應 於 地 獄 受 苦 
T85n2767_001:0315a09	無窮。	無 窮 
T85n2767_001:0315a10	經。以得至名號故　六由昔聞名。由聞藥師	經 以 得 至 名 號 故 六 由 昔 聞 名 由 聞 藥 師 
T85n2767_001:0315a11	如來名故捨惡行。善不入惡趣。	如 來 名 故 捨 惡 行 善 不 入 惡 趣 
T85n2767_001:0315a12	經。於地獄處至還生人道　七願遂應時。以	經 於 地 獄 處 至 還 生 人 道 七 願 遂 應 時 以 
T85n2767_001:0315a13	破戒等五種業行輕重異故。謂現在雖聞藥	破 戒 等 五 種 業 行 輕 重 異 故 謂 現 在 雖 聞 藥 
T85n2767_001:0315a14	師如來名。不能捨惡行善。由惡業故墮惡趣	師 如 來 名 不 能 捨 惡 行 善 由 惡 業 故 墮 惡 趣 
T85n2767_001:0315a15	者。以彼如來增上威力。復由昔在人間聞如	者 以 彼 如 來 增 上 威 力 復 由 昔 在 人 間 聞 如 
T85n2767_001:0315a16	來名。種子因力初入惡趣令其現前。暫聞藥	來 名 種 子 因 力 初 入 惡 趣 令 其 現 前 暫 聞 藥 
T85n2767_001:0315a17	師如來名號。從彼惡趣命終還生人道。問一	師 如 來 名 號 從 彼 惡 趣 命 終 還 生 人 道 問 一 
T85n2767_001:0315a18	種俱聞佛名。何故有墮不墮。答業有輕重。根	種 俱 聞 佛 名 何 故 有 墮 不 墮 答 業 有 輕 重 根 
T85n2767_001:0315a19	有利鈍。若業輕根利者。現聞佛名即能捨惡	有 利 鈍 若 業 輕 根 利 者 現 聞 佛 名 即 能 捨 惡 
T85n2767_001:0315a20	行善不墮惡趣。若業重根鈍者。要初墮惡趣	行 善 不 墮 惡 趣 若 業 重 根 鈍 者 要 初 墮 惡 趣 
T85n2767_001:0315a21	深生厭離。更聞佛名方生人道。涅槃經云。一	深 生 厭 離 更 聞 佛 名 方 生 人 道 涅 槃 經 云 一 
T85n2767_001:0315a22	闡提等積善根時有其二種。一者現在能積	闡 提 等 積 善 根 時 有 其 二 種 一 者 現 在 能 積 
T85n2767_001:0315a23	善根。二者死已生地獄中能積善根。就生地	善 根 二 者 死 已 生 地 獄 中 能 積 善 根 就 生 地 
T85n2767_001:0315a24	獄積善根時復有二種。一者入地獄時能積	獄 積 善 根 時 復 有 二 種 一 者 入 地 獄 時 能 積 
T85n2767_001:0315a25	善根。二者生地獄時能積善根。	善 根 二 者 生 地 獄 時 能 積 善 根 
T85n2767_001:0315a26	經。正見精進至菩薩諸行　八勤修勝業。云	經 正 見 精 進 至 菩 薩 諸 行 八 勤 修 勝 業 云 
T85n2767_001:0315a27	何正見。依成實論第十九云。正是二種。一世	何 正 見 依 成 實 論 第 十 九 云 正 是 二 種 一 世 
T85n2767_001:0315a28	間。二出世間。世間者謂見有罪福等。出世	間 二 出 世 間 世 間 者 謂 見 有 罪 福 等 出 世 
T85n2767_001:0315a29	間者謂能通達苦等諸諦。又如偈說得世上	間 者 謂 能 通 達 苦 等 諸 諦 又 如 偈 說 得 世 上 
T85n2767_001:0315b01	正見。雖往來生死。乃至百千世常不墮惡道。	正 見 雖 往 來 生 死 乃 至 百 千 世 常 不墮惡道 
T85n2767_001:0315b02	又瑜伽論二十一云。若有世間上品正見雖	又 瑜 伽 論 二 十 一 云 若 有 世 間 上 品 正 見 雖 
T85n2767_001:0315b03	歷千生不墮惡趣。又雜集論第十三云。若有	歷 千 生 不 墮 惡 趣 又 雜 集 論 第 十 三 云 若 有 
T85n2767_001:0315b04	具世間增上品正見雖經歷千生而不墮惡	具 世 間 增 上 品 正 見 雖 經 歷 千 生 而 不 墮 惡 
T85n2767_001:0315b05	趣。云何精進。大般若經說。勤精進者。謂於一	趣 云 何 精 進 大 般 若 經 說 勤 精 進 者 謂 於 一 
T85n2767_001:0315b06	切諸善法中愛樂欣喜。言愛法者。謂於此法	切 諸 善 法 中 愛 樂 欣 喜 言 愛 法 者 謂 於 此 法 
T85n2767_001:0315b07	起欲稀求。言樂法者。謂於此法稱讚功德。言	起 欲 稀 求 言 樂 法 者 謂 於 此 法 稱 讚 功 德 言 
T85n2767_001:0315b08	欣法者。謂於此法歡喜信受。言喜法者。謂於	欣 法 者 謂 於 此 法 歡喜信受 言 喜 法 者 謂 於 
T85n2767_001:0315b09	此法樂多修習。演道俗業經云。若能精進即	此 法 樂 多 修 習 演 道 俗 業 經 云 若 能 精 進 即 
T85n2767_001:0315b10	具四法。一者夙夜奉法未曾懈廢。二者寧失	具 四 法 一 者 夙 夜 奉 法 未 曾 懈 廢 二 者 寧 失 
T85n2767_001:0315b11	身命不違道教。三者勤誦經典不懈惓故。四	身 命 不 違 道 教 三 者 勤 誦 經 典 不 懈 惓 故 四 
T85n2767_001:0315b12	者廣欲救濟諸危厄者。那先比丘經說。精進	者 廣 欲 救 濟 諸 危 厄 者 那 先 比 丘 經 說 精 進 
T85n2767_001:0315b13	能助一切善法。如陣兵弱強兵助之。又如論	能 助 一 切 善 法 如 陣 兵 弱 強 兵 助 之 又 如 論 
T85n2767_001:0315b14	云。精進遍策諸度法門。遺教經說。若精進則	云 精 進 遍 策 諸 度 法 門 遺 教 經 說 若 精 進 則 
T85n2767_001:0315b15	事無難者。依智度論第十六云。初發心菩薩。	事 無 難 者 依 智 度 論 第 十 六 云 初 發 心 菩 薩 
T85n2767_001:0315b16	於一切善法中漸漸次第修菩薩行。是名精	於 一 切 善 法 中 漸 漸 次 第 修菩薩行 是 名 精 
T85n2767_001:0315b17	進。問一切善法中勤何不名精進。答二乘及	進 問 一 切 善 法 中 勤 何 不 名 精 進 答 二 乘 及 
T85n2767_001:0315b18	人不具行勤不名精進　問二乘及人行勤何	人 不 具 行 勤 不 名 精 進 問 二 乘 及 人 行 勤 何 
T85n2767_001:0315b19	故不名精進。答無大慈悲。棄捨眾生。不求十	故 不 名 精 進 答 無 大 慈 悲 棄 捨 眾 生 不 求 十 
T85n2767_001:0315b20	力四無所畏十八不共法。及一切智無礙解	力 四無所畏 十八不共法 及 一 切 智 無 礙 解 
T85n2767_001:0315b21	脫戒定智慧諸善法等。菩薩不休不息。一心	脫 戒 定 智 慧 諸 善 法 等 菩 薩 不 休 不 息 一 心 
T85n2767_001:0315b22	求佛不捨眾生。如是行者名為精進。如好施	求 佛 不 捨 眾 生 如 是 行 者 名 為 精 進 如 好 施 
T85n2767_001:0315b23	菩薩求如意珠杼大海水。正使筋骨枯盡終	菩 薩 求 如 意 珠 杼 大 海 水 正 使 筋 骨 枯 盡 終 
T85n2767_001:0315b24	不懈廢。得如意珠以給眾生。濟其身苦。菩薩	不 懈 廢 得 如 意 珠 以 給 眾 生 濟 其 身 苦 菩 薩 
T85n2767_001:0315b25	如是難為能為是名精進　問精進有幾。答	如 是 難 為 能 為 是 名 精 進 問 精 進 有 幾 答 
T85n2767_001:0315b26	精進有二。布施持戒名身精進。勤定智慧名	精 進 有 二 布 施 持 戒 名 身 精 進 勤 定 智 慧 名 
T85n2767_001:0315b27	心精進。又外事勤修名身精進。內自專精名	心 精 進 又 外 事 勤 修 名 身 精 進 內 自 專 精 名 
T85n2767_001:0315b28	心精進。又麁精進名身。細精進名心。又為福	心 精 進 又 麁 精 進 名 身 細 精 進 名 心 又 為 福 
T85n2767_001:0315b29	德精進名身。為智慧精進名心。又身精進者。	德 精 進 名 身 為 智 慧 精 進 名 心 又 身 精 進 者 
T85n2767_001:0315c01	受諸勤苦終不懈廢。如波羅柰國梵摩達王。	受 諸 勤 苦 終 不 懈 廢 如 波 羅 柰 國 梵 摩 達 王 
T85n2767_001:0315c02	遊獵於林中見二鹿群。群各五百。彼兩鹿群	遊 獵 於 林 中 見 二 鹿 群 群 各 五 百 彼 兩 鹿 群 
T85n2767_001:0315c03	各有一主。一釋迦菩薩。二提婆達多。菩薩鹿	各 有 一 主 一 釋 迦 菩 薩 二 提 婆 達 多 菩 薩 鹿 
T85n2767_001:0315c04	王身七寶色見人王眾於其部黨起大悲心。	王 身 七 寶 色 見 人 王 眾 於 其 部 黨 起大悲心 
T85n2767_001:0315c05	逆到王前。王人競射飛矢如雨。王見此庶直	逆 到 王 前 王 人 競 射 飛 矢 如 雨 王 見 此 庶 直 
T85n2767_001:0315c06	進趣已無所忌憚。勅諸從人攝汝弓箭無得	進 趣 已 無 所 忌 憚 勅 諸 從 人 攝 汝 弓 箭 無 得 
T85n2767_001:0315c07	斷其來意。鹿王既至。跪白人王。君以嬉遊逸	斷 其 來 意 鹿 王 既 至 跪 白 人 王 君 以 嬉 遊 逸 
T85n2767_001:0315c08	樂為小事故。群鹿一時皆受死苦。若以供膳	樂 為 小 事 故 群 鹿 一 時 皆 受 死 苦 若 以 供 膳 
T85n2767_001:0315c09	當自差。次日送一鹿以供王厨。王善其言聽	當 自 差 次 日 送 一 鹿 以 供 王 厨 王 善 其 言 聽 
T85n2767_001:0315c10	如其意。於是二群鹿王共會。次各一日。調達	如 其 意 於 是 二 群 鹿 王 共 會 次 各 一 日 調 達 
T85n2767_001:0315c11	群中一鹿懷子。次至應送來白其王。我身今	群 中 一 鹿 懷 子 次 至 應 送 來 白 其 王 我 身 今 
T85n2767_001:0315c12	日應當送死而我懷子子非次也。乞垂斷理	日 應 當 送 死 而 我 懷 子 子 非 次 也 乞 垂 斷 理 
T85n2767_001:0315c13	使死者得次生者不濫。鹿王怒之。誰不惜命。	使 死 者 得 次 生 者 不 濫 鹿 王 怒 之 誰 不 惜 命 
T85n2767_001:0315c14	次來但去何得辭也。鹿母思惟。我王不仁。不	次 來 但 去 何 得 辭 也 鹿 母 思 惟 我 王 不 仁 不 
T85n2767_001:0315c15	以理恕。不察我辭。橫見慎怒不足告也。即	以 理 恕 不 察 我 辭 橫 見 慎 怒 不 足 告 也 即 
T85n2767_001:0315c16	至菩薩鹿王之所以情具白。王問此鹿汝主	至 菩 薩 鹿 王 之 所 以 情 具 白 王 問 此 鹿 汝 主 
T85n2767_001:0315c17	何言母鹿。答曰我王不仁不見理斷而見瞋	何 言 母 鹿 答 曰 我 王 不 仁 不 見 理 斷 而 見 瞋 
T85n2767_001:0315c18	怒。大王仁及一切故來歸命。如我今日天地	怒 大 王 仁 及 一 切 故 來 歸 命 如 我 今 日 天 地 
T85n2767_001:0315c19	雖曠無所控告。菩薩思惟。此甚可愍。若我	雖 曠 無 所 控 告 菩 薩 思 惟 此 甚 可 愍 若 我 
T85n2767_001:0315c20	不理枉殺其子若非次更差次未及之如何可	不 理 枉 殺 其 子 若 非 次 更 差 次 未 及 之 如 何 可 
T85n2767_001:0315c21	遣。唯我代之思惟既定即自送身遣鹿母還。	遣 唯 我 代 之 思 惟 既 定 即 自 送 身 遣 鹿 母 還 
T85n2767_001:0315c22	我今代汝。汝勿憂也鹿王逆到王門。眾人見	我 今 代 汝 汝 勿 憂 也 鹿 王 逆 到 王 門 眾 人 見 
T85n2767_001:0315c23	之怪其自來以事白。王主亦怪之。而命令前	之 怪 其 自 來 以 事 白 王 主 亦 怪 之 而 命 令 前 
T85n2767_001:0315c24	問言。諸鹿盡邪。汝何以來。鹿王白言。大王仁	問 言 諸 鹿 盡 邪 汝 何 以 來 鹿 王 白 言 大 王 仁 
T85n2767_001:0315c25	及群鹿人無犯者。但有孳茂何有盡時。異部	及 群 鹿 人 無 犯 者 但 有 孳 茂 何 有 盡 時 異 部 
T85n2767_001:0315c26	群中一鹿懷子以垂產故身當俎割子亦併命	群 中 一 鹿 懷 子 以 垂 產 故 身 當 俎 割 子 亦 併 命 
T85n2767_001:0315c27	歸告於我。我以愍之非分更差是亦不可。若	歸 告 於 我 我 以 愍 之 非 分 更 差 是 亦 不 可 若 
T85n2767_001:0315c28	歸而不救無異木石。是身不久必不免死。慈	歸 而 不 救 無 異 木 石 是 身 不 久 必 不 免 死 慈 
T85n2767_001:0315c29	救苦厄功德無量。若人無慈虎狼無異。人王	救 苦 厄 功 德 無 量 若 人 無 慈 虎 狼 無 異 人 王 
T85n2767_001:0316a01	聞已即從坐起而說偈言。我實是畜獸名曰	聞 已 即 從 坐 起 而 說 偈 言 我 實 是 畜 獸 名 曰 
T85n2767_001:0316a02	人頭鹿。汝雖是鹿身名為鹿頭人。以理而言	人 頭 鹿 汝 雖 是 鹿 身 名 為 鹿 頭 人 以 理 而 言 
T85n2767_001:0316a03	之非以形為人。若能有慈惠雖獸實是人。我	之 非 以 形 為 人 若 能 有 慈 惠 雖 獸 實 是 人 我 
T85n2767_001:0316a04	從今日始不食一切肉。我以無畏施旦可安	從 今 日 始 不 食 一 切 肉 我 以 無 畏 施 旦 可 安 
T85n2767_001:0316a05	汝意。諸鹿得安王得仁信諸如是等名身精	汝 意 諸 鹿 得 安 王 得 仁 信 諸 如 是 等 名 身 精 
T85n2767_001:0316a06	進。於諸善法修行信樂不生疑悔。而不懈怠。	進 於 諸 善 法 修 行 信 樂 不 生 疑 悔 而 不 懈 怠 
T85n2767_001:0316a07	從一切賢聖下至凡人求法無厭如海吞流。	從 一 切 賢 聖 下 至 凡 人 求 法 無 厭 如 海 吞 流 
T85n2767_001:0316a08	是為菩薩心精進也。依華嚴經說。三業精進。	是 為 菩 薩 心 精 進 也 依 華 嚴 經 說 三 業 精 進 
T85n2767_001:0316a09	一身業精進。恭敬供養諸佛菩薩一切福田	一 身 業 精 進 恭敬供養 諸佛菩薩 一 切 福 田 
T85n2767_001:0316a10	中不退故。二口業精進。聞持一切諸佛正法	中 不 退 故 二 口 業 精 進 聞 持 一切諸佛 正 法 
T85n2767_001:0316a11	未曾忘失。讚歎如來隨所聞法廣為人說無	未 曾 忘 失 讚 歎 如 來 隨 所 聞 法 廣 為 人 說 無 
T85n2767_001:0316a12	疲惓故。三意業精進。善巧方便入慈悲喜捨	疲 惓 故 三 意 業 精 進 善巧方便 入 慈 悲 喜 捨 
T85n2767_001:0316a13	禪定三昧相續不退故。問淨心內發勝解。斯	禪 定 三 昧 相 續 不 退 故 問 淨 心 內 發 勝 解 斯 
T85n2767_001:0316a14	彰何假捨家而求要道。答雖知淳善久悟處	彰 何 假 捨 家 而 求 要 道 答 雖 知 淳 善 久 悟 處 
T85n2767_001:0316a15	俗猶似同牢眾務縈纏所以捨家學道故。涅	俗 猶 似 同 牢 眾 務 縈 纏 所 以 捨 家 學 道 故 涅 
T85n2767_001:0316a16	槃經第十一云。居家迫迮猶如牢獄。一切煩	槃 經 第 十 一 云 居 家 迫 迮 猶 如 牢 獄 一 切 煩 
T85n2767_001:0316a17	惱由之而生出家。寬曠猶如虛空。一切善法	惱 由 之 而 生 出 家 寬 曠 猶如虛空 一 切 善 法 
T85n2767_001:0316a18	因之增長。又郁伽長者經說。在家下賤出家	因 之 增 長 又 郁 伽 長 者 經 說 在 家 下 賤 出 家 
T85n2767_001:0316a19	尊貴。在家生死際出家涅槃際。又大方便佛	尊 貴 在 家 生 死 際 出 家 涅 槃 際 又 大 方 便 佛 
T85n2767_001:0316a20	報恩經第五卷說。時諸釋女被瑠璃王割截	報 恩 經 第 五 卷 說 時 諸 釋 女 被 瑠 璃 王 割 截 
T85n2767_001:0316a21	耳鼻。斷其手足棄於塚間。蒙佛威力平復如	耳 鼻 斷 其 手 足 棄 於 塚 間 蒙 佛 威 力 平 復 如 
T85n2767_001:0316a22	故。諸女思惟。我等今者欲報佛恩。當共出家	故 諸 女 思 惟 我 等 今 者 欲 報 佛 恩 當 共 出 家 
T85n2767_001:0316a23	修持禁戒護持正法思惟。是以即求衣鉢往	修 持 禁 戒 護持正法 思 惟 是 以 即 求 衣 鉢 往 
T85n2767_001:0316a24	諸王園。比丘尼精舍求索出家。時有六群比	諸 王 園 比 丘 尼 精 舍 求 索 出 家 時 有 六 群 比 
T85n2767_001:0316a25	丘尼見諸釋女。年時幼稚美色端正。今云何	丘 尼 見 諸 釋 女 年 時 幼 稚 美 色 端 正 今 云 何 
T85n2767_001:0316a26	能捨此難捨而求出家。我等當為說世間五欲	能 捨 此 難 捨 而 求 出 家 我 等 當 為 說 世 間 五 欲 
T85n2767_001:0316a27	快樂待年限遇然後出家不亦快乎。彼若還	快 樂 待 年 限 遇 然 後 出 家 不 亦 快 乎 彼 若 還 
T85n2767_001:0316a28	俗必以衣鉢奉施我等。思惟是已於釋女前	俗 必 以 衣 鉢 奉 施 我 等 思 惟 是 已 於 釋 女 前 
T85n2767_001:0316a29	即以上事向諸女說。諸女聞已心懷苦惱。此	即 以 上 事 向 諸 女 說 諸 女 聞 已 心 懷 苦 惱 此 
T85n2767_001:0316b01	安隱處云何有大恐怖。如是餚饍飲食和以	安 隱 處 云 何 有 大 恐 怖 如 是 餚 饍 飲 食 和 以 
T85n2767_001:0316b02	毒藥世間五欲多諸過患我已具知。云何而	毒 藥 世 間 五 欲 多 諸 過 患 我 已 具 知 云 何 而 
T85n2767_001:0316b03	更反歎其美。作是語已舉聲大哭。還出僧坊。	更 反 歎 其 美 作是語已 舉 聲 大 哭 還 出 僧 坊 
T85n2767_001:0316b04	有比丘尼。名曰華色。即問諸女何為啼哭。諸	有 比 丘 尼 名 曰 華 色 即 問 諸 女 何 為 啼 哭 諸 
T85n2767_001:0316b05	女答言。不果所願。比丘尼言。汝願何等。女答	女 答 言 不 果 所 願 比 丘 尼 言 汝 願 何 等 女 答 
T85n2767_001:0316b06	尼言。願欲出家。不蒙聽許。時華色尼問言。諸	尼 言 願 欲 出 家 不 蒙 聽 許 時 華 色 尼 問 言 諸 
T85n2767_001:0316b07	女欲出家者。我能度汝。諸女聞己心生歡喜。	女 欲 出 家 者 我 能 度 汝 諸 女 聞 己 心生歡喜 
T85n2767_001:0316b08	即便隨從度為弟子。時諸釋女既蒙聽許。悲	即 便 隨 從 度 為 弟 子 時 諸 釋 女 既 蒙 聽 許 悲 
T85n2767_001:0316b09	喜交集。而作是言。和上當知我等在家眾苦	喜 交 集 而 作 是 言 和 上 當 知 我 等 在 家 眾 苦 
T85n2767_001:0316b10	非一。親族喪亡。割削耳鼻截斷手足禍患滋	非 一 親 族 喪 亡 割 削 耳 鼻 截 斷 手 足 禍 患 滋 
T85n2767_001:0316b11	甚。爾時和上報諸弟子。汝等辛苦何足言也。	甚 爾 時 和 上 報 諸 弟 子 汝 等 辛 苦 何 足 言 也 
T85n2767_001:0316b12	我在家時荷負眾苦其事眾多。時諸禪女長	我 在 家 時 荷 負 眾 苦 其 事 眾 多 時 諸 禪 女 長 
T85n2767_001:0316b13	跪白師願說在家眾苦因緣。時華色尼即入	跪 白 師 願 說 在 家 眾 苦 因 緣 時 華 色 尼 即 入 
T85n2767_001:0316b14	三昧。以神通力放大光明。召集有緣大眾。既	三 昧 以 神 通 力 放大光明 召 集 有 緣 大 眾 既 
T85n2767_001:0316b15	集即自說言。我在家時。是舍衛國人父母嫁	集 即 自 說 言 我 在 家 時 是 舍 衛 國 人 父 母 嫁 
T85n2767_001:0316b16	我與北方人。彼國風俗。其婦有身垂欲產時	我 與 北 方 人 彼 國 風 俗 其 婦 有 身 垂 欲 產 時 
T85n2767_001:0316b17	還父母家。如是次第數年生子後。復有身垂	還 父 母 家 如 是 次 第 數 年 生 子 後 復 有 身 垂 
T85n2767_001:0316b18	產之日。皆乘車馬夫妻相將歸父母家。中路	產 之 日 皆 乘 車 馬 夫 妻 相 將 歸 父 母 家 中 路 
T85n2767_001:0316b19	有河其水暴涱。其路曠絕。多諸賊難。既至河	有 河 其 水 暴 涱 其 路 曠 絕 多 諸 賊 難 既 至 河 
T85n2767_001:0316b20	已不能得渡。住宿岸邊。於初夜時我腹卒痛	已 不 能 得 渡 住 宿 岸 邊 於 初 夜 時 我 腹 卒 痛 
T85n2767_001:0316b21	即便起坐。未久之間即便免身生一男兒。崖	即 便 起 坐 未 久 之 間 即 便 免 身 生 一 男 兒 崖 
T85n2767_001:0316b22	邊草中有大毒蛇。聞新血香即來趣我。未至	邊 草 中 有 大 毒 蛇 聞 新 血 香 即 來 趣 我 未 至 
T85n2767_001:0316b23	我所。我夫及奴眠在道中。蛇至奴所尋便螫	我 所 我 夫 及 奴 眠 在 道 中 蛇 至 奴 所 尋 便 螫 
T85n2767_001:0316b24	殺。前至夫所夫眠不覺。復螫夫殺。我時唱喚	殺 前 至 夫 所 夫 眠 不 覺 復 螫 夫 殺 我 時 唱 喚 
T85n2767_001:0316b25	蛇來蛇來喚既不應。夫奴已死。爾時毒蛇復	蛇 來 蛇 來 喚 既 不 應 夫 奴 已 死 爾 時 毒 蛇 復 
T85n2767_001:0316b26	螫牛馬。至曰出已。夫等身體膖脹爛蟲骨已	螫 牛 馬 至 曰 出 已 夫 等 身 體 膖 脹 爛 蟲 骨 已 
T85n2767_001:0316b27	解散狼藉在地。憂悲恐怖悶絕躃地舉聲大	解 散 狼 藉 在 地 憂 悲 恐 怖 悶 絕 躃 地 舉 聲 大 
T85n2767_001:0316b28	哭。以手椎胸自拔頭髮。塵土忿身尋復悶絕	哭 以 手 椎 胸 自 拔 頭 髮 塵 土 忿 身 尋 復 悶 絕 
T85n2767_001:0316b29	舉身投骨。如是憂故。經留數日獨在岸邊。其	舉 身 投 骨 如 是 憂 故 經 留 數 日 獨 在 岸 邊 其 
T85n2767_001:0316c01	水漸小。荷負小兒以手牽持。其新產者以裾	水 漸 小 荷 負 小 兒 以 手 牽 持 其 新 產 者 以 裾 
T85n2767_001:0316c02	盛之銜著口中。即前入水正到何半反視大	盛 之 銜 著 口 中 即 前 入 水 正 到 何 半 反 視 大 
T85n2767_001:0316c03	兒。見一猛虎奔走馳逐開口唱喚口即失裾	兒 見 一 猛 虎 奔 走 馳 逐 開 口 唱 喚 口 即 失 裾 
