T22n1423_001:0206b23	五分比丘尼戒本	五 分 比丘尼戒 本 
T22n1423_001:0208b26	法應爾。今問，諸大姊是中清淨不？」(第二、第三亦如是說)「諸	法 應 爾 今 問 諸 大 姊 是 中 清 淨 不 第 二 第 三 亦 如 是 說 諸 
T22n1423_001:0208b27	大姊是中清淨，默然故，是事如是持。」	大 姊 是 中 清 淨 默 然 故 是事如是持 
T22n1423_001:0208b28	「諸大姊！是三十尼薩耆波逸提法，半月半	 諸 大 姊 是 三 十 尼薩耆波逸提法 半 月 半 
T22n1423_001:0208b29	月戒經中說。「若比丘尼，五衣竟，捨迦絺那	月 戒 經 中 說 若 比 丘 尼 五 衣 竟 捨 迦 絺 那 
T22n1423_001:0208c01	衣已，長衣乃至十日。若過，尼薩耆波逸提。	衣 已 長 衣 乃 至 十 日 若 過 尼薩耆波逸提 
T22n1423_001:0208c02	「若比丘尼，衣竟，捨迦絺那衣已，五衣中若離	 若 比 丘 尼 衣 竟 捨 迦 絺 那 衣 已 五 衣 中 若 離 
T22n1423_001:0208c03	一一衣宿，過一夜，除僧羯磨，尼薩耆波逸提。	一 一 衣 宿 過 一 夜 除 僧 羯 磨 尼薩耆波逸提 
T22n1423_001:0208c04	「若比丘尼，衣竟，捨迦絺那衣已，得非時	 若 比 丘 尼 衣 竟 捨 迦 絺 那 衣 已 得 非 時 
T22n1423_001:0208c05	衣，若須應受、速作受持。若足者善，若不足望	衣 若 須 應 受 速 作 受 持 若 足 者 善 若 不 足 望 
T22n1423_001:0208c06	更有得處，令具足成，乃至一月。若過，尼薩耆	更 有 得 處 令 具 足 成 乃 至 一 月 若 過 尼 薩 耆 
T22n1423_001:0208c07	波逸提。「若比丘尼，從非親里居士居士婦乞	波 逸 提 若 比 丘 尼 從 非 親 里 居 士 居 士 婦 乞 
T22n1423_001:0208c08	衣，除因緣，尼薩耆波逸提。因緣者，奪衣、失	衣 除 因 緣 尼薩耆波逸提 因 緣 者 奪 衣 失 
T22n1423_001:0208c09	衣、燒衣、漂衣、壞衣、是名因緣。「若比丘尼，奪	衣 燒 衣 漂 衣 壞 衣 是 名 因 緣 若 比 丘 尼 奪 
T22n1423_001:0208c10	衣、失衣、燒衣、漂衣、壞衣，從非親里居士居士	衣 失 衣 燒 衣 漂 衣 壞 衣 從 非 親 里 居 士 居 士 
T22n1423_001:0208c11	婦乞衣。若居士居士婦欲多與衣，是比丘尼	婦 乞 衣 若 居 士 居 士 婦 欲 多 與 衣 是 比 丘 尼 
T22n1423_001:0208c12	應受二衣，若過受，尼薩耆波逸提。「若非親	應 受 二 衣 若 過 受 尼薩耆波逸提 若 非 親 
T22n1423_001:0208c13	里居士居士婦共議：『當以是衣直作衣，與某	里 居 士 居 士 婦 共 議 當 以 是 衣 直 作 衣 與 某 
T22n1423_001:0208c14	甲比丘尼。』是比丘尼先不受自恣請，便往問	甲 比 丘 尼 是 比 丘 尼 先 不 受 自 恣 請 便 往 問 
T22n1423_001:0208c15	居士居士婦言：『汝為我以如是衣直作衣不？』	居 士 居 士 婦 言 汝 為 我 以 如 是 衣 直 作 衣 不 
T22n1423_001:0208c16	答言：『如是。』便言：『善哉。居士居士婦！可作如	答 言 如 是 便 言 善 哉 居 士 居 士 婦 可 作 如 
T22n1423_001:0208c17	是如是衣與我，為好故。』尼薩耆波逸提。「若非	是 如 是 衣 與 我 為 好 故 尼薩耆波逸提 若 非 
T22n1423_001:0208c18	親里居士居士婦共議：『我當各以如是衣直	親 里 居 士 居 士 婦 共 議 我 當 各 以 如 是 衣 直 
T22n1423_001:0208c19	作衣，與某甲比丘尼。』是比丘尼先不受自恣	作 衣 與 某 甲 比 丘 尼 是 比 丘 尼 先 不 受 自 恣 
T22n1423_001:0208c20	請，便往問居士居士婦言：『汝各為我以如是	請 便 往 問 居 士 居 士 婦 言 汝 各 為 我 以 如 是 
T22n1423_001:0208c21	衣直作衣不？』答言：『如是。』便言：『善哉。居士居	衣 直 作 衣 不 答 言 如 是 便 言 善 哉 居 士 居 
T22n1423_001:0208c22	士婦！可合作一衣與我，為好故。』尼薩耆波逸	士 婦 可 合 作 一 衣 與 我 為 好 故 尼 薩 耆 波 逸 
T22n1423_001:0208c23	提。「若王、若大臣、婆羅門、居士，為比丘尼故，	提 若 王 若 大 臣 婆 羅 門 居 士 為 比 丘 尼 故 
T22n1423_001:0208c24	遣使送衣直。使到比丘尼所言：『阿姨！彼王、	遣 使 送 衣 直 使 到 比 丘 尼 所 言 阿 姨 彼 王 
T22n1423_001:0208c25	大臣送此衣直。阿姨受之。』是比丘尼言：『我	大 臣 送 此 衣 直 阿 姨 受 之 是 比 丘 尼 言 我 
T22n1423_001:0208c26	不應受衣直。若得淨衣，當手受持。』使言：『阿	不 應 受 衣 直 若 得 淨 衣 當 手 受 持 使 言 阿 
T22n1423_001:0208c27	姨！有執事人不？』比丘尼即指示處。使便到	姨 有 執 事 人 不 比 丘 尼 即 指 示 處 使 便 到 
T22n1423_001:0208c28	執事所言：『某王、大臣送此衣直與某甲比丘	執 事 所 言 某 王 大 臣 送 此 衣 直 與 某 甲 比 丘 
T22n1423_001:0208c29	尼。汝為受作取。』便與之。使既與已，還比丘尼	尼 汝 為 受 作 取 便 與 之 使 既 與 已 還 比 丘 尼 
T22n1423_001:0209a01	所白言：『阿姨！所示執事人，我已與竟。阿姨	所 白 言 阿 姨 所 示 執 事 人 我 已 與 竟 阿 姨 
T22n1423_001:0209a02	須衣便可往取。』是比丘尼二反三反到執事	須 衣 便 可 往 取 是 比 丘 尼 二 反 三 反 到 執 事 
T22n1423_001:0209a03	所，作是言：『我須衣。我須衣。』若得者善。若不得，	所 作 是 言 我 須 衣 我 須 衣 若 得 者 善 若 不 得 
T22n1423_001:0209a04	四反五反六反到執事前默然立，若得者善。	四 反 五 反 六 反 到 執 事 前 默 然 立 若 得 者 善 
T22n1423_001:0209a05	若過是求得者，尼薩耆波逸提。若不得衣，應	若 過 是 求 得 者 尼薩耆波逸提 若 不 得 衣 應 
T22n1423_001:0209a06	隨使來處，若自往、若遣信語言：『汝為某甲比	隨 使 來 處 若 自 往 若 遣 信 語 言 汝 為 某 甲 比 
T22n1423_001:0209a07	丘尼送衣直，是比丘尼竟不得。汝自還索，莫	丘 尼 送 衣 直 是 比 丘 尼 竟 不 得 汝 自 還 索 莫 
T22n1423_001:0209a08	使失。是事應爾。』「若比丘尼自行乞縷，雇織	使 失 是 事 應 爾 若 比 丘 尼 自 行 乞 縷 雇 織 
T22n1423_001:0209a09	師織作衣，尼薩耆波逸提。「若居士居士婦，	師 織 作 衣 尼薩耆波逸提 若 居 士 居 士 婦 
T22n1423_001:0209a10	為比丘尼，使織師織作衣。是比丘尼先不自	為 比 丘 尼 使 織 師 織 作 衣 是 比 丘 尼 先 不 自 
T22n1423_001:0209a11	恣請，便到織師所作是言：『汝知不？此衣為	恣 請 便 到 織 師 所 作 是 言 汝 知 不 此 衣 為 
T22n1423_001:0209a12	我作。汝為我故，好織令極緻廣，當別相報。』	我 作 汝 為 我 故 好 織 令 極 緻 廣 當 別 相 報 
T22n1423_001:0209a13	後若與一食、若一食直，得者，尼薩耆波逸提。	後 若 與 一 食 若 一 食 直 得 者 尼薩耆波逸提 
T22n1423_001:0209a14	(一十)「若比丘尼，與比丘尼衣，後瞋不喜，若自	 一 十 若 比 丘 尼 與 比 丘 尼 衣 後 瞋 不 喜 若 自 
T22n1423_001:0209a15	奪、若使人奪，作是語：『還我衣，不與汝。』尼薩耆	奪 若 使 人 奪 作 是 語 還 我 衣 不 與 汝 尼 薩 耆 
T22n1423_001:0209a16	波逸提。「若比丘尼，知檀越欲與僧物，迴以	波 逸 提 若 比 丘 尼 知 檀 越 欲 與 僧 物 迴 以 
T22n1423_001:0209a17	入己，尼薩耆波逸提。	入 己 尼薩耆波逸提 
T22n1423_001:0209a18	「若比丘尼病，得服四種含消藥：酥、油、蜜、石	 若 比 丘 尼 病 得 服 四 種 含 消 藥 酥 油 蜜 石 
T22n1423_001:0209a19	蜜，一受乃至七日。若過，尼薩耆波逸提。「若	蜜 一 受 乃至七日 若 過 尼薩耆波逸提 若 
T22n1423_001:0209a20	比丘尼，前後安居十日未至自恣，得急施衣，	比 丘 尼 前 後 安 居 十 日 未 至 自 恣 得 急 施 衣 
T22n1423_001:0209a21	若須應受，乃至衣時。若過，尼薩耆波逸提。	若 須 應 受 乃 至 衣 時 若 過 尼薩耆波逸提 
T22n1423_001:0209a22	「若比丘尼，鉢未滿五綴，更乞新鉢，為好故，尼	 若 比 丘 尼 鉢 未 滿 五 綴 更 乞 新 鉢 為 好 故 尼 
T22n1423_001:0209a23	薩耆波逸提。「若比丘尼，種種販賣求利，尼	薩 耆 波 逸 提 若 比 丘 尼 種 種 販 賣 求 利 尼 
T22n1423_001:0209a24	薩耆波逸提。「若比丘尼，以金銀及錢種種賣	薩 耆 波 逸 提 若 比 丘 尼 以 金 銀 及 錢 種 種 賣 
T22n1423_001:0209a25	買，尼薩耆波逸提。「若比丘尼，自捉金銀及	買 尼薩耆波逸提 若 比 丘 尼 自 捉 金 銀 及 
T22n1423_001:0209a26	錢、若使人捉、若發心受，尼薩耆波逸提。「若	錢 若 使 人 捉 若 發 心 受 尼薩耆波逸提 若 
T22n1423_001:0209a27	比丘尼，先乞是，既得不用，更乞餘物，尼薩耆	比 丘 尼 先 乞 是 既 得 不 用 更 乞 餘 物 尼 薩 耆 
T22n1423_001:0209a28	波逸提。「若比丘尼，非時衣作時衣受，尼薩	波 逸 提 若 比 丘 尼 非 時 衣 作 時 衣 受 尼 薩 
T22n1423_001:0209a29	耆波逸提。(二十)「若比丘尼，與比丘尼貿衣，後	耆 波 逸 提 二 十 若 比 丘 尼 與 比 丘 尼 貿 衣 後 
T22n1423_001:0209b01	悔還索。得者，尼薩耆波逸提。「若比丘尼，諸	悔 還 索 得 者 尼薩耆波逸提 若 比 丘 尼 諸 
T22n1423_001:0209b02	比丘尼語：『汝取遮月水衣。』自言：『不用。』臨時	比 丘 尼 語 汝 取 遮 月 水 衣 自 言 不 用 臨 時 
T22n1423_001:0209b03	先取，尼薩耆波逸提。「若比丘尼，乞重衣，應	先 取 尼薩耆波逸提 若 比 丘 尼 乞 重 衣 應 
T22n1423_001:0209b04	取價直四大錢者。若受貴價衣，尼薩耆波逸	取 價 直 四 大 錢 者 若 受 貴 價 衣 尼 薩 耆 波 逸 
T22n1423_001:0209b05	提。「若比丘尼，乞輕衣，應取價直二大錢半	提 若 比 丘 尼 乞 輕 衣 應 取 價 直 二 大 錢 半 
T22n1423_001:0209b06	者。若受貴價衣，尼薩耆波逸提。「若比丘尼，	者 若 受 貴 價 衣 尼薩耆波逸提 若 比 丘 尼 
T22n1423_001:0209b07	為僧為是事，從一居士乞，而餘用者，尼薩耆	為 僧 為 是 事 從 一 居 士 乞 而 餘 用 者 尼 薩 耆 
T22n1423_001:0209b08	波逸提。「若比丘尼，為僧為是事，從眾多居	波 逸 提 若 比 丘 尼 為 僧 為 是 事 從 眾 多 居 
T22n1423_001:0209b09	士乞，而餘用者，尼薩耆波逸提。「若比丘尼，	士 乞 而 餘 用 者 尼薩耆波逸提 若 比 丘 尼 
T22n1423_001:0209b10	自為是事，從一居士乞，自作餘用者，尼薩	自 為 是 事 從 一 居 士 乞 自 作 餘 用 者 尼 薩 
T22n1423_001:0209b11	耆波逸提。「若比丘尼，自為是事，從眾多居士	耆 波 逸 提 若 比 丘 尼 自 為 是 事 從 眾 多 居 士 
T22n1423_001:0209b12	乞，自作餘用者，尼薩耆波逸提。「若比丘尼，	乞 自 作 餘 用 者 尼薩耆波逸提 若 比 丘 尼 
T22n1423_001:0209b13	藏積器物，尼薩耆波逸提。「若比丘尼，多積	藏 積 器 物 尼薩耆波逸提 若 比 丘 尼 多 積 
T22n1423_001:0209b14	聚鉢，尼薩耆波逸提。」(三十)「諸大姊！已說三十	聚 鉢 尼薩耆波逸提 三 十 諸 大 姊 已 說 三 十 
T22n1423_001:0209b15	尼薩耆波逸提法。今問，諸大姊是中清淨不？」	尼薩耆波逸提法 今 問 諸 大 姊 是 中 清 淨 不 
T22n1423_001:0209b16	(第二、第三亦如是說)	 第 二 第 三 亦 如 是 說 
T22n1423_001:0209b17	「諸大姊是中清淨，默然故，是事如是持。」	 諸 大 姊 是 中 清 淨 默 然 故 是事如是持 
T22n1423_001:0209b18	「諸大姊！是二百一十波逸提法，半月半月戒	 諸 大 姊 是 二 百 一 十 波 逸 提 法 半月半月 戒 
T22n1423_001:0209b19	經中說。「若比丘尼，故妄語，波逸提。「若比丘	經 中 說 若 比 丘 尼 故 妄 語 波 逸 提 若 比 丘 
T22n1423_001:0209b20	尼，毀呰比丘尼，波逸提。「若比丘尼，兩舌鬪亂	尼 毀 呰 比 丘 尼 波 逸 提 若 比 丘 尼 兩 舌 鬪 亂 
T22n1423_001:0209b21	比丘尼，波逸提。「若比丘尼，為男子說法過五	比 丘 尼 波 逸 提 若 比 丘 尼 為 男 子 說 法 過 五 
T22n1423_001:0209b22	六語，除有別知好惡語女人，波逸提。「若比	六 語 除 有 別 知 好 惡 語 女 人 波 逸 提 若 比 
T22n1423_001:0209b23	丘尼，知僧如法斷事已，還更發起，波逸提。	丘 尼 知 僧 如 法 斷 事 已 還 更 發 起 波 逸 提 
T22n1423_001:0209b24	「若比丘尼，教未受具戒女人經，並誦者，波逸	 若 比 丘 尼 教 未受具戒 女 人 經 並 誦 者 波 逸 
T22n1423_001:0209b25	提。「若比丘尼，與未受具戒女人同室宿，過	提 若 比 丘 尼 與 未受具戒 女 人 同 室 宿 過 
T22n1423_001:0209b26	三夜，波逸提。「若比丘尼，向未受具戒女人自	三 夜 波 逸 提 若 比 丘 尼 向 未受具戒 女 人 自 
T22n1423_001:0209b27	說得過人法，言：『我如是知、如是見。』實者，波逸	說 得 過 人 法 言 我 如 是 知 如 是 見 實 者 波 逸 
T22n1423_001:0209b28	提。「若比丘尼，知比丘尼麁罪，向未受具戒	提 若 比 丘 尼 知 比 丘 尼 麁 罪 向 未受具戒 
T22n1423_001:0209b29	女人說，除僧羯磨，波逸提。」「若比丘尼，作是	女 人 說 除 僧 羯 磨 波 逸 提 若 比 丘 尼 作 是 
T22n1423_001:0209c01	語：『何用是雜碎戒為？說是戒時令人憂惱。』作	語 何 用 是 雜 碎 戒 為 說 是 戒 時 令 人 憂 惱 作 
T22n1423_001:0209c02	如是毀呰戒者，波逸提。(一十)「若比丘尼，自伐	如 是 毀 呰 戒 者 波 逸 提 一 十 若 比 丘 尼 自 伐 
T22n1423_001:0209c03	鬼村、若使人言伐是，波逸提。「若比丘尼，故	鬼 村 若 使 人 言 伐 是 波 逸 提 若 比 丘 尼 故 
T22n1423_001:0209c04	不隨問答，波逸提。「若比丘尼，誣說僧所差人，	不 隨 問 答 波 逸 提 若 比 丘 尼 誣 說 僧 所 差 人 
T22n1423_001:0209c05	波逸提。「若比丘尼，於露地自敷僧臥具、若	波 逸 提 若 比 丘 尼 於 露 地 自 敷 僧 臥 具 若 
T22n1423_001:0209c06	使人敷、若他敷，若坐若臥。去時不自舉、不教	使 人 敷 若 他 敷 若 坐 若 臥 去 時 不 自 舉 不 教 
T22n1423_001:0209c07	人舉、不囑舉，波逸提。「若比丘尼，於僧房內	人 舉 不 囑 舉 波 逸 提 若 比 丘 尼 於 僧 房 內 
T22n1423_001:0209c08	自敷僧臥具、若使人敷、若他敷，若坐若臥。去	自 敷 僧 臥 具 若 使 人 敷 若 他 敷 若 坐 若 臥 去 
T22n1423_001:0209c09	時不自舉、不教人舉、不囑舉，波逸提。「若比丘	時 不 自 舉 不 教 人 舉 不 囑 舉 波 逸 提 若 比 丘 
T22n1423_001:0209c10	尼，瞋不喜，於僧坊中自牽比丘尼出、若使人	尼 瞋 不 喜 於 僧 坊 中 自 牽 比 丘 尼 出 若 使 人 
T22n1423_001:0209c11	牽，作是語：『出去滅去，莫此中住。』波逸提。「若	牽 作 是 語 出 去 滅 去 莫 此 中 住 波 逸 提 若 
T22n1423_001:0209c12	比丘尼，知他先敷臥具，後來強自敷、若使人	比 丘 尼 知 他 先 敷 臥 具 後 來 強 自 敷 若 使 人 
T22n1423_001:0209c13	敷，作是念：『若不樂者自當出去。』波逸提。	敷 作 是 念 若 不 樂 者 自 當 出 去 波 逸 提 
T22n1423_001:0209c14	「若比丘尼，僧重閣上尖脚繩床木床用力坐	 若 比 丘 尼 僧 重 閣 上 尖 脚 繩 床 木 床 用 力 坐 
T22n1423_001:0209c15	臥，波逸提。「若比丘尼，知水有蟲，若取澆泥、	臥 波 逸 提 若 比 丘 尼 知 水 有 蟲 若 取 澆 泥 
T22n1423_001:0209c16	若飲食諸用，波逸提。「若比丘尼，數數食，除	若 飲 食 諸 用 波 逸 提 若 比 丘 尼 數 數 食 除 
T22n1423_001:0209c17	因緣，波逸提。因緣者，病時、作衣時、施衣時，	因 緣 波 逸 提 因 緣 者 病 時 作 衣 時 施 衣 時 
T22n1423_001:0209c18	是名因緣。(二十)「若比丘尼，受別請眾食，除因	是 名 因 緣 二 十 若 比 丘 尼 受 別 請 眾 食 除 因 
T22n1423_001:0209c19	緣，波逸提。因緣者，病時、施衣時、作衣時、行	緣 波 逸 提 因 緣 者 病 時 施 衣 時 作 衣 時 行 
T22n1423_001:0209c20	路時、船上行、時大會時，是名因緣。「若比丘	路 時 船 上 行 時 大 會 時 是 名 因 緣 若 比 丘 
T22n1423_001:0209c21	尼，無病，施一食處過一食者，波逸提。「若比	尼 無 病 施 一 食 處 過 一 食 者 波 逸 提 若 比 
T22n1423_001:0209c22	丘尼，到白衣家自恣多與飲食，若餅若[麩夫+少]。若	丘 尼 到 白 衣 家 自 恣 多 與 飲 食 若 餅 若 [麩夫少] 若 
T22n1423_001:0209c23	不住其家食，須二三鉢應受，出外應與餘	不 住 其 家 食 須 二 三 鉢 應 受 出 外 應 與 餘 
T22n1423_001:0209c24	比丘尼共食。若無病，過是受，及不與餘比	比 丘 尼 共 食 若 無 病 過 是 受 及 不 與 餘 比 
T22n1423_001:0209c25	丘尼共食，波逸提。「若比丘尼，食竟，不作殘	丘 尼 共 食 波 逸 提 若 比 丘 尼 食 竟 不 作 殘 
T22n1423_001:0209c26	食法食，波逸提。「若比丘尼，食竟不作殘食	食 法 食 波 逸 提 若 比 丘 尼 食 竟 不 作 殘 食 
T22n1423_001:0209c27	法，強勸令食，欲使他犯，波逸提。「若比丘尼，	法 強 勸 令 食 欲 使 他 犯 波 逸 提 若 比 丘 尼 
T22n1423_001:0209c28	不受食著口中，除甞食、楊枝及水，波逸提。	不 受 食 著 口 中 除 甞 食 楊 枝 及 水 波 逸 提 
T22n1423_001:0209c29	「若比丘尼，非時食，波逸提。「若比丘尼，食殘宿	 若 比 丘 尼 非 時 食 波 逸 提 若 比 丘 尼 食 殘 宿 
T22n1423_001:0210a01	食，波逸提。「若比丘尼，食家中與男子坐，波	食 波 逸 提 若 比 丘 尼 食 家 中 與 男 子 坐 波 
T22n1423_001:0210a02	逸提。「若比丘尼，觀軍發行，波逸提。(三十)「若比	逸 提 若 比 丘 尼 觀 軍 發 行 波 逸 提 三 十 若 比 
T22n1423_001:0210a03	丘尼，有因緣到軍中，乃至二三宿。若過，波逸	丘 尼 有 因 緣 到 軍 中 乃 至 二 三 宿 若 過 波 逸 
T22n1423_001:0210a04	提。「若比丘尼，有因緣到軍中二三宿，觀軍	提 若 比 丘 尼 有 因 緣 到 軍 中 二 三 宿 觀 軍 
T22n1423_001:0210a05	陣合戰，波逸提。「若比丘尼，作如是語：『如	陣 合 戰 波 逸 提 若 比 丘 尼 作如是語 如 
T22n1423_001:0210a06	我解佛所說，障道法不能障道。』諸比丘尼語	我 解 佛 所 說 障 道 法 不能障道 諸比丘尼 語 
T22n1423_001:0210a07	是比丘尼：『汝莫作是語，莫謗佛、莫誣佛。佛	是 比 丘 尼 汝 莫作是語 莫 謗 佛 莫 誣 佛 佛 
T22n1423_001:0210a08	說障道法實能障道。汝捨是惡邪見。』如是諫	說 障 道 法 實 能 障 道 汝 捨 是 惡 邪 見 如 是 諫 
T22n1423_001:0210a09	時，堅持不捨，應第二、第三諫。第二、第三諫	時 堅 持 不 捨 應 第 二 第 三 諫 第 二 第 三 諫 
T22n1423_001:0210a10	捨是事善。不捨者，波逸提。「若比丘尼，知是	捨 是 事 善 不 捨 者 波 逸 提 若 比 丘 尼 知 是 
T22n1423_001:0210a11	比丘尼不如法悔、不捨惡邪見，共住、共語、共	比 丘 尼 不 如 法 悔 不 捨 惡 邪 見 共 住 共 語 共 
T22n1423_001:0210a12	宿、共事，波逸提。「若沙彌尼作是語：『如我解	宿 共 事 波 逸 提 若 沙 彌 尼 作 是 語 如 我 解 
T22n1423_001:0210a13	佛所說，若受五欲不能障道。』諸比丘尼語是	佛 所 說 若 受 五 欲 不能障道 諸比丘尼 語 是 
T22n1423_001:0210a14	沙彌尼：『汝莫作是語，莫謗佛、莫誣佛。佛說	沙 彌 尼 汝 莫作是語 莫 謗 佛 莫 誣 佛 佛 說 
T22n1423_001:0210a15	五欲障道實能障道。汝沙彌尼捨是惡邪見。』	五 欲 障 道 實 能 障 道 汝 沙 彌 尼 捨 是 惡 邪 見 
T22n1423_001:0210a16	如是教，堅持不捨，應第二、第三教。第二、第三	如 是 教 堅 持 不 捨 應 第 二 第 三 教 第 二 第 三 
T22n1423_001:0210a17	教，捨是事善。若不捨，諸比丘尼應語是沙彌	教 捨 是 事 善 若 不 捨 諸比丘尼 應 語 是 沙 彌 
T22n1423_001:0210a18	尼：『汝出去，從今莫言佛是我師，莫在諸比	尼 汝 出 去 從 今 莫 言 佛 是 我 師 莫 在 諸 比 
T22n1423_001:0210a19	丘尼後行。如餘沙彌尼得共諸比丘尼二宿，	丘 尼 後 行 如 餘 沙 彌 尼 得 共 諸比丘尼 二 宿 
T22n1423_001:0210a20	汝亦無是事。癡人出去滅去，莫此中住。』若比	汝 亦 無 是 事 癡 人 出 去 滅 去 莫 此 中 住 若 比 
T22n1423_001:0210a21	丘尼知如法擯沙彌尼，畜使共住共語，波逸	丘 尼 知 如 法 擯 沙 彌 尼 畜 使 共 住 共 語 波 逸 
T22n1423_001:0210a22	提。「若比丘尼，故奪畜生命，波逸提。「若比	提 若 比 丘 尼 故 奪 畜 生 命 波 逸 提 若 比 
T22n1423_001:0210a23	丘尼，故令比丘尼生疑悔，作是念：『令是比	丘 尼 故 令 比 丘 尼 生 疑 悔 作 是 念 令 是 比 
T22n1423_001:0210a24	丘尼乃至少時惱。』波逸提。「若比丘尼，僧斷	丘 尼 乃 至 少 時 惱 波 逸 提 若 比 丘 尼 僧 斷 
T22n1423_001:0210a25	事時不與欲起去，波逸提。「若比丘尼，擊攊	事 時 不 與 欲 起 去 波 逸 提 若 比 丘 尼 擊 攊 
T22n1423_001:0210a26	比丘尼，波逸提。「若比丘尼，水中戲，波逸提。	比 丘 尼 波 逸 提 若 比 丘 尼 水 中 戲 波 逸 提 
T22n1423_001:0210a27	(四十)「若比丘尼，與男子同室宿，波逸提。「若	 四 十 若 比 丘 尼 與 男 子 同 室 宿 波 逸 提 若 
T22n1423_001:0210a28	比丘尼，飲酒，波逸提。「若比丘尼，輕師，波逸	比 丘 尼 飲 酒 波 逸 提 若 比 丘 尼 輕 師 波 逸 
T22n1423_001:0210a29	提。「若比丘尼，自掘地、若使人掘言掘是，波	提 若 比 丘 尼 自 掘 地 若 使 人 掘 言 掘 是 波 
T22n1423_001:0210b01	逸提。「若比丘尼，共諍已默聽，作是念：『諸比	逸 提 若 比 丘 尼 共 諍 已 默 聽 作 是 念 諸 比 
T22n1423_001:0210b02	丘尼所說我當憶持。』波逸提。「若比丘尼，受	丘 尼 所 說 我 當 憶 持 波 逸 提 若 比 丘 尼 受 
T22n1423_001:0210b03	四月自恣請，過是受，除更請、自送請、長請，波	四 月 自 恣 請 過 是 受 除 更 請 自 送 請 長 請 波 
T22n1423_001:0210b04	逸提。「若比丘尼，數數犯罪，諸比丘尼如法	逸 提 若 比 丘 尼 數 數 犯 罪 諸比丘尼 如 法 
T22n1423_001:0210b05	諫。作如是語：『我不學是戒。當問餘比丘尼	諫 作如是語 我 不 學 是 戒 當 問 餘 比 丘 尼 
T22n1423_001:0210b06	持法持律者。』波逸提。「若比丘尼，說戒時作	持 法 持 律 者 波 逸 提 若 比 丘 尼 說 戒 時 作 
T22n1423_001:0210b07	是語：『我今始知是法半月布薩戒經中說。』諸	是 語 我 今 始 知 是 法 半 月 布 薩 戒 經 中 說 諸 
T22n1423_001:0210b08	比丘尼知是比丘尼已再三說戒中坐。是比	比 丘 尼 知 是 比 丘 尼 已 再 三 說 戒 中 坐 是 比 
T22n1423_001:0210b09	丘尼不以不知故得脫，隨所犯罪如法治，應	丘 尼 不 以 不 知 故 得 脫 隨 所 犯 罪 如 法 治 應 
T22n1423_001:0210b10	呵其不知：『汝所作不善，說戒時不一心聽、不	呵 其 不 知 汝 所 作 不 善 說 戒 時 不 一 心 聽 不 
T22n1423_001:0210b11	著心中。』波逸提。「若比丘尼，與賊期共道行，	著 心 中 波 逸 提 若 比 丘 尼 與 賊 期 共 道 行 
T22n1423_001:0210b12	從此聚落到彼聚落，波逸提。「若比丘尼，與	從 此 聚 落 到 彼 聚 落 波 逸 提 若 比 丘 尼 與 
T22n1423_001:0210b13	男子期共道行，從此聚落到彼聚落，波逸提。	男 子 期 共 道 行 從 此 聚 落 到 彼 聚 落 波 逸 提 
T22n1423_001:0210b14	(五十)「若比丘尼，無病，為炙故自然火、若	 五 十 若 比 丘 尼 無 病 為 炙 故 自 然 火 若 
T22n1423_001:0210b15	使人然，波逸提。「若比丘尼，若寶等物，	使 人 然 波 逸 提 若 比 丘 尼 若 寶 等 物 
T22n1423_001:0210b16	若自取、若使人取，除僧坊內及宿處，波逸	若 自 取 若 使 人 取 除 僧 坊 內 及 宿 處 波 逸 
T22n1423_001:0210b17	提。若僧坊內及宿處取寶等物，後有主索	提 若 僧 坊 內 及 宿 處 取 寶 等 物 後 有 主 索 
T22n1423_001:0210b18	應還。是事應爾。「若比丘尼，半月內浴，除	應 還 是 事 應 爾 若 比 丘 尼 半 月 內 浴 除 
T22n1423_001:0210b19	因緣，波逸提。因緣者，病時、作時、行路時、風	因 緣 波 逸 提 因 緣 者 病 時 作 時 行 路 時 風 
T22n1423_001:0210b20	雨時、熱時，是名因緣。「若比丘尼，瞋故打比	雨 時 熱 時 是 名 因 緣 若 比 丘 尼 瞋 故 打 比 
T22n1423_001:0210b21	丘尼，波逸提。「若比丘尼，瞋故以手擬比丘	丘 尼 波 逸 提 若 比 丘 尼 瞋 故 以 手 擬 比 丘 
T22n1423_001:0210b22	尼，波逸提。「若比丘尼，故恐怖比丘尼，波	尼 波 逸 提 若 比 丘 尼 故 恐 怖 比 丘 尼 波 
T22n1423_001:0210b23	逸提。「若比丘尼，以無根僧伽婆尸沙謗比	逸 提 若 比 丘 尼 以 無 根 僧伽婆尸沙 謗 比 
T22n1423_001:0210b24	丘尼，波逸提。「若比丘尼，語彼比丘尼：『共到	丘 尼 波 逸 提 若 比 丘 尼 語 彼 比 丘 尼 共 到 
T22n1423_001:0210b25	諸家，與汝多美飲食。』既到不與，作是言：『汝	諸 家 與 汝 多 美 飲 食 既 到 不 與 作 是 言 汝 
T22n1423_001:0210b26	去。共汝若坐若語不樂，我獨坐獨語樂。』欲令	去 共 汝 若 坐 若 語 不 樂 我 獨 坐 獨 語 樂 欲 令 
T22n1423_001:0210b27	惱故，波逸提。「若比丘尼，新衣應三種色作	惱 故 波 逸 提 若 比 丘 尼 新 衣 應 三 種 色 作 
T22n1423_001:0210b28	幟，若青、若黑、若木蘭。若不以三色作幟，波	幟 若 青 若 黑 若 木 蘭 若 不 以 三 色 作 幟 波 
