T08n0236b_001:0757a22	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0236b_001:0759b10	心有住則為非住。故如來說：『菩薩無所住	心 有 住 則 為 非 住 故 如 來 說 菩 薩 無 所 住 
T08n0236b_001:0759b11	心應行布施。』「復次，須菩提！菩薩應如是行	心 應 行 布 施 復 次 須 菩 提 菩 薩 應 如 是 行 
T08n0236b_001:0759b12	施，為利益一切眾生。此眾生想即是非想。	施 為 利 益 一 切 眾 生 此 眾 生 想 即 是 非 想 
T08n0236b_001:0759b13	如是一切眾生，如來說即非眾生。何以故？	如是一切 眾 生 如 來 說 即 非 眾 生 何 以 故 
T08n0236b_001:0759b14	諸佛世尊遠離一切想故。「須菩提！如來說	諸佛世尊 遠 離 一 切 想 故 須 菩 提 如 來 說 
T08n0236b_001:0759b15	實、說諦、說如、說非虛妄。復次，須菩提！是法	實 說 諦 說 如 說 非 虛 妄 復 次 須 菩 提 是 法 
T08n0236b_001:0759b16	如來所覺，是法如來所說，是法非實非虛。	如 來 所 覺 是 法 如 來 所 說 是 法 非 實 非 虛 
T08n0236b_001:0759b17	須菩提！譬如有人在於盲闇，如是當知菩	須 菩 提 譬 如 有 人 在 於 盲 闇 如 是 當 知 菩 
T08n0236b_001:0759b18	薩墮相行墮相施。須菩提！如人有目，夜已	薩 墮 相 行 墮 相 施 須 菩 提 如 人 有 目 夜 已 
T08n0236b_001:0759b19	曉時，晝日光照，見種種色。如是當知菩薩	曉 時 晝 日 光 照 見 種 種 色 如 是 當 知 菩 薩 
T08n0236b_001:0759b20	不墮於相行無相施。「復次，須菩提！於未來	不 墮 於 相 行 無 相 施 復 次 須 菩 提 於 未 來 
T08n0236b_001:0759b21	世，若有善男子、善女人，受持讀誦修行，為	世 若 有 善 男 子 善 女 人 受持讀誦 修 行 為 
T08n0236b_001:0759b22	他正說如是經典，如來悉知是人，悉見是	他 正 說 如 是 經 典 如 來 悉 知 是 人 悉 見 是 
T08n0236b_001:0759b23	人，生長無量福德之聚。「復次，須菩提！若有	人 生 長 無量福德 之 聚 復 次 須 菩 提 若 有 
T08n0236b_001:0759b24	善男子、善女人，於日前分布施身命，如上	善 男 子 善 女 人 於 日 前 分 布 施 身 命 如 上 
T08n0236b_001:0759b25	所說諸河沙數。於日中分布施身命，於日	所 說 諸 河 沙 數 於 日 中 分 布 施 身 命 於 日 
T08n0236b_001:0759b26	後分布施身命，皆如上說諸河沙數。如是	後 分 布 施 身 命 皆 如 上 說 諸 河 沙 數 如 是 
T08n0236b_001:0759b27	無量百千萬億劫以身命布施。若復有人	無量百千萬億 劫 以 身 命 布 施 若 復 有 人 
T08n0236b_001:0759b28	聞此經典不起誹謗。以是因緣生福德多	聞 此 經 典 不 起 誹 謗 以是因緣 生 福 德 多 
T08n0236b_001:0759b29	彼無數無量。何況有人書寫受持讀誦，教	彼 無 數 無 量 何 況 有 人 書 寫 受持讀誦 教 
T08n0236b_001:0759c01	他修行為人廣說。「復次，須菩提！如是經典	他 修 行 為 人 廣 說 復 次 須 菩 提 如 是 經 典 
T08n0236b_001:0759c02	不可思量無能與等，如來但為憐愍利益	不 可 思 量 無 能 與 等 如 來 但 為 憐 愍 利 益 
T08n0236b_001:0759c03	能行無上乘及行無等乘人說。若復有人	能 行 無 上 乘 及 行 無 等 乘 人 說 若 復 有 人 
T08n0236b_001:0759c04	於未來世受持讀誦，教他修行正說是經，	於未來世 受持讀誦 教 他 修 行 正 說 是 經 
T08n0236b_001:0759c05	如來悉知是人，悉見是人，與無數無量不	如 來 悉 知 是 人 悉 見 是 人 與 無 數 無 量 不 
T08n0236b_001:0759c06	可思議無等福聚而共相應。如是等人由	可 思 議 無 等 福 聚 而 共 相 應 如 是 等 人 由 
T08n0236b_001:0759c07	我身分，則能荷負無上菩提。何以故？須	我 身 分 則 能 荷 負 無上菩提 何 以 故 須 
T08n0236b_001:0759c08	菩提！如是經典，若下願樂人，及我見、眾生	菩 提 如 是 經 典 若 下 願 樂 人 及 我 見 眾 生 
T08n0236b_001:0759c09	見、壽者見、受者見如此等人，能聽能修讀	見 壽 者 見 受 者 見 如 此 等 人 能 聽 能 修 讀 
T08n0236b_001:0759c10	誦教他正說，無有是處。「復次，須菩提！隨所	誦 教 他 正 說 無 有 是 處 復 次 須 菩 提 隨 所 
T08n0236b_001:0759c11	在處顯說此經，一切世間天、人、阿脩羅等，	在 處 顯 說 此 經 一切世間 天 人 阿 脩 羅 等 
T08n0236b_001:0759c12	皆應供養作禮右遶。當知此處於世間此	皆 應 供 養 作 禮 右 遶 當 知 此 處 於 世 間 此 
T08n0236b_001:0759c13	即成支提。「須菩提！若有善男子、善女人，受	即 成 支 提 須 菩 提 若 有 善 男 子 善 女 人 受 
T08n0236b_001:0759c14	持讀誦教他修行，正說如是等經。此人現	持 讀 誦 教 他 修 行 正 說 如 是 等 經 此 人 現 
T08n0236b_001:0759c15	身受輕賤等，過去世中所造惡業，應感生	身 受 輕 賤 等 過 去 世 中 所 造 惡 業 應 感 生 
T08n0236b_001:0759c16	後惡道果報，以於現身受輕苦故，先世罪	後 惡 道 果 報 以 於 現 身 受 輕 苦 故 先 世 罪 
T08n0236b_001:0759c17	業及苦果報則為消滅，當得阿耨多羅三	業 及 苦 果 報 則 為 消 滅 當 得 阿 耨 多 羅 三 
T08n0236b_001:0759c18	藐三菩提。「須菩提！我憶往昔無數無量過	藐 三 菩 提 須 菩 提 我 憶 往 昔 無 數 無 量 過 
T08n0236b_001:0759c19	於算數，過去燃燈如來阿羅訶三藐三佛	於 算 數 過 去 燃 燈 如 來 阿 羅 訶 三藐三佛 
T08n0236b_001:0759c20	陀後，八萬四千百千俱胝諸佛如來已成	陀 後 八萬四千 百 千 俱 胝 諸佛如來 已 成 
T08n0236b_001:0759c21	佛竟，我皆承事供養恭敬無空過者。若復	佛 竟 我 皆 承事供養 恭 敬 無 空 過 者 若 復 
T08n0236b_001:0759c22	有人於後末世五十歲時，受持讀誦教他	有 人 於 後 末 世 五 十 歲 時 受持讀誦 教 他 
T08n0236b_001:0759c23	修行，正說此經。須菩提！此人所生福德之	修 行 正 說 此 經 須 菩 提 此 人 所 生 福 德 之 
T08n0236b_001:0759c24	聚，以我往昔承事供養諸佛如來所得功	聚 以 我 往 昔 承事供養 諸佛如來 所 得 功 
T08n0236b_001:0759c25	德，以此功德百分不及一，千萬億分不及	德 以 此 功 德 百 分 不 及 一 千萬億分 不 及 
T08n0236b_001:0759c26	一，窮於算數不及其一，乃至威力品類相	一 窮 於 算 數 不 及 其 一 乃 至 威 力 品 類 相 
T08n0236b_001:0759c27	應譬喻所不能及。「須菩提！若善男子、善女	應 譬 喻 所 不 能 及 須 菩 提 若 善 男 子 善 女 
T08n0236b_001:0759c28	人，於後末世受持讀誦如此等經，所得功	人 於 後 末 世 受持讀誦 如 此 等 經 所 得 功 
T08n0236b_001:0759c29	德我若具說，若有善男子、善女人，諦聽憶	德 我 若 具 說 若 有 善 男 子 善 女 人 諦 聽 憶 
T08n0236b_001:0760a01	持爾所福聚，或心迷亂及以顛狂。復次，須	持 爾 所 福 聚 或 心 迷 亂 及 以 顛 狂 復 次 須 
T08n0236b_001:0760a02	菩提！如是經典不可思議。若人修行及得	菩 提 如 是 經 典 不可思議 若 人 修 行 及 得 
T08n0236b_001:0760a03	果報亦不可思議。」爾時須菩提白佛言：「世	果 報 亦 不可思議 爾 時 須 菩 提 白 佛 言 世 
T08n0236b_001:0760a04	尊！善男子、善女人，發阿耨多羅三藐三菩	尊 善 男 子 善 女 人 發 阿 耨 多 羅 三 藐 三 菩 
T08n0236b_001:0760a05	提心行菩薩乘，云何應住？云何修行？云何	提 心 行 菩 薩 乘 云 何 應 住 云 何 修 行 云 何 
T08n0236b_001:0760a06	發起菩薩心？」佛告須菩提：「善男子、善女人，	發 起 菩 薩 心 佛 告 須 菩 提 善 男 子 善 女 人 
T08n0236b_001:0760a07	發阿耨多羅三藐三菩提心者，當生如是	發 阿耨多羅三藐三菩提 心 者 當 生 如 是 
T08n0236b_001:0760a08	心：『我應安置一切眾生，令入無餘涅槃。如	心 我 應 安 置 一 切 眾 生 令 入無餘涅槃 如 
T08n0236b_001:0760a09	是般涅槃無量眾生已，無一眾生被涅槃	是 般 涅 槃 無 量 眾 生 已 無 一 眾 生 被 涅 槃 
T08n0236b_001:0760a10	者。』何以故？須菩提！若菩薩有眾生想，則	者 何 以 故 須 菩 提 若 菩 薩 有 眾 生 想 則 
T08n0236b_001:0760a11	不應說名為菩薩。何以故？須菩提！實無有	不 應 說 名 為 菩 薩 何 以 故 須 菩 提 實 無 有 
T08n0236b_001:0760a12	法名為能行菩薩上乘。須菩提！汝意云何？	法 名 為 能 行 菩 薩 上 乘 須 菩 提 汝意云何 
T08n0236b_001:0760a13	於燃燈佛所，頗有一法如來所得名阿耨	於 燃 燈 佛 所 頗 有 一 法 如 來 所 得 名 阿 耨 
T08n0236b_001:0760a14	多羅三藐三菩提不？」須菩提言：「不也，世尊！	多 羅 三藐三菩提 不 須 菩 提 言 不 也 世 尊 
T08n0236b_001:0760a15	於燃燈佛所，無有一法如來所得名阿耨	於 燃 燈 佛 所 無 有 一 法 如 來 所 得 名 阿 耨 
T08n0236b_001:0760a16	多羅三藐三菩提。」佛言：「如是，須菩提！如是。	多 羅 三藐三菩提 佛 言 如 是 須 菩 提 如 是 
T08n0236b_001:0760a17	於燃燈佛所，無有一法如來所得名阿耨	於 燃 燈 佛 所 無 有 一 法 如 來 所 得 名 阿 耨 
T08n0236b_001:0760a18	多羅三藐三菩提。須菩提！於燃燈佛所，若	多 羅 三藐三菩提 須 菩 提 於 燃 燈 佛 所 若 
T08n0236b_001:0760a19	有一法如來所得名阿耨多羅三藐三菩	有 一 法 如 來 所 得 名 阿 耨 多 羅 三 藐 三 菩 
T08n0236b_001:0760a20	提，燃燈佛則不授我記：『婆羅門！汝於來世	提 燃 燈 佛 則 不 授 我 記 婆 羅 門 汝 於 來 世 
T08n0236b_001:0760a21	當得作佛，號釋迦牟尼多陀阿伽度阿羅訶	當 得 作 佛 號 釋 迦 牟 尼 多 陀 阿 伽 度 阿 羅 訶 
T08n0236b_001:0760a22	三藐三佛陀。』須菩提！由實無有法，如來所	三藐三佛陀 須 菩 提 由 實 無 有 法 如 來 所 
T08n0236b_001:0760a23	得，名阿耨多羅三藐三菩提，是故然燈佛	得 名 阿耨多羅三藐三菩提 是 故 然 燈 佛 
T08n0236b_001:0760a24	與我授記作如是言：『婆羅門！汝於來世當	與 我 授 記 作如是言 婆 羅 門 汝 於 來 世 當 
T08n0236b_001:0760a25	得作佛，號釋迦牟尼多陀阿伽度阿羅訶三	得 作 佛 號 釋 迦 牟 尼 多 陀 阿 伽 度 阿 羅 訶 三 
T08n0236b_001:0760a26	藐三佛陀。』何以故？須菩提！如來者真如別	藐 三 佛 陀 何 以 故 須 菩 提 如 來 者 真 如 別 
T08n0236b_001:0760a27	名。「須菩提！若有人說：『如來得阿耨多羅三	名 須 菩 提 若 有 人 說 如 來 得 阿 耨 多 羅 三 
T08n0236b_001:0760a28	藐三菩提。』是人不實語。何以故？須菩提！	藐 三 菩 提 是 人 不 實 語 何 以 故 須 菩 提 
T08n0236b_001:0760a29	實無有法，如來所得，名阿耨多羅三藐三菩	實 無 有 法 如 來 所 得 名 阿 耨 多 羅 三 藐 三 菩 
T08n0236b_001:0760b01	提。須菩提！此法如來所得無實無虛，是	提 須 菩 提 此 法 如 來 所 得 無 實 無 虛 是 
T08n0236b_001:0760b02	故如來說：『一切法皆是佛法。』須菩提！一切	故 如 來 說 一 切 法 皆 是 佛 法 須 菩 提 一 切 
T08n0236b_001:0760b03	法者，非一切法，故如來說名一切法。「須菩	法 者 非 一 切 法 故 如 來 說 名 一 切 法 須 菩 
T08n0236b_001:0760b04	提！譬如有人遍身大身。」須菩提言：「世尊！	提 譬 如 有 人 遍 身 大 身 須 菩 提 言 世 尊 
T08n0236b_001:0760b05	是如來所說遍身大身，則為非身，是故說	是 如 來 所 說 遍 身 大 身 則 為 非 身 是 故 說 
T08n0236b_001:0760b06	名遍身大身。」佛言：「如是，須菩提！如是。須菩	名 遍 身 大 身 佛 言 如 是 須 菩 提 如 是 須 菩 
T08n0236b_001:0760b07	提！若有菩薩說如是言：『我當般涅槃一切	提 若 有 菩 薩 說 如 是 言 我 當 般 涅 槃 一 切 
T08n0236b_001:0760b08	眾生。』則不應說名為菩薩。須菩提！汝意	眾 生 則 不 應 說 名 為 菩 薩 須 菩 提 汝 意 
T08n0236b_001:0760b09	云何？頗有一法名菩薩不？」須菩提言：「不	云 何 頗 有 一 法 名 菩 薩 不 須 菩 提 言 不 
T08n0236b_001:0760b10	也，世尊！」佛言：「須菩提！是故如來說：『一切	也 世 尊 佛 言 須 菩 提 是 故 如 來 說 一 切 
T08n0236b_001:0760b11	法無我、無眾生、無壽者、無受者。』須菩提！若	法 無 我 無 眾 生 無 壽 者 無 受 者 須 菩 提 若 
T08n0236b_001:0760b12	有菩薩說如是言：『我當莊嚴清淨佛土。』如	有 菩 薩 說 如 是 言 我 當 莊 嚴 清 淨 佛 土 如 
T08n0236b_001:0760b13	此菩薩說虛妄言。何以故？須菩提！莊嚴佛	此 菩 薩 說 虛 妄 言 何 以 故 須 菩 提 莊 嚴 佛 
T08n0236b_001:0760b14	土者，如來說則非莊嚴，是故莊嚴清淨佛	土 者 如 來 說 則 非 莊 嚴 是 故 莊 嚴 清 淨 佛 
T08n0236b_001:0760b15	土。須菩提！若菩薩信見諸法無我、諸法無	土 須 菩 提 若 菩 薩 信 見 諸法無我 諸 法 無 
T08n0236b_001:0760b16	我，如來應供正遍覺說：『是名菩薩，是名菩	我 如 來 應 供 正 遍 覺 說 是 名 菩 薩 是 名 菩 
T08n0236b_001:0760b17	薩。』「須菩提！汝意云何？如來有肉眼不？」須	薩 須 菩 提 汝意云何 如 來 有 肉 眼 不 須 
T08n0236b_001:0760b18	菩提言：「如是，世尊！如來有肉眼。」佛言：「須	菩 提 言 如 是 世 尊 如 來 有 肉 眼 佛 言 須 
T08n0236b_001:0760b19	菩提！汝意云何？如來有天眼不？」須菩提	菩 提 汝意云何 如 來 有 天 眼 不 須 菩 提 
T08n0236b_001:0760b20	言：「如是，世尊！如來有天眼。」佛言：「須菩提！	言 如 是 世 尊 如 來 有 天 眼 佛 言 須 菩 提 
T08n0236b_001:0760b21	汝意云何？如來有慧眼不？」須菩提言：「如	汝意云何 如 來 有 慧 眼 不 須 菩 提 言 如 
T08n0236b_001:0760b22	是，世尊！如來有慧眼。」佛言：「須菩提！汝意	是 世 尊 如 來 有 慧 眼 佛 言 須 菩 提 汝 意 
T08n0236b_001:0760b23	云何？如來有法眼不？」須菩提言：「如是，世	云 何 如 來 有 法 眼 不 須 菩 提 言 如 是 世 
T08n0236b_001:0760b24	尊！如來有法眼。」佛言：「須菩提！汝意云何？	尊 如 來 有 法 眼 佛 言 須 菩 提 汝意云何 
T08n0236b_001:0760b25	如來有佛眼不？」須菩提言：「如是，世尊！如	如 來 有 佛 眼 不 須 菩 提 言 如 是 世 尊 如 
T08n0236b_001:0760b26	來有佛眼。」「須菩提！汝意云何？於恒伽江	來 有 佛 眼 須 菩 提 汝意云何 於 恒 伽 江 
T08n0236b_001:0760b27	所有諸沙，如其沙數所有恒伽，如諸恒伽	所 有 諸 沙 如 其 沙 數 所 有 恒 伽 如 諸 恒 伽 
T08n0236b_001:0760b28	所有沙數世界，如是寧為多不？」須菩提言：	所 有 沙 數 世 界 如 是 寧 為 多 不 須 菩 提 言 
T08n0236b_001:0760b29	「如是，世尊！此等世界其數甚多。」佛言：「須菩	 如 是 世 尊 此 等 世 界 其 數 甚 多 佛 言 須 菩 
T08n0236b_001:0760c01	提！爾所世界中所有眾生，我悉見知心相	提 爾 所 世 界 中 所 有 眾 生 我 悉 見 知 心 相 
T08n0236b_001:0760c02	續住有種種類。何以故？須菩提！心相續	續 住 有 種 種 類 何 以 故 須 菩 提 心 相 續 
T08n0236b_001:0760c03	住，如來說非續住，故說續住。何以故？須	住 如 來 說 非 續 住 故 說 續 住 何 以 故 須 
T08n0236b_001:0760c04	菩提！過去心不可得，未來心不可得，現	菩 提 過 去 心 不 可 得 未來心不可得 現 
T08n0236b_001:0760c05	在心不可得。「須菩提！汝意云何？若有人	在 心 不 可 得 須 菩 提 汝意云何 若 有 人 
T08n0236b_001:0760c06	以滿三千大千世界七寶而用布施，是善	以 滿 三千大千世界 七 寶 而 用 布 施 是 善 
T08n0236b_001:0760c07	男子、善女人，以是因緣得福多不？」須菩提	男 子 善 女 人 以是因緣 得 福 多 不 須 菩 提 
T08n0236b_001:0760c08	言：「甚多，世尊！甚多，修伽陀！」佛言：「如是，須菩	言 甚 多 世 尊 甚 多 修 伽 陀 佛 言 如 是 須 菩 
T08n0236b_001:0760c09	提！如是。彼善男子、善女人，以是因緣福聚	提 如 是 彼 善 男 子 善 女 人 以是因緣 福 聚 
T08n0236b_001:0760c10	多。」佛言：「須菩提！若福德聚但名為聚，如	多 佛 言 須 菩 提 若 福 德 聚 但 名 為 聚 如 
T08n0236b_001:0760c11	來則不應說是福德聚、是福德聚。須菩提！	來 則 不 應 說 是 福 德 聚 是 福 德 聚 須 菩 提 
T08n0236b_001:0760c12	汝意云何？可以具足色身觀如來不？」須菩	汝意云何 可 以 具足色身 觀 如 來 不 須 菩 
T08n0236b_001:0760c13	提言：「不也，世尊！不可以具足色身觀於如	提 言 不 也 世 尊 不 可 以 具足色身 觀 於 如 
T08n0236b_001:0760c14	來。何以故？此具足色身，如來說非具足	來 何 以 故 此 具足色身 如 來 說 非 具 足 
T08n0236b_001:0760c15	色身，是故如來說名具足色身。」佛言：「須菩	色 身 是 故 如 來 說 名 具足色身 佛 言 須 菩 
T08n0236b_001:0760c16	提！汝意云何？可以具足諸相觀如來不？」須	提 汝意云何 可 以 具 足 諸 相 觀 如 來 不 須 
T08n0236b_001:0760c17	菩提言：「不也，世尊！不可以具足諸相觀於	菩 提 言 不 也 世 尊 不 可 以 具 足 諸 相 觀 於 
T08n0236b_001:0760c18	如來。何以故？此具足相，如來說非具足	如 來 何 以 故 此 具 足 相 如 來 說 非 具 足 
T08n0236b_001:0760c19	相，是故如來說具足相。」佛言：「須菩提！汝	相 是 故 如 來 說 具 足 相 佛 言 須 菩 提 汝 
T08n0236b_001:0760c20	意云何？如來有如是意：『我今實說法。』耶？須	意 云 何 如 來 有 如 是 意 我 今 實 說 法 耶 須 
T08n0236b_001:0760c21	菩提！若有人言：『如來實能說法。』汝應當知，	菩 提 若 有 人 言 如 來 實 能 說 法 汝 應 當 知 
T08n0236b_001:0760c22	是人由非實有及以邪執，起誹謗我。何以	是 人 由 非 實 有 及 以 邪 執 起 誹 謗 我 何 以 
T08n0236b_001:0760c23	故？須菩提！說法、說法，實無有法名為說法。」	故 須 菩 提 說 法 說 法 實 無 有 法 名 為 說 法 
T08n0236b_001:0760c24	爾時須菩提白佛言：「世尊！頗有眾生於未	爾 時 須 菩 提 白 佛 言 世 尊 頗 有 眾 生 於 未 
T08n0236b_001:0760c25	來世，聽聞正說如是等相此經章句，生實	來 世 聽 聞 正 說 如 是 等 相 此 經 章 句 生 實 
T08n0236b_001:0760c26	信不？」佛告須菩提：「彼非眾生，非非眾生。何	信 不 佛 告 須 菩 提 彼 非 眾 生 非 非 眾 生 何 
T08n0236b_001:0760c27	以故？須菩提！彼眾生者，如來說非眾生，非	以 故 須 菩 提 彼 眾 生 者 如 來 說 非 眾 生 非 
T08n0236b_001:0760c28	非眾生，故說眾生。須菩提！汝意云何？頗	非 眾 生 故 說 眾 生 須 菩 提 汝意云何 頗 
T08n0236b_001:0760c29	有一法如來所得名阿耨多羅三藐三菩提	有 一 法 如 來 所 得 名 阿耨多羅三藐三菩提 
T08n0236b_001:0761a01	不？」須菩提言：「不也，世尊！無有一法如來	不 須 菩 提 言 不 也 世 尊 無 有 一 法 如 來 
T08n0236b_001:0761a02	所得名阿耨多羅三藐三菩提。」佛言：「如是，	所 得 名 阿耨多羅三藐三菩提 佛 言 如 是 
T08n0236b_001:0761a03	須菩提！如是。乃至無有如微塵法如來所	須 菩 提 如 是 乃 至 無 有 如 微 塵 法 如 來 所 
T08n0236b_001:0761a04	捨如來所得，是故說名阿耨多羅三藐三	捨 如 來 所 得 是 故 說 名 阿 耨 多 羅 三 藐 三 
T08n0236b_001:0761a05	菩提平等平等。「復次，須菩提！諸佛諸佛	菩 提 平等平等 復 次 須 菩 提 諸 佛 諸 佛 
T08n0236b_001:0761a06	覺知無有差別，是故說名阿耨多羅三藐	覺 知 無有差別 是 故 說 名 阿 耨 多 羅 三 藐 
T08n0236b_001:0761a07	三菩提。「復次，須菩提！此法平等無有高	三 菩 提 復 次 須 菩 提 此 法 平 等 無 有 高 
T08n0236b_001:0761a08	下，是名阿耨多羅三藐三菩提。「復次，須	下 是 名 阿耨多羅三藐三菩提 復 次 須 
T08n0236b_001:0761a09	菩提。由無我、無眾生、無壽者、無受者等，此	菩 提 由 無 我 無 眾 生 無 壽 者 無 受 者 等 此 
T08n0236b_001:0761a10	法平等，故名阿耨多羅三藐三菩提。「復次，	法 平 等 故 名 阿耨多羅三藐三菩提 復 次 
T08n0236b_001:0761a11	須菩提！由實善法，具足圓滿得阿耨多	須 菩 提 由 實 善 法 具足圓滿 得 阿 耨 多 
T08n0236b_001:0761a12	羅三藐三菩提。須菩提！所言善法、善法	羅 三藐三菩提 須 菩 提 所 言 善 法 善 法 
T08n0236b_001:0761a13	者。如來說非法，故名善法。「須菩提！三千	者 如 來 說 非 法 故 名 善 法 須 菩 提 三 千 
T08n0236b_001:0761a14	大千世界所有諸須彌山王，如是等七寶	大千世界 所 有 諸 須 彌 山 王 如 是 等 七 寶 
T08n0236b_001:0761a15	聚滿此世界，有人持用布施。若人從此般	聚 滿 此 世 界 有 人 持用布施 若 人 從 此 般 
T08n0236b_001:0761a16	若波羅蜜經乃至四句偈等，受持讀誦為	若 波 羅 蜜 經 乃 至 四 句 偈 等 受持讀誦 為 
T08n0236b_001:0761a17	他正說，所得功德，以前功德比此功德，百	他 正 說 所得功德 以 前 功 德 比 此 功 德 百 
T08n0236b_001:0761a18	分不及一，千萬億分不及一，窮於算數不	分 不 及 一 千萬億分 不 及 一 窮 於 算 數 不 
T08n0236b_001:0761a19	及其一，乃至威力品類相應譬喻所不能	及 其 一 乃 至 威 力 品 類 相 應 譬 喻 所 不 能 
T08n0236b_001:0761a20	及。「須菩提！汝意云何？如來作是念：『我度	及 須 菩 提 汝意云何 如 來 作 是 念 我 度 
T08n0236b_001:0761a21	眾生。』耶？須菩提！汝今不應作如是念。何	眾 生 耶 須 菩 提 汝 今 不 應 作如是念 何 
T08n0236b_001:0761a22	以故？實無眾生如來所度。須菩提！若有	以 故 實 無 眾 生 如 來 所 度 須 菩 提 若 有 
T08n0236b_001:0761a23	眾生如來所度，即是我執、眾生執、壽者執、	眾 生 如 來 所 度 即 是 我 執 眾 生 執 壽 者 執 
T08n0236b_001:0761a24	受者執。須菩提！此我等執，如來說非執，嬰	受 者 執 須 菩 提 此 我 等 執 如 來 說 非 執 嬰 
T08n0236b_001:0761a25	兒凡夫眾生之所執故。須菩提！嬰兒凡夫	兒 凡 夫 眾 生 之 所 執 故 須 菩 提 嬰 兒 凡 夫 
T08n0236b_001:0761a26	眾生者，如來說非眾生，故說嬰兒凡夫眾	眾 生 者 如 來 說 非 眾 生 故 說 嬰 兒 凡 夫 眾 
T08n0236b_001:0761a27	生。「須菩提！汝意云何？可以具足相觀如	生 須 菩 提 汝意云何 可 以 具 足 相 觀 如 
T08n0236b_001:0761a28	來不？」須菩提言：「如我解佛所說義，不以	來 不 須 菩 提 言 如 我 解 佛 所 說 義 不 以 
T08n0236b_001:0761a29	具足相應觀如來。」佛言：「如是，須菩提！如是。	具 足 相 應 觀 如 來 佛 言 如 是 須 菩 提 如 是 
T08n0236b_001:0761b01	不以具足相應觀如來。何以故？若以具足	不 以 具 足 相 應 觀 如 來 何 以 故 若 以 具 足 
T08n0236b_001:0761b02	相觀如來者，轉輪聖王應是如來，是故不	相 觀 如 來 者 轉輪聖王 應 是 如 來 是 故 不 
T08n0236b_001:0761b03	以具足相應觀如來。」是時，世尊而說偈言：	以 具 足 相 應 觀 如 來 是 時 世 尊 而 說 偈 言 
T08n0236b_001:0761b04	「若以色見我，　　以音聲求我，	 若 以 色 見 我 以 音 聲 求 我 
T08n0236b_001:0761b05	　是人行邪道，　　不應得見我。	 是 人 行 邪 道 不 應 得 見 我 
T08n0236b_001:0761b06	　由法應見佛，　　調御法為身，	 由 法 應 見 佛 調 御 法 為 身 
T08n0236b_001:0761b07	　此法非識境，　　法如深難見。	 此 法 非 識 境 法 如 深 難 見 
T08n0236b_001:0761b08	「須菩提！汝意云何？如來可以具足相得阿	 須 菩 提 汝意云何 如 來 可 以 具 足 相 得 阿 
T08n0236b_001:0761b09	耨多羅三藐三菩提不？須菩提！汝今不應	耨 多 羅 三藐三菩提 不 須 菩 提 汝 今 不 應 
T08n0236b_001:0761b10	作如是見：『如來以具足相得阿耨多羅三	作 如 是 見 如 來 以 具 足 相 得 阿 耨 多 羅 三 
T08n0236b_001:0761b11	藐三菩提。』何以故？須菩提！如來不由具	藐 三 菩 提 何 以 故 須 菩 提 如 來 不 由 具 
T08n0236b_001:0761b12	足相得阿耨多羅三藐三菩提。須菩提！若	足 相 得阿耨多羅三藐三菩提 須 菩 提 若 
T08n0236b_001:0761b13	汝作是念：『如來有是說，行菩薩乘人有法	汝 作 是 念 如 來 有 是 說 行 菩 薩 乘 人 有 法 
T08n0236b_001:0761b14	可滅。』須菩提！汝莫作此見。何以故？如來	可 滅 須 菩 提 汝 莫 作 此 見 何 以 故 如 來 
T08n0236b_001:0761b15	不說行菩薩乘人有法可滅及以永斷。「須	不 說 行 菩 薩 乘 人 有 法 可 滅 及 以 永 斷 須 
T08n0236b_001:0761b16	菩提！若有善男子、善女人，以滿恒伽沙等	菩 提 若 有 善 男 子 善 女 人 以 滿 恒 伽 沙 等 
T08n0236b_001:0761b17	世界七寶，持用布施。若有菩薩於一切法	世 界 七 寶 持用布施 若 有 菩 薩 於一切法 
T08n0236b_001:0761b18	無我無生，得無生忍。以是因緣，所得福德	無 我 無 生 得無生忍 以是因緣 所 得 福 德 
T08n0236b_001:0761b19	最多於彼。須菩提！行大乘人不應執取福	最 多 於 彼 須 菩 提 行 大 乘 人 不 應 執 取 福 
T08n0236b_001:0761b20	德之聚。」須菩提言：「此福德聚可攝持不？」佛	德 之 聚 須 菩 提 言 此 福 德 聚 可 攝 持 不 佛 
T08n0236b_001:0761b21	言：「須菩提！此福德聚，可得攝持，不可執	言 須 菩 提 此 福 德 聚 可 得 攝 持 不 可 執 
T08n0236b_001:0761b22	取，是故說此福德之聚應可攝持。須菩提！	取 是 故 說 此 福 德 之 聚 應 可 攝 持 須 菩 提 
T08n0236b_001:0761b23	若有人言：『如來行住坐臥。』是人不解我所	若 有 人 言 如 來 行住坐臥 是 人 不 解 我 所 
T08n0236b_001:0761b24	說義。何以故？須菩提！如來者無所行去，無	說 義 何 以 故 須 菩 提 如 來 者 無 所 行 去 無 
T08n0236b_001:0761b25	所從來，是故說名如來應供正遍覺知。「須	所 從 來 是 故 說 名 如 來 應 供 正 遍 覺 知 須 
T08n0236b_001:0761b26	菩提！若善男子、善女人，以三千大千世界	菩 提 若 善 男 子 善 女 人 以 三千大千世界 
T08n0236b_001:0761b27	地大微塵，燒成灰末，合為墨丸，如微塵聚。	地 大 微 塵 燒 成 灰 末 合 為 墨 丸 如 微 塵 聚 
T08n0236b_001:0761b28	須菩提！汝意云何？是隣虛聚寧為多不？」	須 菩 提 汝意云何 是 隣 虛 聚 寧 為 多 不 
