X62n1201_001:0642b06	啟信雜說	啟 信 雜 說 
X62n1201_001:0644c08	百千年矣。其人不更貴乎。雖然。此猶世間之書也。若	百 千 年 矣 其 人 不 更 貴 乎 雖 然 此 猶 世 間 之 書 也 若 
X62n1201_001:0644c09	於儒書外。更能博覽佛藏。則一應天上天下。前劫後	於 儒 書 外 更 能 博 覽 佛 藏 則 一 應 天 上 天 下 前 劫 後 
X62n1201_001:0644c10	劫。以及龍宮海藏。皆可略知其概。見聞不更廣乎。雖	劫 以 及 龍 宮 海 藏 皆 可 略 知 其 概 見 聞 不 更 廣 乎 雖 
X62n1201_001:0644c11	然。見聞固廣。若不得捷徑之方。超出三界。則於菩提	然 見 聞 固 廣 若 不 得 捷 徑 之 方 超出三界 則 於 菩 提 
X62n1201_001:0644c12	種子。猶無分也。倘能博通三藏。復遇淨土法門。能篤	種 子 猶 無 分 也 倘 能 博 通 三 藏 復 遇 淨 土 法 門 能 篤 
X62n1201_001:0644c13	信而奉行之。斯其福德智慧所由來。非三世五世之	信 而 奉 行 之 斯 其 福 德 智 慧 所 由 來 非 三 世 五 世 之 
X62n1201_001:0644c14	事矣　或曰。龍宮海藏之文。雖係如來誠實之語。其	事 矣 或 曰 龍 宮 海 藏 之 文 雖 係 如 來 誠 實 之 語 其 
X62n1201_001:0644c15	如儒者之不信何。曰堯舜禹湯文武之事。若以告之	如 儒 者 之 不 信 何 曰 堯 舜 禹 湯 文 武 之 事 若 以 告 之 
X62n1201_001:0644c16	不識字人。彼亦以為荒唐也。是故佛書誠不可不讀	不 識 字 人 彼 亦 以 為 荒 唐 也 是 故 佛 書 誠 不 可 不 讀 
X62n1201_001:0644c17	也。	也 
X62n1201_001:0644c18	奘師善於啟發	奘 師 善 於 啟 發 
X62n1201_001:0644c19	世俗或以僧無戒行。故輕之而不信淨土。謬也。是以	世 俗 或 以 僧 無 戒 行 故 輕 之 而 不 信 淨 土 謬 也 是 以 
X62n1201_001:0644c20	道士不肖而輕老子。士人不肖而輕孔子也。智者尚	道 士 不 肖 而 輕 老 子 士 人 不 肖 而 輕 孔 子 也 智 者 尚 
X62n1201_001:0644c21	不以人廢言。況可以其徒而輕其教乎。昔唐太宗謂	不 以 人 廢 言 況 可 以 其 徒 而 輕 其 教 乎 昔 唐 太 宗 謂 
X62n1201_001:0644c22	玄奘法師曰。朕欲齋僧。但聞僧多無行。柰何。奘法師	玄 奘 法 師 曰 朕 欲 齋 僧 但 聞 僧 多 無 行 柰 何 奘 法 師 
X62n1201_001:0644c23	曰。崑山有玉。混襍泥沙。麗水生金。豈無瓦礫。土木雕	曰 崑 山 有 玉 混 襍 泥 沙 麗 水 生 金 豈 無 瓦 礫 土 木 雕 
X62n1201_001:0644c24	成羅漢敬之。則福生銅鐵鑄就金容。毀之而有罪。泥	成 羅 漢 敬 之 則 福 生 銅 鐵 鑄 就 金 容 毀 之 而 有 罪 泥 
X62n1201_001:0645a01	龍雖不能行雨。祈雨須禱泥龍。凡僧雖不能降福。修	龍 雖 不 能 行 雨 祈 雨 須 禱 泥 龍 凡 僧 雖 不 能 降 福 修 
X62n1201_001:0645a02	福須敬凡僧。太宗恍然曰。朕自今以後。雖見小沙彌。	福 須 敬 凡 僧 太 宗 恍 然 曰 朕 自 今 以 後 雖 見 小 沙 彌 
X62n1201_001:0645a03	猶如敬佛。嗟乎太宗固自有宿福。一撥便醒。奘師亦	猶 如 敬 佛 嗟 乎 太 宗 固 自 有 宿 福 一 撥 便 醒 奘 師 亦 
X62n1201_001:0645a04	可謂善於啟發矣。	可 謂 善 於 啟 發 矣 
X62n1201_001:0645a05	當於肉軀生厭離心	當 於 肉 軀 生 厭 離 心 
X62n1201_001:0645a06	人生在世。八苦交煎。而人不自知苦。反以為樂。宜乎	人 生 在 世 八 苦 交 煎 而 人 不 自 知 苦 反 以 為 樂 宜 乎 
X62n1201_001:0645a07	以苦入苦。永無出期也。且以生苦言之。人在母胎。住	以 苦 入 苦 永 無 出 期 也 且 以 生 苦 言 之 人 在 母 胎 住 
X62n1201_001:0645a08	肝膈之下。大腸之上。由膜而皰。漸漸成形。胞胎裹住。	肝 膈 之 下 大 腸 之 上 由 膜 而 皰 漸 漸 成 形 胞 胎 裹 住 
X62n1201_001:0645a09	不得自由。母噉熱食。如灌鑊湯。母飲冷水。若臥寒冰。	不 得 自 由 母 噉 熱 食 如 灌 鑊 湯 母 飲 冷 水 若 臥 寒 冰 
X62n1201_001:0645a10	所居乃不潔之處。所食皆不淨之血。其住胎也。不滿	所 居 乃 不 潔 之 處 所 食 皆 不 淨 之 血 其 住 胎 也 不 滿 
X62n1201_001:0645a11	三百日。其受苦也。同於數十年。迨至彌月。便倒懸其	三 百 日 其 受 苦 也 同 於 數 十 年 迨 至 彌 月 便 倒 懸 其 
X62n1201_001:0645a12	體。頭向產門。形質漸大。欲出無由。自斃之道。在此一	體 頭 向 產 門 形 質 漸 大 欲 出 無 由 自 斃 之 道 在 此 一 
X62n1201_001:0645a13	刻。殺母機關。亦在此一刻。此時蓐母牽之。痛如車裂。	刻 殺 母 機 關 亦 在 此 一 刻 此 時 蓐 母 牽 之 痛 如 車 裂 
X62n1201_001:0645a14	所以一出胞胎。無不放聲大哭。出胎之後。尿溺狼藉。	所 以 一 出 胞 胎 無 不 放 聲 大 哭 出 胎 之 後 尿 溺 狼 藉 
X62n1201_001:0645a15	不知羞愧。所謂大富大貴者亦如此。所謂大聖大賢	不 知 羞 愧 所 謂 大 富 大 貴 者 亦 如 此 所 謂 大 聖 大 賢 
X62n1201_001:0645a16	者亦如此。人惟習為固然。所以不知不覺。若能清夜	者 亦 如 此 人 惟 習 為 固 然 所 以 不 知 不 覺 若 能 清 夜 
X62n1201_001:0645a17	一思。豈不可哀可恥。如來大聖憐憫世間。教人求生	一 思 豈 不 可 哀 可 恥 如 來 大 聖 憐 憫 世 間 教 人 求 生 
X62n1201_001:0645a18	淨土蓮華化生。免此患難。柰何耽染沈迷。不生厭離	淨 土 蓮 華 化 生 免 此 患 難 柰 何 耽 染 沈 迷 不 生 厭 離 
X62n1201_001:0645a19	之想。	之 想 
X62n1201_001:0645a20	大孝人不願入胎	大 孝 人 不 願 入 胎 
X62n1201_001:0645a21	神識投胎。不獨自己受苦。即為母者。亦大受其苦。無	神 識 投 胎 不 獨 自 己 受 苦 即 為 母 者 亦 大 受 其 苦 無 
X62n1201_001:0645a22	論在胎十月。度日如年。到出胎之際。為母者痛苦萬	論 在 胎 十 月 度 日 如 年 到 出 胎 之 際 為 母 者 痛 苦 萬 
X62n1201_001:0645a23	狀。漸懼難言。刻刻與鬼為鄰。念念求生不得。幸而難	狀 漸 懼 難 言 刻 刻 與 鬼 為 鄰 念 念 求 生 不 得 幸 而 難 
X62n1201_001:0645a24	過重生。便愛嬰兒若寶。由是推燥就濕。顧復提攜。一	過 重 生 便 愛 嬰 兒 若 寶 由 是 推 燥 就 濕 顧 復 提 攜 一 
X62n1201_001:0645b01	生精血暗裏消磨者多矣。昔有七歲沙彌。出家得道。	生 精 血 暗 裏 消 磨 者 多 矣 昔 有 七 歲 沙 彌 出 家 得 道 
X62n1201_001:0645b02	自識宿命。因歎曰。吾之一身。累五母悲惱。為第一世	自識宿命 因 歎 曰 吾 之 一 身 累 五 母 悲 惱 為 第 一 世 
X62n1201_001:0645b03	母子時。鄰家亦生。吾獨短命。母見鄰子長成。即生悲	母 子 時 鄰 家 亦 生 吾 獨 短 命 母 見 鄰 子 長 成 即 生 悲 
X62n1201_001:0645b04	惱。為第二母子時。吾復早夭。母若見人乳兒。即生悲	惱 為 第 二 母 子 時 吾 復 早 夭 母 若 見 人 乳 兒 即 生 悲 
X62n1201_001:0645b05	惱。為第三母子時。十歲即亡。母見他兒飲食類我。即	惱 為 第 三 母 子 時 十 歲 即 亡 母 見 他 兒 飲 食 類 我 即 
X62n1201_001:0645b06	生悲惱。為第四母子時。未娶而死。母見同輩娶婦。即	生 悲 惱 為 第 四 母 子 時 未 娶 而 死 母 見 同 輩 娶 婦 即 
X62n1201_001:0645b07	生悲惱。今當第五世。七歲出家。吾母憶念。復生悲惱。	生 悲 惱 今 當 第 五 世 七 歲 出 家 吾 母 憶 念 復 生 悲 惱 
X62n1201_001:0645b08	吾念生死輪回。累親如此。所以情進修道。今街上摩	吾 念 生 死 輪 回 累 親 如 此 所 以 情 進 修 道 今 街 上 摩 
X62n1201_001:0645b09	肩接踵。往來不絕之人。大抵遺累於親者多。能報親	肩 接 踵 往 來 不 絕 之 人 大 抵 遺 累 於 親 者 多 能 報 親 
X62n1201_001:0645b10	恩者曾有幾人。夫託胎一世。即累一父母。則託胎百	恩 者 曾 有 幾 人 夫 託 胎 一 世 即 累 一 父 母 則 託 胎 百 
X62n1201_001:0645b11	千萬世。即遺累百千萬世父母矣。若能超然出世蓮	千 萬 世 即 遺 累 百 千 萬 世 父 母 矣 若 能 超 然 出 世 蓮 
X62n1201_001:0645b12	華化生。永遠不累父母。豈非大孝之大孝乎。乃今之	華 化 生 永 遠 不 累 父 母 豈 非 大 孝 之 大 孝 乎 乃 今 之 
X62n1201_001:0645b13	謗佛者。反謂出家不孝。是甘心常住胎中。而累及其	謗 佛 者 反 謂 出 家 不 孝 是 甘 心 常 住 胎 中 而 累 及 其 
X62n1201_001:0645b14	親者也。	親 者 也 
X62n1201_001:0645b15	大貴人須知自慚	大 貴 人 須 知 自 慚 
X62n1201_001:0645b16	所謂貴人者。非爵尊位顯。學富五車之謂也。謂其能	所 謂 貴 人 者 非 爵 尊 位 顯 學 富 五 車 之 謂 也 謂 其 能 
X62n1201_001:0645b17	去乎賤態也。謂其能去同乎獸禽之賤態也。賤何在。	去 乎 賤 態 也 謂 其 能 去 同 乎 獸 禽 之 賤 態 也 賤 何 在 
X62n1201_001:0645b18	曰貪。曰淫。曰殺。曰盜是也。此禽獸所同有也。其外尚	曰 貪 曰 淫 曰 殺 曰 盜 是 也 此 禽 獸 所 同 有 也 其 外 尚 
X62n1201_001:0645b19	有可羞可恨者。莫如腹中化糞一事。無論珍羞百味。	有 可 羞 可 恨 者 莫 如 腹 中 化 糞 一 事 無 論 珍 羞 百 味 
X62n1201_001:0645b20	一入咽喉。便同津唾腦涎。隨之而下。胃中即有黃色	一 入 咽 喉 便 同 津 唾 腦 涎 隨 之 而 下 胃 中 即 有 黃 色 
X62n1201_001:0645b21	長蟲。屈伸宛轉於其內。經一晝夜。鑽齧消化。流注大	長 蟲 屈 伸 宛 轉 於 其 內 經 一 晝 夜 鑽 齧 消 化 流 注 大 
X62n1201_001:0645b22	腸。臭不可近。積之既多。遂從大小便。分道涌出。醜惡	腸 臭 不 可 近 積 之 既 多 遂 從 大 小 便 分 道 涌 出 醜 惡 
X62n1201_001:0645b23	之狀。同於犬豕。此種賤態。偶一為之。已是可羞。何堪	之 狀 同 於 犬 豕 此 種 賤 態 偶 一 為 之 已 是 可 羞 何 堪 
X62n1201_001:0645b24	日日如此。若有此賤態。不自覺知。不求厭離。便與禽	日 日 如 此 若 有 此 賤 態 不 自 覺 知 不 求 厭 離 便 與 禽 
X62n1201_001:0645c01	獸無異。故必自怨自艾。刻刻欲去。此賤態方是大貴	獸 無 異 故 必 自 怨 自 艾 刻 刻 欲 去 此 賤 態 方 是 大 貴 
X62n1201_001:0645c02	之人。六天之中。雖食天須陀味。然皆香潔輕清。無纖	之 人 六 天 之 中 雖 食 天 須 陀 味 然 皆 香 潔 輕 清 無 纖 
X62n1201_001:0645c03	塵渣滓。身上香雲。涌現自在。百千萬國。倐忽去來。無	塵 渣 滓 身 上 香 雲 涌 現 自 在 百 千 萬 國 倐 忽 去 來 無 
X62n1201_001:0645c04	有涕淚痰涎。大小便利之穢。故天人之爪甲。價值閻	有 涕 淚 痰 涎 大小便利 之 穢 故 天 人 之 爪 甲 價 值 閻 
X62n1201_001:0645c05	浮提地。然不可稱為大貴人者。以猶不免於輪回也。	浮 提 地 然 不 可 稱 為 大 貴 人 者 以 猶 不 免 於 輪 回 也 
X62n1201_001:0645c06	是必超然出世。蓮華化生。而後可永絕此賤態也。此	是 必 超 然 出 世 蓮 華 化 生 而 後 可 永 絕 此 賤 態 也 此 
X62n1201_001:0645c07	非孔孟之力。所能救吾也。	非 孔 孟 之 力 所 能 救 吾 也 
X62n1201_001:0645c08	蠶繭喻	蠶 繭 喻 
X62n1201_001:0645c09	蠶之作繭也。亦既左之右之。上之下之。盡吐腹中之	蠶 之 作 繭 也 亦 既 左 之 右 之 上 之 下 之 盡 吐 腹 中 之 
X62n1201_001:0645c10	所有以成之。方謂常住其中。可安然無恙。豈知所以	所 有 以 成 之 方 謂 常 住 其 中 可 安 然 無 恙 豈 知 所 以 
X62n1201_001:0645c11	自經自營者。適所以自纏自縛乎。豈知彼方恃其所	自 經 自 營 者 適 所 以 自 纏 自 縛 乎 豈 知 彼 方 恃 其 所 
X62n1201_001:0645c12	吐以衛身。人即利其所吐以殺身乎。萬萬千千癡蟲。	吐 以 衛 身 人 即 利 其 所 吐 以 殺 身 乎 萬 萬 千 千 癡 蟲 
X62n1201_001:0645c13	誰得免於沸湯者。然彼方子復傳子。孫復傳孫。以入	誰 得 免 於 沸 湯 者 然 彼 方 子 復 傳 子 孫 復 傳 孫 以 入 
X62n1201_001:0645c14	沸湯也。則慘莫慘於此也。世間兩片大門內之家繭。	沸 湯 也 則 慘 莫 慘 於 此 也 世 間 兩 片 大 門 內 之 家 繭 
X62n1201_001:0645c15	亦復如是。竭畢世之經營。剛剛為妻子謀衣食。設機	亦復如是 竭 畢 世 之 經 營 剛 剛 為 妻 子 謀 衣 食 設 機 
X62n1201_001:0645c16	械。結怨讎。無所不至。迨家業粗成。而此身已束縛其	械 結 怨 讎 無 所 不 至 迨 家 業 粗 成 而 此 身 已 束 縛 其 
X62n1201_001:0645c17	中矣。萬萬千千癡人。誰得免於償報者。然彼方將子	中 矣 萬 萬 千 千 癡 人 誰 得 免 於 償 報 者 然 彼 方 將 子 
X62n1201_001:0645c18	復傳子。孫復傳孫。以償報也。則奇莫奇於此也。所以	復 傳 子 孫 復 傳 孫 以 償 報 也 則 奇 莫 奇 於 此 也 所 以 
X62n1201_001:0645c19	四十二章經云。人繫於妻子舍宅。甚於牢獄。牢獄有	四 十 二 章 經 云 人 繫 於 妻 子 舍 宅 甚 於 牢 獄 牢 獄 有 
X62n1201_001:0645c20	散釋之期。妻子無遠離之念。	散 釋 之 期 妻 子 無 遠 離 之 念 
X62n1201_001:0645c21	籪籃喻	籪 籃 喻 
X62n1201_001:0645c22	漁人設籪中流。使魚不得越過。其傍浮以水草。示以	漁 人 設 籪 中 流 使 魚 不 得 越 過 其 傍 浮 以 水 草 示 以 
X62n1201_001:0645c23	可藏匿狀。而密埋能進不能出之籃於草下。於是魚	可 藏 匿 狀 而 密 埋 能 進 不 能 出 之 籃 於 草 下 於 是 魚 
X62n1201_001:0645c24	爭投之。以為可以棲託。而不知已在籃中矣。愛河中	爭 投 之 以 為 可 以 棲 託 而 不 知 已 在 籃 中 矣 愛 河 中 
X62n1201_001:0646a01	之籪簾。亦復如是。人但知無病無患時。家舍可安。妻	之 籪 簾 亦復如是 人 但 知 無 病 無 患 時 家 舍 可 安 妻 
X62n1201_001:0646a02	子可託。悠悠忽過。不覺不知。一旦閻老之籃忽起。而	子 可 託 悠 悠 忽 過 不 覺 不 知 一 旦 閻 老 之 籃 忽 起 而 
X62n1201_001:0646a03	平日最愛之父子夫妻。一一被其登簿勾取。思之豈	平 日 最 愛 之 父 子 夫 妻 一 一 被 其 登 簿 勾 取 思 之 豈 
X62n1201_001:0646a04	不可恨。徒恨無益。唯有使其不敢勾取。乃為高著。	不 可 恨 徒 恨 無 益 唯 有 使 其 不 敢 勾 取 乃 為 高 著 
X62n1201_001:0646a05	馬喻	馬 喻 
X62n1201_001:0646a06	馬有四種。其最上良馬。見鞭影而馳。不待驅策。次則	馬 有 四 種 其 最 上 良 馬 見 鞭 影 而 馳 不 待 驅 策 次 則 
X62n1201_001:0646a07	一鞭即走。又次之鞭輕不走。鞭重方走。其最下駑馬。	一 鞭 即 走 又 次 之 鞭 輕 不 走 鞭 重 方 走 其 最 下 駑 馬 
X62n1201_001:0646a08	鞭重亦不走。必錐入於膚。痛極而始走。人亦如是。有	鞭 重 亦 不 走 必 錐 入 於 膚 痛 極 而 始 走 人 亦 如 是 有 
X62n1201_001:0646a09	智慧者易於醒覺。百里內聞人死。即當駭曰。百里內	智 慧 者 易 於 醒 覺 百 里 內 聞 人 死 即 當 駭 曰 百 里 內 
X62n1201_001:0646a10	有人死矣。吾亦人也。死必及我。作速修行以求解脫。	有 人 死 矣 吾 亦 人 也 死 必 及 我 作 速 修 行 以 求 解 脫 
X62n1201_001:0646a11	此見鞭影而馳者也。其次則見親戚死而覺悟。又其	此 見 鞭 影 而 馳 者 也 其 次 則 見 親 戚 死 而 覺 悟 又 其 
X62n1201_001:0646a12	次見逼鄰人死。而後覺悟。若待自己年老。或自己有	次 見 逼 鄰 人 死 而 後 覺 悟 若 待 自 己 年 老 或 自 己 有 
X62n1201_001:0646a13	病而後覺悟。已是錐入膚而後走者。倘或年老猶不	病 而 後 覺 悟 已 是 錐 入 膚 而 後 走 者 倘 或 年 老 猶 不 
X62n1201_001:0646a14	覺悟。或已病猶不覺悟。豈非并此而不若者乎。	覺 悟 或 已 病 猶 不 覺 悟 豈 非 并 此 而 不 若 者 乎 
X62n1201_001:0646a15	野狐喻	野 狐 喻 
X62n1201_001:0646a16	野狐黑夜入廚房。飽食睡去。天明不能逃竄。乃佯死	野 狐 黑 夜 入 廚 房 飽 食 睡 去 天 明 不 能 逃 竄 乃 佯 死 
X62n1201_001:0646a17	而待人棄去。未幾果有欲棄之者。一人曰。狐尾甚佳。	而 待 人 棄 去 未 幾 果 有 欲 棄 之 者 一 人 曰 狐 尾 甚 佳 
X62n1201_001:0646a18	待我割之而後棄。狐聞而懼。忍痛而聽其割。俄有童	待 我 割 之 而 後 棄 狐 聞 而 懼 忍 痛 而 聽 其 割 俄 有 童 
X62n1201_001:0646a19	子來。欲取其兩耳。狐聞益懼。然思兩耳猶無關於性	子 來 欲 取 其 兩 耳 狐 聞 益 懼 然 思 兩 耳 猶 無 關 於 性 
X62n1201_001:0646a20	命。仍復忍之。俄復有人曰。皮可補裘。狐大駭曰。若取	命 仍 復 忍 之 俄 復 有 人 曰 皮 可 補 裘 狐 大 駭 曰 若 取 
X62n1201_001:0646a21	我皮必至斷頭剖腹。其可忍乎。於是奮然跳起向外	我 皮 必 至 斷 頭 剖 腹 其 可 忍 乎 於 是 奮 然 跳 起 向 外 
X62n1201_001:0646a22	狂奔。而此狐竟走脫矣。人在三界牢獄。無異厨房。業	狂 奔 而 此 狐 竟 走 脫 矣 人 在 三 界 牢 獄 無 異 厨 房 業 
X62n1201_001:0646a23	已託胎為人。已難逃於一死。只有念佛往生。乃可死	已 託 胎 為 人 已 難 逃 於 一 死 只 有 念 佛 往 生 乃 可 死 
X62n1201_001:0646a24	裏逃過。錯過強壯之時。狐尾已經割去。若到桑榆遲	裏 逃 過 錯 過 強 壯 之 時 狐 尾 已 經 割 去 若 到 桑 榆 遲 
X62n1201_001:0646b01	暮。已將斷頭剖腹矣。苟非立宏誓願。奮不顧身。其能	暮 已 將 斷 頭 剖 腹 矣 苟 非 立 宏 誓 願 奮 不 顧 身 其 能 
X62n1201_001:0646b02	跳出迷途蒙佛接引乎。	跳 出 迷 途 蒙 佛 接 引 乎 
X62n1201_001:0646b03	歸咎冥王	歸 咎 冥 王 
X62n1201_001:0646b04	一人死見冥王。據業受罪。其人曰。早知如此。大王何	一 人 死 見 冥 王 據 業 受 罪 其 人 曰 早 知 如 此 大 王 何 
X62n1201_001:0646b05	不先通一信。冥王曰。通過信矣。汝髮漸黃。是第一信。	不 先 通 一 信 冥 王 曰 通 過 信 矣 汝 髮 漸 黃 是 第 一 信 
X62n1201_001:0646b06	汝齒漸搖。是第二信。汝力漸衰。是第三信。汝之耳目	汝 齒 漸 搖 是 第 二 信 汝 力 漸 衰 是 第 三 信 汝 之 耳 目 
X62n1201_001:0646b07	漸昬瞶。是第四第五信。信之通也屢矣。有少年者泣	漸 昬 瞶 是 第 四 第 五 信 信 之 通 也 屢 矣 有 少 年 者 泣 
X62n1201_001:0646b08	曰。彼信通矣。我猶未也。冥王曰。通於爾亦多矣。爾猶	曰 彼 信 通 矣 我 猶 未 也 冥 王 曰 通 於 爾 亦 多 矣 爾 猶 
X62n1201_001:0646b09	憶某少年有病死疫亡者乎。某少年有刀傷縊死者	憶 某 少 年 有 病 死 疫 亡 者 乎 某 少 年 有 刀 傷 縊 死 者 
X62n1201_001:0646b10	乎。某少年有水溺火焚狼吞蛇螫者乎。皆汝信也。豈	乎 某 少 年 有 水 溺 火 焚 狼 吞 蛇 螫 者 乎 皆 汝 信 也 豈 
X62n1201_001:0646b11	必呼名而告也。任汝有拔山葢世之勇。掀天揭地之	必 呼 名 而 告 也 任 汝 有 拔 山 葢 世 之 勇 掀 天 揭 地 之 
X62n1201_001:0646b12	才。其能免於此間之對簿乎。獨有超然事外。不唯免	才 其 能 免 於 此 間 之 對 簿 乎 獨 有 超 然 事 外 不 唯 免 
X62n1201_001:0646b13	於此間之對簿。并能使冥王。敬而禮之者。則唯念佛	於 此 間 之 對 簿 并 能 使 冥 王 敬 而 禮 之 者 則 唯 念 佛 
X62n1201_001:0646b14	往生之人。	往 生 之 人 
X62n1201_001:0646b15	撲燈蛾	撲 燈 蛾 
X62n1201_001:0646b16	燈蛾之死於油火也。非死於油火也。死於見也。人方	燈 蛾 之 死 於 油 火 也 非 死 於 油 火 也 死 於 見 也 人 方 
X62n1201_001:0646b17	憐而驅之。彼必乘隙而投之。以為我之所見者必不	憐 而 驅 之 彼 必 乘 隙 而 投 之 以 為 我 之 所 見 者 必 不 
X62n1201_001:0646b18	謬。是以一往無前。死而後已也。人之嗜聲色。嗜貨利。	謬 是 以 一 往 無 前 死 而 後 已 也 人 之 嗜 聲 色 嗜 貨 利 
X62n1201_001:0646b19	嗜賭博者。亦因彼之所見者。止在於此。是以一往無	嗜 賭 博 者 亦 因 彼 之 所 見 者 止 在 於 此 是 以 一 往 無 
X62n1201_001:0646b20	前。直至死而後已也。何不借鑒蛾也。	前 直 至 死 而 後 已 也 何 不 借 鑒 蛾 也 
X62n1201_001:0646b21	窗內蠅	窗 內 蠅 
X62n1201_001:0646b22	癡蠅之在窗也。有盤旋往復。竟日不能出者。由其拘	癡 蠅 之 在 窗 也 有 盤 旋 往 復 竟 日 不 能 出 者 由 其 拘 
X62n1201_001:0646b23	於所見。不能作一退步耳。若能翻然作一退步。處處	於 所 見 不 能 作 一 退 步 耳 若 能 翻 然 作 一 退 步 處 處 
X62n1201_001:0646b24	海闊天空矣。娑婆世界。是一個大窗槅。自古及今。不	海 闊 天 空 矣 娑婆世界 是 一 個 大 窗 槅 自 古 及 今 不 
X62n1201_001:0646c01	知關閉多少癡蠅於內。吾今幸而忽作退步。向西飛	知 關 閉 多 少 癡 蠅 於 內 吾 今 幸 而 忽 作 退 步 向 西 飛 
X62n1201_001:0646c02	去也。向西飛去也。快哉。	去 也 向 西 飛 去 也 快 哉 
X62n1201_001:0646c03	調馬四法	調 馬 四 法 
X62n1201_001:0646c04	佛世有調御良馬者。佛問其用幾法。答言用四法。一	佛 世 有 調 御 良 馬 者 佛 問 其 用 幾 法 答 言 用 四 法 一 
X62n1201_001:0646c05	恩。二威。三先威後恩。四先恩後威。佛言四法不調。將	恩 二 威 三 先 威 後 恩 四 先 恩 後 威 佛 言 四 法 不 調 將 
X62n1201_001:0646c06	如之何。馬師曰。便當殺之。世尊教化眾生。當用何法。	如 之 何 馬 師 曰 便 當 殺 之 世 尊 教 化 眾 生 當 用 何 法 
X62n1201_001:0646c07	佛言亦用四法。其一用恩者。謂善信之人。教以修行	佛 言 亦 用 四 法 其 一 用 恩 者 謂 善 信 之 人 教 以 修 行 
X62n1201_001:0646c08	學道。其二用威者。謂造惡之人。示以三途輪轉。三則	學 道 其 二 用 威 者 謂 造 惡 之 人 示 以 三 途 輪 轉 三 則 
X62n1201_001:0646c09	先教以修行學道。四則先示以三途輪轉。馬師曰。四	先 教 以 修 行 學 道 四 則 先 示 以 三 途 輪 轉 馬 師 曰 四 
X62n1201_001:0646c10	法不化。將如之何。佛言。我亦殺之。馬師曰。如來大慈。	法 不 化 將 如 之 何 佛 言 我 亦 殺 之 馬 師 曰 如 來 大 慈 
X62n1201_001:0646c11	何以行殺。佛言四法不化。教亦無益。遂不與言。不與	何 以 行 殺 佛 言 四 法 不 化 教 亦 無 益 遂 不 與 言 不 與 
X62n1201_001:0646c12	之言即殺之矣。	之 言 即 殺 之 矣 
X62n1201_001:0646c13	眼藥	眼 藥 
X62n1201_001:0646c14	世尊之將入涅槃也。摩耶夫人。(淨飯王之后)在忉利天宮。	世 尊 之 將 入 涅 槃 也 摩 耶 夫 人 淨 飯 王 之 后 在 忉 利 天 宮 
X62n1201_001:0646c15	得數種惡夢。內一夢云。夢下界日輪忽沒。舉世黑暗。	得 數 種 惡 夢 內 一 夢 云 夢 下 界 日 輪 忽 沒 舉 世 黑 暗 
X62n1201_001:0646c16	有無數羅剎。手執利刀。挑去世人之眼。摩耶歎曰。此	有 無 數 羅 剎 手 執 利 刀 挑 去 世 人 之 眼 摩 耶 歎 曰 此 
X62n1201_001:0646c17	必吾子釋迦如來入涅槃之兆也。俄而阿那律尊者。	必 吾 子 釋 迦 如 來 入 涅 槃 之 兆 也 俄 而 阿 那 律 尊 者 
X62n1201_001:0646c18	果然升天來報矣。世間毀謗三寶之書。皆挑去人之	果 然 升 天 來 報 矣 世 間 毀 謗 三 寶 之 書 皆 挑 去 人 之 
X62n1201_001:0646c19	眼目者也。末劫之人。福力愈淺。則此種書籍愈多。智	眼 目 者 也 末 劫 之 人 福 力 愈 淺 則 此 種 書 籍 愈 多 智 
X62n1201_001:0646c20	慧愈微。則奉此種書籍者愈眾。故有福之人。必須早	慧 愈 微 則 奉 此 種 書 籍 者 愈 眾 故 有 福 之 人 必 須 早 
X62n1201_001:0646c21	自覺悟。不被其挑。固為上也。倘或已經挑傷。宜速以	自 覺 悟 不 被 其 挑 固 為 上 也 倘 或 已 經 挑 傷 宜 速 以 
X62n1201_001:0646c22	妙藥塗之。藥何在此。書亦其一也。	妙 藥 塗 之 藥 何 在 此 書 亦 其 一 也 
X62n1201_001:0646c23	有願必遂	有 願 必 遂 
X62n1201_001:0646c24	宋呂文正公蒙正。字聖功。太宗時。舉進士第一。封許	宋 呂 文 正 公 蒙 正 字 聖 功 太 宗 時 舉 進 士 第 一 封 許 
X62n1201_001:0647a01	國公。每晨興禮佛時。必祝云不信佛者勿生吾家。願	國 公 每 晨 興 禮 佛 時 必 祝 云 不 信 佛 者 勿 生 吾 家 願 
X62n1201_001:0647a02	吾子孫。世食天祿。護持三寶。後從子夷簡。封申國公。	吾 子 孫 世 食 天 祿 護 持 三 寶 後 從 子 夷 簡 封 申 國 公 
X62n1201_001:0647a03	每遇元日拜家廟後。即叩禮廣慧禪師。申公之子公	每 遇 元 日 拜 家 廟 後 即 叩 禮 廣 慧 禪 師 申 公 之 子 公 
X62n1201_001:0647a04	著。亦封申國公。於天衣禪師亦如之。左丞好問。於圓	著 亦 封 申 國 公 於 天 衣 禪 師 亦 如 之 左 丞 好 問 於 圓 
X62n1201_001:0647a05	照禪師。亦如之。左丞之子用中。於佛照禪師。亦如之。	照 禪 師 亦 如 之 左 丞 之 子 用 中 於 佛 照 禪 師 亦 如 之 
X62n1201_001:0647a06	世世貴顯。奉佛果符公願。夫文正所期不過世願。猶	世 世 貴 顯 奉 佛 果 符 公 願 夫 文 正 所 期 不 過 世 願 猶 
