T14n0451_001:0409a03	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0451_001:0411a22	來所居佛土，廣博嚴淨，地平如掌，皆以寶成；	來 所 居 佛 土 廣 博 嚴 淨 地 平 如 掌 皆 以 寶 成 
T14n0451_001:0411a23	常有香氣，如妙栴檀，復以香樹而為行列，	常 有 香 氣 如 妙 栴 檀 復 以 香 樹 而 為 行 列 
T14n0451_001:0411a24	天妙珠瓔、摩尼等寶處處垂下；多有浴池，天	天 妙 珠 瓔 摩 尼 等 寶 處 處 垂 下 多 有 浴 池 天 
T14n0451_001:0411a25	寶嚴飾，香水盈滿，眾德皆具，於其四邊，懸	寶 嚴 飾 香 水 盈 滿 眾 德 皆 具 於 其 四 邊 懸 
T14n0451_001:0411a26	妙繒綵；街衢八道，隨處莊嚴；所有眾生，無諸	妙 繒 綵 街 衢 八 道 隨 處 莊 嚴 所 有 眾 生 無 諸 
T14n0451_001:0411a27	煩惱及憂悲苦，亦無女人，多是住地諸菩薩	煩 惱 及 憂 悲 苦 亦 無 女 人 多 是 住 地 諸 菩 薩 
T14n0451_001:0411a28	眾；勝妙音樂，不鼓自鳴，演說大乘微妙深法，	眾 勝 妙 音 樂 不 鼓 自 鳴 演 說 大 乘 微 妙 深 法 
T14n0451_001:0411a29	若有眾生聞此音者，得不退轉無上菩	若 有 眾 生 聞 此 音 者 得不退轉 無 上 菩 
T14n0451_001:0411b01	提。	提 
T14n0451_001:0411b02	「曼殊室利！彼佛如來由昔願力，善巧方便成	 曼 殊 室 利 彼 佛 如 來 由 昔 願 力 善巧方便 成 
T14n0451_001:0411b03	就佛土，圓滿莊嚴，坐菩提座，作如是念：	就 佛 土 圓 滿 莊 嚴 坐菩提座 作如是念 
T14n0451_001:0411b04	『於未來世，若有眾生，為貪、瞋、癡之所纏繞，	 於未來世 若 有 眾 生 為 貪 瞋 癡 之 所 纏 繞 
T14n0451_001:0411b05	眾病所逼，怨家得便，或時橫死，復由惡業，	眾 病 所 逼 怨 家 得 便 或 時 橫 死 復 由 惡 業 
T14n0451_001:0411b06	墮地獄中，受大劇苦。』彼佛見此苦惱眾生，	墮 地 獄 中 受 大 劇 苦 彼 佛 見 此 苦 惱 眾 生 
T14n0451_001:0411b07	為除業障，說此神呪，令彼受持，於現世中	為 除 業 障 說 此 神 呪 令 彼 受 持 於 現 世 中 
T14n0451_001:0411b08	得大利益，遠離眾苦，住菩提故。即說呪	得 大 利 益 遠 離 眾 苦 住 菩 提 故 即 說 呪 
T14n0451_001:0411b09	曰：	曰 
T14n0451_001:0411b10	「『呾姪他悉[日*弟]悉[日*弟]　蘇悉[日*弟]　謨折儞木剎	 呾 姪 他 悉 [日弟]悉[日弟] 蘇悉[日弟] 謨 折 儞 木 剎 
T14n0451_001:0411b11	儞　目帝毘目帝　菴末麗毘末麗　忙揭例	儞 目 帝 毘 目 帝 菴 末 麗 毘 末 麗 忙 揭 例 
T14n0451_001:0411b12	呬[口*闌]若揭鞞曷喇呾娜　揭鞞　薩婆頞他娑	呬 [口闌] 若 揭 鞞 曷 喇 呾 娜 揭 鞞 薩 婆 頞 他 娑 
T14n0451_001:0411b13	但儞　鉢囉摩頞他　娑但儞末捺細　莫訶	但 儞 鉢 囉 摩 頞 他 娑 但 儞 末 捺 細 莫 訶 
T14n0451_001:0411b14	末捺細　頞步帝頞室步帝　毘多婆曳	末 捺 細 頞 步 帝 頞 室 步 帝 毘 多 婆 曳 
T14n0451_001:0411b15	　蘇跋泥(去)　跋囉蚶摩　瞿俠佉　跋囉蚶	 蘇 跋 泥 去 跋 囉 蚶 摩 瞿 俠 佉 跋 囉 蚶 
T14n0451_001:0411b16	摩柱俠帝　薩婆頞剃數　阿鉢囉匝帝薩	摩 柱 俠 帝 薩 婆 頞 剃 數 阿 鉢 囉 匝 帝 薩 
T14n0451_001:0411b17	跋呾囉　阿鉢[口*剎]底喝帝　折覩殺　瑟[木*致]	跋 呾 囉 阿 鉢 [口剎]底喝帝 折覩殺 瑟[木致] 
T14n0451_001:0411b18	勃陀俱胝　婆俠帝　納摩娑婆　呾他	勃 陀 俱 胝 婆 俠 帝 納 摩 娑 婆 呾 他 
T14n0451_001:0411b19	揭多喃　莎訶』」	揭 多 喃 莎 訶 
T14n0451_001:0411b20	爾時，世尊說此大力大明呪時，眾中所有諸	爾 時 世 尊 說 此 大 力 大 明 呪 時 眾 中 所 有 諸 
T14n0451_001:0411b21	大菩薩、四大天王、釋梵王等讚言：「善哉！善哉！	大 菩 薩 四大天王 釋 梵 王 等 讚 言 善 哉 善 哉 
T14n0451_001:0411b22	大悲世尊！能說如是過去如來大力神呪，為	大 悲 世 尊 能 說 如 是 過 去 如 來 大 力 神 呪 為 
T14n0451_001:0411b23	欲饒益無量眾生，竭煩惱海，登涅槃岸，除	欲 饒 益 無 量 眾 生 竭 煩 惱 海 登 涅 槃 岸 除 
T14n0451_001:0411b24	去疾病，所願皆滿。」	去 疾 病 所 願 皆 滿 
T14n0451_001:0411b25	佛告大眾：「若有淨信男子、女人、國王、王子、	佛 告 大 眾 若 有 淨 信 男 子 女 人 國 王 王 子 
T14n0451_001:0411b26	大臣、輔相、中宮、婇女，情悕福德，於此神	大 臣 輔 相 中 宮 婇 女 情 悕 福 德 於 此 神 
T14n0451_001:0411b27	呪起敬信心，若讀、若誦、若為他人演說其	呪 起 敬 信 心 若 讀 若 誦 若 為 他 人 演 說 其 
T14n0451_001:0411b28	義，於諸含識起大悲心，晝夜六時，香華燈	義 於 諸 含 識 起大悲心 晝 夜 六 時 香 華 燈 
T14n0451_001:0411b29	燭，殷重供養，清淨澡浴，持八戒齋，至誠念	燭 殷 重 供 養 清 淨 澡 浴 持 八 戒 齋 至 誠 念 
T14n0451_001:0411c01	誦，所有極重無邊業障，悉皆消滅，於現身中	誦 所 有 極 重 無 邊 業 障 悉 皆 消 滅 於 現 身 中 
T14n0451_001:0411c02	離諸煩惱，命欲終時諸佛護念，即於彼國	離諸煩惱 命 欲 終 時 諸 佛 護 念 即 於 彼 國 
T14n0451_001:0411c03	蓮花化生。	蓮 花 化 生 
T14n0451_001:0411c04	「復次，曼殊室利！東方去此，過七殑伽河沙	 復 次 曼 殊 室 利 東 方 去 此 過 七 殑 伽 河 沙 
T14n0451_001:0411c05	佛土，有世界名曰無憂，佛號無憂最勝吉	佛 土 有 世 界 名 曰 無 憂 佛 號 無 憂 最 勝 吉 
T14n0451_001:0411c06	祥如來、應、正等覺，今現在彼，為眾說法。又彼	祥 如 來 應 正 等 覺 今 現 在 彼 為 眾 說 法 又 彼 
T14n0451_001:0411c07	如來所居佛土，廣博嚴淨，地平如掌，皆以寶	如 來 所 居 佛 土 廣 博 嚴 淨 地 平 如 掌 皆 以 寶 
T14n0451_001:0411c08	成，細滑柔軟，常有香氣；無憂苦聲，離諸煩	成 細 滑 柔 軟 常 有 香 氣 無 憂 苦 聲 離 諸 煩 
T14n0451_001:0411c09	惱，亦無惡趣及女人名；處處皆有金砌浴	惱 亦 無 惡 趣 及 女 人 名 處 處 皆 有 金 砌 浴 
T14n0451_001:0411c10	池，香水盈滿；寶樹行列，花果滋茂；勝妙音樂，	池 香 水 盈 滿 寶 樹 行 列 花 果 滋 茂 勝 妙 音 樂 
T14n0451_001:0411c11	不鼓自鳴，譬如西方極樂世界無量壽國功	不 鼓 自 鳴 譬 如 西方極樂 世界無量 壽 國 功 
T14n0451_001:0411c12	德莊嚴。「曼殊室利！彼佛世尊行菩薩道時，	德 莊 嚴 曼 殊 室 利 彼 佛 世 尊 行菩薩道 時 
T14n0451_001:0411c13	發四大願。云何為四？	發 四 大 願 云 何 為 四 
T14n0451_001:0411c14	「第一大願：願我來世得菩提時，若有眾生，	 第 一 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0411c15	常為憂苦之所纏逼；若聞我名，至心稱念，	常 為 憂 苦 之 所 纏 逼 若 聞 我 名 至 心 稱 念 
T14n0451_001:0411c16	由是力故，所有憂悲及諸苦惱，悉皆消滅，長	由 是 力 故 所 有 憂 悲 及 諸 苦 惱 悉 皆 消 滅 長 
T14n0451_001:0411c17	壽安隱，乃至菩提。	壽 安 隱 乃至菩提 
T14n0451_001:0411c18	「第二大願：願我來世得菩提時，若有眾生，	 第 二 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0411c19	造諸惡業，生在無間黑闇之處，大地獄中	造 諸 惡 業 生 在 無 間 黑 闇 之 處 大 地 獄 中 
T14n0451_001:0411c20	受諸苦惱；由彼前身聞我名字，我於爾時，	受諸苦惱 由 彼 前 身 聞 我 名 字 我 於 爾 時 
T14n0451_001:0411c21	身出光明，照受苦者，由是力故，彼見光	身 出 光 明 照 受 苦 者 由 是 力 故 彼 見 光 
T14n0451_001:0411c22	時，所有業障悉皆消滅，解脫眾苦，生人天	時 所 有 業 障 悉 皆 消 滅 解 脫 眾 苦 生 人 天 
T14n0451_001:0411c23	中，隨意受樂，乃至菩提。	中 隨 意 受 樂 乃至菩提 
T14n0451_001:0411c24	「第三大願：願我來世得菩提時，若有眾生，	 第 三 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0411c25	造諸惡業，殺盜邪婬，於其現身受刀杖苦，	造 諸 惡 業 殺 盜 邪 婬 於 其 現 身 受 刀 杖 苦 
T14n0451_001:0411c26	當墮惡趣，設得人身，短壽多病，生貧賤家，	當 墮 惡 趣 設 得 人 身 短 壽 多 病 生 貧 賤 家 
T14n0451_001:0411c27	衣服飲食，悉皆乏少，常受寒熱、飢渴等苦，身	衣 服 飲 食 悉 皆 乏 少 常 受 寒 熱 飢 渴 等 苦 身 
T14n0451_001:0411c28	無光色，所感眷屬，皆不賢良；若聞我名，至	無 光 色 所 感 眷 屬 皆 不 賢 良 若 聞 我 名 至 
T14n0451_001:0411c29	心稱念，由是力故，隨所願求，飲食、衣服悉	心 稱 念 由 是 力 故 隨 所 願 求 飲 食 衣 服 悉 
T14n0451_001:0412a01	皆充足，如彼諸天，身光可愛，得善眷屬，乃	皆 充 足 如 彼 諸 天 身 光 可 愛 得 善 眷 屬 乃 
T14n0451_001:0412a02	至菩提。	至 菩 提 
T14n0451_001:0412a03	「第四大願：願我來世得菩提時，若有眾生，	 第 四 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412a04	常為藥叉諸惡鬼神之所嬈亂，奪其精氣，	常 為 藥 叉 諸 惡 鬼 神 之 所 嬈 亂 奪其精氣 
T14n0451_001:0412a05	受諸苦惱；若聞我名，至心稱念，由是力故，	受諸苦惱 若 聞 我 名 至 心 稱 念 由 是 力 故 
T14n0451_001:0412a06	諸藥叉等悉皆退散，各起慈心，解脫眾苦，	諸 藥 叉 等 悉 皆 退 散 各 起 慈 心 解 脫 眾 苦 
T14n0451_001:0412a07	乃至菩提。	乃至菩提 
T14n0451_001:0412a08	「曼殊室利！是為彼佛、如來、應、正等覺，所發四	 曼 殊 室 利 是 為 彼 佛 如 來 應 正 等 覺 所 發 四 
T14n0451_001:0412a09	種微妙大願。若有眾生，聞彼佛名，晝夜六	種 微 妙 大 願 若 有 眾 生 聞 彼 佛 名 晝 夜 六 
T14n0451_001:0412a10	時，稱名禮敬，至心供養，於眾生處起慈悲	時 稱 名 禮 敬 至 心 供 養 於 眾 生 處 起 慈 悲 
T14n0451_001:0412a11	心，業障消滅，解脫憂苦，無病長壽，得宿命	心 業 障 消 滅 解 脫 憂 苦 無 病 長 壽 得 宿 命 
T14n0451_001:0412a12	智，於諸佛土，蓮花化生，常為諸天之所衛	智 於 諸 佛 土 蓮 花 化 生 常 為 諸 天 之 所 衛 
T14n0451_001:0412a13	護。曼殊室利！稱彼佛名，能生如是無量福	護 曼 殊 室 利 稱 彼 佛 名 能 生 如 是 無 量 福 
T14n0451_001:0412a14	業，而彼佛土願力莊嚴、殊勝功德，聲聞、獨覺	業 而 彼 佛 土 願 力 莊 嚴 殊 勝 功 德 聲 聞 獨 覺 
T14n0451_001:0412a15	所不能知，唯除如來、應、正等覺。	所 不 能 知 唯 除 如 來 應 正 等 覺 
T14n0451_001:0412a16	「復次，曼殊室利！東方去此，過八殑伽河沙佛	 復 次 曼 殊 室 利 東 方 去 此 過 八 殑 伽 河 沙 佛 
T14n0451_001:0412a17	土，有世界名曰法幢，佛號法海雷音如來、	土 有 世 界 名 曰 法 幢 佛 號 法 海 雷 音 如 來 
T14n0451_001:0412a18	應、正等覺，今現說法。曼殊室利！彼佛世尊所	應 正 等 覺 今 現 說 法 曼 殊 室 利 彼 佛 世 尊 所 
T14n0451_001:0412a19	居國土，清淨無穢，其地平正，頗梨所成，常有	居 國 土 清 淨 無 穢 其 地 平 正 頗 梨 所 成 常 有 
T14n0451_001:0412a20	光明，香氣芬馥；以帝青寶而為城郭，有八	光 明 香 氣 芬 馥 以 帝 青 寶 而 為 城 郭 有 八 
T14n0451_001:0412a21	街道砌以金銀，樓閣殿堂、飛甍戶牖、欄楯莊	街 道 砌 以 金 銀 樓 閣 殿 堂 飛 甍 戶 牖 欄 楯 莊 
T14n0451_001:0412a22	飾，皆眾寶成；天香寶樹隨處行列，於其枝	飾 皆 眾 寶 成 天 香 寶 樹 隨 處 行 列 於 其 枝 
T14n0451_001:0412a23	上，挂以天繒，復有寶鈴處處垂下，微風吹	上 挂 以 天 繒 復 有 寶 鈴 處 處 垂 下 微 風 吹 
T14n0451_001:0412a24	動，出妙音聲，演暢無常、苦、空、無我，眾生聞者，	動 出 妙 音 聲 演 暢 無 常 苦 空 無 我 眾 生 聞 者 
T14n0451_001:0412a25	捨離欲纏，習氣漸除，證甚深定；天妙香花，繽	捨 離 欲 纏 習 氣 漸 除 證 甚 深 定 天 妙 香 花 繽 
T14n0451_001:0412a26	紛而下；於其四面，有八浴池，底布金沙，香	紛 而 下 於 其 四 面 有 八 浴 池 底 布 金 沙 香 
T14n0451_001:0412a27	水彌滿。曼殊室利！於彼佛土無諸惡趣，亦	水 彌 滿 曼 殊 室 利 於 彼 佛 土 無 諸 惡 趣 亦 
T14n0451_001:0412a28	無女人，蓮花化生，無復煩惱。「彼佛如來行	無 女 人 蓮 花 化 生 無復煩惱 彼 佛 如 來 行 
T14n0451_001:0412a29	菩薩道時，發四大願。云何為四？	菩 薩 道 時 發 四 大 願 云 何 為 四 
T14n0451_001:0412b01	「第一大願：願我來世得菩提時，若有眾生，	 第 一 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412b02	生邪見家，於佛、法、僧不生淨信，遠離無上	生 邪 見 家 於 佛 法 僧 不 生 淨 信 遠 離 無 上 
T14n0451_001:0412b03	菩提之心；若聞我名，至心稱念，由是力故，	菩提之心 若 聞 我 名 至 心 稱 念 由 是 力 故 
T14n0451_001:0412b04	無明、邪慧日夜消滅，於三寶所深生正信，	無 明 邪 慧 日 夜 消 滅 於 三 寶 所 深 生 正 信 
T14n0451_001:0412b05	不復退轉，乃至菩提。	不 復 退 轉 乃至菩提 
T14n0451_001:0412b06	「第二大願：願我來世得菩提時，若有眾生，	 第 二 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412b07	生在邊地，由近惡友，造眾罪業，不修善	生 在 邊 地 由 近 惡 友 造 眾 罪 業 不 修 善 
T14n0451_001:0412b08	品，三寶名字曾不經耳，命終之後墮三惡	品 三 寶 名 字 曾 不 經 耳 命終之後 墮 三 惡 
T14n0451_001:0412b09	趣；彼諸眾生，暫聞我名者，由是力故，業	趣 彼 諸 眾 生 暫 聞 我 名 者 由 是 力 故 業 
T14n0451_001:0412b10	障消除，遇善知識，不墮惡趣，乃至菩提。	障 消 除 遇 善 知 識 不 墮 惡 趣 乃至菩提 
T14n0451_001:0412b11	「第三大願：願我來世得菩提時，若有眾生，	 第 三 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412b12	衣服、飲食、臥具、醫藥，資生所須，悉皆乏少，由	衣 服 飲 食 臥 具 醫 藥 資 生 所 須 悉 皆 乏 少 由 
T14n0451_001:0412b13	此因緣，生大憂苦，為求覓故，造眾惡業；若	此 因 緣 生 大 憂 苦 為 求 覓 故 造 眾 惡 業 若 
T14n0451_001:0412b14	聞我名，至心稱念，由是力故，有所乏少，	聞 我 名 至 心 稱 念 由 是 力 故 有 所 乏 少 
T14n0451_001:0412b15	隨念皆得，乃至菩提。	隨 念 皆 得 乃至菩提 
T14n0451_001:0412b16	「第四大願：願我來世得菩提時，若有眾生，	 第 四 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412b17	由先惡業，共相鬪諍，作不饒益，弓箭刀杖，	由 先 惡 業 共 相 鬪 諍 作 不 饒 益 弓 箭 刀 杖 
T14n0451_001:0412b18	互為傷損；若聞我名，至心稱念，由是力故，	互 為 傷 損 若 聞 我 名 至 心 稱 念 由 是 力 故 
T14n0451_001:0412b19	各起慈心，不相損害，不善之念尚自不生，	各 起 慈 心 不 相 損 害 不 善 之 念 尚 自 不 生 
T14n0451_001:0412b20	況於前人欲斷其命？常行喜捨，乃至菩	況 於 前 人 欲 斷 其 命 常 行 喜 捨 乃 至 菩 
T14n0451_001:0412b21	提。	提 
T14n0451_001:0412b22	「曼殊室利！是為彼佛、如來、應、正等覺，行菩薩	 曼 殊 室 利 是 為 彼 佛 如 來 應 正 等 覺 行 菩 薩 
T14n0451_001:0412b23	道時，所發四種微妙大願。若有淨信男子、女	道 時 所 發 四 種 微 妙 大 願 若 有 淨 信 男 子 女 
T14n0451_001:0412b24	人，聞彼佛名，至心禮敬、慇懃供養、受持念誦，	人 聞 彼 佛 名 至 心 禮 敬 慇 懃 供 養 受 持 念 誦 
T14n0451_001:0412b25	業障消滅，得不退轉菩提之心，具宿命智，	業 障 消 滅 得不退轉 菩提之心 具 宿 命 智 
T14n0451_001:0412b26	所生之處常得見佛，無病長壽，命終之後	所 生 之 處 常 得 見 佛 無 病 長 壽 命終之後 
T14n0451_001:0412b27	生彼國中，衣服、飲食、資生之具，隨念皆至，無	生 彼 國 中 衣 服 飲 食 資 生 之 具 隨 念 皆 至 無 
T14n0451_001:0412b28	所乏少。曼殊室利！彼佛世尊具足如是無	所 乏 少 曼 殊 室 利 彼 佛 世 尊 具 足 如 是 無 
T14n0451_001:0412b29	量功德，是故眾生常當憶念，勿令忘失。	量 功 德 是 故 眾 生 常 當 憶 念 勿 令 忘 失 
T14n0451_001:0412c01	「復次，曼殊室利！東方去此，過九殑伽河沙	 復 次 曼 殊 室 利 東 方 去 此 過 九 殑 伽 河 沙 
T14n0451_001:0412c02	佛土，有世界名曰善住寶海，佛號法海勝	佛 土 有 世 界 名 曰 善 住 寶 海 佛 號 法 海 勝 
T14n0451_001:0412c03	慧遊戲神通如來、應、正等覺，現在說法。「曼殊	慧 遊戲神通 如 來 應 正 等 覺 現 在 說 法 曼 殊 
T14n0451_001:0412c04	室利！彼佛如來行菩薩道時，發四大願。云	室 利 彼 佛 如 來 行菩薩道 時 發 四 大 願 云 
T14n0451_001:0412c05	何為四？	何 為 四 
T14n0451_001:0412c06	「第一大願：願我來世得菩提時，若有眾生，	 第 一 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412c07	造眾惡業，種植耕耘，損諸生命，或復興易，	造 眾 惡 業 種 植 耕 耘 損 諸 生 命 或 復 興 易 
T14n0451_001:0412c08	欺誑他人，戰陣兵戈，常為殺害；若聞我名，	欺 誑 他 人 戰 陣 兵 戈 常 為 殺 害 若 聞 我 名 
T14n0451_001:0412c09	至心稱念，由是力故，資生之具，不假營求，	至 心 稱 念 由 是 力 故 資 生 之 具 不 假 營 求 
T14n0451_001:0412c10	隨心滿足，常修眾善，乃至菩提。	隨 心 滿 足 常 修 眾 善 乃至菩提 
T14n0451_001:0412c11	「第二大願：願我來世得菩提時，若有眾生，	 第 二 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412c12	造十惡業，殺生等罪，由此因緣，當墮地獄；	造 十 惡 業 殺 生 等 罪 由此因緣 當 墮 地 獄 
T14n0451_001:0412c13	若聞我名，至心稱念，於十善道皆得成就，	若 聞 我 名 至 心 稱 念 於 十 善 道 皆 得 成 就 
T14n0451_001:0412c14	不墮惡趣，乃至菩提。	不 墮 惡 趣 乃至菩提 
T14n0451_001:0412c15	「第三大願：願我來世得菩提時，若有眾生，	 第 三 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412c16	不得自在，繫屬於他，或被禁繫，杻械枷鎖，	不得自在 繫 屬 於 他 或 被 禁 繫 杻 械 枷 鎖 
T14n0451_001:0412c17	鞭杖苦楚，乃至極刑；若聞我名，至心稱念，	鞭 杖 苦 楚 乃 至 極 刑 若 聞 我 名 至 心 稱 念 
T14n0451_001:0412c18	由是力故，所有厄難皆得解脫，乃至菩	由 是 力 故 所 有 厄 難 皆 得 解 脫 乃 至 菩 
T14n0451_001:0412c19	提。	提 
T14n0451_001:0412c20	「第四大願：願我來世得菩提時，若有眾生，	 第 四 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0451_001:0412c21	造眾惡業，不信三寶，隨虛妄見，棄背正	造 眾 惡 業 不 信 三 寶 隨 虛 妄 見 棄 背 正 
T14n0451_001:0412c22	理，愛樂邪徒，謗毀佛經，言非聖說，外道典	理 愛 樂 邪 徒 謗 毀 佛 經 言 非 聖 說 外 道 典 
T14n0451_001:0412c23	籍，恭敬受持，自作教人，俱生迷惑，當墮	籍 恭 敬 受 持 自 作 教 人 俱 生 迷 惑 當 墮 
T14n0451_001:0412c24	地獄，無有出期，設得為人，生八難處，遠	地 獄 無 有 出 期 設 得 為 人 生 八 難 處 遠 
T14n0451_001:0412c25	離正道，盲無慧目；如是之人，若聞我名，至	離 正 道 盲 無 慧 目 如 是 之 人 若 聞 我 名 至 
T14n0451_001:0412c26	心稱念，由是力故，臨命終時，正念現前，解	心 稱 念 由 是 力 故 臨命終時 正 念 現 前 解 
T14n0451_001:0412c27	脫眾難，常生中國，受勝妙樂，乃至菩提。	脫 眾 難 常 生 中 國 受 勝 妙 樂 乃至菩提 
T14n0451_001:0412c28	「曼殊室利！是為彼佛、如來、應、正等覺，行菩薩	 曼 殊 室 利 是 為 彼 佛 如 來 應 正 等 覺 行 菩 薩 
T14n0451_001:0412c29	道時，所發四種微妙大願。曼殊室利！彼佛國	道 時 所 發 四 種 微 妙 大 願 曼 殊 室 利 彼 佛 國 
T14n0451_001:0413a01	土，功德莊嚴，與上妙寶如來世界等無有	土 功德莊嚴 與 上 妙 寶 如 來 世 界 等 無 有 
T14n0451_001:0413a02	異。	異 
T14n0451_001:0413a03	「復次，曼殊室利！東方去此，過十殑伽河沙	 復 次 曼 殊 室 利 東 方 去 此 過 十 殑 伽 河 沙 
T14n0451_001:0413a04	佛土，有世界名淨琉璃，佛號藥師琉璃光	佛 土 有 世 界 名 淨 琉 璃 佛 號 藥師琉璃光 
T14n0451_001:0413a05	如來、應、正等覺。「曼殊室利！彼佛世尊，從初發	如 來 應 正 等 覺 曼 殊 室 利 彼 佛 世 尊 從 初 發 
T14n0451_001:0413a06	心行菩薩道時，發十二大願。云何十二？	心 行菩薩道 時 發 十 二 大 願 云 何 十 二 
T14n0451_001:0413a07	「第一大願：願我來世得菩提時，自身光明	 第 一 大 願 願 我 來 世 得 菩 提 時 自 身 光 明 
T14n0451_001:0413a08	照無邊界，三十二相、八十隨好，莊嚴其身，	照 無 邊 界 三十二相 八十隨好 莊 嚴 其 身 
T14n0451_001:0413a09	令諸有情如我無異。	令 諸 有 情 如 我 無 異 
T14n0451_001:0413a10	「第二大願：願我來世得菩提時，身如琉璃，	 第 二 大 願 願 我 來 世 得 菩 提 時 身 如 琉 璃 
T14n0451_001:0413a11	內外清徹，光明廣大，遍滿諸方，焰網莊嚴，過	內 外 清 徹 光 明 廣 大 遍 滿 諸 方 焰 網 莊 嚴 過 
T14n0451_001:0413a12	於日月，鐵圍中間，幽冥之處，互得相見，或於	於 日 月 鐵 圍 中 間 幽 冥 之 處 互 得 相 見 或 於 
T14n0451_001:0413a13	此界，闇夜遊行，斯等眾生見我光明，悉蒙	此 界 闇 夜 遊 行 斯 等 眾 生 見 我 光 明 悉 蒙 
T14n0451_001:0413a14	開曉，隨作眾事。	開 曉 隨 作 眾 事 
T14n0451_001:0413a15	「第三大願：願我來世得菩提時，以無量無	 第 三 大 願 願 我 來 世 得 菩 提 時 以 無 量 無 
T14n0451_001:0413a16	邊智慧方便，令諸有情所受用物，皆得無盡。	邊 智慧方便 令 諸 有 情 所 受 用 物 皆 得 無 盡 
T14n0451_001:0413a17	「第四大願：願我來世得菩提時，若諸有情，	 第 四 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0451_001:0413a18	行邪道者，悉令遊履菩提正路，若行聲聞、	行 邪 道 者 悉 令 遊 履 菩 提 正 路 若 行 聲 聞 
T14n0451_001:0413a19	獨覺乘者，亦令安住大乘法中。	獨 覺 乘 者 亦 令 安 住 大 乘 法 中 
T14n0451_001:0413a20	「第五大願：願我來世得菩提時，若諸有情，	 第 五 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0451_001:0413a21	於我法中修行梵行，一切皆令得不缺戒，	於 我 法 中 修行梵行 一 切 皆 令 得 不 缺 戒 
T14n0451_001:0413a22	善防三業，無有毀犯、墮惡趣者。設有毀犯，	善 防 三 業 無 有 毀 犯 墮 惡 趣 者 設 有 毀 犯 
T14n0451_001:0413a23	聞我名已，專念受持，至心發露，還得清淨，	聞 我 名 已 專 念 受 持 至 心 發 露 還 得 清 淨 
T14n0451_001:0413a24	乃至菩提。	乃至菩提 
T14n0451_001:0413a25	「第六大願：願我來世得菩提時，若諸有情，諸	 第 六 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 諸 
T14n0451_001:0413a26	根不具、醜陋頑痹、聾盲瘖瘂、攣躄背僂、白	根 不 具 醜 陋 頑 痹 聾 盲 瘖 瘂 攣 躄 背 僂 白 
T14n0451_001:0413a27	癩瘨狂，種種病苦之所纏逼；若聞我名，至心	癩 瘨 狂 種 種 病 苦 之 所 纏 逼 若 聞 我 名 至 心 
T14n0451_001:0413a28	稱念，皆得端嚴，眾病除愈。	稱 念 皆 得 端 嚴 眾 病 除 愈 
T14n0451_001:0413a29	「第七大願：願我來世得菩提時，若諸有情，	 第 七 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0451_001:0413b01	貧窮困苦，無有歸趣，眾病所逼，無藥無醫；	貧窮困苦 無 有 歸 趣 眾 病 所 逼 無 藥 無 醫 
T14n0451_001:0413b02	暫聞我名，眾病消散，眷屬增盛，資財無乏，	暫 聞 我 名 眾 病 消 散 眷 屬 增 盛 資 財 無 乏 
T14n0451_001:0413b03	身心安樂，乃至菩提。	身 心 安 樂 乃至菩提 
T14n0451_001:0413b04	「第八大願：願我來世得菩提時，若有女人，	 第 八 大 願 願 我 來 世 得 菩 提 時 若 有 女 人 
T14n0451_001:0413b05	為女眾苦之所逼切，極生厭離，願捨女身；	為 女 眾 苦 之 所 逼 切 極 生 厭 離 願 捨 女 身 
T14n0451_001:0413b06	若聞我名，至心稱念，即於現身，轉成男子，	若 聞 我 名 至 心 稱 念 即 於 現 身 轉 成 男 子 
T14n0451_001:0413b07	具丈夫相，乃至菩提。	具 丈 夫 相 乃至菩提 
T14n0451_001:0413b08	「第九大願：願我來世得菩提時，令諸有情	 第 九 大 願 願 我 來 世 得 菩 提 時 令 諸 有 情 
T14n0451_001:0413b09	出魔羂網，復有種種邪見之徒，皆當攝受，	出 魔 羂 網 復 有 種 種 邪 見 之 徒 皆 當 攝 受 
