T15n0641_001:0623b07	佛說月燈三昧經	佛 說 月燈三昧 經 
T15n0641_001:0625c16	一者、諸行意情不可思議，二者、有為意情不	一 者 諸 行 意 情 不可思議 二 者 有 為 意 情 不 
T15n0641_001:0625c17	可思議，三者、無為意情不可思議，四者、有住	可 思 議 三 者 無 為 意 情 不可思議 四 者 有 住 
T15n0641_001:0625c18	意情不可思議，五者、無住意情不可思議，六	意 情 不可思議 五 者 無 住 意 情 不可思議 六 
T15n0641_001:0625c19	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625c20	「童子！菩薩摩訶薩復有六種六因。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 六 因 何 等 為 六 
T15n0641_001:0625c21	一者、諸行六因不可思議，二者、有為六因不	一 者 諸 行 六 因 不可思議 二 者 有 為 六 因 不 
T15n0641_001:0625c22	可思議，三者、無為六因不可思議，四者、有住	可 思 議 三 者 無 為 六 因 不可思議 四 者 有 住 
T15n0641_001:0625c23	六因不可思議，五者、無住六因不可思議，六	六 因 不可思議 五 者 無 住 六 因 不可思議 六 
T15n0641_001:0625c24	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0625c25	「童子！菩薩摩訶薩復有六種所作。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 所 作 何 等 為 六 
T15n0641_001:0625c26	一者、諸行所作不可思議，二者、有為所作不	一 者 諸 行 所 作 不可思議 二 者 有 為 所 作 不 
T15n0641_001:0625c27	可思議，三者、無為所作不可思議，四者、有住	可 思 議 三 者 無 為 所 作 不可思議 四 者 有 住 
T15n0641_001:0625c28	所作不可思議，五者、無住所作不可思議，六	所 作 不可思議 五 者 無 住 所 作 不可思議 六 
T15n0641_001:0625c29	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626a01	「童子！菩薩摩訶薩復有六種共有。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 共 有 何 等 為 六 
T15n0641_001:0626a02	一者、諸行共有不可思議，二者、有為共有不	一 者 諸 行 共 有 不可思議 二 者 有 為 共 有 不 
T15n0641_001:0626a03	可思議，三者、無為共有不可思議，四者、有住	可 思 議 三 者 無 為 共 有 不可思議 四 者 有 住 
T15n0641_001:0626a04	共有不可思議，五者、無住共有不可思議，六	共 有 不可思議 五 者 無 住 共 有 不可思議 六 
T15n0641_001:0626a05	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626a06	「童子！菩薩摩訶薩復有六種自分。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 自 分 何 等 為 六 
T15n0641_001:0626a07	一者、諸行自分不可思議，二者、有為自分不	一 者 諸 行 自 分 不可思議 二 者 有 為 自 分 不 
T15n0641_001:0626a08	可思議，三者、無為自分不可思議，四者、有住	可 思 議 三 者 無 為 自 分 不可思議 四 者 有 住 
T15n0641_001:0626a09	自分不可思議，五者、無住自分不可思議，六	自 分 不可思議 五 者 無 住 自 分 不可思議 六 
T15n0641_001:0626a10	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626a11	「童子！菩薩摩訶薩復有六種相應。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 相 應 何 等 為 六 
T15n0641_001:0626a12	一者、諸行相應不可思議，二者、有為相應不	一 者 諸 行 相 應 不可思議 二 者 有 為 相 應 不 
T15n0641_001:0626a13	可思議，三者、無為相應不可思議，四者、有住	可 思 議 三 者 無 為 相 應 不可思議 四 者 有 住 
T15n0641_001:0626a14	相應不可思議，五者、無住相應不可思議，六	相 應 不可思議 五 者 無 住 相 應 不可思議 六 
T15n0641_001:0626a15	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626a16	「童子！菩薩摩訶薩復有六種報因。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 報 因 何 等 為 六 
T15n0641_001:0626a17	一者、諸行報因不可思議，二者、有為報因不	一 者 諸 行 報 因 不可思議 二 者 有 為 報 因 不 
T15n0641_001:0626a18	可思議，三者、無為報因不可思議，四者、有住	可 思 議 三 者 無 為 報 因 不可思議 四 者 有 住 
T15n0641_001:0626a19	報因不可思議，五者、無住報因不可思議，六	報 因 不可思議 五 者 無 住 報 因 不可思議 六 
T15n0641_001:0626a20	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626a21	「童子！菩薩摩訶薩復有六種六振動。何等為	 童 子 菩薩摩訶薩 復 有 六 種 六 振 動 何 等 為 
T15n0641_001:0626a22	六？一者、諸行六振動不可思議，二者、有為六	六 一 者 諸 行 六 振 動 不可思議 二 者 有 為 六 
T15n0641_001:0626a23	振動不可思議，三者、無為六振動不可思議，	振 動 不可思議 三 者 無 為 六 振 動 不可思議 
T15n0641_001:0626a24	四者、有住六振動不可思議，五者、無住六振	四 者 有 住 六 振 動 不可思議 五 者 無 住 六 振 
T15n0641_001:0626a25	動不可思議，六者、皆空不可思議；是為六種。	動 不可思議 六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626a26	「童子！菩薩摩訶薩復有六種東踊。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 東 踊 何 等 為 六 
T15n0641_001:0626a27	一者、諸行東踊不可思議，二者、有為東踊不	一 者 諸 行 東 踊 不可思議 二 者 有 為 東 踊 不 
T15n0641_001:0626a28	可思議，三者、無為東踊不可思議，四者、有住	可 思 議 三 者 無 為 東 踊 不可思議 四 者 有 住 
T15n0641_001:0626a29	東踊不可思議，五者、無住東踊不可思議，六	東 踊 不可思議 五 者 無 住 東 踊 不可思議 六 
T15n0641_001:0626b01	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626b02	「童子！菩薩摩訶薩復有六種西沒。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 西 沒 何 等 為 六 
T15n0641_001:0626b03	一者、諸行西沒不可思議，二者、有為西沒不	一 者 諸 行 西 沒 不可思議 二 者 有 為 西 沒 不 
T15n0641_001:0626b04	可思議，三者、無為西沒不可思議，四者、有住	可 思 議 三 者 無 為 西 沒 不可思議 四 者 有 住 
T15n0641_001:0626b05	西沒不可思議，五者、無住西沒不可思議，六	西 沒 不可思議 五 者 無 住 西 沒 不可思議 六 
T15n0641_001:0626b06	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626b07	「童子！菩薩摩訶薩復有六種南踊。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 南 踊 何 等 為 六 
T15n0641_001:0626b08	一者、諸行南踊不可思議，二者、有為南踊不	一 者 諸 行 南 踊 不可思議 二 者 有 為 南 踊 不 
T15n0641_001:0626b09	可思議，三者、無為南踊不可思議，四者、有住	可 思 議 三 者 無 為 南 踊 不可思議 四 者 有 住 
T15n0641_001:0626b10	南踊不可思議，五者、無住南踊不可思議，六	南 踊 不可思議 五 者 無 住 南 踊 不可思議 六 
T15n0641_001:0626b11	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626b12	「童子！菩薩摩訶薩復有六種北沒。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 北 沒 何 等 為 六 
T15n0641_001:0626b13	一者、諸行北沒不可思議，二者、有為北沒不	一 者 諸 行 北 沒 不可思議 二 者 有 為 北 沒 不 
T15n0641_001:0626b14	可思議，三者、無為北沒不可思議，四者、有住	可 思 議 三 者 無 為 北 沒 不可思議 四 者 有 住 
T15n0641_001:0626b15	北沒不可思議，五者、無住北沒不可思議，六	北 沒 不可思議 五 者 無 住 北 沒 不可思議 六 
T15n0641_001:0626b16	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626b17	「童子！菩薩摩訶薩復有六種邊踊。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 邊 踊 何 等 為 六 
T15n0641_001:0626b18	一者、諸行邊踊不可思議，二者、有為邊踊不	一 者 諸 行 邊 踊 不可思議 二 者 有 為 邊 踊 不 
T15n0641_001:0626b19	可思議，三者、無為邊踊不可思議，四者、有住	可 思 議 三 者 無 為 邊 踊 不可思議 四 者 有 住 
T15n0641_001:0626b20	邊踊不可思議，五者、無住邊踊不可思議，六	邊 踊 不可思議 五 者 無 住 邊 踊 不可思議 六 
T15n0641_001:0626b21	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626b22	「童子！菩薩摩訶薩復有六種中沒。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 中 沒 何 等 為 六 
T15n0641_001:0626b23	一者、諸行中沒不可思議，二者、有為中沒不	一 者 諸 行 中 沒 不可思議 二 者 有 為 中 沒 不 
T15n0641_001:0626b24	可思議，三者、無為中沒不可思議，四者、有住	可 思 議 三 者 無 為 中 沒 不可思議 四 者 有 住 
T15n0641_001:0626b25	中沒不可思議，五者、無住中沒不可思議，六	中 沒 不可思議 五 者 無 住 中 沒 不可思議 六 
T15n0641_001:0626b26	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626b27	「童子！菩薩摩訶薩復有六種無明。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 無 明 何 等 為 六 
T15n0641_001:0626b28	一者、諸行無明不可思議，二者、有為無明不	一 者 諸 行 無 明 不可思議 二 者 有 為 無 明 不 
T15n0641_001:0626b29	可思議，三者、無為無明不可思議，四者、有住	可 思 議 三 者 無 為 無 明 不可思議 四 者 有 住 
T15n0641_001:0626c01	無明不可思議，五者、無住無明不可思議，六	無 明 不可思議 五 者 無 住 無 明 不可思議 六 
T15n0641_001:0626c02	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626c03	「童子！菩薩摩訶薩復有六種緣行。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 緣 行 何 等 為 六 
T15n0641_001:0626c04	一者、諸行緣行不可思議，二者、有為緣行不	一 者 諸 行 緣 行 不可思議 二 者 有 為 緣 行 不 
T15n0641_001:0626c05	可思議，三者、無為緣行不可思議，四者、有住	可 思 議 三 者 無 為 緣 行 不可思議 四 者 有 住 
T15n0641_001:0626c06	緣行不可思議，五者、無住緣行不可思議，六	緣 行 不可思議 五 者 無 住 緣 行 不可思議 六 
T15n0641_001:0626c07	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626c08	「童子！菩薩摩訶薩復有六種行緣色。何等為	 童 子 菩薩摩訶薩 復 有 六 種 行 緣 色 何 等 為 
T15n0641_001:0626c09	六？一者、諸行行緣色不可思議，二者、有為行	六 一 者 諸 行 行 緣 色 不可思議 二 者 有 為 行 
T15n0641_001:0626c10	緣色不可思議，三者、無為行緣色不可思議，	緣 色 不可思議 三 者 無 為 行 緣 色 不可思議 
T15n0641_001:0626c11	四者、有住行緣色不可思議，五者、無住行緣	四 者 有 住 行 緣 色 不可思議 五 者 無 住 行 緣 
T15n0641_001:0626c12	色不可思議，六者、皆空不可思議；是為六	色 不可思議 六 者 皆 空 不可思議 是 為 六 
T15n0641_001:0626c13	種。	種 
T15n0641_001:0626c14	「童子！菩薩摩訶薩復有六種色緣。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 色 緣 何 等 為 六 
T15n0641_001:0626c15	一者、諸行色緣不可思議，二者、有為色緣不	一 者 諸 行 色 緣 不可思議 二 者 有 為 色 緣 不 
T15n0641_001:0626c16	可思議，三者、無為色緣不可思議，四者、有住	可 思 議 三 者 無 為 色 緣 不可思議 四 者 有 住 
T15n0641_001:0626c17	色緣不可思議，五者、無住色緣不可思議，六	色 緣 不可思議 五 者 無 住 色 緣 不可思議 六 
T15n0641_001:0626c18	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626c19	「童子！菩薩摩訶薩復有六種名色。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 名 色 何 等 為 六 
T15n0641_001:0626c20	一者、諸行名色不可思議，二者、有為名色不	一 者 諸 行 名 色 不可思議 二 者 有 為 名 色 不 
T15n0641_001:0626c21	可思議，三者、無為名色不可思議，四者、有住	可 思 議 三 者 無 為 名 色 不可思議 四 者 有 住 
T15n0641_001:0626c22	名色不可思議，五者、無住名色不可思議，六	名 色 不可思議 五 者 無 住 名 色 不可思議 六 
T15n0641_001:0626c23	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0626c24	「童子！菩薩摩訶薩復有六種名色緣六入。何	 童 子 菩薩摩訶薩 復 有 六 種 名 色 緣 六 入 何 
T15n0641_001:0626c25	等為六？一者、諸行名色緣六入不可思議，二者、	等 為 六 一 者 諸 行 名 色 緣 六 入 不可思議 二 者 
T15n0641_001:0626c26	有為名色緣六入不可思議，三者、無為名色	有 為 名 色 緣 六 入 不可思議 三 者 無 為 名 色 
T15n0641_001:0626c27	緣六入不可思議，四者、有住名色緣六入不	緣 六 入 不可思議 四 者 有 住 名 色 緣 六 入 不 
T15n0641_001:0626c28	可思議，五者、無住名色緣六入不可思議，六	可 思 議 五 者 無 住 名 色 緣 六 入 不可思議 六 
T15n0641_001:0626c29	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627a01	「童子！菩薩摩訶薩復有六種六入緣觸。何等	 童 子 菩薩摩訶薩 復 有 六 種 六 入 緣 觸 何 等 
T15n0641_001:0627a02	為六？一者、諸行六入緣觸不可思議，二者、有	為 六 一 者 諸 行 六 入 緣 觸 不可思議 二 者 有 
T15n0641_001:0627a03	為六入緣觸不可思議，三者、無為六入緣觸	為 六 入 緣 觸 不可思議 三 者 無 為 六 入 緣 觸 
T15n0641_001:0627a04	不可思議，四者、有住六入緣觸不可思議，五	不可思議 四 者 有 住 六 入 緣 觸 不可思議 五 
T15n0641_001:0627a05	者、無住六入緣觸不可思議，六者、皆空不可	者 無 住 六 入 緣 觸 不可思議 六 者 皆 空 不 可 
T15n0641_001:0627a06	思議；是為六種。	思 議 是 為 六 種 
T15n0641_001:0627a07	「童子！菩薩摩訶薩復有六種觸緣受。何等為	 童 子 菩薩摩訶薩 復 有 六 種 觸 緣 受 何 等 為 
T15n0641_001:0627a08	六？一者、諸行觸緣受不可思議，二者、有為觸	六 一 者 諸 行 觸 緣 受 不可思議 二 者 有 為 觸 
T15n0641_001:0627a09	緣受不可思議，三者、無為觸緣受不可思議，	緣 受 不可思議 三 者 無 為 觸 緣 受 不可思議 
T15n0641_001:0627a10	四者、有住觸緣受不可思議，五者、無住觸緣	四 者 有 住 觸 緣 受 不可思議 五 者 無 住 觸 緣 
T15n0641_001:0627a11	受不可思議，六者、皆空不可思議；是為六	受 不可思議 六 者 皆 空 不可思議 是 為 六 
T15n0641_001:0627a12	種。	種 
T15n0641_001:0627a13	「童子！菩薩摩訶薩復有六種受緣愛。何等為	 童 子 菩薩摩訶薩 復 有 六 種 受 緣 愛 何 等 為 
T15n0641_001:0627a14	六？一者、諸行受緣愛不可思議，二者、有為受	六 一 者 諸 行 受 緣 愛 不可思議 二 者 有 為 受 
T15n0641_001:0627a15	緣愛不可思議，三者、無為受緣愛不可思議，	緣 愛 不可思議 三 者 無 為 受 緣 愛 不可思議 
T15n0641_001:0627a16	四者、有住受緣愛不可思議，五者、無住受緣	四 者 有 住 受 緣 愛 不可思議 五 者 無 住 受 緣 
T15n0641_001:0627a17	愛不可思議，六者、皆空不可思議；是為六	愛 不可思議 六 者 皆 空 不可思議 是 為 六 
T15n0641_001:0627a18	種。	種 
T15n0641_001:0627a19	「童子！菩薩摩訶薩復有六種愛緣取。何等為	 童 子 菩薩摩訶薩 復 有 六 種 愛 緣 取 何 等 為 
T15n0641_001:0627a20	六？一者、諸行愛緣取不可思議，二者、有為愛	六 一 者 諸 行 愛 緣 取 不可思議 二 者 有 為 愛 
T15n0641_001:0627a21	緣取不可思議，三者、無為愛緣取不可思議，	緣 取 不可思議 三 者 無 為 愛 緣 取 不可思議 
T15n0641_001:0627a22	四者、有住愛緣取不可思議，五者、無住愛緣	四 者 有 住 愛 緣 取 不可思議 五 者 無 住 愛 緣 
T15n0641_001:0627a23	取不可思議，六者、皆空不可思議；是為六	取 不可思議 六 者 皆 空 不可思議 是 為 六 
T15n0641_001:0627a24	種。	種 
T15n0641_001:0627a25	「童子！菩薩摩訶薩復有六種取緣有。何等為	 童 子 菩薩摩訶薩 復 有 六 種 取 緣 有 何 等 為 
T15n0641_001:0627a26	六？一者、諸行取緣有不可思議，二者、有為取	六 一 者 諸 行 取 緣 有 不可思議 二 者 有 為 取 
T15n0641_001:0627a27	緣有不可思議，三者、無為取緣有不可思議，	緣 有 不可思議 三 者 無 為 取 緣 有 不可思議 
T15n0641_001:0627a28	四者、有住取緣有不可思議，五者、無住取緣	四 者 有 住 取 緣 有 不可思議 五 者 無 住 取 緣 
T15n0641_001:0627a29	有不可思議，六者、皆空不可思議；是為六種。	有 不可思議 六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627b01	「童子！菩薩摩訶薩復有六種有緣生。何等為	 童 子 菩薩摩訶薩 復 有 六 種 有 緣 生 何 等 為 
T15n0641_001:0627b02	六？一者、諸行有緣生不可思議，二者、有為有	六 一 者 諸 行 有 緣 生 不可思議 二 者 有 為 有 
T15n0641_001:0627b03	緣生不可思議，三者、無為有緣生不可思議，	緣 生 不可思議 三 者 無 為 有 緣 生 不可思議 
T15n0641_001:0627b04	四者、有住有緣生不可思議，五者、無住有緣	四 者 有 住 有 緣 生 不可思議 五 者 無 住 有 緣 
T15n0641_001:0627b05	生不可思議，六者、皆空不可思議；是為六種。	生 不可思議 六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627b06	「童子！菩薩摩訶薩復有六種生緣老死。何等	 童 子 菩薩摩訶薩 復 有 六 種 生 緣 老 死 何 等 
T15n0641_001:0627b07	為六？一者、諸行生緣老死不可思議，二者、有	為 六 一 者 諸 行 生 緣 老 死 不可思議 二 者 有 
T15n0641_001:0627b08	為生緣老死不可思議，三者、無為生緣老死	為 生 緣 老 死 不可思議 三 者 無 為 生 緣 老 死 
T15n0641_001:0627b09	不可思議，四者、有住生緣老死不可思議，五	不可思議 四 者 有 住 生 緣 老 死 不可思議 五 
T15n0641_001:0627b10	者、無住生緣老死不可思議，六者、皆空不可	者 無 住 生 緣 老 死 不可思議 六 者 皆 空 不 可 
T15n0641_001:0627b11	思議；是為六種。	思 議 是 為 六 種 
T15n0641_001:0627b12	「童子！菩薩摩訶薩復有六種無明滅。何等為	 童 子 菩薩摩訶薩 復 有 六 種 無 明 滅 何 等 為 
T15n0641_001:0627b13	六？一者、諸行無明滅不可思議，二者、有為無	六 一 者 諸 行 無 明 滅 不可思議 二 者 有 為 無 
T15n0641_001:0627b14	明滅不可思議，三者、無為無明滅不可思議，	明 滅 不可思議 三 者 無 為 無 明 滅 不可思議 
T15n0641_001:0627b15	四者、有住無明滅不可思議，五者、無住無明	四 者 有 住 無 明 滅 不可思議 五 者 無 住 無 明 
T15n0641_001:0627b16	滅不可思議，六者、皆空不可思議；是為六種。	滅 不可思議 六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627b17	「童子！菩薩摩訶薩復有六種行滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 行 滅 何 等 為 六 
T15n0641_001:0627b18	一者、諸行行滅不可思議，二者、有為行滅不	一 者 諸 行 行 滅 不可思議 二 者 有 為 行 滅 不 
T15n0641_001:0627b19	可思議，三者、無為行滅不可思議，四者、有住	可 思 議 三 者 無 為 行 滅 不可思議 四 者 有 住 
T15n0641_001:0627b20	行滅不可思議，五者、無住行滅不可思議，六	行 滅 不可思議 五 者 無 住 行 滅 不可思議 六 
T15n0641_001:0627b21	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627b22	「童子！菩薩摩訶薩復有六種色滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 色 滅 何 等 為 六 
T15n0641_001:0627b23	一者、諸行色滅不可思議，二者、有為色滅不	一 者 諸 行 色 滅 不可思議 二 者 有 為 色 滅 不 
T15n0641_001:0627b24	可思議，三者、無為色滅不可思議，四者、有住	可 思 議 三 者 無 為 色 滅 不可思議 四 者 有 住 
T15n0641_001:0627b25	色滅不可思議，五者、無住色滅不可思議，六	色 滅 不可思議 五 者 無 住 色 滅 不可思議 六 
T15n0641_001:0627b26	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627b27	「童子！菩薩摩訶薩復有六種名色滅。何等為	 童 子 菩薩摩訶薩 復 有 六 種 名 色 滅 何 等 為 
T15n0641_001:0627b28	六？一者、諸行名色滅不可思議，二者、有為名	六 一 者 諸 行 名 色 滅 不可思議 二 者 有 為 名 
T15n0641_001:0627c01	色滅不可思議，三者、無為名色滅不可思議，	色 滅 不可思議 三 者 無 為 名 色 滅 不可思議 
T15n0641_001:0627c02	四者、有住名色滅不可思議，五者、無住名色	四 者 有 住 名 色 滅 不可思議 五 者 無 住 名 色 
T15n0641_001:0627c03	滅不可思議，六者、皆空不可思議；是為六種。	滅 不可思議 六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627c04	「童子！菩薩摩訶薩復有六種六入滅。何等為	 童 子 菩薩摩訶薩 復 有 六 種 六 入 滅 何 等 為 
T15n0641_001:0627c05	六？一者、諸行六入滅不可思議，二者、有為六	六 一 者 諸 行 六 入 滅 不可思議 二 者 有 為 六 
T15n0641_001:0627c06	入滅不可思議，三者、無為六入滅不可思議，	入 滅 不可思議 三 者 無 為 六 入 滅 不可思議 
T15n0641_001:0627c07	四者、有住六入滅不可思議，五者、無住六入	四 者 有 住 六 入 滅 不可思議 五 者 無 住 六 入 
T15n0641_001:0627c08	滅不可思議，六者、皆空不可思議；是為六	滅 不可思議 六 者 皆 空 不可思議 是 為 六 
T15n0641_001:0627c09	種。	種 
T15n0641_001:0627c10	「童子！菩薩摩訶薩復有六種觸滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 觸 滅 何 等 為 六 
T15n0641_001:0627c11	一者、諸行觸滅不可思議，二者、有為觸滅不	一 者 諸 行 觸 滅 不可思議 二 者 有 為 觸 滅 不 
T15n0641_001:0627c12	可思議，三者、無為觸滅不可思議，四者、有住	可 思 議 三 者 無 為 觸 滅 不可思議 四 者 有 住 
T15n0641_001:0627c13	觸滅不可思議，五者、無住觸滅不可思議，六	觸 滅 不可思議 五 者 無 住 觸 滅 不可思議 六 
T15n0641_001:0627c14	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627c15	「童子！菩薩摩訶薩復有六種愛滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 愛 滅 何 等 為 六 
T15n0641_001:0627c16	一者、諸行愛滅不可思議，二者、有為愛滅不	一 者 諸 行 愛 滅 不可思議 二 者 有 為 愛 滅 不 
T15n0641_001:0627c17	可思議，三者、無為愛滅不可思議，四者、有住	可 思 議 三 者 無 為 愛 滅 不可思議 四 者 有 住 
T15n0641_001:0627c18	愛滅不可思議，五者、無住愛滅不可思議，六	愛 滅 不可思議 五 者 無 住 愛 滅 不可思議 六 
T15n0641_001:0627c19	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627c20	「童子！菩薩摩訶薩復有六種取滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 取 滅 何 等 為 六 
T15n0641_001:0627c21	一者、諸行取滅不可思議，二者、有為取滅不	一 者 諸 行 取 滅 不可思議 二 者 有 為 取 滅 不 
T15n0641_001:0627c22	可思議，三者、無為取滅不可思議，四者、有住	可 思 議 三 者 無 為 取 滅 不可思議 四 者 有 住 
T15n0641_001:0627c23	取滅不可思議，五者、無住取滅不可思議，六	取 滅 不可思議 五 者 無 住 取 滅 不可思議 六 
T15n0641_001:0627c24	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0627c25	「童子！菩薩摩訶薩復有六種生滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 生 滅 何 等 為 六 
T15n0641_001:0627c26	一者、諸行生滅不可思議，二者、有為生滅不	一 者 諸 行 生 滅 不可思議 二 者 有 為 生 滅 不 
T15n0641_001:0627c27	可思議，三者、無為生滅不可思議，四者、有住	可 思 議 三 者 無 為 生 滅 不可思議 四 者 有 住 
T15n0641_001:0627c28	生滅不可思議，五者、無住生滅不可思議，六	生 滅 不可思議 五 者 無 住 生 滅 不可思議 六 
T15n0641_001:0627c29	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628a01	「童子！菩薩摩訶薩復有六種老死滅。何等為	 童 子 菩薩摩訶薩 復 有 六 種 老 死 滅 何 等 為 
T15n0641_001:0628a02	六？一者、諸行老死滅不可思議，二者、有為老	六 一 者 諸 行 老 死 滅 不可思議 二 者 有 為 老 
T15n0641_001:0628a03	死滅不可思議，三者、無為老死滅不可思議，	死 滅 不可思議 三 者 無 為 老 死 滅 不可思議 
T15n0641_001:0628a04	四者、有住老死滅不可思議，五者、無住老死	四 者 有 住 老 死 滅 不可思議 五 者 無 住 老 死 
T15n0641_001:0628a05	滅不可思議，六者、皆空不可思議；是為六	滅 不可思議 六 者 皆 空 不可思議 是 為 六 
T15n0641_001:0628a06	種。	種 
T15n0641_001:0628a07	「童子！菩薩摩訶薩復有六種憂悲滅。何等為	 童 子 菩薩摩訶薩 復 有 六 種 憂 悲 滅 何 等 為 
T15n0641_001:0628a08	六？一者、諸行憂悲滅不可思議，二者、有為憂	六 一 者 諸 行 憂 悲 滅 不可思議 二 者 有 為 憂 
T15n0641_001:0628a09	悲滅不可思議，三者、無為憂悲滅不可思議，	悲 滅 不可思議 三 者 無 為 憂 悲 滅 不可思議 
T15n0641_001:0628a10	四者、有住憂悲滅不可思議，五者、無住憂悲	四 者 有 住 憂 悲 滅 不可思議 五 者 無 住 憂 悲 
T15n0641_001:0628a11	滅不可思議，六者、皆空不可思議；是為六種。	滅 不可思議 六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628a12	「童子！菩薩摩訶薩復有六種四諦法。何等為	 童 子 菩薩摩訶薩 復 有 六 種 四 諦 法 何 等 為 
T15n0641_001:0628a13	六？一者、諸行四諦法不可思議，二者、有為四	六 一 者 諸 行 四 諦 法 不可思議 二 者 有 為 四 
T15n0641_001:0628a14	諦法不可思議，三者、無為四諦法不可思議，	諦 法 不可思議 三 者 無 為 四 諦 法 不可思議 
T15n0641_001:0628a15	四者、有住四諦法不可思議，五者、無住四諦	四 者 有 住 四 諦 法 不可思議 五 者 無 住 四 諦 
T15n0641_001:0628a16	法不可思議，六者、皆空不可思議；是為六種。	法 不可思議 六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628a17	「童子！菩薩摩訶薩復有六種集諦。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 集 諦 何 等 為 六 
T15n0641_001:0628a18	一者、諸行集諦不可思議，二者、有為集諦不	一 者 諸 行 集 諦 不可思議 二 者 有 為 集 諦 不 
T15n0641_001:0628a19	可思議，三者、無為集諦不可思議，四者、有住	可 思 議 三 者 無 為 集 諦 不可思議 四 者 有 住 
T15n0641_001:0628a20	集諦不可思議，五者、無住集諦不可思議，六	集 諦 不可思議 五 者 無 住 集 諦 不可思議 六 
T15n0641_001:0628a21	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628a22	「童子！菩薩摩訶薩復有六種滅諦。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 滅 諦 何 等 為 六 
