X58n1019_001:0584a07	辨非集	辨 非 集 
X58n1019_001:0586b10	蕩法身識不能知。且無著論偈後經文。自云不可	蕩 法 身 識 不 能 知 且 無 著 論 偈 後 經 文 自 云 不 可 
X58n1019_001:0586b11	以相成就得菩提等。既云相成就。是豈遣蕩法身	以 相 成 就 得 菩 提 等 既 云 相 成 就 是 豈 遣 蕩 法 身 
X58n1019_001:0586b12	耶。	耶 
X58n1019_001:0586b13	所言法相者。即非法相。是名法相。三句要之。與楞嚴	所 言 法 相 者 即 非 法 相 是 名 法 相 三 句 要 之 與 楞 嚴 
X58n1019_001:0586b14	性覺妙明本覺明妙兩句。修因證果。立本歸源。不離	性 覺 妙 明 本 覺 明 妙 兩 句 修 因 證 果 立 本 歸 源 不 離 
X58n1019_001:0586b15	自性。不動本來。	自 性 不 動 本 來 
X58n1019_001:0586b16	非曰。楞嚴性覺妙明本覺明妙者。是破執遣蕩之	非 曰 楞 嚴 性 覺 妙 明 本 覺 明 妙 者 是 破 執 遣 蕩 之 
X58n1019_001:0586b17	文耶非耶。若言非者何以會同。若言同者二義同	文 耶 非 耶 若 言 非 者 何 以 會 同 若 言 同 者 二 義 同 
X58n1019_001:0586b18	否。楞嚴性覺妙明等是法相耶。以性為相。不亦過	否 楞 嚴 性 覺 妙 明 等 是 法 相 耶 以 性 為 相 不 亦 過 
X58n1019_001:0586b19	乎。	乎 
X58n1019_001:0586b20	○金剛事苑	 金 剛 事 苑 
X58n1019_001:0586b21	此經自唐至本朝。南北諸師撰述甚多。南方學者盛	此 經 自 唐 至 本 朝 南 北 諸 師 撰 述 甚 多 南 方 學 者 盛 
X58n1019_001:0586b22	行圭峯纂要。所敘兩論。密示潛通。稍有眉目。及其依	行 圭 峯 纂 要 所 敘 兩 論 密 示 潛 通 稍 有 眉 目 及 其 依 
X58n1019_001:0586b23	十八住懸判。然後用二十七疑科釋。入文隨釋。多用	十 八 住 懸 判 然 後 用 二 十 七 疑 科 釋 入 文 隨 釋 多 用 
X58n1019_001:0586b24	無著。未免媕娿。	無 著 未 免 媕 娿 
X58n1019_001:0586c01	非曰。此意始乎淨覺。謂纂要有而不遵無時彊用。	非 曰 此 意 始 乎 淨 覺 謂 纂 要 有 而 不 遵 無 時 彊 用 
X58n1019_001:0586c02	天台近代諸師。俱取無著而棄逐天親。且無著天	天 台 近 代 諸 師 俱 取 無 著 而 棄 逐 天 親 且 無 著 天 
X58n1019_001:0586c03	親。皆聖師也。何取一捨一。今圭峯雙用二論。但前	親 皆 聖 師 也 何 取 一 捨 一 今 圭 峯 雙 用 二 論 但 前 
X58n1019_001:0586c04	後別行。却云有而不遵無而彊用。且大雲青龍諸	後 別 行 却 云 有 而 不 遵 無 而 彊 用 且 大 雲 青 龍 諸 
X58n1019_001:0586c05	師。二論共解疑住難分。故圭峯先約義句懸判。後	師 二 論 共 解 疑 住 難 分 故 圭 峯 先 約 義 句 懸 判 後 
X58n1019_001:0586c06	用斷疑科釋。況立斷疑之名。自大雲青龍諸師創	用 斷 疑 科 釋 況 立 斷 疑 之 名 自 大 雲 青 龍 諸 師 創 
X58n1019_001:0586c07	立。且非圭峯也。聖人云。有名無義廣引文釋。有義	立 且 非 圭 峯 也 聖 人 云 有 名 無 義 廣 引 文 釋 有 義 
X58n1019_001:0586c08	無名莫知所以。今以名管之。使經中法義昭彰。豈	無 名 莫 知 所 以 今 以 名 管 之 使 經 中 法 義 昭 彰 豈 
X58n1019_001:0586c09	曰無而彊用也。問。何不先用天親懸判。後以無著	曰 無 而 彊 用 也 問 何 不 先 用 天 親 懸 判 後 以 無 著 
X58n1019_001:0586c10	釋義耶。答。以有傍正故。且彌勒云。及斷種種疑。亦	釋 義 耶 答 以 有 傍 正 故 且 彌 勒 云 及 斷 種 種 疑 亦 
X58n1019_001:0586c11	防生成心。無著六種因緣一為斷疑故。天親云。自	防 生 成 心 無 著 六 種 因 緣 一 為 斷 疑 故 天 親 云 自 
X58n1019_001:0586c12	此已下一切修多羅。示現斷生疑心。則以斷疑為	此 已 下 一 切 修 多 羅 示 現 斷 生 疑 心 則 以 斷 疑 為 
X58n1019_001:0586c13	正。淨覺雌黃未為得理。然無著論。本不全用彌勒	正 淨 覺 雌 黃 未 為 得 理 然 無 著 論 本 不 全 用 彌 勒 
X58n1019_001:0586c14	之偈。今淨覺用無著論釋經。而全增彌勒偈文。可	之 偈 今 淨 覺 用 無 著 論 釋 經 而 全 增 彌 勒 偈 文 可 
X58n1019_001:0586c15	謂不遵彊用返歸若也。今云入文隨釋多用無著	謂 不 遵 彊 用 返 歸 若 也 今 云 入 文 隨 釋 多 用 無 著 
X58n1019_001:0586c16	未免媕娿者。且如通論破圭峯引無著云。是福德	未 免 媕 娿 者 且 如 通 論 破 圭 峯 引 無 著 云 是 福 德 
X58n1019_001:0586c17	等。謂檢論無文。自公不善論意。非圭峯之咎也。豈	等 謂 檢 論 無 文 自 公 不 善 論 意 非 圭 峯 之 咎 也 豈 
X58n1019_001:0586c18	謂媕娿。況圭峯之材。非君等希企所及耶。幸勿造	謂 媕 娿 況 圭 峯 之 材 非 君 等 希 企 所 及 耶 幸 勿 造 
X58n1019_001:0586c19	次。	次 
X58n1019_001:0586c20	此經梵文譯本。元無分名。大藏外盛行什譯有三十	此 經 梵 文 譯 本 元 無 分 名 大 藏 外 盛 行 什 譯 有 三 十 
X58n1019_001:0586c21	二分。相傳。是梁昭明太子作。若依譯本。不可參入。奈	二 分 相 傳 是 梁 昭 明 太 子 作 若 依 譯 本 不 可 參 入 奈 
X58n1019_001:0586c22	何世所信向習誦便易。存之亦可。又云。但如理實見	何 世 所 信 向 習 誦 便 易 存 之 亦 可 又 云 但 如 理 實 見 
X58n1019_001:0586c23	應化非真。兩分名目。恐須互換。	應 化 非 真 兩 分 名 目 恐 須 互 換 
X58n1019_001:0586c24	非曰。聖教東漸翻譯之後。千聖不改易。豈謂信向	非 曰 聖 教 東 漸 翻 譯 之 後 千 聖 不 改 易 豈 謂 信 向 
X58n1019_001:0587a01	便易故得存之。得非居心不淨。彊欲滓穢太清邪。	便 易 故 得 存 之 得 非 居 心 不 淨 彊 欲 滓 穢 太 清 邪 
X58n1019_001:0587a02	此經有發阿耨多羅三藐三菩提下。合安心字。而特	此 經 有 發 阿耨多羅三藐三菩提 下 合 安 心 字 而 特 
X58n1019_001:0587a03	闕之。什師刪繁。可略則略。必非脫去。	闕 之 什 師 刪 繁 可 略 則 略 必 非 脫 去 
X58n1019_001:0587a04	非曰。欲解一經。須尋眾本。別本俱有心字。或有脫	非 曰 欲 解 一 經 須 尋 眾 本 別 本 俱 有 心 字 或 有 脫 
X58n1019_001:0587a05	者。刀筆之誤。却云什師刪繁可略則略必非脫去。	者 刀 筆 之 誤 却 云 什 師 刪 繁 可 略 則 略 必 非 脫 去 
X58n1019_001:0587a06	率爾穿鑿。良可悲夫。	率 爾 穿 鑿 良 可 悲 夫 
X58n1019_001:0587a07	三果不來。應云而實無不來。經本闕不字。古來皆同。	三 果 不 來 應 云 而 實 無 不 來 經 本 闕 不 字 古 來 皆 同 
X58n1019_001:0587a08	不可擅加。如春秋夏五不書月闕文。	不 可 擅 加 如 春 秋 夏 五 不 書 月 闕 文 
X58n1019_001:0587a09	非曰。梵語阿那含。此云不來。亦云不還。不來第三	非 曰 梵 語 阿 那 含 此 云 不 來 亦 云 不 還 不 來 第 三 
X58n1019_001:0587a10	果名也。何云不可檀加。則知華梵未通。且未明華	果 名 也 何 云 不 可 檀 加 則 知 華 梵 未 通 且 未 明 華 
X58n1019_001:0587a11	梵。遽爾操觚。得非太早計邪。	梵 遽 爾 操 觚 得 非 太 早 計 邪 
X58n1019_001:0587a12	靈幽素持此經。暴終杳歸冥府引見令誦。王曰。勘少	靈 幽 素 持 此 經 暴 終 杳 歸 冥 府 引 見 令 誦 王 曰 勘 少 
X58n1019_001:0587a13	一節。何貫華之線斷乎。放還其本。在濠州鍾離寺。石	一 節 何 貫 華 之 線 斷 乎 放 還 其 本 在 濠 州 鍾 離 寺 石 
X58n1019_001:0587a14	上幽經。七日乃蘇。遂奏。勑令添入六十二字。淨覺將	上 幽 經 七 日 乃 蘇 遂 奏 勑 令 添 入 六 十 二 字 淨 覺 將 
X58n1019_001:0587a15	魏譯勘秦本。謂少耳。不知什師存略之意。無著論科	魏 譯 勘 秦 本 謂 少 耳 不 知 什 師 存 略 之 意 無 著 論 科 
X58n1019_001:0587a16	判是佛地心具足。初以眾生為念處初發心住。既以	判 是 佛 地 心 具 足 初 以 眾 生 為 念 處 初 發 心 住 既 以 
X58n1019_001:0587a17	眾生為廣大所發心境。以前顯後。以後照前。故所略	眾 生 為 廣 大 所 發 心 境 以 前 顯 後 以 後 照 前 故 所 略 
X58n1019_001:0587a18	之也。如此意遠。可謂譯主。若專執什本。固不可添入。	之 也 如 此 意 遠 可 謂 譯 主 若 專 執 什 本 固 不 可 添 入 
X58n1019_001:0587a19	隨順世緣既而信向。又不妨圓滿隋譯經之與論。但	隨 順 世 緣 既 而 信 向 又 不 妨 圓 滿 隋 譯 經 之 與 論 但 
X58n1019_001:0587a20	不可擅加於什譯經本以入大藏。若別行大藏之外	不 可 擅 加 於 什 譯 經 本 以 入 大 藏 若 別 行 大 藏 之 外 
X58n1019_001:0587a21	可也。	可 也 
X58n1019_001:0587a22	非曰。事苑何以得知佛地心具足中文。即是前發	非 曰 事 苑 何 以 得 知 佛 地 心 具 足 中 文 即 是 前 發 
X58n1019_001:0587a23	心住中文故。譯主略之耶。又云。以前顯後以後照	心 住 中 文 故 譯 主 略 之 耶 又 云 以 前 顯 後 以 後 照 
X58n1019_001:0587a24	前故可略之者。且會通經意。殆非賢首天台慈恩	前 故 可 略 之 者 且 會 通 經 意 殆 非 賢 首 天 台 慈 恩 
X58n1019_001:0587b01	等諸大聖師。其餘刀筆常材安可會釋。且猶使蚊	等 諸 大 聖 師 其 餘 刀 筆 常 材 安 可 會 釋 且 猶 使 蚊 
X58n1019_001:0587b02	負山商蚷之河。必不勝任矣。又云。但不可擅加以	負 山 商 蚷 之 河 必 不 勝 任 矣 又 云 但 不 可 擅 加 以 
X58n1019_001:0587b03	入大藏者。若別行大藏之外可也。經論譯畢。頒行	入 大 藏 者 若 別 行 大 藏 之 外 可 也 經 論 譯 畢 頒 行 
X58n1019_001:0587b04	天下。却有藏內藏外之異。儻或有藏中將出。或有	天 下 却 有 藏 內 藏 外 之 異 儻 或 有 藏 中 將 出 或 有 
X58n1019_001:0587b05	新將入藏。安可定分內外。秦魏之本不同。何以增	新 將 入 藏 安 可 定 分 內 外 秦 魏 之 本 不 同 何 以 增 
X58n1019_001:0587b06	加。如魯論語二十篇。齊論語二十二篇。豈可以齊	加 如 魯 論 語 二 十 篇 齊 論 語 二 十 二 篇 豈 可 以 齊 
X58n1019_001:0587b07	論增魯論中。	論 增 魯 論 中 
X58n1019_001:0587b08	此經圭峯指為小般若。如無著論。前歸敬偈云。此小	此 經 圭 峯 指 為 小 般 若 如 無 著 論 前 歸 敬 偈 云 此 小 
X58n1019_001:0587b09	金剛波羅蜜。以如是名顯勢力。此對大品般若為小	金 剛 波 羅 蜜 以 如 是 名 顯 勢 力 此 對 大 品 般 若 為 小 
X58n1019_001:0587b10	般若。天台家指涅槃為大經。賢首家指華嚴為大經。	般 若 天 台 家 指 涅 槃 為 大 經 賢 首 家 指 華 嚴 為 大 經 
X58n1019_001:0587b11	皆取經名末上一字稱之。必無所對。	皆 取 經 名 末 上 一 字 稱 之 必 無 所 對 
X58n1019_001:0587b12	非曰。圭峯何處指金剛為小般若。但八部般若中	非 曰 圭 峯 何 處 指 金 剛 為 小 般 若 但 八 部 般 若 中 
X58n1019_001:0587b13	有大品小品等。未甞指金剛為小般若。又云。皆取	有 大 品 小 品 等 未 甞 指 金 剛 為 小 般 若 又 云 皆 取 
X58n1019_001:0587b14	經名末上一字稱之者。大藏內經末上有大字者。	經 名 末 上 一 字 稱 之 者 大 藏 內 經 末 上 有 大 字 者 
X58n1019_001:0587b15	一百餘本。豈都稱大經耶。賢首宗稱大經者。自依	一 百 餘 本 豈 都 稱 大 經 耶 賢 首 宗 稱 大 經 者 自 依 
X58n1019_001:0587b16	龍樹指華嚴為大不思議經耳。非公所謂也。	龍 樹 指 華 嚴 為 大 不 思 議 經 耳 非 公 所 謂 也 
X58n1019_001:0587b17	梵語佛陀。此翻覺者知者。了了覺知名為佛陀。誰不	梵 語 佛 陀 此 翻 覺 者 知 者 了 了 覺 知 名 為 佛 陀 誰 不 
X58n1019_001:0587b18	覺知。誰能覺知。體同性徧一而已矣。	覺 知 誰 能 覺 知 體 同 性 徧 一 而 已 矣 
X58n1019_001:0587b19	非曰。梵語佛陀。此翻覺者。佛地論云。能自開覺。亦	非 曰 梵 語 佛 陀 此 翻 覺 者 佛 地 論 云 能 自 開 覺 亦 
X58n1019_001:0587b20	能開覺一切有情。如睡夢覺。如蓮華開。正以有情	能 開 覺 一切有情 如 睡 夢 覺 如 蓮 華 開 正 以 有 情 
X58n1019_001:0587b21	為不覺。顯佛能覺也。若體同性徧。如何揀凡聖因	為 不 覺 顯 佛 能 覺 也 若 體 同 性 徧 如 何 揀 凡 聖 因 
X58n1019_001:0587b22	果之異也。	果 之 異 也 
X58n1019_001:0587b23	優樓頻螺迦葉。伽耶迦葉。那提迦葉。舍利弗。目犍連。	優 樓 頻 螺 迦 葉 伽 耶 迦 葉 那 提 迦 葉 舍 利 弗 目 犍 連 
X58n1019_001:0587b24	先並事火外道。艱苦屢載。都無所獲。	先 並 事 火 外 道 艱 苦 屢 載 都 無 所 獲 
X58n1019_001:0587c01	非曰。舍利弗。目犍連。智度論云。婆羅門子優婆低	非 曰 舍 利 弗 目 犍 連 智 度 論 云 婆 羅 門 子 優 婆 低 
X58n1019_001:0587c02	沙。即舍利弗也。離多。即目連也。遇馬勝比丘。指見	沙 即 舍 利 弗 也 離 多 即 目 連 也 遇 馬 勝 比 丘 指 見 
X58n1019_001:0587c03	世尊。二人俱詣佛所。求索出家。且非事火外道也。	世 尊 二 人 俱 詣 佛 所 求 索 出 家 且 非 事 火 外 道 也 
X58n1019_001:0587c04	有謂事苑引天台觀經疏。何故不遵。且智者宗承	有 謂 事 苑 引 天 台 觀 經 疏 何 故 不 遵 且 智 者 宗 承 
X58n1019_001:0587c05	龍樹。豈特遺大菩薩耶。自不曉智者意。幸請熟觀。	龍 樹 豈 特 遺 大 菩 薩 耶 自 不 曉 智 者 意 幸 請 熟 觀 
X58n1019_001:0587c06	然亦小事。儻有大節。豈不誤聖師之意耶。	然 亦 小 事 儻 有 大 節 豈 不 誤 聖 師 之 意 耶 
X58n1019_001:0587c07	天竺垂足而食。故食訖洗足。	天 竺 垂 足 而 食 故 食 訖 洗 足 
X58n1019_001:0587c08	非曰。善見律云。坐法有二。一結跏趺坐。二踞坐。設	非 曰 善 見 律 云 坐 法 有 二 一 結跏趺坐 二 踞 坐 設 
X58n1019_001:0587c09	則篇云。踞坐者。佛始成道受乳糜。觀諸佛法。皆著	則 篇 云 踞 坐 者 佛 始 成 道 受 乳 糜 觀 諸 佛 法 皆 著 
X58n1019_001:0587c10	淨衣踞坐而食。若有出家弟子。應如是法踞坐。制	淨 衣 踞 坐 而 食 若 有 出 家 弟 子 應 如 是 法 踞 坐 制 
X58n1019_001:0587c11	有九法。一脚前却。二闊脚。三搖動。四豎。五交。六垂。	有 九 法 一 脚 前 却 二 闊 脚 三 搖 動 四 豎 五 交 六 垂 
X58n1019_001:0587c12	七翹。八累脚。九累髀。並犯吉羅。今云垂足而食者。	七 翹 八 累 脚 九 累 髀 並 犯 吉 羅 今 云 垂 足 而 食 者 
X58n1019_001:0587c13	恐非佛意。	恐 非 佛 意 
X58n1019_001:0587c14	我相乃至壽者相。相亦名見。圭峯演無著論。釋四種	我 相 乃 至 壽 者 相 相 亦 名 見 圭 峯 演 無 著 論 釋 四 種 
X58n1019_001:0587c15	見相。所迷有二。迷識境起四見。如小般若。迷智境起	見 相 所 迷 有 二 迷 識 境 起 四 見 如 小 般 若 迷 智 境 起 
X58n1019_001:0587c16	四見。如圓覺(云云)然此經既密示階差自有淺深。亦	四 見 如 圓 覺 云 云 然 此 經 既 密 示 階 差 自 有 淺 深 亦 
X58n1019_001:0587c17	通兩種。迷智所起。惑體不同。無非我相。	通 兩 種 迷 智 所 起 惑 體 不 同 無 非 我 相 
X58n1019_001:0587c18	非曰。今觀此釋。則知未甞深考經意。若以圓覺金	非 曰 今 觀 此 釋 則 知 未 甞 深 考 經 意 若 以 圓 覺 金 
X58n1019_001:0587c19	剛二經對看。自知識智不同。淺深有異。不應指金	剛 二 經 對 看 自 知 識 智 不 同 淺 深 有 異 不 應 指 金 
X58n1019_001:0587c20	剛密示階差亦通二種。然圭峯密示階差。自說連	剛 密 示 階 差 亦 通 二 種 然 圭 峯 密 示 階 差 自 說 連 
X58n1019_001:0587c21	綴次第。故一十八住密示階差。非約迷識迷智故	綴 次 第 故 一 十 八 住 密 示 階 差 非 約 迷 識 迷 智 故 
X58n1019_001:0587c22	謂階差。幸勿胸臆。	謂 階 差 幸 勿 胸 臆 
X58n1019_001:0587c23	即則有人問云。此經多云即。又多云則。用此二字如	即 則 有 人 問 云 此 經 多 云 即 又 多 云 則 用 此 二 字 如 
X58n1019_001:0587c24	何分別。即不離於此也。則由之於此也。各隨文理語	何 分 別 即 不 離 於 此 也 則 由 之 於 此 也 各 隨 文 理 語 
X58n1019_001:0588a01	勢用之不同。	勢 用 之 不 同 
X58n1019_001:0588a02	非曰。近有蓮社淨樂居士張承宣跋云。即則二字	非 曰 近 有 蓮 社 淨 樂 居 士 張 承 宣 跋 云 即 則 二 字 
X58n1019_001:0588a03	者。謹按高麗太安六年。以彼國之祖名稷故。凡經	者 謹 按 高 麗 太 安 六 年 以 彼 國 之 祖 名 稷 故 凡 經 
X58n1019_001:0588a04	史之字。悉易即為則。避嫌也。至壽昌元年。詔刊此	史 之 字 悉 易 即 為 則 避 嫌 也 至 壽 昌 元 年 詔 刊 此 
X58n1019_001:0588a05	經於大興王寺。從沙門則瑜德詵之請。仍還本文。	經 於 大 興 王 寺 從 沙 門 則 瑜 德 詵 之 請 仍 還 本 文 
X58n1019_001:0588a06	或傳至中國。至有互寫。然人有所問。知與不知。宜	或 傳 至 中 國 至 有 互 寫 然 人 有 所 問 知 與 不 知 宜 
X58n1019_001:0588a07	當實對。何苦肆為穿鑿。	當 實 對 何 苦 肆 為 穿 鑿 
X58n1019_001:0588a08	東方虗空乃至上下虗空。一切大教多取虗空為喻。	東 方 虗 空 乃 至 上 下 虗 空 一 切 大 教 多 取 虗 空 為 喻 
X58n1019_001:0588a09	以虗空清淨無礙。性徧一切處故。世間大地萬物皆	以 虗 空 清 淨 無 礙 性 徧一切處 故 世 間 大 地 萬 物 皆 
X58n1019_001:0588a10	有無礙性處。名為虗空。萬物非無礙性。則不能有萬	有 無 礙 性 處 名 為 虗 空 萬 物 非 無 礙 性 則 不 能 有 萬 
X58n1019_001:0588a11	物用。當其無礙處有萬物用。今目前所見無物名為	物 用 當 其 無 礙 處 有 萬 物 用 今 目 前 所 見 無 物 名 為 
X58n1019_001:0588a12	顯色。有物名為形色。虗空無礙無所不包形顯諸色。	顯 色 有 物 名 為 形 色 虗 空 無 礙 無 所 不 包 形 顯 諸 色 
X58n1019_001:0588a13	非曰。今經自將虗空無邊。例顯無住相布施福德	非 曰 今 經 自 將 虗 空 無 邊 例 顯 無 住 相 布 施 福 德 
X58n1019_001:0588a14	無邊。却云。大地萬物皆有無礙性處。名為虗空等。	無 邊 却 云 大 地 萬 物 皆 有 無 礙 性 處 名 為 虗 空 等 
X58n1019_001:0588a15	又云。今目前所見無物名為顯色。有物名為形色	又 云 今 目 前 所 見 無 物 名 為 顯 色 有 物 名 為 形 色 
X58n1019_001:0588a16	者。語涉無稽也。然百法論自云。色有三種。一顯色。	者 語 涉 無 稽 也 然 百 法 論 自 云 色 有 三 種 一 顯 色 
X58n1019_001:0588a17	(青黃赤白光影明暗等)二形色。(長短方圓麤細高下等)三表色。(行住坐臥屈伸	 青 黃 赤 白 光 影 明 暗 等 二 形 色 長短方圓 麤 細 高 下 等 三 表 色 行住坐臥 屈 伸 
X58n1019_001:0588a18	取捨等)論謂青黃赤白為顯色。彼謂無物為顯色。莫	取 捨 等 論 謂 青 黃 赤 白 為 顯 色 彼 謂 無 物 為 顯 色 莫 
X58n1019_001:0588a19	不與論成氷炭耶。	不 與 論 成 氷 炭 耶 
X58n1019_001:0588a20	後五百歲。圭峯引大集經。證第五百歲。淨覺引母論	後 五 百 歲 圭 峯 引 大 集 經 證 第 五 百 歲 淨 覺 引 母 論 
X58n1019_001:0588a21	料揀。以大集為正。事苑云。二老通經可謂大手。於此	料 揀 以 大 集 為 正 事 苑 云 二 老 通 經 可 謂 大 手 於 此 
X58n1019_001:0588a22	名言尚昧元意。按無著論云。正法欲滅時者。謂修行	名 言 尚 昧 元 意 按 無 著 論 云 正 法 欲 滅 時 者 謂 修 行 
X58n1019_001:0588a23	漸滅時也。此甚分明指正法千年後五百歲。對前為	漸 滅 時 也 此 甚 分 明 指 正 法 千 年 後 五 百 歲 對 前 為 
X58n1019_001:0588a24	後。中分二五。若以大集為正。恐違無著。	後 中 分 二 五 若 以 大 集 為 正 恐 違 無 著 
X58n1019_001:0588b01	非曰。此因淨覺。援引毗尼母論。料揀大集。故生事	非 曰 此 因 淨 覺 援 引 毗 尼 母 論 料 揀 大 集 故 生 事 
X58n1019_001:0588b02	苑之疣贅。唐奘本云。於當來世後時後分後五百	苑 之 疣 贅 唐 奘 本 云 於當來世 後 時 後 分 後 五 百 
X58n1019_001:0588b03	歲正法將滅時。魏本。於未來世末世法欲滅時。隋	歲 正 法 將 滅 時 魏 本 於未來世 末 世 法 欲 滅 時 隋 
X58n1019_001:0588b04	本亦同。真諦本云。於未來世後五十歲正法滅時。	本 亦 同 真 諦 本 云 於未來世 後 五 十 歲 正 法 滅 時 
X58n1019_001:0588b05	什本云後五百歲。新羅曉法師疏云。所以諸本有	什 本 云 後 五 百 歲 新 羅 曉 法 師 疏 云 所 以 諸 本 有 
X58n1019_001:0588b06	不同者。未必譯者有誤錯耳。真諦本云五十歲者。	不 同 者 未 必 譯 者 有 誤 錯 耳 真 諦 本 云 五 十 歲 者 
X58n1019_001:0588b07	謂其人壽五十歲時。此時正法千年已過。故言正	謂 其 人 壽 五 十 歲 時 此 時 正 法 千 年 已 過 故 言 正 
X58n1019_001:0588b08	法滅時。然此正像及與末法。皆不同外道邪法。依	法 滅 時 然 此 正 像 及 與 末 法 皆 不 同 外 道 邪 法 依 
X58n1019_001:0588b09	此而言。通名正法。後五百歲。大集月藏分第五。五	此 而 言 通 名 正 法 後 五 百 歲 大 集 月 藏 分 第 五 五 
X58n1019_001:0588b10	百歲後當人壽五十歲時。毗尼母論乃小乘論。自	百 歲 後 當 人 壽 五 十 歲 時 毗 尼 母 論 乃 小 乘 論 自 
X58n1019_001:0588b11	說。女人出家減正法五百年。唐青龍疏云。小乘不	說 女 人 出 家 減 正 法 五 百 年 唐 青 龍 疏 云 小 乘 不 
X58n1019_001:0588b12	依五百為配。但以一百而為分配。今依大乘。此經	依 五 百 為 配 但 以 一 百 而 為 分 配 今 依 大 乘 此 經 
X58n1019_001:0588b13	及法華佛藏經等。皆言後五百歲。以五百為分配	及 法 華 佛 藏 經 等 皆 言 後 五 百 歲 以 五 百 為 分 配 
X58n1019_001:0588b14	也。然大小經論不同。如何以小乘論用證大乘經	也 然 大 小 經 論 不 同 如 何 以 小 乘 論 用 證 大 乘 經 
X58n1019_001:0588b15	耶。況慈恩清涼青龍元曉等諸大聖師。皆云正當。	耶 況 慈 恩 清 涼 青 龍 元 曉 等 諸 大 聖 師 皆 云 正 當 
X58n1019_001:0588b16	大集經月藏分最後五百歲。將鄰鬪諍之時。獨今	大 集 經 月 藏 分 最 後 五 百 歲 將 鄰 鬪 諍 之 時 獨 今 
X58n1019_001:0588b17	異於諸大聖師。良恐不勝任矣。	異 於 諸 大 聖 師 良 恐 不 勝 任 矣 
X58n1019_001:0588b18	持戒修福者。圭峯纂要云。戒定也。以修福屬定。隋譯	持 戒 修 福 者 圭 峯 纂 要 云 戒 定 也 以 修 福 屬 定 隋 譯 
X58n1019_001:0588b19	云。有持戒修福智慧者。無著論以三學釋故。今謂什	云 有 持 戒 修 福 智 慧 者 無 著 論 以 三 學 釋 故 今 謂 什 
X58n1019_001:0588b20	譯特略智慧。為其上文。帶後五百歲而來。佛入滅後	譯 特 略 智 慧 為 其 上 文 帶 後 五 百 歲 而 來 佛 入 滅 後 
X58n1019_001:0588b21	正法後五百歲。戒定解脫多聞等。什譯意高。略而復	正 法 後 五 百 歲 戒 定 解 脫 多 聞 等 什 譯 意 高 略 而 復 
X58n1019_001:0588b22	周。	周 
X58n1019_001:0588b23	非曰。前指母論。自與天親論不相乳合。天親云。若	非 曰 前 指 母 論 自 與 天 親 論 不 相 乳 合 天 親 云 若 
X58n1019_001:0588b24	未來惡世人。不生信心。若正法中。豈曰未來惡世	未 來 惡 世 人 不生信心 若 正 法 中 豈 曰 未 來 惡 世 
X58n1019_001:0588c01	耶。真諦曰。於未來世後五十歲。若正法中。不應人	耶 真 諦 曰 於未來世 後 五 十 歲 若 正 法 中 不 應 人 
X58n1019_001:0588c02	壽五十歲也。又出什譯好略智慧。謂帶上五百歲	壽 五 十 歲 也 又 出 什 譯 好 略 智 慧 謂 帶 上 五 百 歲 
X58n1019_001:0588c03	來者。若指上五百歲。亦配屬顛倒也。有謂魏本云。	來 者 若 指 上 五 百 歲 亦 配 屬 顛 倒 也 有 謂 魏 本 云 
X58n1019_001:0588c04	持戒修福智慧。下文亦有以此為實之言者。却有	持 戒 修 福 智 慧 下 文 亦 有 以 此 為 實 之 言 者 却 有 
X58n1019_001:0588c05	兩智慧耶。豈魏本無未來世末世耶。斯言即當什	兩 智 慧 耶 豈 魏 本 無 未 來 世 末 世 耶 斯 言 即 當 什 
X58n1019_001:0588c06	本後五百歲。若然者。亦應兩重智慧也。思之。纂要	本 後 五 百 歲 若 然 者 亦 應 兩 重 智 慧 也 思 之 纂 要 
X58n1019_001:0588c07	之意。非君等所知。	之 意 非 君 等 所 知 
X58n1019_001:0588c08	無法相亦無非法相。法順菩提也。非法逆菩提也。	無 法 相 亦 無 非 法 相 法 順 菩 提 也 非 法 逆 菩 提 也 
X58n1019_001:0588c09	非曰。經意有無俱遣。故法非法皆拂。却云順菩提	非 曰 經 意 有 無 俱 遣 故 法 非 法 皆 拂 却 云 順 菩 提 
X58n1019_001:0588c10	逆菩提。得非認指作月乎。	逆 菩 提 得 非 認 指 作 月 乎 
X58n1019_001:0588c11	所謂佛法者即非佛法。此下經文以非蕩相。蕩而復	所 謂 佛 法 者 即 非 佛 法 此 下 經 文 以 非 蕩 相 蕩 而 復 
X58n1019_001:0588c12	立。故云是名。若此文與下文忍辱波羅蜜。蕩相而已。	立 故 云 是 名 若 此 文 與 下 文 忍 辱 波 羅 蜜 蕩 相 而 已 
X58n1019_001:0588c13	無復立法。勘同法義。理必須通。譯主所尚刪繁互顯。	無 復 立 法 勘 同 法 義 理 必 須 通 譯 主 所 尚 刪 繁 互 顯 
X58n1019_001:0588c14	故此略之。	故 此 略 之 
X58n1019_001:0588c15	非曰。彼謂佛法者即非佛法已下經文。皆蕩而復	非 曰 彼 謂 佛 法 者 即 非 佛 法 已 下 經 文 皆 蕩 而 復 
X58n1019_001:0588c16	立。例顯即非忍辱下亦有是名。譯主尚略故略之	立 例 顯 即 非 忍 辱 下 亦 有 是 名 譯 主 尚 略 故 略 之 
