T45n1886_001:0707c22	原人論序	原 人 論 序 
T45n1886_001:0709c17	若非物，以何為相？故知夢時則夢想夢物，似	若 非 物 以 何 為 相 故 知 夢 時 則 夢 想 夢 物 似 
T45n1886_001:0709c18	能見所見之殊，據理則同一虛妄，都無所有。	能見所見 之 殊 據 理 則 同 一 虛 妄 都無所有 
T45n1886_001:0709c19	諸識亦爾，以皆假託眾緣，無自性故。故《中觀	諸 識 亦 爾 以 皆 假 託 眾 緣 無 自 性 故 故 中 觀 
T45n1886_001:0709c20	論》云，未曾有一法，不從因緣生；是故一切法，	論 云 未 曾 有 一 法 不從因緣生 是 故 一 切 法 
T45n1886_001:0709c21	無不是空者。又云，因緣所生法，我說即是空。	無 不 是 空 者 又 云 因緣所生 法 我 說 即 是 空 
T45n1886_001:0709c22	《起信論》云，一切諸法唯依妄念而有差別，若	 起 信 論 云 一切諸法 唯 依 妄 念 而有差別 若 
T45n1886_001:0709c23	離心念，即無一切境界之相。經云，凡所有相	離 心 念 即 無 一切境界 之 相 經 云 凡 所 有 相 
T45n1886_001:0709c24	皆是虛妄，離一切相即名諸佛(如此等文徧大乘藏)。是知	皆 是 虛 妄 離一切相 即 名 諸 佛 如 此 等 文 徧 大 乘 藏 是 知 
T45n1886_001:0709c25	心境皆空，方是大乘實理。若約此原身，身元	心 境 皆 空 方 是 大 乘 實 理 若 約 此 原 身 身 元 
T45n1886_001:0709c26	是空，空即是本。今復詰此教曰：若心境皆無，	是 空 空 即 是 本 今 復 詰 此 教 曰 若 心 境 皆 無 
T45n1886_001:0709c27	知無者誰？又若都無實法，依何現諸虛妄？且	知 無 者 誰 又 若 都 無 實 法 依 何 現 諸 虛 妄 且 
T45n1886_001:0709c28	現見世間虛妄之物，未有不依實法而能起	現見世間 虛 妄 之 物 未 有 不 依 實 法 而 能 起 
T45n1886_001:0709c29	者。如無濕性不變之水，何有虛妄假相之波？	者 如 無 濕 性 不 變 之 水 何 有 虛 妄 假 相 之 波 
T45n1886_001:0710a01	若無淨明不變之境，何有種種虛假之影？又	若 無 淨 明 不 變 之 境 何 有 種 種 虛 假 之 影 又 
T45n1886_001:0710a02	前說夢想夢境同虛妄者，誠如所言；然此虛	前 說 夢 想 夢 境 同 虛 妄 者 誠 如 所 言 然 此 虛 
T45n1886_001:0710a03	妄之夢，必依睡眠之人。今既心境皆空，未	妄 之 夢 必 依 睡 眠 之 人 今 既 心 境 皆 空 未 
T45n1886_001:0710a04	審依何妄現？故知此教但破執情，亦未明顯	審 依 何 妄 現 故 知 此 教 但 破 執 情 亦 未 明 顯 
T45n1886_001:0710a05	真靈之性。故《法鼓經》云，一切空經是有餘說	真 靈 之 性 故 法 鼓 經 云 一 切 空 經 是 有 餘 說 
T45n1886_001:0710a06	(有餘者，餘義未了也)。《大品經》云，空是大乘之初門。上之四	 有 餘 者 餘 義 未 了 也 大 品 經 云 空 是 大 乘 之 初 門 上 之 四 
T45n1886_001:0710a07	教展轉相望，前淺後深。若且習之自知未了，	教 展轉相望 前 淺 後 深 若 且 習 之 自 知 未 了 
T45n1886_001:0710a08	名之為淺：若執為了，即名為偏。故就習人，云	名 之 為 淺 若 執 為 了 即 名 為 偏 故 就 習 人 云 
T45n1886_001:0710a09	偏淺也。	偏 淺 也 
T45n1886_001:0710a10	直顯真源第三(佛了義實教)	直 顯 真 源 第 三 佛 了 義 實 教 
T45n1886_001:0710a11	五、一乘顯性教者，說一切有情皆有本覺真	五 一 乘 顯 性 教 者 說 一切有情 皆 有 本 覺 真 
T45n1886_001:0710a12	心，無始以來常住清淨，昭昭不昧了了常	心 無 始 以 來 常 住 清 淨 昭 昭 不 昧 了 了 常 
T45n1886_001:0710a13	知，亦名佛性，亦名如來藏。從無始際，妄相	知 亦 名 佛 性 亦 名 如 來 藏 從 無 始 際 妄 相 
T45n1886_001:0710a14	翳之不自覺知，但認凡質故，耽著結業受生	翳 之 不 自 覺 知 但 認 凡 質 故 耽 著 結 業 受 生 
T45n1886_001:0710a15	死苦。大覺愍之，說一切皆空，又開示靈覺真	死 苦 大 覺 愍 之 說 一切皆空 又 開 示 靈 覺 真 
T45n1886_001:0710a16	心清淨全同諸佛。故《華嚴經》云，佛子，無一眾	心 清 淨 全 同 諸 佛 故 華 嚴 經 云 佛 子 無 一 眾 
T45n1886_001:0710a17	生而不具有如來智慧，但以妄想執著而不	生 而 不 具 有 如來智慧 但 以 妄 想 執 著 而 不 
T45n1886_001:0710a18	證得。若離妄想，一切智、自然智、無礙智，即得	證 得 若 離 妄 想 一 切 智 自 然 智 無 礙 智 即 得 
T45n1886_001:0710a19	現前。便舉一塵含大千經卷之喻，塵況眾生，	現 前 便 舉 一 塵 含 大 千 經 卷 之 喻 塵 況 眾 生 
T45n1886_001:0710a20	經況佛智。次後又云，爾時如來普觀法界一	經 況 佛 智 次 後 又 云 爾 時 如 來 普 觀 法 界 一 
T45n1886_001:0710a21	切眾生，而作是言，奇哉！奇哉！此諸眾生，云何	切 眾 生 而 作 是 言 奇 哉 奇 哉 此 諸 眾 生 云 何 
T45n1886_001:0710a22	具有如來智慧迷惑不見？我當教以聖道，令	具 有 如來智慧 迷 惑 不 見 我 當 教 以 聖 道 令 
T45n1886_001:0710a23	其永離妄想，自於身中得見如來廣大智慧，	其 永 離 妄 想 自 於 身 中 得 見 如來廣大智 慧 
T45n1886_001:0710a24	與佛無異。評曰，我等多劫未遇真宗，不解返	與 佛 無 異 評 曰 我 等 多 劫 未 遇 真 宗 不 解 返 
T45n1886_001:0710a25	自原身，但執虛妄之相，甘認凡下，或畜或人。	自 原 身 但 執 虛 妄 之 相 甘 認 凡 下 或 畜 或 人 
T45n1886_001:0710a26	今約至教原之，方覺本來是佛，故須行依佛	今 約 至 教 原 之 方 覺 本 來 是 佛 故 須 行 依 佛 
T45n1886_001:0710a27	行，心契佛心。返本還源，斷除凡習，損之又損，	行 心 契 佛 心 返 本 還 源 斷 除 凡 習 損 之 又 損 
T45n1886_001:0710a28	以至無為，自然應用恒沙，名之曰佛。當知迷	以 至 無 為 自 然 應 用 恒 沙 名 之 曰 佛 當 知 迷 
T45n1886_001:0710a29	悟同一真心，大哉妙門，原人至此(然佛說前五教，或漸或頓，若	悟 同 一 真 心 大 哉 妙 門 原 人 至 此 然 佛 說 前 五 教 或 漸 或 頓 若 
T45n1886_001:0710b01	有中下之機，則從淺至深，漸漸誘接。先說初教，令離惡住善；次說二三，令離染住淨；後說四五，破相顯性，會	有 中 下 之 機 則 從 淺 至 深 漸 漸 誘 接 先 說 初 教 令 離 惡 住 善 次 說 二 三 令 離 染 住 淨 後 說 四 五 破 相 顯 性 會 
T45n1886_001:0710b02	權歸實，依實教修乃至成佛。若上上根智，則從本至末，謂初便依第五頓指一真心體，心體既顯，自覺一切皆是虛	權 歸 實 依 實 教 修 乃至成佛 若 上 上 根 智 則 從 本 至 末 謂 初 便 依 第 五 頓 指 一 真 心 體 心 體 既 顯 自 覺 一 切 皆 是 虛 
T45n1886_001:0710b03	妄，令來空寂，但以迷故，託真而起。須以悟真之智，斷惡修善，修善息妄歸真，妄盡真圓，是名法身佛)。	妄 令 來 空 寂 但 以 迷 故 託 真 而 起 須 以 悟 真 之 智 斷 惡 修 善 修 善 息 妄 歸 真 妄 盡 真 圓 是 名 法 身 佛 
T45n1886_001:0710b04	會通本末第四(會前所斥，同歸一源，皆為正義)	會 通 本 末 第 四 會 前 所 斥 同 歸 一 源 皆 為 正 義 
T45n1886_001:0710b05	真性雖為身本，生起蓋有因由，不可無端忽	真 性 雖 為 身 本 生 起 蓋 有 因 由 不 可 無 端 忽 
T45n1886_001:0710b06	成身相。但緣前宗未了，所以節節斥之。今將	成 身 相 但 緣 前 宗 未 了 所 以 節 節 斥 之 今 將 
T45n1886_001:0710b07	本末會通，乃至儒道亦是(初唯第五性教所說，從後段已去，節級方同諸	本 末 會 通 乃 至 儒 道 亦 是 初 唯 第 五 性 教 所 說 從 後 段 已 去 節 級 方 同 諸 
T45n1886_001:0710b08	教，各如注說)。謂初唯一真靈性，不生不滅，不增不減，	教 各 如 注 說 謂 初 唯 一 真 靈 性 不生不滅 不增不減 
T45n1886_001:0710b09	不變不易。眾生無始迷睡不自覺知，由隱覆	不 變 不 易 眾 生 無 始 迷 睡 不 自 覺 知 由 隱 覆 
T45n1886_001:0710b10	故名如來藏；依如來藏，故有生滅心相(自此方是第四	故 名 如 來 藏 依 如 來 藏 故 有 生 滅 心 相 自 此 方 是 第 四 
T45n1886_001:0710b11	教，亦同破此已生滅諸相)。所謂不生滅真心與生滅妄想和合，	教 亦 同 破 此 已 生 滅 諸 相 所 謂 不 生 滅 真 心 與 生 滅 妄 想 和 合 
T45n1886_001:0710b12	非一非異，名為阿賴耶識。此識有覺不覺二	非一非異 名 為 阿賴耶識 此 識 有 覺 不 覺 二 
T45n1886_001:0710b13	義(此下方是第三法相教中亦同所說)。依不覺故，最初動念，名為	義 此 下 方 是 第 三 法 相 教 中 亦 同 所 說 依 不 覺 故 最 初 動 念 名 為 
T45n1886_001:0710b14	業相。又不覺此念本無故，轉成能見之識及	業 相 又 不 覺 此 念 本 無 故 轉 成 能 見 之 識 及 
T45n1886_001:0710b15	所見境界相現。又不覺此境從自心妄現，執	所 見 境 界 相 現 又 不 覺 此 境 從 自 心 妄 現 執 
T45n1886_001:0710b16	為定有，名為法執(此下方是第二小乘教中亦同所說)。執此等故，遂	為 定 有 名 為 法 執 此 下 方 是 第 二 小 乘 教 中 亦 同 所 說 執 此 等 故 遂 
T45n1886_001:0710b17	見自他之殊，便成我執。執我相故，貪愛順情	見 自 他 之 殊 便 成 我 執 執 我 相 故 貪 愛 順 情 
T45n1886_001:0710b18	諸境，欲以潤我；瞋嫌違情諸境，恐相損惱；愚	諸 境 欲 以 潤 我 瞋 嫌 違 情 諸 境 恐 相 損 惱 愚 
T45n1886_001:0710b19	癡之情，展轉增長(此下方是第一人天教中亦同所說)。故殺盜等心	癡 之 情 展轉增長 此 下 方 是 第 一 人 天 教 中 亦 同 所 說 故 殺 盜 等 心 
T45n1886_001:0710b20	神乘此惡業，生於地獄、鬼、畜等中。復有怖	神 乘 此 惡 業 生 於 地 獄 鬼 畜 等 中 復 有 怖 
T45n1886_001:0710b21	此苦者，或性善者，行施戒等心神乘此善業，	此 苦 者 或 性 善 者 行 施 戒 等 心 神 乘 此 善 業 
T45n1886_001:0710b22	運於中陰入母胎中(此下方是儒道二教亦同所說)。稟氣受質(會彼	運 於 中 陰 入 母 胎 中 此 下 方 是 儒 道 二 教 亦 同 所 說 稟 氣 受 質 會 彼 
T45n1886_001:0710b23	所說，以氣為本)，氣則頓具四大漸成諸根，心則頓具四	所 說 以 氣 為 本 氣 則 頓 具 四 大 漸 成 諸 根 心 則 頓 具 四 
T45n1886_001:0710b24	蘊漸成諸識。十月滿足生來名人，即我等今	蘊 漸 成 諸 識 十 月 滿 足 生 來 名 人 即 我 等 今 
T45n1886_001:0710b25	者身心是也。故知身心各有其本，二類和合	者 身 心 是 也 故 知 身 心 各 有 其 本 二 類 和 合 
T45n1886_001:0710b26	方成一人。天、修羅等大同於此。然雖因引業	方 成 一 人 天 修 羅 等 大 同 於 此 然 雖 因 引 業 
T45n1886_001:0710b27	受得此身，復由滿業故，貴賤貧富、壽夭病健、	受 得 此 身 復 由 滿 業 故 貴 賤 貧 富 壽 夭 病 健 
T45n1886_001:0710b28	盛衰苦樂。謂前生敬慢為因，今感貴賤之果。	盛 衰 苦 樂 謂 前 生 敬 慢 為 因 今 感 貴 賤 之 果 
T45n1886_001:0710c01	乃至仁壽殺夭、施富慳貧，種種別報，不可具	乃 至 仁 壽 殺 夭 施 富 慳 貧 種 種 別 報 不 可 具 
T45n1886_001:0710c02	述。是以此身或有無惡自禍、無善自福、不仁	述 是 以 此 身 或 有 無 惡 自 禍 無 善 自 福 不 仁 
T45n1886_001:0710c03	而壽、不殺而夭等者，皆是前生滿業已定，故	而 壽 不 殺 而 夭 等 者 皆 是 前 生 滿 業 已 定 故 
T45n1886_001:0710c04	今世不同，所作自然如然，外學者不知前世，	今 世 不 同 所 作 自 然 如 然 外 學 者 不 知 前 世 
T45n1886_001:0710c05	但據目覩，唯執自然(會彼所說，自然為本)。復有前生少者修	但 據 目 覩 唯 執 自 然 會 彼 所 說 自 然 為 本 復 有 前 生 少 者 修 
T45n1886_001:0710c06	善，老而造惡；或少惡老善，故今世少小富貴	善 老 而 造 惡 或 少 惡 老 善 故 今 世 少 小 富 貴 
T45n1886_001:0710c07	而樂，老大貧賤而苦；或少貧苦老富貴等。故	而 樂 老 大 貧 賤 而 苦 或 少 貧 苦 老 富 貴 等 故 
T45n1886_001:0710c08	外學者不知，唯執否泰由於時運(會彼所說，皆由天命)。然	外 學 者 不 知 唯 執 否 泰 由 於 時 運 會 彼 所 說 皆 由 天 命 然 
T45n1886_001:0710c09	所稟之氣，展轉推本，即混一之元氣也；所起	所 稟 之 氣 展 轉 推 本 即 混 一 之 元 氣 也 所 起 
T45n1886_001:0710c10	之心，展轉窮源，即真一之靈心也。究實言之，	之 心 展 轉 窮 源 即 真 一 之 靈 心 也 究 實 言 之 
T45n1886_001:0710c11	心外的無別法。元氣亦從心之所變，屬前轉	心 外 的 無 別 法 元 氣 亦 從 心 之 所 變 屬 前 轉 
T45n1886_001:0710c12	識所現之境，是阿賴耶相分所攝。從初一念	識 所 現 之 境 是 阿 賴 耶 相 分 所 攝 從 初 一 念 
T45n1886_001:0710c13	業相，分為心境之二，心既從細至麁，展轉妄	業 相 分 為 心 境 之 二 心 既 從 細 至 麁 展 轉 妄 
T45n1886_001:0710c14	計乃至造業(如前敘列)；境亦從微至著，展轉變起乃	計 乃 至 造 業 如 前 敘 列 境 亦 從 微 至 著 展 轉 變 起 乃 
T45n1886_001:0710c15	至天地(即彼始自太易，五重運轉乃至太極，太極生兩儀。彼說自然太道，如此說真性，其實但是一念能	至 天 地 即 彼 始 自 太 易 五 重 運 轉 乃 至 太 極 太 極 生 兩 儀 彼 說 自 然 太 道 如 此 說 真 性 其 實 但 是 一 念 能 
T45n1886_001:0710c16	變見分。彼云，元氣如此一念初動。其實但是境界之相)。業既成熟，即從父母稟	變 見 分 彼 云 元 氣 如 此 一 念 初 動 其 實 但 是 境 界 之 相 業 既 成 熟 即 從 父 母 稟 
T45n1886_001:0710c17	受二氣，與業識和合成就人身。據此則心識	受 二 氣 與 業 識 和 合 成 就 人 身 據 此 則 心 識 
T45n1886_001:0710c18	所變之境，乃成二分。一分即與心識和合成	所 變 之 境 乃 成 二 分 一 分 即 與 心 識 和 合 成 
T45n1886_001:0710c19	人，一分不與心識和合，即成天地山河國	人 一 分 不 與 心 識 和 合 即 成 天 地 山 河 國 
T45n1886_001:0710c20	邑。三才中唯人靈者，由與心神合也。佛說內	邑 三 才 中 唯 人 靈 者 由 與 心 神 合 也 佛 說 內 
T45n1886_001:0710c21	四大與外四大不同，正是此也。哀哉！寡學異	四 大 與 外 四 大 不 同 正 是 此 也 哀 哉 寡 學 異 
T45n1886_001:0710c22	執紛然，寄語道流，欲成佛者，必須洞明麁細	執 紛 然 寄 語 道 流 欲 成 佛 者 必 須 洞 明 麁 細 
T45n1886_001:0710c23	本末，方能棄末歸本，返照心源。麁盡細除，靈	本 末 方 能 棄 末 歸 本 返 照 心 源 麁 盡 細 除 靈 
T45n1886_001:0710c24	性顯現，無法不達，名法報身；應現無窮，名	性 顯 現 無 法 不 達 名 法 報 身 應 現 無 窮 名 
T45n1886_001:0710c25	化身佛。	化 身 佛 
T45n1886_001:0710c26	原人論(終)	原 人 論 終 
