X16n0308_001:0012a03	 續夢始末	 續 夢 始 末 
X16n0308_001:0038c09	白佛。此非我心當名何等。○佛告阿難。此是前塵虗	白 佛 此 非 我 心 當 名 何 等 佛 告 阿 難 此 是 前 塵 虗 
X16n0308_001:0038c10	妄相想惑汝真性。○由汝無始至於今生認賊為子。	妄 相 想 惑 汝 真 性 由 汝 無 始 至 於 今 生 認 賊 為 子 
X16n0308_001:0038c11	失汝元常故受輪轉。	失 汝 元 常 故 受 輪 轉 
X16n0308_001:0038c12	初振喝直斥。咄。振威痛喝也。臨濟一喝具四義。一	初 振 喝 直 斥 咄 振 威 痛 喝 也 臨 濟 一 喝 具 四 義 一 
X16n0308_001:0038c13	如金剛王寶劒。今則斬除妄本。即金剛劒也。二如	如 金 剛 王 寶 劒 今 則 斬 除 妄 本 即 金 剛 劒 也 二 如 
X16n0308_001:0038c14	踞地師子。今則驚散狐疑。即師子吼也。三如探竿	踞 地 師 子 今 則 驚 散 狐 疑 即 師 子 吼 也 三 如 探 竿 
X16n0308_001:0038c15	影草。今則試聞遮解。(試探聞性。遮障解路)即探竿影草也。四	影 草 今 則 試 聞 遮 解 試 探 聞 性 遮 障 解 路 即 探 竿 影 草 也 四 
X16n0308_001:0038c16	不作一喝用。今則隨心薦取。即不作一喝用也。座	不 作 一 喝 用 今 則 隨 心 薦 取 即 不 作 一 喝 用 也 座 
X16n0308_001:0038c17	有知音。自應吐舌。而又呼名示以非心者。因其耳	有 知 音 自 應 吐 舌 而 又 呼 名 示 以 非 心 者 因 其 耳 
X16n0308_001:0038c18	尚未聾。帶累世尊墮老婆禪也。○阿難下。驚索名	尚 未 聾 帶 累 世 尊 墮 老 婆 禪 也 阿 難 下 驚 索 名 
X16n0308_001:0038c19	目。矍然者。驚愕貌。正脈云。經久自恃。唯知有此。一	目 矍 然 者 驚 愕 貌 正 脈 云 經 久 自 恃 唯 知 有 此 一 
X16n0308_001:0038c20	旦奪之。無有不驚者矣。避離也。離座者。恐懼不安	旦 奪 之 無 有 不 驚 者 矣 避 離 也 離 座 者 恐 懼 不 安 
X16n0308_001:0038c21	之貌。無可如何。唯有待教。故合掌起立。合掌者。待	之 貌 無 可 如 何 唯 有 待 教 故 合 掌 起 立 合 掌 者 待 
X16n0308_001:0038c22	教之意。起立者。白佛之儀。白佛者。反以質索。索以	教 之 意 起 立 者 白 佛 之 儀 白 佛 者 反 以 質 索 索 以 
X16n0308_001:0038c23	此非我心。當名何等者。以阿難雖聞非心。猶未悟	此 非 我 心 當 名 何 等 者 以 阿 難 雖 聞 非 心 猶 未 悟 
X16n0308_001:0038c24	妄。無所稱謂。恐落斷滅故。○佛告下。指以妄名。前	妄 無 所 稱 謂 恐 落 斷 滅 故 佛 告 下 指 以 妄 名 前 
X16n0308_001:0039a01	塵色聲等。性境也。虗妄相法塵獨影境也。想有二	塵 色 聲 等 性 境 也 虗 妄 相 法 塵 獨 影 境 也 想 有 二 
X16n0308_001:0039a02	釋。一通指六識。以前五識。對性境起。第六識。對獨	釋 一 通 指 六 識 以 前 五 識 對 性 境 起 第 六 識 對 獨 
X16n0308_001:0039a03	影境起。故合云前塵及虗妄相上之想。同為妄本。	影 境 起 故 合 云 前 塵 及 虗 妄 相 上 之 想 同 為 妄 本 
X16n0308_001:0039a04	破則俱破。二唯指第六。以第六意識。是前塵落謝	破 則 俱 破 二 唯 指 第 六 以 第六意識 是 前 塵 落 謝 
X16n0308_001:0039a05	虗妄影相上所起之想。正顯境且至虗。意識豈實	虗 妄 影 相 上 所 起 之 想 正 顯 境 且 至 虗 意 識 豈 實 
X16n0308_001:0039a06	有哉。一向遺真。皆由認此。故云惑汝真性。○由汝	有 哉 一 向 遺 真 皆 由 認 此 故 云 惑 汝 真 性 由 汝 
X16n0308_001:0039a07	下。出其過患。亦是釋上惑真之義。如來意謂。我言	下 出 其 過 患 亦 是 釋 上 惑 真 之 義 如 來 意 謂 我 言 
X16n0308_001:0039a08	惑汝真性者。由汝於無始來。至於今生。以妄作真。	惑 汝 真 性 者 由 汝 於 無 始 來 至 於 今 生 以 妄 作 真 
X16n0308_001:0039a09	猶如認賊為子。其禍患可勝言哉。然如來以賊喻	猶 如 認 賊 為 子 其 禍 患 可 勝 言 哉 然 如 來 以 賊 喻 
X16n0308_001:0039a10	妄心者。以能損法財。滅功德故。以子喻真心者。以	妄 心 者 以 能 損 法 財 滅 功 德 故 以 子 喻 真 心 者 以 
X16n0308_001:0039a11	能持性德。續佛果故。既唯認妄。必至遺真。故云失	能 持 性 德 續 佛 果 故 既 唯 認 妄 必 至 遺 真 故 云 失 
X16n0308_001:0039a12	汝元常。元常者即真心對彼妄心無常立名。正脈	汝 元 常 元 常 者 即 真 心 對 彼 妄 心 無 常 立 名 正 脈 
X16n0308_001:0039a13	云。失元常者。如人既認賊為子。更不求覓真子矣。	云 失 元 常 者 如 人 既 認 賊 為 子 更 不 求 覓 真 子 矣 
X16n0308_001:0039a14	受輪轉者。元常之心既失。無常之心益熾。起惑造	受 輪 轉 者 元 常 之 心 既 失 無 常 之 心 益 熾 起 惑 造 
X16n0308_001:0039a15	業。六道往復。如人真子既失。賊子益縱。必至家私	業 六 道 往 復 如 人 真 子 既 失 賊 子 益 縱 必 至 家 私 
X16n0308_001:0039a16	蕩盡。馳騁求食。知此者。當預為辯之。不受其惑。則	蕩 盡 馳 騁 求 食 知 此 者 當 預 為 辯 之 不 受 其 惑 則 
X16n0308_001:0039a17	輪轉息。而元常立矣。顯呵妄識非心竟。	輪 轉 息 而 元 常 立 矣 顯 呵 妄 識 非 心 竟 
X16n0308_001:0039a18	三推破妄識無體(上已聲正其罪。此乃斬其首級。族其餘黨)三。一阿	三 推 破 妄 識 無 體 上 已 聲 正 其 罪 此 乃 斬 其 首 級 族 其 餘 黨 三 一 阿 
X16n0308_001:0039a19	難驚怖求示。二如來示有推無。三會眾知非無辯。	難 驚 怖 求 示 二 如 來 示 有 推 無 三 會 眾 知 非 無 辯 
X16n0308_001:0039a20	初二。一歷述得力。二怖無求開。初二。一	初 二 一 歷 述 得 力 二 怖 無 求 開 初 二 一 
X16n0308_001:0039a21	已往由心。二例知將來。初。	已 往 由 心 二 例 知 將 來 初 
X16n0308_001:0039a22	阿難白佛言。世尊。我佛寵弟。心愛佛故令我出家。	阿 難 白 佛 言 世 尊 我 佛 寵 弟 心 愛 佛 故 令 我 出 家 
X16n0308_001:0039a23	寵者重愛義。前云我是如來最小之弟。因小見寵。	寵 者 重 愛 義 前 云 我 是 如 來 最 小 之 弟 因 小 見 寵 
X16n0308_001:0039a24	亦常情也。心愛佛故。令我出家者。見佛相好。知非	亦 常 情 也 心 愛 佛 故 令 我 出 家 者 見 佛 相 好 知 非 
X16n0308_001:0039b01	欲生故愛。願得佛身。厭家思修故出。又出家義含	欲 生 故 愛 願 得 佛 身 厭 家 思 修 故 出 又 出 家 義 含 
X16n0308_001:0039b02	供佛。以現為侍者故。觀下何獨句可知。	供 佛 以 現 為 侍 者 故 觀 下 何 獨 句 可 知 
X16n0308_001:0039b03	二例知將來。	二 例 知 將 來 
X16n0308_001:0039b04	我心何獨供養如來。乃至徧歷恒沙國土承事諸佛	我 心 何 獨 供養如來 乃 至 徧 歷 恒 沙 國 土 承 事 諸 佛 
X16n0308_001:0039b05	及善知識。發大勇猛行諸一切難行法事皆用此心。	及 善 知 識 發 大 勇 猛 行 諸 一 切 難 行 法 事 皆 用 此 心 
X16n0308_001:0039b06	○縱令謗法永退善根亦因此心。	 縱 令 謗 法 永 退 善 根 亦 因 此 心 
X16n0308_001:0039b07	初作善由心。意謂我言心愛佛故。令我出家。是出	初 作 善 由 心 意 謂 我 言 心 愛 佛 故 令 我 出 家 是 出 
X16n0308_001:0039b08	家唯用此心。出家後。為侍供佛。例此可知。此且約	家 唯 用 此 心 出 家 後 為 侍 供 佛 例 此 可 知 此 且 約 
X16n0308_001:0039b09	已往言之。若從此迴小向大。我心何獨供養如來	已 往 言 之 若 從 此 迴 小 向 大 我 心 何 獨 供養如來 
X16n0308_001:0039b10	一佛。或更供多佛。乃至徧歷恒沙國土。親承供事	一 佛 或 更 供 多 佛 乃 至 徧 歷 恒 沙 國 土 親 承 供 事 
X16n0308_001:0039b11	一切諸佛。亦用此心。不唯供佛。或有具正知見。兼	一切諸佛 亦 用 此 心 不 唯 供 佛 或 有 具 正 知 見 兼 
X16n0308_001:0039b12	大智識者。亦必親承供事。又不唯親承供事。仍復	大 智 識 者 亦 必 親 承 供 事 又 不 唯 親 承 供 事 仍 復 
X16n0308_001:0039b13	於彼諸佛及善知識所。披精進鎧。發大勇猛。立堅	於 彼 諸 佛 及 善 知 識 所 披 精 進 鎧 發 大 勇 猛 立 堅 
X16n0308_001:0039b14	固志。上求下化。於諸一切難行法事。周徧修行。一	固 志 上 求 下 化 於 諸 一 切 難 行 法 事 周 徧 修 行 一 
X16n0308_001:0039b15	一皆用此心。設離此心。則無所能為矣。○縱令下。	一 皆 用 此 心 設 離 此 心 則 無 所 能 為 矣 縱 令 下 
X16n0308_001:0039b16	作惡由心。縱令者。必無之事。而設言之也。意謂我	作 惡 由 心 縱 令 者 必 無 之 事 而 設 言 之 也 意 謂 我 
X16n0308_001:0039b17	今只是不敢謗法。縱令被呵生瞋。從此不信佛法。	今 只 是 不 敢 謗 法 縱 令 被 呵 生 瞋 從 此 不 信 佛 法 
X16n0308_001:0039b18	反生誹謗。因而退失善根。墮一闡提。亦因此心所	反 生 誹 謗 因 而 退 失 善 根 墮 一 闡 提 亦 因 此 心 所 
X16n0308_001:0039b19	使。是知此心功魁罪首。既得力於已往。知必需乎	使 是 知 此 心 功 魁 罪 首 既 得 力 於 已 往 知 必 需 乎 
X16n0308_001:0039b20	將來。呵為非心。詎能忘情。因歷歷敘述。希將有以	將 來 呵 為 非 心 詎 能 忘 情 因 歷 歷 敘 述 希 將 有 以 
X16n0308_001:0039b21	教我矣。歷述得力竟。二怖無求開。	教 我 矣 歷 述 得 力 竟 二 怖 無 求 開 
X16n0308_001:0039b22	若此發明不是心者。○我乃無心同諸土木。離此覺	若 此 發 明 不 是 心 者 我 乃 無 心 同 諸 土 木 離 此 覺 
X16n0308_001:0039b23	知更無所有。○云何如來說此非心。我實驚怖兼此	知 更 無 所 有 云 何 如 來 說 此 非 心 我 實 驚 怖 兼 此 
X16n0308_001:0039b24	大眾無不疑惑。○惟垂大悲。開示未悟。	大 眾 無 不 疑 惑 惟 垂 大 悲 開 示 未 悟 
X16n0308_001:0039c01	初按定佛語。若此者指前呵示而言。如來既呵其	初 按 定 佛 語 若 此 者 指 前 呵 示 而 言 如 來 既 呵 其 
X16n0308_001:0039c02	非。又斥為虗妄相想。皆發明不是心義。○我乃下	非 又 斥 為 虗 妄 相 想 皆 發 明 不 是 心 義 我 乃 下 
X16n0308_001:0039c03	自申怖由意。謂功魁罪首。唯是此心。已往將來。勢	自 申 怖 由 意 謂 功 魁 罪 首 唯 是 此 心 已 往 將 來 勢 
X16n0308_001:0039c04	所必用。此既非是。而我乃成無心之人。人若無心。	所 必 用 此 既 非 是 而 我 乃 成 無 心 之 人 人 若 無 心 
X16n0308_001:0039c05	自應同諸土木。以離此覺知。更無所有故。○云何	自 應 同 諸 土 木 以 離 此 覺 知 更 無 所 有 故 云 何 
X16n0308_001:0039c06	下正述驚怖。云何說非者。怪如來所說不宜。我實	下 正 述 驚 怖 云 何 說 非 者 怪 如 來 所 說 不 宜 我 實 
X16n0308_001:0039c07	驚怖者。明自己聞之失措。兼此大眾者。仍指小乘	驚 怖 者 明 自 己 聞 之 失 措 兼 此 大 眾 者 仍 指 小 乘 
X16n0308_001:0039c08	一類。以彼唯以六識建立染淨根本。乍聞非心。無	一 類 以 彼 唯 以 六 識 建 立 染 淨 根 本 乍 聞 非 心 無 
X16n0308_001:0039c09	不疑惑。○末二句結請開示。驚疑不安。殊屬可愍。	不 疑 惑 末 二 句 結 請 開 示 驚 疑 不 安 殊 屬 可 愍 
X16n0308_001:0039c10	故惟冀垂大悲心。未悟有二。一者未悟此識。何故	故 惟 冀 垂 大 悲 心 未 悟 有 二 一 者 未 悟 此 識 何 故 
X16n0308_001:0039c11	不得名心。二者未悟離此。何得不同土木。為釋自	不 得 名 心 二 者 未 悟 離 此 何 得 不 同 土 木 為 釋 自 
X16n0308_001:0039c12	怖。及決眾疑。故求佛開示。至下安慰示有。正開示	怖 及 決 眾 疑 故 求 佛 開 示 至 下 安 慰 示 有 正 開 示 
X16n0308_001:0039c13	不同土木。驚怖釋焉。對塵推無。正開示不得名心。	不 同 土 木 驚 怖 釋 焉 對 塵 推 無 正 開 示 不 得 名 心 
X16n0308_001:0039c14	疑惑決矣。阿難驚怖求示竟。二如來示有推無	疑 惑 決 矣 阿 難 驚 怖 求 示 竟 二 如 來 示 有 推 無 
X16n0308_001:0039c15	二。一安慰示有。二就塵推無。初二。一摩頂	二 一 安 慰 示 有 二 就 塵 推 無 初 二 一 摩 頂 
X16n0308_001:0039c16	引說惟心。二況顯真心有體。初。	引 說 惟 心 二 況 顯 真 心 有 體 初 
X16n0308_001:0039c17	爾時世尊。開示阿難及諸大眾欲令心入無生法忍。	爾 時 世 尊 開 示 阿 難 及 諸 大 眾 欲 令 心 入 無生法忍 
X16n0308_001:0039c18	○於師子座摩阿難頂而告之言。如來常說諸法所	 於 師 子 座 摩 阿 難 頂 而 告 之 言 如 來 常 說 諸 法 所 
X16n0308_001:0039c19	生唯心所現。○一切因果世界微塵因心成體。	生 唯 心 所 現 一 切 因 果 世 界 微 塵 因 心 成 體 
X16n0308_001:0039c20	初經家敘意。開示阿難者。以驚怖故。及諸大眾者。	初 經 家 敘 意 開 示 阿 難 者 以 驚 怖 故 及 諸 大 眾 者 
X16n0308_001:0039c21	以疑惑故欲令句原佛開示本意。言阿難等。向以	以 疑 惑 故 欲 令 句 原 佛 開 示 本 意 言 阿 難 等 向 以 
X16n0308_001:0039c22	識心分別。妄見生滅。今開示無體。令其離於分別。	識 心 分 別 妄 見 生 滅 今 開 示 無 體 令 其 離 於 分 別 
X16n0308_001:0039c23	則入無生忍矣。華嚴云。無生忍者。不見有少法生。	則 入 無 生 忍 矣 華 嚴 云 無 生 忍 者 不 見 有 少 法 生 
X16n0308_001:0039c24	仁王云。一切法空。得無生忍。又忍者信也。謂深信	仁 王 云 一切法空 得無生忍 又 忍 者 信 也 謂 深 信 
X16n0308_001:0040a01	諸法無生義故。○於師下摩頂為說。師子座者。製	諸 法 無 生 義 故 於 師 下 摩 頂 為 說 師 子 座 者 製 
X16n0308_001:0040a02	座像師。或不必像。但以師名座。表說法無畏義故。	座 像 師 或 不 必 像 但 以 師 名 座 表 說 法 無 畏 義 故 
X16n0308_001:0040a03	以其驚怖。故摩頂相告。示安慰意也。三界唯心。萬	以 其 驚 怖 故 摩 頂 相 告 示 安 慰 意 也 三界唯心 萬 
X16n0308_001:0040a04	法惟識。是佛教之大宗。故云常說。灌頂云。諸法者。	法 惟 識 是 佛 教 之 大 宗 故 云 常 說 灌 頂 云 諸 法 者 
X16n0308_001:0040a05	略唯色心二種。所生者。所以得生也。所以得生。不	略 唯 色 心 二 種 所 生 者 所 以 得 生 也 所 以 得 生 不 
X16n0308_001:0040a06	離藏識。故曰惟心所現。楞伽云。心亦是唯心。非心	離 藏 識 故 曰 惟 心 所 現 楞 伽 云 心 亦 是 唯 心 非 心 
X16n0308_001:0040a07	亦心起。解深密云。諸識所緣。唯心所現。下文亦云。	亦 心 起 解 深 密 云 諸 識 所 緣 唯 心 所 現 下 文 亦 云 
X16n0308_001:0040a08	色心諸緣。及心所使。諸所緣法。唯心所現。足證常	色 心 諸 緣 及 心 所 使 諸 所 緣 法 唯 心 所 現 足 證 常 
X16n0308_001:0040a09	說。○一切下據說以斷。謂據常所說。斷定因心。成	說 一 切 下 據 說 以 斷 謂 據 常 所 說 斷 定 因 心 成 
X16n0308_001:0040a10	體義故。一切因果。約正報言。有二釋。一聖凡各有	體 義 故 一 切 因 果 約 正 報 言 有 二 釋 一 聖 凡 各 有 
X16n0308_001:0040a11	因果。二從劣向勝。前因後果。世界微塵。約依報言。	因 果 二 從 劣 向 勝 前 因 後 果 世 界 微 塵 約 依 報 言 
X16n0308_001:0040a12	亦因果義。以聚塵為因。成界為果。如是皆依藏識	亦 因 果 義 以 聚 塵 為 因 成 界 為 果 如 是 皆 依 藏 識 
X16n0308_001:0040a13	所現。意顯心必不無。至下自見。故曰因心成體。摩	所 現 意 顯 心 必 不 無 至 下 自 見 故 曰 因 心 成 體 摩 
X16n0308_001:0040a14	頂引說惟心竟。二況顯真心有體。	頂 引 說 惟 心 竟 二 況 顯 真 心 有 體 
X16n0308_001:0040a15	阿難。若諸世界一切所有其中乃至草葉縷結。詰其	阿 難 若 諸 世 界 一 切 所 有 其 中 乃 至 草 葉 縷 結 詰 其 
X16n0308_001:0040a16	根元咸有體性。縱令虗空亦有名貌。○何況清淨妙	根 元 咸 有 體 性 縱 令 虗 空 亦 有 名 貌 何 況 清 淨 妙 
X16n0308_001:0040a17	淨明心。性一切心而自無體。	淨 明 心 性 一 切 心 而 自 無 體 
X16n0308_001:0040a18	初舉諸有體。若諸者統舉現前諸法。於中有總有	初 舉 諸 有 體 若 諸 者 統 舉 現 前 諸 法 於 中 有 總 有 
X16n0308_001:0040a19	別。總惟世界。別則一切所有。其中者一切所有之	別 總 惟 世 界 別 則 一 切 所 有 其 中 者 一 切 所 有 之 
X16n0308_001:0040a20	中。兼顯微該巨細言。乃至者超略之詞。言顯者巨	中 兼 顯 微 該 巨 細 言 乃 至 者 超 略 之 詞 言 顯 者 巨 
X16n0308_001:0040a21	者。固自有體。乃至最微最細。如草之一葉。縷之一	者 固 自 有 體 乃 至 最 微 最 細 如 草 之 一 葉 縷 之 一 
X16n0308_001:0040a22	結。若詰其根本元始。咸有體性可據。如葉以草為	結 若 詰 其 根 本 元 始 咸 有 體 性 可 據 如 葉 以 草 為 
X16n0308_001:0040a23	體。結以縷為性故。然此猶屬有色有礙。縱令無色	體 結 以 縷 為 性 故 然 此 猶 屬 有 色 有 礙 縱 令 無 色 
X16n0308_001:0040a24	之虗。無礙之空。亦有狀之可名。相之可貌。以虗空	之 虗 無 礙 之 空 亦 有 狀 之 可 名 相 之 可 貌 以 虗 空 
X16n0308_001:0040b01	即名。蒼翠即貌故。○何況下況顯真心。此中清淨。	即 名 蒼 翠 即 貌 故 何 況 下 況 顯 真 心 此 中 清 淨 
X16n0308_001:0040b02	即指下帶妄所示之見。以性本無染故。妙淨即指	即 指 下 帶 妄 所 示 之 見 以 性 本 無 染 故 妙 淨 即 指 
X16n0308_001:0040b03	下剖妄所出之真。以離染獨妙故。清淨故。在纏不	下 剖 妄 所 出 之 真 以 離 染 獨 妙 故 清 淨 故 在 纏 不 
X16n0308_001:0040b04	昏。妙淨故。出障圓明。故總號明心。性徧四科七大	昏 妙 淨 故 出 障 圓 明 故 總 號 明 心 性 徧 四 科 七 大 
X16n0308_001:0040b05	而為如來藏體。故又名性一切心。統為一真心也。	而 為 如 來 藏 體 故 又 名 性 一 切 心 統 為 一 真 心 也 
X16n0308_001:0040b06	如此之心。豈當無體。取例況顯。令易發明。言葉結	如 此 之 心 豈 當 無 體 取 例 況 顯 令 易 發 明 言 葉 結 
X16n0308_001:0040b07	尚有體性。虗空且具名貌。如何比況。反說真心而	尚 有 體 性 虗 空 且 具 名 貌 如 何 比 況 反 說 真 心 而 
X16n0308_001:0040b08	自無體。葢深怪阿難不應作是說故。安慰示有竟	自 無 體 葢 深 怪 阿 難 不 應 作 是 說 故 安 慰 示 有 竟 
X16n0308_001:0040b09	二就塵推無三。一據理應有全性。二就塵驗其	二 就 塵 推 無 三 一 據 理 應 有 全 性 二 就 塵 驗 其 
X16n0308_001:0040b10	虗偽。三教以微細推審。初。	虗 偽 三 教 以 微 細 推 審 初 
X16n0308_001:0040b11	若汝執恡分別覺觀所了知性必為心者。○此心即	若 汝 執 恡 分 別 覺 觀 所 了 知 性 必 為 心 者 此 心 即 
X16n0308_001:0040b12	應離諸一切色香味觸諸塵事業別有全性。	應 離 諸 一 切 色香味觸 諸 塵 事 業 別 有 全 性 
X16n0308_001:0040b13	初按定所執。執謂堅執舊見。恡謂慳恡不捨。分別	初 按 定 所 執 執 謂 堅 執 舊 見 恡 謂 慳 恡 不 捨 分 別 
X16n0308_001:0040b14	覺觀等。正所執所恡之心。分別者。對境起念。覺觀	覺 觀 等 正 所 執 所 恡 之 心 分 別 者 對 境 起 念 覺 觀 
X16n0308_001:0040b15	者。內守幽閑。至下驗偽中自見。灌頂云。粗心初念	者 內 守 幽 閑 至 下 驗 偽 中 自 見 灌 頂 云 粗 心 初 念 
X16n0308_001:0040b16	名覺。細心後念名觀。所了知性者。謂正當分別覺	名 覺 細 心 後 念 名 觀 所 了 知 性 者 謂 正 當 分 別 覺 
X16n0308_001:0040b17	觀時所有能了知性也。然此性全是識心。正屬妄	觀 時 所 有 能 了 知 性 也 然 此 性 全 是 識 心 正 屬 妄 
X16n0308_001:0040b18	本。而阿難堅執不捨。認為是心。如來將欲施破。故	本 而 阿 難 堅 執 不 捨 認 為 是 心 如 來 將 欲 施 破 故 
X16n0308_001:0040b19	先按定。如文中曰若曰必皆按定意。○此心下就	先 按 定 如 文 中 曰 若 曰 必 皆 按 定 意 此 心 下 就 
X16n0308_001:0040b20	執以難。即應者據理論。謂上已況顯故。色香味觸。	執 以 難 即 應 者 據 理 論 謂 上 已 況 顯 故 色香味觸 
X16n0308_001:0040b21	略舉四塵。餘有聲法二塵。總以諸塵該之。事業者。	略 舉 四 塵 餘 有 聲 法 二 塵 總 以 諸 塵 該 之 事 業 者 
X16n0308_001:0040b22	世間所作。初營曰事。既辦為業。言世間所作事業	世 間 所 作 初 營 曰 事 既 辦 為 業 言 世 間 所作事業 
X16n0308_001:0040b23	皆依塵成。能所合論。故云諸塵事業。對此分別覺	皆 依 塵 成 能 所 合 論 故 云 諸 塵 事 業 對 此 分 別 覺 
X16n0308_001:0040b24	觀。方顯所了知性。須臾有離。了知便虧。豈能別有	觀 方 顯 所 了 知 性 須 臾 有 離 了 知 便 虧 豈 能 別 有 
X16n0308_001:0040c01	全性。乃故意為難。二就塵驗其虗偽。	全 性 乃 故 意 為 難 二 就 塵 驗 其 虗 偽 
X16n0308_001:0040c02	如汝今者承聽我法。此則因聲而有分別。縱滅一切	如 汝 今 者 承 聽 我 法 此 則 因 聲 而 有 分 別 縱 滅 一 切 
X16n0308_001:0040c03	見聞覺知內守幽閒猶為法塵分別影事。	見聞覺知 內 守 幽 閒 猶 為 法 塵 分 別 影 事 
X16n0308_001:0040c04	如汝句指在現前。謂欲顯虗偽。指現前為驗故。承	如 汝 句 指 在 現 前 謂 欲 顯 虗 偽 指 現 前 為 驗 故 承 
X16n0308_001:0040c05	聽我法。因聲有別。例知瞻仰我相。因色有別。齅我	聽 我 法 因 聲 有 別 例 知 瞻 仰 我 相 因 色 有 別 齅 我 
X16n0308_001:0040c06	爐烟。因香有別等。超略言之。故曰縱滅等也。見聞	爐 烟 因 香 有 別 等 超 略 言 之 故 曰 縱 滅 等 也 見 聞 
X16n0308_001:0040c07	眼耳二識。鼻舌身三通名為覺。以同是合中知故。	眼 耳 二 識 鼻 舌 身 三 通 名 為 覺 以 同 是 合 中 知 故 
X16n0308_001:0040c08	知即意識。此復有二。一明了識。與前五識俱時而	知 即 意 識 此 復 有 二 一 明 了 識 與 前 五 識 俱 時 而 
X16n0308_001:0040c09	起。亦名五俱意。緣境明了。親得法之自體。故以為	起 亦 名 五 俱 意 緣 境 明 了 親 得 法 之 自 體 故 以 為 
X16n0308_001:0040c10	名。二獨頭識。此復有三。一散位獨頭。緣獨影境。二	名 二 獨 頭 識 此 復 有 三 一 散 位 獨 頭 緣 獨 影 境 二 
X16n0308_001:0040c11	夢中獨頭。緣夢中境。三定中獨頭。緣定中境。今云	夢 中 獨 頭 緣 夢 中 境 三 定 中 獨 頭 緣 定 中 境 今 云 
X16n0308_001:0040c12	滅者。約定中言。以定中眼不觀色。耳不聽聲等。亦	滅 者 約 定 中 言 以 定 中 眼 不 觀 色 耳 不 聽 聲 等 亦 
X16n0308_001:0040c13	無散心及與夢想。則前五識與五俱意及散夢獨	無 散 心 及 與 夢 想 則 前 五 識 與 五 俱 意 及 散 夢 獨 
X16n0308_001:0040c14	頭。一切皆悉不行。然縱能如此。亦非真滅。以猶有	頭 一 切 皆 悉 不 行 然 縱 能 如 此 亦 非 真 滅 以 猶 有 
X16n0308_001:0040c15	定中獨頭。守定中境。故曰內守幽閑。葢內守之心。	定 中 獨 頭 守 定 中 境 故 曰 內 守 幽 閑 葢 內 守 之 心 
X16n0308_001:0040c16	即是定中獨頭。幽深閑靜。即是定中之境。定中之	即 是 定 中 獨 頭 幽 深 閑 靜 即 是 定 中 之 境 定 中 之 
X16n0308_001:0040c17	境。雖微細不離法塵。定中獨頭。即綿密亦屬分別。	境 雖 微 細 不 離 法 塵 定 中 獨 頭 即 綿 密 亦 屬 分 別 
X16n0308_001:0040c18	不唯分別。且屬影事。以離於法塵。即無體性故。	不 唯 分 別 且 屬 影 事 以 離 於 法 塵 即 無 體 性 故 
X16n0308_001:0040c19	三教以微細推審。	三 教 以 微 細 推 審 
X16n0308_001:0040c20	我非勅汝執為非心。但汝於心微細揣摩若離前塵	我 非 勅 汝 執 為 非 心 但 汝 於 心 微 細 揣 摩 若 離 前 塵 
X16n0308_001:0040c21	有分別性即真汝心。若分別性離塵無體。斯則前塵	有 分 別 性 即 真 汝 心 若 分 別 性 離 塵 無 體 斯 則 前 塵 
X16n0308_001:0040c22	分別影事。	分 別 影 事 
X16n0308_001:0040c23	勅強命也。如來意謂汝前執為是心。我雖重重破	勅 強 命 也 如 來 意 謂 汝 前 執 為 是 心 我 雖 重 重 破 
X16n0308_001:0040c24	奪。亦非強命於汝。令汝轉執此為非心。但不可錯	奪 亦 非 強 命 於 汝 令 汝 轉 執 此 為 非 心 但 不 可 錯 
X16n0308_001:0041a01	認。汝自於心微細揣摩。設若離塵有性。即真汝心。	認 汝 自 於 心 微 細 揣 摩 設 若 離 塵 有 性 即 真 汝 心 
X16n0308_001:0041a02	以真心必有體故。若如我上來所說。離塵無體。斯	以 真 心 必 有 體 故 若 如 我 上 來 所 說 離 塵 無 體 斯 
X16n0308_001:0041a03	則依附前塵所起分別。乃屬虗妄影事。豈真心哉。	則 依 附 前 塵 所 起 分 別 乃 屬 虗 妄 影 事 豈 真 心 哉 
X16n0308_001:0041a04	如來示有推無竟。三會眾知非無辯。	如 來 示 有 推 無 竟 三 會 眾 知 非 無 辯 
X16n0308_001:0041a05	塵非常住。若變滅時此心則同龜毛兔角。則汝法身	塵 非 常 住 若 變 滅 時 此 心 則 同 龜 毛 兔 角 則 汝 法 身 
X16n0308_001:0041a06	同於斷滅。其誰修證無生法忍。○即時阿難與諸大	同 於 斷 滅 其 誰 修 證 無生法忍 即 時 阿 難 與 諸 大 
X16n0308_001:0041a07	眾默然自失。	眾 默 然 自 失 
X16n0308_001:0041a08	初出過顯非。承上既屬影事。又惟依附前塵。執為	初 出 過 顯 非 承 上 既 屬 影 事 又 惟 依 附 前 塵 執 為 
X16n0308_001:0041a09	是心。則有二過。一者塵是緣生。非常住法。設若緣	是 心 則 有 二 過 一 者 塵 是 緣 生 非 常 住 法 設 若 緣 
X16n0308_001:0041a10	盡變滅時。此心無所依附。則同龜毛兔角。化為烏	盡 變 滅 時 此 心 無 所 依 附 則 同 龜 毛 兔 角 化 為 烏 
X16n0308_001:0041a11	有。此有名無體過也。二者心即法身。屬於性具。依	有 此 有 名 無 體 過 也 二 者 心 即 法 身 屬 於 性 具 依 
