X57n0975_001:0509a06	 隨緣集敘	 隨 緣 集 敘 
X57n0975_001:0514b01	也。無不為也。雖空空絕迹。而義天之星象燦然。湛湛	也 無 不 為 也 雖 空 空 絕 迹 而 義 天 之 星 象 燦 然 湛 湛 
X57n0975_001:0514b02	亡言。而教海之波瀾浩瀚。斯之謂窮理盡性。斯之謂	亡 言 而 教 海 之 波 瀾 浩 瀚 斯 之 謂 窮 理 盡 性 斯 之 謂 
X57n0975_001:0514b03	太極無極。斯之謂夫子無言。而言性天道。斯之謂無	太 極 無 極 斯 之 謂 夫 子 無 言 而 言 性 天 道 斯 之 謂 無 
X57n0975_001:0514b04	思無為。而感而遂通。是乃佛法廣大精微。復能發明	思 無 為 而 感 而 遂 通 是 乃 佛 法 廣 大 精 微 復 能 發 明 
X57n0975_001:0514b05	先聖躍如之旨者也。爾何守夏虫醯雞之一竇。而欲	先 聖 躍 如 之 旨 者 也 爾 何 守 夏 虫 醯 雞 之 一 竇 而 欲 
X57n0975_001:0514b06	外佛教江海之大天地之高哉。婆羅門居士。見予所	外 佛 教 江 海 之 大 天 地 之 高 哉 婆 羅 門 居 士 見 予 所 
X57n0975_001:0514b07	摘之經。聞予所說之敘。皆大歡喜。作禮而退。	摘 之 經 聞 予 所 說 之 敘 皆大歡喜 作 禮 而 退 
X57n0975_001:0514b08	普門膚說序	普 門 膚 說 序 
X57n0975_001:0514b09	此經大師著有玄文。法智復詳二記。開深進始。事理	此 經 大 師 著 有 玄 文 法 智 復 詳 二 記 開 深 進 始 事 理 
X57n0975_001:0514b10	圓暢。誠為極廣大精微之典。後生何敢贅辭。惟是式	圓 暢 誠 為 極 廣 大 精 微 之 典 後 生 何 敢 贅 辭 惟 是 式 
X57n0975_001:0514b11	師分解別偈。科巽自然。義如冗瑣。童蒙求我。難遵指	師 分 解 別 偈 科 巽 自 然 義 如 冗 瑣 童 蒙 求 我 難 遵 指 
X57n0975_001:0514b12	授。累因講次。潤以淺言。在祖師固視之。如皮毛碔砆。	授 累 因 講 次 潤 以 淺 言 在 祖 師 固 視 之 如 皮 毛 碔 砆 
X57n0975_001:0514b13	而弁髦之矣。學人錄存。目為膚說。葢以皮膚雖淺。亦	而 弁 髦 之 矣 學 人 錄 存 目 為 膚 說 葢 以 皮 膚 雖 淺 亦 
X57n0975_001:0514b14	人身之所不棄者也。則是說也。庶幾輕塵細霧。聊佐	人 身 之 所 不 棄 者 也 則 是 說 也 庶 幾 輕 塵 細 霧 聊 佐 
X57n0975_001:0514b15	高深。敢言別見一班。居為新說哉。知我罪我。所不辭	高 深 敢 言 別 見 一 班 居 為 新 說 哉 知 我 罪 我 所 不 辭 
X57n0975_001:0514b16	也。	也 
X57n0975_001:0514b17	集註節義序	集 註 節 義 序 
X57n0975_001:0514b18	玉崗師之註四教儀文也。雖廣集成言。而聯絡照映。	玉 崗 師 之 註 四 教 儀 文 也 雖 廣 集 成 言 而 聯 絡 照 映 
X57n0975_001:0514b19	如一氣呵成句解字訓。矩度自然。絕不露援引痕迹。	如 一 氣 呵 成 句 解 字 訓 矩 度 自 然 絕 不 露 援 引 痕 迹 
X57n0975_001:0514b20	畢肖蔡夷峰之鐵板註尚書。真勝國出塵大手筆也。	畢 肖 蔡 夷 峰 之 鐵 板 註 尚 書 真 勝 國 出 塵 大 手 筆 也 
X57n0975_001:0514b21	後人科段。瑣碎辯釋。云云祖意。反晦重昏。翳于太虗。	後 人 科 段 瑣 碎 辯 釋 云 云 祖 意 反 晦 重 昏 翳 于 太 虗 
X57n0975_001:0514b22	三光為之戢曜。其斯之謂歟。不用可也。第玉師隨文	三 光 為 之 戢 曜 其 斯 之 謂 歟 不 用 可 也 第 玉 師 隨 文 
X57n0975_001:0514b23	註釋之外。另出手眼。所謂與諸家。有同異處。義似未	註 釋 之 外 另 出 手 眼 所 謂 與 諸 家 有 同 異 處 義 似 未 
X57n0975_001:0514b24	顯。余從而科解之。名之曰節。何居乎。葢惟解盤根錯	顯 余 從 而 科 解 之 名 之 曰 節 何 居 乎 葢 惟 解 盤 根 錯 
X57n0975_001:0514c01	節。不事細碎科條也。且予從師二十稔。稟受八度。為	節 不 事 細 碎 科 條 也 且 予 從 師 二 十 稔 稟 受 八 度 為 
X57n0975_001:0514c02	眾講說。今始七番。或時啟幃咨聞。或於教部領會。書	眾 講 說 今 始 七 番 或 時 啟 幃 咨 聞 或 於 教 部 領 會 書 
X57n0975_001:0514c03	公同志。尚亦爝火增輝二曜而已耳。後賢苟為未允。	公 同 志 尚 亦 爝 火 增 輝 二 曜 而 已 耳 後 賢 苟 為 未 允 
X57n0975_001:0514c04	亦不用可也。	亦 不 用 可 也 
X57n0975_001:0514c05	盂蘭盆經折中疏序	盂 蘭 盆 經 折 中 疏 序 
X57n0975_001:0514c06	泥文字者。拘步趨而或失深義。縱靈辯者。墮虗懸而	泥 文 字 者 拘 步 趨 而 或 失 深 義 縱 靈 辯 者 墮 虗 懸 而 
X57n0975_001:0514c07	患不隨經。若夫深玄彪炳。而復興修多羅合。訓詁精	患 不 隨 經 若 夫 深 玄 彪 炳 而 復 興 修 多 羅 合 訓 詁 精 
X57n0975_001:0514c08	詳。而適與指外月冥。合二妙以雄長。成一家而獨步。	詳 而 適 與 指 外 月 冥 合 二 妙 以 雄 長 成 一 家 而 獨 步 
X57n0975_001:0514c09	昔之哲人。其猶病諸。予閱盂蘭盆新舊二疏。而歎夫	昔 之 哲 人 其 猶 病 諸 予 閱 盂 蘭 盆 新 舊 二 疏 而 歎 夫 
X57n0975_001:0514c10	先賢之未得兼長也。舊疏依經判釋。多約阿含事相。	先 賢 之 未 得 兼 長 也 舊 疏 依 經 判 釋 多 約 阿 含 事 相 
X57n0975_001:0514c11	矩度井井。而未揭言外義趣。新疏妙辯縱橫。文義富	矩 度 井 井 而 未 揭 言 外 義 趣 新 疏 妙 辯 縱 橫 文 義 富 
X57n0975_001:0514c12	麗。理觀圓極。而似不合現文。且以單法為名。則棄去	麗 理 觀 圓 極 而 似 不 合 現 文 且 以 單 法 為 名 則 棄 去 
X57n0975_001:0514c13	佛說二字。孝慈為宗。則多贅流通一慈。三寶為體。則	佛 說 二 字 孝 慈 為 宗 則 多 贅 流 通 一 慈 三 寶 為 體 則 
X57n0975_001:0514c14	勉飾一體之談。而都忘圓三解脫。三復斯文。不忍佛	勉 飾 一 體 之 談 而 都 忘 圓 三 解 脫 三 復 斯 文 不 忍 佛 
X57n0975_001:0514c15	經之尚壅也。輙不自揣。櫽栝疏通。扶舊疏以點明義	經 之 尚 壅 也 輙 不 自 揣 櫽 栝 疏 通 扶 舊 疏 以 點 明 義 
X57n0975_001:0514c16	旨。正新疏而挽歸契經。俾文不失義。辯不違經。庶幾	旨 正 新 疏 而 挽 歸 契 經 俾 文 不 失 義 辯 不 違 經 庶 幾 
X57n0975_001:0514c17	折中仰弘聖化。詎能合二妙。以成一家。實冀兼事理。	折 中 仰 弘 聖 化 詎 能 合 二 妙 以 成 一 家 實 冀 兼 事 理 
X57n0975_001:0514c18	而從容中道也。夫學邯鄲武。而未得國能。匍匐道上。	而 從 容 中 道 也 夫 學 邯 鄲 武 而 未 得 國 能 匍 匐 道 上 
X57n0975_001:0514c19	寧免傍觀之笑。不如拘步趨乎。無所惜之矣。	寧 免 傍 觀 之 笑 不 如 拘 步 趨 乎 無 所 惜 之 矣 
X57n0975_001:0514c20	玉菴興建緣起	玉 菴 興 建 緣 起 
X57n0975_001:0514c21	玉菴在武原。駐車衖後。附郭一里許。明季甲申歲。為	玉 菴 在 武 原 駐 車 衖 後 附 郭 一 里 許 明 季 甲 申 歲 為 
X57n0975_001:0514c22	邑矜朱。我佩剏搆。以供碧印禪師者五年。繼請遺聞	邑 矜 朱 我 佩 剏 搆 以 供 碧 印 禪 師 者 五 年 繼 請 遺 聞 
X57n0975_001:0514c23	法師住持二年。天溪老人住持三年。運遐法師住持	法 師 住 持 二 年 天 溪 老 人 住 持 三 年 運 遐 法 師 住 持 
X57n0975_001:0514c24	十三年。己酉仲春。耀承父兄遺緒。應檀護鈞命。掛瓢	十 三 年 己 酉 仲 春 耀 承 父 兄 遺 緒 應 檀 護 鈞 命 掛 瓢 
X57n0975_001:0515a01	其中。器界無常。年深易朽。棟橈屋壞。亦理之宜。耀時	其 中 器 界 無 常 年 深 易 朽 棟 橈 屋 壞 亦 理 之 宜 耀 時 
X57n0975_001:0515a02	默禱慈雲。仰邀神力。願建大殿以供三寶。客堂以接	默 禱 慈 雲 仰 邀 神 力 願 建 大 殿 以 供 三 寶 客 堂 以 接 
X57n0975_001:0515a03	雲來。遂荷本邑檀信省城親友。戮力輸將鳩工有日。	雲 來 遂 荷 本 邑 檀 信 省 城 親 友 戮 力 輸 將 鳩 工 有 日 
X57n0975_001:0515a04	權輿乎庚戌相月。落成於本年季冬。計建大殿山門。	權 輿 乎 庚 戌 相 月 落 成 於 本 年 季 冬 計 建 大 殿 山 門 
X57n0975_001:0515a05	雲水堂二十餘間。耀因夙修薄祜。適罹歲凶。僶勉圖	雲 水 堂 二 十 餘 間 耀 因 夙 修 薄 祜 適 罹 歲 凶 僶 勉 圖 
X57n0975_001:0515a06	成檀波。難聚厥功。告圓之日。稱貸者十三。逋負者十	成 檀 波 難 聚 厥 功 告 圓 之 日 稱 貸 者 十 三 逋 負 者 十 
X57n0975_001:0515a07	三。至癸丑冬。歷四年。所逋貸始完。而佛相莊嚴。亦燦	三 至 癸 丑 冬 歷 四 年 所 逋 貸 始 完 而 佛 相 莊 嚴 亦 燦 
X57n0975_001:0515a08	然於茲歲矣。不圖甲寅三月。舊有大悲堂。久雨坍頹。	然 於 茲 歲 矣 不 圖 甲 寅 三 月 舊 有 大 悲 堂 久 雨 坍 頹 
X57n0975_001:0515a09	幾至傷人毀像。乙卯春。圓木重建。前後計建。殿宇廂	幾 至 傷 人 毀 像 乙 卯 春 圓 木 重 建 前 後 計 建 殿 宇 廂 
X57n0975_001:0515a10	房四十餘間。并塑像置地。總費約二千餘金。半荷檀	房 四 十 餘 間 并 塑 像 置 地 總 費 約 二 千 餘 金 半 荷 檀 
X57n0975_001:0515a11	信樂輸。半竭不肖鉢資。是既眾志成城。豈敢貪天功	信 樂 輸 半 竭 不 肖 鉢 資 是 既 眾 志 成 城 豈 敢 貪 天 功 
X57n0975_001:0515a12	力。惟是緣時所洽。偶萃眇躬。故凡鳩工庀材之際。一	力 惟 是 緣 時 所 洽 偶 萃 眇 躬 故 凡 鳩 工 庀 材 之 際 一 
X57n0975_001:0515a13	磚一瓦。必躬必親。良以興建大途。自屬檀波。勝善拮	磚 一 瓦 必 躬 必 親 良 以 興 建 大 途 自 屬 檀 波 勝 善 拮 
X57n0975_001:0515a14	據。小勤希分。勞力微功也。且僧傳十科。興福退居。其	據 小 勤 希 分 勞 力 微 功 也 且 僧 傳 十 科 興 福 退 居 其 
X57n0975_001:0515a15	後大興土木。昔人譏屬有為。矧茲小小經營。何須書	後 大 興 土 木 昔 人 譏 屬 有 為 矧 茲 小 小 經 營 何 須 書 
X57n0975_001:0515a16	齒。但架築之需。既承眾力奐輪。而後不可遺忘。故紀	齒 但 架 築 之 需 既 承 眾 力 奐 輪 而 後 不 可 遺 忘 故 紀 
X57n0975_001:0515a17	姓氏。略昭盛德。再俟後賢大恢幢剎。合鐫垂永也。	姓 氏 略 昭 盛 德 再 俟 後 賢 大 恢 幢 剎 合 鐫 垂 永 也 
X57n0975_001:0515a18	題玉菴交單	題 玉 菴 交 單 
X57n0975_001:0515a19	開山舊有交單。茲復更立此冊者。略有三意。檀越剏	開 山 舊 有 交 單 茲 復 更 立 此 冊 者 略 有 三 意 檀 越 剏 
X57n0975_001:0515a20	建以來。業經五六交代。紙數不多。事難具載。一也。余	建 以 來 業 經 五 六 交 代 紙 數 不 多 事 難 具 載 一 也 余 
X57n0975_001:0515a21	自住院十稔。屢事土木。三殿廊廡。主佛韋天。俱屬更	自 住 院 十 稔 屢 事 土 木 三 殿 廊 廡 主 佛 韋 天 俱 屬 更 
X57n0975_001:0515a22	新。依正既非疇昔。交冊不可因仍。二也。我檀而後既	新 依 正 既 非 疇 昔 交 冊 不 可 因 仍 二 也 我 檀 而 後 既 
X57n0975_001:0515a23	六易住持。自成開山一番終始矣。余徼天倖。稍擴舊	六 易 住 持 自 成 開 山 一 番 終 始 矣 余 徼 天 倖 稍 擴 舊 
X57n0975_001:0515a24	觀。則忝居重興之小始。如國運再造。中興圖籍。必非	觀 則 忝 居 重 興 之 小 始 如 國 運 再 造 中 興 圖 籍 必 非 
X57n0975_001:0515b01	舊日提封。三也。今以新編十類。并舊有交單。同付後	舊 日 提 封 三 也 今 以 新 編 十 類 并 舊 有 交 單 同 付 後 
X57n0975_001:0515b02	人者。正欲彰剏業守成之功德。即後賢大恢幢剎。百	人 者 正 欲 彰 剏 業 守 成 之 功 德 即 後 賢 大 恢 幢 剎 百 
X57n0975_001:0515b03	葉相承。亦必以開山更始之冊。轉相授受。庶勿忘銖	葉 相 承 亦 必 以 開 山 更 始 之 冊 轉 相 授 受 庶 勿 忘 銖 
X57n0975_001:0515b04	積寸累一旅一成之俶始云。	積 寸 累 一 旅 一 成 之 俶 始 云 
X57n0975_001:0515b05	同戒錄序(丙辰春期)	同 戒 錄 序 丙 辰 春 期 
X57n0975_001:0515b06	依因此戒。得生諸禪定及滅苦智慧。是三學以戒為	依 因 此 戒 得 生 諸 禪 定 及 滅 苦 智 慧 是 三 學 以 戒 為 
X57n0975_001:0515b07	首也。比丘戒成。懷羅漢胎。菩薩戒就。入諸佛位。是三	首 也 比 丘 戒 成 懷 羅 漢 胎 菩 薩 戒 就 入 諸 佛 位 是 三 
X57n0975_001:0515b08	乘以戒為體也。大哉戒乎。其為出生死。踐佛果之正	乘 以 戒 為 體 也 大 哉 戒 乎 其 為 出 生 死 踐 佛 果 之 正 
X57n0975_001:0515b09	本歟。苐傳授戒法。固憑乎十師之清淨慈悲。而感發	本 歟 苐 傳 授 戒 法 固 憑 乎 十 師 之 清 淨 慈 悲 而 感 發 
X57n0975_001:0515b10	光。又存乎諸子之精誠懇惻。幸哉。一會感應道交。無	光 又 存 乎 諸 子 之 精 誠 懇 惻 幸 哉 一 會 感 應 道 交 無 
X57n0975_001:0515b11	作戒體。一眾同霑。今而後各護浮囊。長養聖孕。日就	作 戒 體 一 眾 同 霑 今 而 後 各 護 浮 囊 長 養 聖 孕 日 就 
X57n0975_001:0515b12	月將。遠躋聖位。庶不忝茲會授受之勤。是所望於諸	月 將 遠 躋 聖 位 庶 不 忝 茲 會 授 受 之 勤 是 所 望 於 諸 
X57n0975_001:0515b13	子也。爾其勗諸。	子 也 爾 其 勗 諸 
X57n0975_001:0515b14	讀隱秀軒集	讀 隱 秀 軒 集 
X57n0975_001:0515b15	偶閱鍾伯敬先生隱秀軒集。分類約數十種。皆備其	偶 閱 鍾 伯 敬 先 生 隱 秀 軒 集 分 類 約 數 十 種 皆 備 其 
X57n0975_001:0515b16	體。而不饒其篇。多者數十首。少者至一二章而止。每	體 而 不 饒 其 篇 多 者 數 十 首 少 者 至 一 二 章 而 止 每 
X57n0975_001:0515b17	閱一類畢。未甞不灑然喜其文之精美。而悵其篇之	閱 一 類 畢 未 甞 不 灑 然 喜 其 文 之 精 美 而 悵 其 篇 之 
X57n0975_001:0515b18	輙盡。如小兒食少石蜜。適口而更冀其多有也。吾意	輙 盡 如 小 兒 食 少 石 蜜 適 口 而 更 冀 其 多 有 也 吾 意 
X57n0975_001:0515b19	先生為國朝鉅儒。握文教銓衡。所作必不止於此。或	先 生 為 國 朝 鉅 儒 握 文 教 銓 衡 所 作 必 不 止 於 此 或 
X57n0975_001:0515b20	為選集者。刪之太苛與。而非耶。葢先生評左傳。摘遷	為 選 集 者 刪 之 太 苛 與 而 非 耶 葢 先 生 評 左 傳 摘 遷 
X57n0975_001:0515b21	史精。簡而緽密。殊非後人所能置喙。豈其自作者。後	史 精 簡 而 緽 密 殊 非 後 人 所 能 置 喙 豈 其 自 作 者 後 
X57n0975_001:0515b22	人能去取其間乎。然斯集之限於篇章。抑又何哉。至	人 能 去 取 其 間 乎 然 斯 集 之 限 於 篇 章 抑 又 何 哉 至 
X57n0975_001:0515b23	閱先生興譚子論作文曰。莫若少作。作其所必可傳	閱 先 生 興 譚 子 論 作 文 曰 莫 若 少 作 作 其 所 必 可 傳 
X57n0975_001:0515b24	者。選而後作。勿作而待選。然後釋然大悟。先生之作	者 選 而 後 作 勿 作 而 待 選 然 後 釋 然 大 悟 先 生 之 作 
X57n0975_001:0515c01	文。葢選而後作。作其所必可傳者也。尚非作而自選	文 葢 選 而 後 作 作 其 所 必 可 傳 者 也 尚 非 作 而 自 選 
X57n0975_001:0515c02	者。矧待後之選者刪耶。然則斯集之果非後人為之	者 矧 待 後 之 選 者 刪 耶 然 則 斯 集 之 果 非 後 人 為 之 
X57n0975_001:0515c03	去取也。明矣。而篇章之不漫存也。不亦宜乎。甞見近	去 取 也 明 矣 而 篇 章 之 不 漫 存 也 不 亦 宜 乎 甞 見 近 
X57n0975_001:0515c04	人覆文瓿集。闐咽國門。纔一展卷。便嫌棄其煩冗。如	人 覆 文 瓿 集 闐 咽 國 門 纔 一 展 卷 便 嫌 棄 其 煩 冗 如 
X57n0975_001:0515c05	嚼木然彌覺其澹而無味也。何如此集不煩其篇。而	嚼 木 然 彌 覺 其 澹 而 無 味 也 何 如 此 集 不 煩 其 篇 而 
X57n0975_001:0515c06	特備其體。令讀者泠然躍然精神潛移而心目灑然。	特 備 其 體 令 讀 者 泠 然 躍 然 精 神 潛 移 而 心 目 灑 然 
X57n0975_001:0515c07	如食蜜雖少而甜性無窮耶。一夜珠足以起困貧而	如 食 蜜 雖 少 而 甜 性 無 窮 耶 一 夜 珠 足 以 起 困 貧 而 
X57n0975_001:0515c08	致富貴。積千碔玞。雖多亦奚以為。	致 富 貴 積 千 碔 玞 雖 多 亦 奚 以 為 
X57n0975_001:0515c09	閱鍾子評選史傳詩歸隱秀軒集	閱 鍾 子 評 選 史 傳 詩 歸 隱 秀 軒 集 
X57n0975_001:0515c10	知而不言。是謂之天風物。明道文教。於是乎作焉。然	知 而 不 言 是 謂 之 天 風 物 明 道 文 教 於 是 乎 作 焉 然 
X57n0975_001:0515c11	文不難於自作。而難於評選古人之作。葢立題命意。	文 不 難 於 自 作 而 難 於 評 選 古 人 之 作 葢 立 題 命 意 
X57n0975_001:0515c12	理閎大而文陸離。則已膾炙人口。適悅人懷。此猶畵	理 閎 大 而 文 陸 離 則 已 膾 炙 人 口 適 悅 人 懷 此 猶 畵 
X57n0975_001:0515c13	龍肖真。長袖善舞。俾觀者心目驚悅。斯不可謂不難	龍 肖 真 長 袖 善 舞 俾 觀 者 心 目 驚 悅 斯 不 可 謂 不 難 
X57n0975_001:0515c14	矣。此苐畵工美人之常耳。若夫千百年古人之骨髓	矣 此 苐 畵 工 美 人 之 常 耳 若 夫 千 百 年 古 人 之 骨 髓 
X57n0975_001:0515c15	命脉。蘊於側理。吾能潛神冥會。入而得之。復能搜精	命 脉 蘊 於 側 理 吾 能 潛 神 冥 會 入 而 得 之 復 能 搜 精 
X57n0975_001:0515c16	括要。出以示人。使陳死之精神躍然。與觀者交接。俾	括 要 出 以 示 人 使 陳 死 之 精 神 躍 然 與 觀 者 交 接 俾 
X57n0975_001:0515c17	之懼然顧化。比猶點睛於畵龍。而使之破壁驚飛。伽	之 懼 然 顧 化 比 猶 點 睛 於 畵 龍 而 使 之 破 壁 驚 飛 伽 
X57n0975_001:0515c18	陀一丸。能生死肉骨。而土木形骸。皆飛升仙去。此屠	陀 一 丸 能 生 死 肉 骨 而 土 木 形 骸 皆 飛 升 仙 去 此 屠 
X57n0975_001:0515c19	龍技成。而不用其巧。復能馴之。使興雲致雨。以膏澤	龍 技 成 而 不 用 其 巧 復 能 馴 之 使 興 雲 致 雨 以 膏 澤 
X57n0975_001:0515c20	六合者也。是為難耳。由此觀之。評選古文。葢端也源	六 合 者 也 是 為 難 耳 由 此 觀 之 評 選 古 文 葢 端 也 源 
X57n0975_001:0515c21	也。自作詩文。緒也流也。伯敬先生。評摘史傳。精簡雋	也 自 作 詩 文 緒 也 流 也 伯 敬 先 生 評 摘 史 傳 精 簡 雋 
X57n0975_001:0515c22	永。評選詩歸。清空靜遠。凡古人一篇一意。一字一句。	永 評 選 詩 歸 清 空 靜 遠 凡 古 人 一 篇 一 意 一 字 一 句 
X57n0975_001:0515c23	有深心所託。蘊而未能發者。必皆搜揭。歎賞點示。後	有 深 心 所 託 蘊 而 未 能 發 者 必 皆 搜 揭 歎 賞 點 示 後 
X57n0975_001:0515c24	人真能起千載作者之精神。躍然馳驟於豪素間。使	人 真 能 起 千 載 作 者 之 精 神 躍 然 馳 驟 於 豪 素 間 使 
X57n0975_001:0516a01	觀者心目與之泠然接混然一。而脫然化者也。此點	觀 者 心 目 與 之 泠 然 接 混 然 一 而 脫 然 化 者 也 此 點 
X57n0975_001:0516a02	睛手也。起死藥也。屠龍技成。而善用其巧者也。殆觀	睛 手 也 起 死 藥 也 屠 龍 技 成 而 善 用 其 巧 者 也 殆 觀 
X57n0975_001:0516a03	隱秀軒集。文則精美簡秀。備其體而限其篇。詩則清	隱 秀 軒 集 文 則 精 美 簡 秀 備 其 體 而 限 其 篇 詩 則 清 
X57n0975_001:0516a04	深古博。而篇帙差饒于文。似乎流清者遡於源潔。源	深 古 博 而 篇 帙 差 饒 于 文 似 乎 流 清 者 遡 於 源 潔 源 
X57n0975_001:0516a05	大者始得流長也。雖然源固有流。流必同源。首尾似	大 者 始 得 流 長 也 雖 然 源 固 有 流 流 必 同 源 首 尾 似 
X57n0975_001:0516a06	異。而河潤萬里。道同也。作必能評。評必善作。自他雖	異 而 河 潤 萬 里 道 同 也 作 必 能 評 評 必 善 作 自 他 雖 
X57n0975_001:0516a07	存。而啟迪後學。功一也。先生文簡秀。而評摘史傳。則	存 而 啟 迪 後 學 功 一 也 先 生 文 簡 秀 而 評 摘 史 傳 則 
X57n0975_001:0516a08	精簡雋永。詩清深。而評選詩歸。則清空靜遠。此又混	精 簡 雋 永 詩 清 深 而 評 選 詩 歸 則 清 空 靜 遠 此 又 混 
X57n0975_001:0516a09	源流。而一之之深切明著者也。曾何難易異同之分	源 流 而 一 之 之 深 切 明 著 者 也 曾 何 難 易 異 同 之 分 
X57n0975_001:0516a10	於其間哉。抑其間果有難易流源之辨。與吾將咨先	於 其 間 哉 抑 其 間 果 有 難 易 流 源 之 辨 與 吾 將 咨 先 
X57n0975_001:0516a11	生於白雲之鄉。必曰吾道之天。難易異同亦緒餘也。	生 於 白 雲 之 鄉 必 曰 吾 道 之 天 難 易 異 同 亦 緒 餘 也 
X57n0975_001:0516a12	翁永年書法敘	翁 永 年 書 法 敘 
X57n0975_001:0516a13	世之稱書法三昧者。皆於窮愁患難憂喜離合中得	世 之 稱 書 法 三 昧 者 皆 於 窮 愁 患 難 憂 喜 離 合 中 得 
X57n0975_001:0516a14	之。昌黎謂愁思之聲要妙。而窮苦之言易好。虞卿非	之 昌 黎 謂 愁 思 之 聲 要 妙 而 窮 苦 之 言 易 好 虞 卿 非 
X57n0975_001:0516a15	窮愁。烏能著書。例之書法。固一道也。翁永年先生。辛	窮 愁 烏 能 著 書 例 之 書 法 固 一 道 也 翁 永 年 先 生 辛 
X57n0975_001:0516a16	卯壬辰間。罹難來杭。吾社諸先輩。愛其詩文書法。競	卯 壬 辰 間 罹 難 來 杭 吾 社 諸 先 輩 愛 其 詩 文 書 法 競 
X57n0975_001:0516a17	為重恤。社中文會。湖上杯吟。無翁先生。則似興皆落	為 重 恤 社 中 文 會 湖 上 杯 吟 無 翁 先 生 則 似 興 皆 落 
X57n0975_001:0516a18	莫。予年十九。棄去操觚。而息心禪觀。則與之隔斷紅	莫 予 年 十 九 棄 去 操 觚 而 息 心 禪 觀 則 與 之 隔 斷 紅 
X57n0975_001:0516a19	塵矣。獨楷書一箑。未忍付諸祖龍耳。今甲寅冬。來遇	塵 矣 獨 楷 書 一 箑 未 忍 付 諸 祖 龍 耳 今 甲 寅 冬 來 遇 
X57n0975_001:0516a20	玉菴。詰姓氏。乃知永年先生也。出箑相證。忽逾二紀。	玉 菴 詰 姓 氏 乃 知 永 年 先 生 也 出 箑 相 證 忽 逾 二 紀 
X57n0975_001:0516a21	真成隔世再晤。話言疇昔。恍如昨日也。及贈余敘舊。	真 成 隔 世 再 晤 話 言 疇 昔 恍 如 昨 日 也 及 贈 余 敘 舊 
X57n0975_001:0516a22	四律。書法八分。遒勁陸離。大非昔日阿蒙。果何術以	四 律 書 法 八 分 遒 勁 陸 離 大 非 昔 日 阿 蒙 果 何 術 以 
X57n0975_001:0516a23	致之哉。先生曰。吾屢遘窮愁憂喜二途。乍離乍合。予	致 之 哉 先 生 曰 吾 屢 遘 窮 愁 憂 喜 二 途 乍 離 乍 合 予 
X57n0975_001:0516a24	笑曰。此正先生得書法三昧之妙境歟。追憶西泠真	笑 曰 此 正 先 生 得 書 法 三 昧 之 妙 境 歟 追 憶 西 泠 真 
X57n0975_001:0516b01	社之盛。吾儕後生。而與同盟者三人。王季侯。金晉陽。	社 之 盛 吾 儕 後 生 而 與 同 盟 者 三 人 王 季 侯 金 晉 陽 
X57n0975_001:0516b02	及不肖也。當其諸先輩執牛耳以登壇。未免操旗皷	及 不 肖 也 當 其 諸 先 輩 執 牛 耳 以 登 壇 未 免 操 旗 皷 
X57n0975_001:0516b03	而靜聽約束。若乃分題屬文。卷必先完。意不後人。直	而 靜 聽 約 束 若 乃 分 題 屬 文 卷 必 先 完 意 不 後 人 直 
X57n0975_001:0516b04	與之竝驅中原。不知鹿死誰手。既而王子鄉捷。金子	與 之 竝 驅 中 原 不 知 鹿 死 誰 手 既 而 王 子 鄉 捷 金 子 
X57n0975_001:0516b05	游泮。皆為富貴風流之人。予則安心雌伏。須臾王子	游 泮 皆 為 富 貴 風 流 之 人 予 則 安 心 雌 伏 須 臾 王 子 
X57n0975_001:0516b06	夭紮。金子病廢。予興先生。雖困窮而巋然如魯靈光	夭 紮 金 子 病 廢 予 興 先 生 雖 困 窮 而 巋 然 如 魯 靈 光 
X57n0975_001:0516b07	也。且先生進於書法。不肖脫乎息觀。欲謂憂喜離合	也 且 先 生 進 於 書 法 不 肖 脫 乎 息 觀 欲 謂 憂 喜 離 合 
X57n0975_001:0516b08	之非妙境得乎。夫崔張比玉逸少似金。中人十家不	之 非 妙 境 得 乎 夫 崔 張 比 玉 逸 少 似 金 中 人 十 家 不 
X57n0975_001:0516b09	敵片紙。則先生已得却窮之技矣。抑何愁乎。不但是	敵 片 紙 則 先 生 已 得 却 窮 之 技 矣 抑 何 愁 乎 不 但 是 
X57n0975_001:0516b10	也。甞聞先朝談相。徒以工書。受知君相。世廟時嬰。一	也 甞 聞 先 朝 談 相 徒 以 工 書 受 知 君 相 世 廟 時 嬰 一 
X57n0975_001:0516b11	品寵賚。今先生受聘螺翁西席。操如椽。而交天下士。	品 寵 賚 今 先 生 受 聘 螺 翁 西 席 操 如 椽 而 交 天 下 士 
X57n0975_001:0516b12	豈如昔日。友吾社數十。措大而已哉。乃為相顧一笑。	豈 如 昔 日 友 吾 社 數 十 措 大 而 已 哉 乃 為 相 顧 一 笑 
X57n0975_001:0516b13	且曰。令師徐子近狀何若。予曰。今六月修文地下矣。	且 曰 令 師 徐 子 近 狀 何 若 予 曰 今 六 月 修 文 地 下 矣 
X57n0975_001:0516b14	復相與泫然久之。	復 相 與 泫 然 久 之 
X57n0975_001:0516b15	大藏進廣疏	大 藏 進 廣 疏 
X57n0975_001:0516b16	迦文四十九年說法。乃曰。未曾道著一字。少室不立	迦 文 四 十 九 年 說 法 乃 曰 未 曾 道 著 一 字 少 室 不 立 
