T13n0417_001:0897c25	佛說般舟三昧經	佛 說 般舟三昧 經 
T13n0417_001:0900a23	無知。反呼世間為有，不入空、不知無，自謂如	無 知 反 呼 世 間 為 有 不 入 空 不 知 無 自 謂 如 
T13n0417_001:0900a24	法，反作輕戲言：『佛亦有深經乎？亦有威神乎？』	法 反 作 輕 戲 言 佛 亦 有 深 經 乎 亦 有 威 神 乎 
T13n0417_001:0900a25	反相形言：『世間亦有比丘如阿難乎？』」佛言：「其	反 相 形 言 世 間 亦 有 比 丘 如 阿 難 乎 佛 言 其 
T13n0417_001:0900a26	人從持是三昧者，所去兩兩三三相與語言：	人 從 持 是 三 昧 者 所 去 兩 兩 三 三 相 與 語 言 
T13n0417_001:0900a27	『是何等說？從何得是語？為自合會作是經，非	 是 何 等 說 從 何 得 是 語 為 自 合 會 作 是 經 非 
T13n0417_001:0900a28	佛所說。』」佛告颰陀和：「譬如賈客持摩尼珠示	佛 所 說 佛 告 颰 陀 和 譬 如 賈 客 持 摩 尼 珠 示 
T13n0417_001:0900a29	田家癡子。曰評：『此直幾錢？』賈客言：『持是珠置	田 家 癡 子 曰 評 此 直 幾 錢 賈 客 言 持 是 珠 置 
T13n0417_001:0900b01	冥中，其光所照直滿中寶。』」佛言：「其人不知是	冥 中 其 光 所 照 直 滿 中 寶 佛 言 其 人 不 知 是 
T13n0417_001:0900b02	珠，而言：『其價能與一頭牛等不？寧可貿一頭	珠 而 言 其 價 能 與 一 頭 牛 等 不 寧 可 貿 一 頭 
T13n0417_001:0900b03	牛與我者善，不肯者休。』如是，颰陀和！菩薩聞	牛 與 我 者 善 不 肯 者 休 如 是 颰 陀 和 菩 薩 聞 
T13n0417_001:0900b04	是三昧不信，反形相者，如彼癡子。」佛言：「菩薩	是 三 昧 不 信 反 形 相 者 如 彼 癡 子 佛 言 菩 薩 
T13n0417_001:0900b05	聞是三昧信、受持、修行者，四面皆擁護，無所	聞 是 三 昧 信 受 持 修 行 者 四 面 皆 擁 護 無 所 
T13n0417_001:0900b06	畏，持戒完具，是為高明。智慧深入，當分布語	畏 持 戒 完 具 是 為 高 明 智 慧 深 入 當 分 布 語 
T13n0417_001:0900b07	人展轉相教，當令是三昧久在世間。」佛言：「癡	人 展 轉 相 教 當 令 是 三 昧 久 在 世 間 佛 言 癡 
T13n0417_001:0900b08	人自於前世不供養作功德，反自貢高，多行	人 自 於 前 世 不 供 養 作 功 德 反 自 貢 高 多 行 
T13n0417_001:0900b09	誹謗、嫉妬，貪財利故欲求名譽，但欲譁說不	誹 謗 嫉 妬 貪 財 利 故 欲 求 名 譽 但 欲 譁 說 不 
T13n0417_001:0900b10	信深經。聞是三昧不信、不樂、不學，反誹謗是	信 深 經 聞 是 三 昧 不 信 不 樂 不 學 反 誹 謗 是 
T13n0417_001:0900b11	經，言非佛所說。」佛告颰陀和：「今我故語汝如	經 言 非 佛 所 說 佛 告 颰 陀 和 今 我 故 語 汝 如 
T13n0417_001:0900b12	是，若善男子、善女人，持珍寶滿三千國土布	是 若 善 男 子 善 女 人 持 珍 寶 滿 三 千 國 土 布 
T13n0417_001:0900b13	施，設有是功德，不如聞是三昧信樂者，其福	施 設 有 是 功 德 不 如 聞 是 三 昧 信 樂 者 其 福 
T13n0417_001:0900b14	過彼上。」	過 彼 上 
T13n0417_001:0900b15	佛告颰陀和：「如我所說無有異，今故說是語	佛 告 颰 陀 和 如 我 所 說 無 有 異 今 故 說 是 語 
T13n0417_001:0900b16	耳！今見我說是三昧有疑者，其人却後除在	耳 今 見 我 說 是 三 昧 有 疑 者 其 人 却 後 除 在 
T13n0417_001:0900b17	惡師邊，正使善師所，其功德不足言。如是輩	惡 師 邊 正 使 善 師 所 其 功 德 不 足 言 如 是 輩 
T13n0417_001:0900b18	人，轉與惡師從事，聞是三昧不信、不樂、不學。	人 轉 與 惡 師 從 事 聞 是 三 昧 不 信 不 樂 不 學 
T13n0417_001:0900b19	何以故？其人所更佛少、智慧少，故不信耳！」佛	何 以 故 其 人 所 更 佛 少 智 慧 少 故 不 信 耳 佛 
T13n0417_001:0900b20	告颰陀和：「其有聞是三昧，不輕笑、不誹謗、不	告 颰 陀 和 其 有 聞 是 三 昧 不 輕 笑 不 誹 謗 不 
T13n0417_001:0900b21	疑、不乍信乍不信，歡喜、樂書、學誦持者，我悉	疑 不 乍 信 乍 不 信 歡 喜 樂 書 學 誦 持 者 我 悉 
T13n0417_001:0900b22	豫知見之。其人不獨於一佛、二佛所作功德，	豫 知 見 之 其 人 不 獨 於 一 佛 二 佛 所 作 功 德 
T13n0417_001:0900b23	悉於百佛所聞是三昧。却後世時聞是三昧，	悉 於 百 佛 所 聞 是 三 昧 却 後 世 時 聞 是 三 昧 
T13n0417_001:0900b24	書、學、誦、持守之一日一夜，其福不可計。自致	書 學 誦 持 守 之 一 日 一 夜 其 福 不 可 計 自 致 
T13n0417_001:0900b25	得阿惟越致，所願者得。」佛告颰陀和：「聽我說	得 阿惟越致 所 願 者 得 佛 告 颰 陀 和 聽 我 說 
T13n0417_001:0900b26	譬喻。有人取一佛剎悉碎如塵，取一塵皆復	譬 喻 有 人 取 一 佛 剎 悉 碎 如 塵 取 一 塵 皆 復 
T13n0417_001:0900b27	盡破，如一佛剎塵，云何是塵數寧多不也？」颰	盡 破 如 一 佛 剎 塵 云 何 是 塵 數 寧 多 不 也 颰 
T13n0417_001:0900b28	陀和言：「甚多，甚多！天中天！」佛言：「有菩薩盡取	陀 和 言 甚 多 甚 多 天 中 天 佛 言 有 菩 薩 盡 取 
T13n0417_001:0900b29	一塵置一佛剎，其數爾所佛剎，滿中珍寶悉	一 塵 置 一 佛 剎 其 數 爾 所 佛 剎 滿 中 珍 寶 悉 
T13n0417_001:0900c01	持供養諸佛，其福功德少少耳！不如聞是三	持 供 養 諸 佛 其 福 功 德 少 少 耳 不 如 聞 是 三 
T13n0417_001:0900c02	昧，學、書、誦、持，為他人說守。須臾間聞，是功德	昧 學 書 誦 持 為 他 人 說 守 須 臾 間 聞 是 功 德 
T13n0417_001:0900c03	不可復計，何況已得是三昧悉具足者。」佛爾	不 可 復 計 何 況 已 得 是 三 昧 悉 具 足 者 佛 爾 
T13n0417_001:0900c04	時說偈言：	時 說 偈 言 
T13n0417_001:0900c05	「若有菩薩求眾德，　　當說奉行是三昧；	 若 有 菩 薩 求 眾 德 當 說 奉 行 是 三 昧 
T13n0417_001:0900c06	　信樂諷誦不疑者，　　其功德福無齊限。	 信 樂 諷 誦 不 疑 者 其 功 德 福 無 齊 限 
T13n0417_001:0900c07	　如一佛國之世界，　　皆破壞碎以為塵，	 如 一 佛 國 之 世 界 皆 破 壞 碎 以 為 塵 
T13n0417_001:0900c08	　一切佛土過是數，　　滿中珍寶用布施；	 一 切 佛 土 過 是 數 滿 中 珍 寶 用 布 施 
T13n0417_001:0900c09	　不如聞是三昧者，　　其功德福過上施。	 不 如 聞 是 三 昧 者 其 功 德 福 過 上 施 
T13n0417_001:0900c10	　引譬功德不可喻，　　囑累汝等當勸教，	 引 譬 功 德 不 可 喻 囑 累 汝 等 當 勸 教 
T13n0417_001:0900c11	　力行精進無懈怠。　　其有誦持是三昧，	 力 行 精 進 無 懈 怠 其 有 誦 持 是 三 昧 
T13n0417_001:0900c12	　已為面見百千佛。　　假使最後大恐懼，	 已 為 面 見 百 千 佛 假 使 最 後 大 恐 懼 
T13n0417_001:0900c13	　持是三昧無所畏。　　行是比丘已見我，	 持 是 三 昧 無 所 畏 行 是 比 丘 已 見 我 
T13n0417_001:0900c14	　常為隨佛不遠離。　　如佛所言無有異，	 常 為 隨 佛 不 遠 離 如 佛 所 言 無 有 異 
T13n0417_001:0900c15	　菩薩常當隨其教，　　疾得正覺智慧海。」	 菩 薩 常 當 隨 其 教 疾 得 正 覺 智 慧 海 
T13n0417_001:0900c16	四輩品第五	四 輩 品 第 五 
T13n0417_001:0900c17	颰陀和白佛：「難及，天中天！若有棄愛欲作比	颰 陀 和 白 佛 難 及 天 中 天 若 有 棄 愛 欲 作 比 
T13n0417_001:0900c18	丘，聞是三昧，當云何學？云何持？云何行？」佛言：	丘 聞 是 三 昧 當 云 何 學 云 何 持 云 何 行 佛 言 
T13n0417_001:0900c19	「棄愛欲作比丘，欲學是三昧者，當清淨持戒，	 棄 愛 欲 作 比 丘 欲 學 是 三 昧 者 當 清 淨 持 戒 
T13n0417_001:0900c20	不得缺如毛髮。常當怖畏於地獄痛苦，遠離	不 得 缺 如 毛 髮 常 當 怖 畏 於 地 獄 痛 苦 遠 離 
T13n0417_001:0900c21	於諛諂，是為清淨。」「云何為缺戒也？」佛言：「求色。」	於 諛 諂 是 為 清 淨 云 何 為 缺 戒 也 佛 言 求 色 
T13n0417_001:0900c22	「云何為求色？」佛言：「其人意念我持戒自守，使	 云 何 為 求 色 佛 言 其 人 意 念 我 持 戒 自 守 使 
T13n0417_001:0900c23	我後世生，若作天、若作遮迦越王。如是為樂	我 後 世 生 若 作 天 若 作 遮迦越王 如 是 為 樂 
T13n0417_001:0900c24	愛欲，是為缺戒。」佛告颰陀和：「其有欲學是三	愛 欲 是 為 缺 戒 佛 告 颰 陀 和 其 有 欲 學 是 三 
T13n0417_001:0900c25	昧者，清淨自守、持戒完具，不諛諂，常為智所	昧 者 清 淨 自 守 持 戒 完 具 不 諛 諂 常 為 智 所 
T13n0417_001:0900c26	稱譽。於經中當布施、當精進，所志當彊，當多	稱 譽 於 經 中 當 布 施 當 精 進 所 志 當 彊 當 多 
T13n0417_001:0900c27	信、當勸樂，承事於師視當如佛，得三昧疾。設	信 當 勸 樂 承 事 於 師 視 當 如 佛 得 三 昧 疾 設 
T13n0417_001:0900c28	不恭敬，輕易欺調於師，正使久學是三昧，疾	不 恭 敬 輕 易 欺 調 於 師 正 使 久 學 是 三 昧 疾 
T13n0417_001:0900c29	忘之。」佛告颰陀和：「是菩薩若從比丘、比丘尼、優	忘 之 佛 告 颰 陀 和 是 菩 薩 若 從 比 丘 比 丘 尼 優 
T13n0417_001:0901a01	婆塞、優婆夷聞是三昧，當視如佛常尊敬，不	婆 塞 優 婆 夷 聞 是 三 昧 當 視 如 佛 常 尊 敬 不 
T13n0417_001:0901a02	當持諂意向。菩薩不得有諂意，常當至誠，常	當 持 諂 意 向 菩 薩 不 得 有 諂 意 常 當 至 誠 常 
T13n0417_001:0901a03	樂獨處止。不惜身命，不得悕望人所索，常行	樂 獨 處 止 不惜身命 不 得 悕 望 人 所 索 常 行 
T13n0417_001:0901a04	乞食不受請，自守節度，所有趣足而已。經行	乞 食 不 受 請 自 守 節 度 所 有 趣 足 而 已 經 行 
T13n0417_001:0901a05	不得懈臥，如是經中教。學是三昧當守如是。」	不 得 懈 臥 如 是 經 中 教 學 是 三 昧 當 守 如 是 
T13n0417_001:0901a06	颰陀和白佛：「難及，天中天！後世若有懈怠菩	颰 陀 和 白 佛 難 及 天 中 天 後 世 若 有 懈 怠 菩 
T13n0417_001:0901a07	薩，聞是三昧不肯精進學，當云何？若有菩薩	薩 聞 是 三 昧 不 肯 精 進 學 當 云 何 若 有 菩 薩 
T13n0417_001:0901a08	精進欲學者，我輩當隨是經教之。」佛言：「善哉，	精 進 欲 學 者 我 輩 當 隨 是 經 教 之 佛 言 善 哉 
T13n0417_001:0901a09	颰陀和！我助其歡喜，過去、當來、今現在佛皆	颰 陀 和 我 助 其 歡 喜 過 去 當 來 今 現 在 佛 皆 
T13n0417_001:0901a10	助歡喜。」佛爾時頌偈言：	助 歡 喜 佛 爾 時 頌 偈 言 
T13n0417_001:0901a11	「如我所說悉受持，　　常獨處止行功德，	 如 我 所 說 悉 受 持 常 獨 處 止 行 功 德 
T13n0417_001:0901a12	　自守節度不聚會，　　常行乞食不受請。	 自 守 節 度 不 聚 會 常行乞食 不 受 請 
T13n0417_001:0901a13	　敬於法師視如佛，　　除去睡眠志開解，	 敬 於 法 師 視 如 佛 除 去 睡 眠 志 開 解 
T13n0417_001:0901a14	　常自精進無懈怠，　　如是行者得三昧。」	 常 自 精 進 無 懈 怠 如 是 行 者 得 三 昧 
T13n0417_001:0901a15	颰陀和白佛：「比丘尼求菩薩道，欲學是三昧，	颰 陀 和 白 佛 比 丘 尼 求 菩 薩 道 欲 學 是 三 昧 
T13n0417_001:0901a16	當云何行？」佛言：「比丘尼求是三昧者，不得自	當 云 何 行 佛 言 比 丘 尼 求 是 三 昧 者 不 得 自 
T13n0417_001:0901a17	高，常當卑謙。不得自貴，不得自大，不得嫉	高 常 當 卑 謙 不 得 自 貴 不 得 自 大 不 得 嫉 
T13n0417_001:0901a18	妬，不得瞋恚，不得貪財利色。常當清淨，不得	妬 不 得 瞋 恚 不 得 貪 財 利 色 常 當 清 淨 不 得 
T13n0417_001:0901a19	惜軀命，常樂經法念多學問，當棄婬、怒、癡，不	惜 軀 命 常 樂 經 法 念 多 學 問 當 棄 婬 怒 癡 不 
T13n0417_001:0901a20	得貪好服飾珠環，當為智者稱譽；當敬善師	得 貪 好 服 飾 珠 環 當 為 智 者 稱 譽 當 敬 善 師 
T13n0417_001:0901a21	視如佛，不得有諂意。」佛爾時頌偈言：	視 如 佛 不 得 有 諂 意 佛 爾 時 頌 偈 言 
T13n0417_001:0901a22	「若比丘尼求三昧，　　常當精進勿懈怠，	 若 比 丘 尼 求 三 昧 常 當 精 進 勿 懈 怠 
T13n0417_001:0901a23	　無得聽於貪欲心，　　除去瞋恚自高貴；	 無 得 聽 於 貪 欲 心 除 去 瞋 恚 自 高 貴 
T13n0417_001:0901a24	　不得慢欺及調戲，　　常行至誠立一信，	 不 得 慢 欺 及 調 戲 常 行 至 誠 立 一 信 
T13n0417_001:0901a25	　恭敬善師視如佛，　　如是行者得三昧。」	 恭 敬 善 師 視 如 佛 如 是 行 者 得 三 昧 
T13n0417_001:0901a26	颰陀和白佛：「若有居士修道，聞是三昧欲學	颰 陀 和 白 佛 若 有 居 士 修 道 聞 是 三 昧 欲 學 
T13n0417_001:0901a27	者，當云何行？」佛言：「居士欲學是三昧者，當持	者 當 云 何 行 佛 言 居 士 欲 學 是 三 昧 者 當 持 
T13n0417_001:0901a28	五戒令堅；不得飲酒，亦不得飲他人；不得與	五 戒 令 堅 不 得 飲 酒 亦 不 得 飲 他 人 不 得 與 
T13n0417_001:0901a29	女親熟，不得教他人，不得有恩愛於妻子男	女 親 熟 不 得 教 他 人 不 得 有 恩 愛 於 妻 子 男 
T13n0417_001:0901b01	女，不得貪財產，常念欲棄家作沙門；常持八	女 不 得 貪 財 產 常 念 欲 棄 家 作 沙 門 常 持 八 
T13n0417_001:0901b02	關齋，當於佛寺中；常當念布施，布施已不念	關 齋 當 於 佛 寺 中 常 當 念 布 施 布 施 已 不 念 
T13n0417_001:0901b03	我自當得其福，用為一切施。常當大慈敬於	我 自 當 得 其 福 用 為 一 切 施 常 當 大 慈 敬 於 
T13n0417_001:0901b04	善師；見持戒比丘，不得輕易說其惡。作是行	善 師 見 持 戒 比 丘 不 得 輕 易 說 其 惡 作 是 行 
T13n0417_001:0901b05	已，當學守是三昧。」佛爾時頌偈言：	已 當 學 守 是 三 昧 佛 爾 時 頌 偈 言 
T13n0417_001:0901b06	「居士欲學是三昧，　　當持五戒勿毀缺，	 居 士 欲 學 是 三 昧 當 持 五 戒 勿 毀 缺 
T13n0417_001:0901b07	　常當思欲作沙門，　　不貪妻子及財色，	 常 當 思 欲 作 沙 門 不 貪 妻 子 及 財 色 
T13n0417_001:0901b08	　常八關齋於佛寺，　　不得貢高輕蔑人。	 常 八 關 齋 於 佛 寺 不 得 貢 高 輕 蔑 人 
T13n0417_001:0901b09	　心無榮冀思所欲，　　奉行經法心無諂，	 心 無 榮 冀 思 所 欲 奉 行 經 法 心 無 諂 
T13n0417_001:0901b10	　棄捨慳貪常惠施，　　常當奉敬比丘僧，	 棄 捨 慳 貪 常 惠 施 常 當 奉 敬 比 丘 僧 
T13n0417_001:0901b11	　常志一行勿懈怠，　　學是三昧當如是。」	 常 志 一 行 勿 懈 怠 學 是 三 昧 當 如 是 
T13n0417_001:0901b12	颰陀和白佛：「優婆夷聞是三昧欲學者，當云	颰 陀 和 白 佛 優 婆 夷 聞 是 三 昧 欲 學 者 當 云 
T13n0417_001:0901b13	何行？」佛言：「優婆夷欲學者，當持五戒，自歸於	何 行 佛 言 優 婆 夷 欲 學 者 當 持 五 戒 自 歸 於 
T13n0417_001:0901b14	三。何等為三？自歸命佛，歸命法，歸命比丘	三 何 等 為 三 自 歸 命 佛 歸 命 法 歸 命 比 丘 
T13n0417_001:0901b15	僧。不得事餘道，不得拜於天，不得祠鬼神，不	僧 不 得 事 餘 道 不 得 拜 於 天 不 得 祠 鬼 神 不 
T13n0417_001:0901b16	得視吉良日。不得調戲，不得慢恣有色想，不	得 視 吉 良 日 不 得 調 戲 不 得 慢 恣 有 色 想 不 
T13n0417_001:0901b17	得有貪欲之心。常當念布施，歡樂欲聞經，念	得 有 貪 欲 之 心 常 當 念 布 施 歡 樂 欲 聞 經 念 
T13n0417_001:0901b18	力學問，敬重善師，心常拳拳不得有懈。若有	力 學 問 敬 重 善 師 心 常 拳 拳 不 得 有 懈 若 有 
T13n0417_001:0901b19	比丘、比丘尼過者，以坐席賓食之。」佛爾時頌	比 丘 比 丘 尼 過 者 以 坐 席 賓 食 之 佛 爾 時 頌 
T13n0417_001:0901b20	偈言：	偈 言 
T13n0417_001:0901b21	「優婆夷欲學三昧，　　奉持五戒勿缺毀，	 優 婆 夷 欲 學 三 昧 奉 持 五 戒 勿 缺 毀 
T13n0417_001:0901b22	　承事善師視如佛，　　不得拜天祠祀神。	 承 事 善 師 視 如 佛 不 得 拜 天 祠 祀 神 
T13n0417_001:0901b23	　除去殺、盜及嫉妬，　　不得兩舌鬪彼此，	 除 去 殺 盜 及 嫉 妬 不 得 兩 舌 鬪 彼 此 
T13n0417_001:0901b24	　不得慳貪常念施，　　見惡覆藏唯歎善。	 不 得 慳 貪 常 念 施 見 惡 覆 藏 唯 歎 善 
T13n0417_001:0901b25	　不得諛諂有邪婬，　　常當卑謙勿自大；	 不 得 諛 諂 有 邪 婬 常 當 卑 謙 勿 自 大 
T13n0417_001:0901b26	　敬事比丘比丘尼，　　如是行者得三昧。」	 敬 事 比 丘 比 丘 尼 如 是 行 者 得 三 昧 
T13n0417_001:0901b27	擁護品第六	擁 護 品 第 六 
T13n0417_001:0901b28	颰陀和菩薩、羅隣那竭菩薩、憍曰兜菩薩、那	颰 陀 和 菩 薩 羅 隣 那 竭 菩 薩 憍 曰 兜 菩 薩 那 
T13n0417_001:0901b29	羅達菩薩、須深菩薩、摩訶須薩和菩薩、因坻	羅 達 菩 薩 須 深 菩 薩 摩 訶 須 薩 和 菩 薩 因 坻 
T13n0417_001:0901c01	達菩薩、和輪調菩薩，是八菩薩見佛所說皆	達 菩 薩 和 輪 調 菩 薩 是 八 菩 薩 見 佛 所 說 皆 
T13n0417_001:0901c02	大歡喜，持五百劫波育衣布施，持身自歸，持	大 歡 喜 持 五 百 劫 波 育 衣 布 施 持 身 自 歸 持 
T13n0417_001:0901c03	珍寶供養。佛告阿難：「颰陀和等五百人，人中	珍 寶 供 養 佛 告 阿 難 颰 陀 和 等 五 百 人 人 中 
T13n0417_001:0901c04	之師，常持正法隨順教化，莫不歡喜，樂隨侍	之 師 常 持 正 法 隨 順 教 化 莫 不 歡 喜 樂 隨 侍 
T13n0417_001:0901c05	者心淨無欲。」時五百人，皆叉手立佛前。颰陀	者 心 淨 無 欲 時 五 百 人 皆 叉 手 立 佛 前 颰 陀 
T13n0417_001:0901c06	和白佛：「菩薩持幾事，疾得是三昧？」佛言：「有四	和 白 佛 菩 薩 持 幾 事 疾 得 是 三 昧 佛 言 有 四 
T13n0417_001:0901c07	事：一者、不信餘道。二者、斷愛欲。三者、當清淨	事 一 者 不 信 餘 道 二 者 斷 愛 欲 三 者 當 清 淨 
T13n0417_001:0901c08	行。四者、無所貪。是為四。如是行者，今世即得	行 四 者 無 所 貪 是 為 四 如 是 行 者 今 世 即 得 
T13n0417_001:0901c09	五百功德。譬如慈心比丘終不中毒，兵刃不	五 百 功 德 譬 如 慈 心 比 丘 終 不 中 毒 兵 刃 不 
T13n0417_001:0901c10	加，火不能燒，入水不溺、不害。正使劫盡燒時，	加 火 不 能 燒 入 水 不 溺 不 害 正 使 劫 盡 燒 時 
T13n0417_001:0901c11	墮是火中火即為滅，喻如大水滅小火。菩薩	墮 是 火 中 火 即 為 滅 喻 如 大 水 滅 小 火 菩 薩 
T13n0417_001:0901c12	持是三昧者，若帝王、若賊、若水火、若龍、夜叉、	持 是 三 昧 者 若 帝 王 若 賊 若 水 火 若 龍 夜 叉 
T13n0417_001:0901c13	蟒、師子、虎、狼、[狂王+加]玃、薜荔、鳩坻，一切毒獸及鬼	蟒 師 子 虎 狼 [狂王加] 玃 薜 荔 鳩 坻 一 切 毒 獸 及 鬼 
T13n0417_001:0901c14	神，欲嬈人、欲殺人、欲奪人衣鉢、壞人禪奪人	神 欲 嬈 人 欲 殺 人 欲 奪 人 衣 鉢 壞 人 禪 奪 人 
T13n0417_001:0901c15	念故，欲中是菩薩，終不能也。除其宿命不請，	念 故 欲 中 是 菩 薩 終 不 能 也 除 其 宿 命 不 請 
T13n0417_001:0901c16	如我語無異也。」佛言：「持是三昧者，終不痛目，	如 我 語 無 異 也 佛 言 持 是 三 昧 者 終 不 痛 目 
T13n0417_001:0901c17	若耳、鼻、口、身體，心終不憂，除其宿命所作。」佛	若 耳 鼻 口 身 體 心 終 不 憂 除 其 宿 命 所 作 佛 
T13n0417_001:0901c18	言：「是菩薩為諸天、龍、神，及阿須輪，夜叉鬼神，	言 是 菩 薩 為 諸 天 龍 神 及 阿 須 輪 夜 叉 鬼 神 
T13n0417_001:0901c19	迦樓羅鬼神，甄陀羅鬼神，摩睺勒鬼神，若人	迦樓羅鬼神 甄陀羅鬼神 摩睺勒鬼神 若 人 
T13n0417_001:0901c20	非人，皆共讚譽是菩薩；皆共擁護、承事、供養，	非 人 皆 共 讚 譽 是 菩 薩 皆 共 擁 護 承 事 供 養 
T13n0417_001:0901c21	瞻視敬仰思欲相見，諸佛世尊亦然。是菩薩	瞻 視 敬 仰 思 欲 相 見 諸佛世尊 亦 然 是 菩 薩 
T13n0417_001:0901c22	所未誦經、前所不聞持，是三昧威神悉自得	所 未 誦 經 前 所 不 聞 持 是 三 昧 威 神 悉 自 得 
T13n0417_001:0901c23	之。若晝日不得者，夜於夢中悉得之。」佛告颰	之 若 晝 日 不 得 者 夜 於 夢 中 悉 得 之 佛 告 颰 
T13n0417_001:0901c24	陀和：「其有持是三昧者，我說其功德，一劫復	陀 和 其 有 持 是 三 昧 者 我 說 其 功 德 一 劫 復 
T13n0417_001:0901c25	過一劫，不可盡竟，略說其要爾。」	過 一 劫 不 可 盡 竟 略 說 其 要 爾 
T13n0417_001:0901c26	勸助品第七	勸 助 品 第 七 
T13n0417_001:0901c27	佛告颰陀和：「菩薩於是三昧中，將有四事助	佛 告 颰 陀 和 菩 薩 於 是 三 昧 中 將 有 四 事 助 
T13n0417_001:0901c28	其歡喜。過去佛持是三昧，助歡喜自致得阿	其 歡 喜 過 去 佛 持 是 三 昧 助 歡 喜 自 致 得 阿 
T13n0417_001:0901c29	耨多羅三耶三菩阿惟三佛，其智悉具足。今	耨 多 羅 三 耶 三 菩 阿惟三佛 其 智 悉 具 足 今 
T13n0417_001:0902a01	現在十方無央數佛，亦於是三昧中，四事助	現 在 十 方 無 央 數 佛 亦 於 是 三 昧 中 四 事 助 
T13n0417_001:0902a02	歡喜得。當來亦當從是四事助歡喜得，我悉	歡 喜 得 當 來 亦 當 從 是 四 事 助 歡 喜 得 我 悉 
T13n0417_001:0902a03	助歡喜。」佛告颰陀和：「是三昧中四事助歡喜，	助 歡 喜 佛 告 颰 陀 和 是 三 昧 中 四 事 助 歡 喜 
T13n0417_001:0902a04	我於是中說少所譬喻。人壽百歲隨地行至	我 於 是 中 說 少 所 譬 喻 人 壽 百 歲 隨 地 行 至 
T13n0417_001:0902a05	者不休息，其人行過於疾風，寧有能計其道	者 不 休 息 其 人 行 過 於 疾 風 寧 有 能 計 其 道 
T13n0417_001:0902a06	里不？」颰陀和言：「無有能計者。獨佛弟子舍利	里 不 颰 陀 和 言 無 有 能 計 者 獨 佛 弟 子 舍 利 
T13n0417_001:0902a07	弗羅、阿惟越致菩薩，乃能計之耳。」佛言：「我故	弗 羅 阿惟越致 菩 薩 乃 能 計 之 耳 佛 言 我 故 
T13n0417_001:0902a08	語諸菩薩，若有善男子、善女人，取是人所行	語 諸 菩 薩 若 有 善 男 子 善 女 人 取 是 人 所 行 
T13n0417_001:0902a09	處，滿中珍寶布施，不如聞是三昧四事助歡	處 滿 中 珍 寶 布 施 不 如 聞 是 三 昧 四 事 助 歡 
T13n0417_001:0902a10	喜，其福過布施者，百千萬億倍。當知是助歡	喜 其 福 過 布 施 者 百 千 萬 億 倍 當 知 是 助 歡 
T13n0417_001:0902a11	喜福甚尊大。」佛告颰陀和：「乃久遠不可計阿	喜 福 甚 尊 大 佛 告 颰 陀 和 乃 久 遠 不 可 計 阿 
T13n0417_001:0902a12	僧祇，爾時有佛，名私訶摩提等正覺、無上士、	僧 祇 爾 時 有 佛 名 私 訶 摩 提 等 正 覺 無 上 士 
T13n0417_001:0902a13	道法御、天人師、佛、世尊，在空閑之處。是時閻	道 法 御 天 人 師 佛 世 尊 在 空 閑 之 處 是 時 閻 
T13n0417_001:0902a14	浮利縱廣十八萬億里，凡有六百四十萬國，	浮 利 縱 廣 十 八 萬 億 里 凡 有 六 百 四 十 萬 國 
T13n0417_001:0902a15	悉豐熟，人民熾盛。有大國名颰陀和，有轉輪	悉 豐 熟 人民熾盛 有 大 國 名 颰 陀 和 有 轉 輪 
T13n0417_001:0902a16	王惟斯芩，往到佛所，禮畢却坐一面。佛知其	王 惟 斯 芩 往 到 佛 所 禮 畢 却 坐 一 面 佛 知 其 
T13n0417_001:0902a17	意，便為說是三昧。其王聞之助歡喜，即持珍	意 便 為 說 是 三 昧 其 王 聞 之 助 歡 喜 即 持 珍 
T13n0417_001:0902a18	寶散佛上，自念曰：『持是功德令十方人民皆	寶 散 佛 上 自 念 曰 持 是 功 德 令 十 方 人 民 皆 
T13n0417_001:0902a19	安隱。』時私訶提佛般涅槃後，惟斯芩王壽終，	安 隱 時 私 訶 提 佛 般 涅 槃 後 惟 斯 芩 王 壽 終 
T13n0417_001:0902a20	還自生其家作太子，名梵摩達。爾時有比丘	還 自 生 其 家 作 太 子 名 梵 摩 達 爾 時 有 比 丘 
T13n0417_001:0902a21	名珍寶，是時為四部弟子說是三昧。梵摩達	名 珍 寶 是 時 為 四 部 弟 子 說 是 三 昧 梵 摩 達 
T13n0417_001:0902a22	聞之助歡喜，踊躍持寶直百億散其上，復持	聞 之 助 歡 喜 踊 躍 持 寶 直 百 億 散 其 上 復 持 
T13n0417_001:0902a23	好衣供養之，以發意求佛道，與千人俱於是	好 衣 供 養 之 以 發 意 求 佛 道 與 千 人 俱 於 是 
T13n0417_001:0902a24	比丘所作沙門，求學是三昧，與千人共承事	比 丘 所 作 沙 門 求 學 是 三 昧 與 千 人 共 承 事 
T13n0417_001:0902a25	師八千歲不休懈。得一聞是三昧四事助歡	師 八 千 歲 不 休 懈 得 一 聞 是 三 昧 四 事 助 歡 
T13n0417_001:0902a26	喜，入高明智。因是却後更見六萬八千佛，輒	喜 入 高 明 智 因 是 却 後 更 見 六 萬 八 千 佛 輒 
T13n0417_001:0902a27	於一一佛所，聞是三昧自致得佛，名坻羅惟	於 一 一 佛 所 聞 是 三 昧 自 致 得 佛 名 坻 羅 惟 
