X13n0284_001:0196a06	 重刻	 重 刻 
X13n0284_001:0201b16	互用之理一人亦滿多人亦滿寧非橫徧之徵此	互 用 之 理 一 人 亦 滿 多 人 亦 滿 寧 非 橫 徧 之 徵 此 
X13n0284_001:0201b17	方劫盡轉寄他方寧非豎窮之性地獄既爾餘趣	方 劫 盡 轉 寄 他 方 寧 非 豎 窮 之 性 地 獄 既 爾 餘 趣 
X13n0284_001:0201b18	可知故知十二類生二十五有總彼七趣昇沉若	可 知 故 知 十 二 類 生 二十五有 總 彼 七 趣 昇 沉 若 
X13n0284_001:0201b19	靈若蠢若善若惡若樂若苦一一皆是大佛頂不	靈 若 蠢 若 善 若 惡 若 樂 若 苦 一 一 皆 是 大 佛 頂 不 
X13n0284_001:0201b20	變之性舉全體以隨緣而即彼正隨緣時一一皆	變 之 性 舉 全 體 以 隨 緣 而 即 彼 正 隨 緣 時 一 一 皆 
X13n0284_001:0201b21	即大佛頂性始終不變之全體經云於妙圓明無	即 大 佛 頂 性 始 終 不 變 之 全 體 經 云 於 妙 圓 明 無 
X13n0284_001:0201b22	作本心皆如空華元無所著空喻不變藏心華喻	作 本 心 皆 如 空 華 元 無 所 著 空 喻 不 變 藏 心 華 喻 
X13n0284_001:0201b23	隨緣七趣全空是華全華是空豈可謂華來空去	隨 緣 七 趣 全 空 是 華 全 華 是 空 豈 可 謂 華 來 空 去 
X13n0284_001:0201b24	華滅空生也哉六凡既爾聲聞緣覺權教菩薩亦	華 滅 空 生 也 哉 六 凡 既 爾 聲 聞 緣 覺 權 教 菩 薩 亦 
X13n0284_001:0201c01	復可知彼雖不達大佛頂性妄取偏真幻有但中	復 可 知 彼 雖 不 達 大 佛 頂 性 妄 取 偏 真 幻 有 但 中 
X13n0284_001:0201c02	以為極致而大佛頂性豈彼三乘所能改變所能	以 為 極 致 而 大 佛 頂 性 豈 彼 三 乘 所 能 改 變 所 能 
X13n0284_001:0201c03	割裂且設非大佛頂性不變隨緣全體之力何處	割 裂 且 設 非 大 佛 頂 性 不 變 隨 緣 全 體 之 力 何 處 
X13n0284_001:0201c04	更有偏真幻有但中可取譬如摩尼寶珠愚者不	更 有 偏 真 幻 有 但 中 可 取 譬 如 摩 尼 寶 珠 愚 者 不 
X13n0284_001:0201c05	知用貿一衣一食而寶體何甞減損又如日輪當	知 用 貿 一 衣 一 食 而 寶 體 何 甞 減 損 又 如 日 輪 當 
X13n0284_001:0201c06	空光入一隙非繇全日那有隙光昧者觀隙光而	空 光 入 一 隙 非 繇 全 日 那 有 隙 光 昧 者 觀 隙 光 而 
X13n0284_001:0201c07	疑日論之小智者因隙光可窺日輪之全九界眾	疑 日 論 之 小 智 者 因 隙 光 可 窺 日 輪 之 全 九 界 眾 
X13n0284_001:0201c08	生所具大佛頂之全理亦復如是此眾生法亦即	生 所 具 大 佛 頂 之 全 理 亦復如是 此 眾 生 法 亦 即 
X13n0284_001:0201c09	心法非於心外別有眾生亦即佛法非於佛法外	心 法 非 於 心 外 別 有 眾 生 亦 即 佛 法 非 於 佛 法 外 
X13n0284_001:0201c10	有眾生非於眾生法外有佛法是故能於一眾生	有 眾 生 非 於 眾 生 法 外 有 佛 法 是 故 能 於 一 眾 生 
X13n0284_001:0201c11	法中具見一切眾生法一切佛法一切心法無非	法 中 具 見 一 切 眾 生 法 一切佛法 一 切 心 法 無 非 
X13n0284_001:0201c12	大佛頂法者便能於一佛法中具見一切佛法一	大 佛 頂 法 者 便 能 於 一 佛 法 中 具 見 一切佛法 一 
X13n0284_001:0201c13	切心法一切眾生法無非大佛頂法亦能於一切	切 心 法 一 切 眾 生 法 無 非 大 佛 頂 法 亦 能 於 一 切 
X13n0284_001:0201c14	法中具見一切心法一切佛法一切眾生法無非	法 中 具 見 一 切 心 法 一切佛法 一 切 眾 生 法 無 非 
X13n0284_001:0201c15	大佛頂法此之謂善知心佛眾生三無差別可與	大 佛 頂 法 此 之 謂 善 知 心 佛 眾 生 三無差別 可 與 
X13n0284_001:0201c16	共讀此經不招數寶之譏不墮無聞之禍矣釋大	共 讀 此 經 不 招 數 寶 之 譏 不 墮 無 聞 之 禍 矣 釋 大 
X13n0284_001:0201c17	佛頂竟。	佛 頂 竟 
X13n0284_001:0201c18	次釋如來密因修證了義復為二初分釋次合釋。	次 釋 如 來 密 因 修 證 了 義 復 為 二 初 分 釋 次 合 釋 
X13n0284_001:0201c19	分釋為四初釋如來次釋密因三釋修證四釋	分 釋 為 四 初 釋 如 來 次 釋 密 因 三 釋 修 證 四 釋 
X13n0284_001:0201c20	了義。初釋如來者金剛經云無所從來亦無所	了 義 初 釋 如 來 者 金 剛 經 云 無所從來 亦 無 所 
X13n0284_001:0201c21	去故名如來此經云生滅去來本如來藏性真常	去 故 名 如 來 此 經 云 生 滅 去 來 本 如 來 藏 性 真 常 
X13n0284_001:0201c22	中求於去來迷悟生死了無所得皆約法身釋也	中 求 於 去 來 迷 悟 生 死 了 無 所 得 皆 約 法 身 釋 也 
X13n0284_001:0201c23	轉法輪經云第一義諦名如正覺名來此經云明	轉 法 輪 經 云 第一義諦 名 如 正 覺 名 來 此 經 云 明 
X13n0284_001:0201c24	極即如來皆約報身釋也成實論云乘如實道來	極 即 如 來 皆 約 報 身 釋 也 成 實 論 云 乘 如 實 道 來 
X13n0284_001:0202a01	成正覺此經云自覺已圓能覺他者如來應世皆	成 正 覺 此 經 云 自 覺 已 圓 能 覺 他 者 如 來 應 世 皆 
X13n0284_001:0202a02	約應身釋也復次真諦為如實道一切智為正覺	約 應 身 釋 也 復 次 真 諦 為 如 實 道 一 切 智 為 正 覺 
X13n0284_001:0202a03	斷見思為自覺令他斷見思為覺他是藏通如來	斷 見 思 為 自 覺 令 他 斷 見 思 為 覺 他 是 藏 通 如 來 
X13n0284_001:0202a04	也中諦為如實道一切種智為正覺斷無明為自	也 中 諦 為 如 實 道 一切種智 為 正 覺 斷 無 明 為 自 
X13n0284_001:0202a05	覺令他斷無明為覺他別圓如來也復次出二諦	覺 令 他 斷 無 明 為 覺 他 別 圓 如 來 也 復 次 出 二 諦 
X13n0284_001:0202a06	外是第一義諦不分別二邊是名正覺斷十二品	外 是 第一義諦 不 分 別 二 邊 是 名 正 覺 斷 十 二 品 
X13n0284_001:0202a07	無明為明極別教如來也即二諦是第一義諦一	無 明 為 明 極 別 教 如 來 也 即 二 諦 是 第一義諦 一 
X13n0284_001:0202a08	心三智是名正覺斷四十二品無明皆盡為明極	心 三 智 是 名 正 覺 斷 四 十 二 品 無 明 皆 盡 為 明 極 
X13n0284_001:0202a09	圓教如來也復次法身本有報身修成應身起用	圓 教 如 來 也 復 次 法 身 本 有 報 身 修 成 應 身 起 用 
X13n0284_001:0202a10	別教如來也三身全是性具亦復全是修顯性修	別 教 如 來 也 三 身 全 是 性 具 亦 復 全 是 修 顯 性 修 
X13n0284_001:0202a11	不二圓教如來也今正指圓教如來乃修德之究	不 二 圓 教 如 來 也 今 正 指 圓 教 如 來 乃 修 德 之 究 
X13n0284_001:0202a12	竟稱性之極果也。次釋密因者不生不滅為本	竟 稱 性 之 極 果 也 次 釋 密 因 者 不生不滅 為 本 
X13n0284_001:0202a13	修因然後圓成果地修證因該果海果徹因源故	修 因 然 後 圓 成 果 地 修 證 因 該 果 海 果 徹 因 源 故 
X13n0284_001:0202a14	稱為密又正因佛性緣因佛性了因佛性圓具圓	稱 為 密 又 正 因 佛 性 緣 因 佛 性 了 因 佛 性 圓 具 圓 
X13n0284_001:0202a15	修圓發不縱不橫不並不別故稱為密又經云汝	修 圓 發 不 縱 不 橫 不 並 不 別 故 稱 為 密 又 經 云 汝 
X13n0284_001:0202a16	雖強記但益多聞於奢摩他微密觀照心猶未了	雖 強 記 但 益 多 聞 於 奢 摩 他 微 密 觀 照 心 猶 未 了 
X13n0284_001:0202a17	又云是種種地皆以金剛觀察如幻十種深喻奢	又 云 是 種 種 地 皆 以 金 剛 觀 察 如 幻 十 種 深 喻 奢 
X13n0284_001:0202a18	摩他中用諸如來毗婆舍那清淨修證漸次深入	摩 他 中 用 諸 如 來 毗 婆 舍 那 清 淨 修 證 漸 次 深 入 
X13n0284_001:0202a19	夫奢摩他者一心三止也毗婆舍那者一心三觀	夫 奢 摩 他 者 一 心 三 止 也 毗 婆 舍 那 者 一 心 三 觀 
X13n0284_001:0202a20	也奢摩他微密觀照者止觀不二也從圓境諦起	也 奢 摩 他 微 密 觀 照 者 止 觀 不 二 也 從 圓 境 諦 起 
X13n0284_001:0202a21	圓止觀以圓止觀炤圓境諦如外無智智外無如	圓 止 觀 以 圓 止 觀 炤 圓 境 諦 如 外 無 智 智 外 無 如 
X13n0284_001:0202a22	故稱為密又經初阿難見佛殷勤啟請十方如來	故 稱 為 密 又 經 初 阿 難 見 佛 殷 勤 啟 請 十 方 如 來 
X13n0284_001:0202a23	得成菩提妙奢摩他三摩禪那最初方便即是問	得 成 菩 提 妙 奢 摩 他 三 摩 禪 那 最 初 方 便 即 是 問 
X13n0284_001:0202a24	此密因以三德不縱不橫不並不別如世∴字如	此 密 因 以 三 德 不 縱 不 橫 不 並 不 別 如 世 字 如 
X13n0284_001:0202b01	天三目斯則名為祕密之藏所問妙奢摩他三摩	天 三 目 斯 則 名 為 祕密之藏 所 問 妙 奢 摩 他 三 摩 
X13n0284_001:0202b02	禪那亦復如是奢摩他是體真止亦是空觀三摩	禪 那 亦復如是 奢 摩 他 是 體 真 止 亦 是 空 觀 三 摩 
X13n0284_001:0202b03	是方便隨緣止亦是假觀禪那是息二邊分別止	是 方 便 隨 緣 止 亦 是 假 觀 禪 那 是 息 二 邊 分 別 止 
X13n0284_001:0202b04	亦是中觀又奢摩他即一心三止三摩即一心三	亦 是 中 觀 又 奢 摩 他 即 一 心 三 止 三 摩 即 一 心 三 
X13n0284_001:0202b05	觀禪那即止觀不二三若定三則不名妙三若定	觀 禪 那 即 止 觀 不 二 三 若 定 三 則 不 名 妙 三 若 定 
X13n0284_001:0202b06	一亦不名妙非一非三而三而一即一恒三即三	一 亦 不 名 妙 非 一 非 三 而 三 而 一 即 一 恒 三 即 三 
X13n0284_001:0202b07	恒一三一不可思議方名為妙妙即是密又經初	恒 一 三 一 不可思議 方 名 為 妙 妙 即 是 密 又 經 初 
X13n0284_001:0202b08	佛酬阿難之請首即告云有三摩提名大佛頂首	佛 酬 阿 難 之 請 首 即 告 云 有 三 摩 提 名 大 佛 頂 首 
X13n0284_001:0202b09	楞嚴王具足萬行十方如來一門超出妙莊嚴路	楞 嚴 王 具 足 萬 行 十 方 如 來 一 門 超 出 妙 莊 嚴 路 
X13n0284_001:0202b10	次則破緣影之非心顯見性之實相會四科以歸	次 則 破 緣 影 之 非 心 顯 見 性 之 實 相 會 四 科 以 歸 
X13n0284_001:0202b11	理明七大之性具乃至結歸如來藏心俱非俱即	理 明 七 大 之 性 具 乃 至 結 歸 如來藏心 俱 非 俱 即 
X13n0284_001:0202b12	並遮並炤更無一言談及修此三昧之方但顯吾	並 遮 並 炤 更 無 一 言 談 及 修 此 三 昧 之 方 但 顯 吾 
X13n0284_001:0202b13	人本性圓妙三諦之理當知達此理性自成妙修	人 本 性 圓 妙 三 諦 之 理 當 知 達 此 理 性 自 成 妙 修 
X13n0284_001:0202b14	所謂全性起修全修在性故名為密復次圓頓止	所 謂 全 性 起 修 全 修 在 性 故 名 為 密 復 次 圓 頓 止 
X13n0284_001:0202b15	觀是成佛因而大佛頂性又是圓頓止觀之因即	觀 是 成 佛 因 而 大 佛 頂 性 又 是 圓 頓 止 觀 之 因 即 
X13n0284_001:0202b16	名因因如來無上菩提是止觀果以此果果而為	名 因 因 如 來 無上菩提 是 止 觀 果 以 此 果 果 而 為 
X13n0284_001:0202b17	因因因果理微不可思議故名為密。三釋修證	因 因 因 果 理 微 不可思議 故 名 為 密 三 釋 修 證 
X13n0284_001:0202b18	者修有緣修真修證有分證滿證若言四善根位	者 修 有 緣 修 真 修 證 有 分 證 滿 證 若 言 四 善 根 位 
X13n0284_001:0202b19	生滅道品為緣修見諦已後重慮緣真為真修者	生 滅 道 品 為 緣 修 見 諦 已 後 重 慮 緣 真 為 真 修 者 
X13n0284_001:0202b20	藏教意也若言性地相似無生空慧為緣修見地	藏 教 意 也 若 言 性 地 相 似 無 生 空 慧 為 緣 修 見 地 
X13n0284_001:0202b21	已後真無生慧為真修者通教意也若言住行向	已 後 真 無 生 慧 為 真 修 者 通 教 意 也 若 言 住 行 向 
X13n0284_001:0202b22	次第三觀為緣修登地中道實觀為真修者別教	次 第 三 觀 為 緣 修 登 地 中 道 實 觀 為 真 修 者 別 教 
X13n0284_001:0202b23	意也若言十信相似一心三觀為緣修住後一心	意 也 若 言 十 信 相 似 一 心 三 觀 為 緣 修 住 後 一 心 
X13n0284_001:0202b24	三觀無功用道為真修者圓教意也若言斷見惑	三 觀 無 功 用 道 為 真 修 者 圓 教 意 也 若 言 斷 見 惑 
X13n0284_001:0202c01	為分證斷思惑盡為滿證者藏通意也若言初斷	為 分 證 斷 思 惑 盡 為 滿 證 者 藏 通 意 也 若 言 初 斷 
X13n0284_001:0202c02	一品無明登歡喜地為分證斷十二品無明為滿	一 品 無 明 登 歡 喜 地 為 分 證 斷 十 二 品 無 明 為 滿 
X13n0284_001:0202c03	證者別教意也若言初發心時便成正覺成就慧	證 者 別 教 意 也 若 言 初 發 心 時 便 成 正 覺 成 就 慧 
X13n0284_001:0202c04	身不繇他悟為分證乃至五住究盡二死永亡圓	身 不 繇 他 悟 為 分 證 乃 至 五 住 究 盡 二 死 永 亡 圓 
X13n0284_001:0202c05	滿菩提歸無所得為滿證者圓教意也今明圓修	滿 菩 提 歸 無 所 得 為 滿 證 者 圓 教 意 也 今 明 圓 修 
X13n0284_001:0202c06	圓證故稱修證了義。四釋了義者空假非了中	圓 證 故 稱 修 證 了 義 四 釋 了 義 者 空 假 非 了 中 
X13n0284_001:0202c07	道為了隔歷非了圓融為了舊以此二字單屬言	道 為 了 隔 歷 非 了 圓 融 為 了 舊 以 此 二 字 單 屬 言 
X13n0284_001:0202c08	教今謂不然教行理三同稱了義經云惟垂哀愍	教 今 謂 不 然 教 行 理 三 同 稱 了 義 經 云 惟 垂 哀 愍 
X13n0284_001:0202c09	開示眾生中道了義無戲論法夫中道即了義理	開 示 眾 生 中 道 了 義 無 戲 論 法 夫 中 道 即 了 義 理 
X13n0284_001:0202c10	也無戲論即了義行也開示即了義教也又了義	也 無 戲 論 即 了 義 行 也 開 示 即 了 義 教 也 又 了 義 
X13n0284_001:0202c11	即第一義第一義屬理又了義即決定義決定義	即 第 一 義 第 一 義 屬 理 又 了 義 即 決 定 義 決 定 義 
X13n0284_001:0202c12	屬行說此理行皆名為教自行化他皆名為行教	屬 行 說 此 理 行 皆 名 為 教 自 行 化 他 皆 名 為 行 教 
X13n0284_001:0202c13	行所契皆名為理胡得作偏釋耶。	行 所 契 皆 名 為 理 胡 得 作 偏 釋 耶 
X13n0284_001:0202c14	次合釋復為二初約顯說釋次約密呪釋。初約	次 合 釋 復 為 二 初 約 顯 說 釋 次 約 密 呪 釋 初 約 
X13n0284_001:0202c15	顯說釋者謂圓教妙覺極果不過以此性具大佛	顯 說 釋 者 謂 圓 教 妙 覺 極 果 不 過 以 此 性 具 大 佛 
X13n0284_001:0202c16	頂理而為妙密真因故緣修真修分證滿證無非	頂 理 而 為 妙 密 真 因 故 緣 修 真 修 分 證 滿 證 無 非 
X13n0284_001:0202c17	了義所謂名字了義乃至究竟了義也若藏通極	了 義 所 謂 名 字 了 義 乃 至 究 竟 了 義 也 若 藏 通 極 
X13n0284_001:0202c18	果全不知此大佛頂理所以若修若證始終非了	果 全 不 知 此 大 佛 頂 理 所 以 若 修 若 證 始 終 非 了 
X13n0284_001:0202c19	若別教極果推其初心雖仰信此大佛頂理以為	若 別 教 極 果 推 其 初 心 雖 仰 信 此 大 佛 頂 理 以 為 
X13n0284_001:0202c20	但是佛法不知即是現前心法及眾生法所以緣	但 是 佛 法 不 知 即 是 現 前 心 法 及 眾 生 法 所 以 緣 
X13n0284_001:0202c21	修非了真修方了又分證雖了滿證未了也問曰	修 非 了 真 修 方 了 又 分 證 雖 了 滿 證 未 了 也 問 曰 
X13n0284_001:0202c22	大佛頂性既云統一切法則十界因果總不離此	大 佛 頂 性 既 云 統 一 切 法 則 十 界 因 果 總 不 離 此 
X13n0284_001:0202c23	何得簡去藏通別教三種極果答曰雖一切不離	何 得 簡 去 藏 通 別 教 三 種 極 果 答 曰 雖 一 切 不 離 
X13n0284_001:0202c24	此性而知與不知自別雖分知與不知而離此決	此 性 而 知 與 不 知 自 別 雖 分 知 與 不 知 而 離 此 決 
X13n0284_001:0203a01	無異因當知此之密因在圓佛即是妙密以始終	無 異 因 當 知 此 之 密 因 在 圓 佛 即 是 妙 密 以 始 終 
X13n0284_001:0203a02	皆知故在別佛即是微密以始不知終方知故在	皆 知 故 在 別 佛 即 是 微 密 以 始 不 知 終 方 知 故 在 
X13n0284_001:0203a03	藏通極果即是祕密以始終皆不知故。次約密	藏 通 極 果 即 是 祕 密 以 始 終 皆 不 知 故 次 約 密 
X13n0284_001:0203a04	呪釋者經云十方如來因此呪心得成無上正徧	呪 釋 者 經 云 十 方 如 來 因 此 呪 心 得 成 無 上 正 徧 
X13n0284_001:0203a05	知覺乃至傳此呪心於滅度後付佛法事究竟住	知 覺 乃 至 傳 此 呪 心 於 滅 度 後 付 佛 法 事 究 竟 住 
X13n0284_001:0203a06	持嚴淨戒律悉得清淨又云亦說此呪名如來頂	持 嚴 淨 戒 律 悉 得 清 淨 又 云 亦 說 此 呪 名 如 來 頂 
X13n0284_001:0203a07	當知即是以此大佛頂呪而為密因故若修若證	當 知 即 是 以 此 大 佛 頂 呪 而 為 密 因 故 若 修 若 證 
X13n0284_001:0203a08	無非了義也此密亦有三義以此五會神呪全是	無 非 了 義 也 此 密 亦 有 三 義 以 此 五 會 神 呪 全 是 
X13n0284_001:0203a09	密詮大佛頂心故名呪心亦名心呪即妙密義以	密 詮 大 佛 頂 心 故 名 呪 心 亦 名 心 呪 即 妙 密 義 以 
X13n0284_001:0203a10	此神呪如仙陀婆惟菩薩智臣能解即微密義以	此 神 呪 如 仙 陀 婆 惟 菩 薩 智 臣 能 解 即 微 密 義 以 
X13n0284_001:0203a11	此神呪但可誦持不可翻釋即祕密義釋如來密	此 神 呪 但 可 誦 持 不 可 翻 釋 即 祕 密 義 釋 如 來 密 
X13n0284_001:0203a12	因修證了義竟。	因 修 證 了 義 竟 
X13n0284_001:0203a13	後釋諸菩薩萬行首楞嚴亦為二初分釋次合釋	後 釋 諸 菩 薩 萬 行 首 楞 嚴 亦 為 二 初 分 釋 次 合 釋 
X13n0284_001:0203a14	分釋又三初釋諸菩薩次釋萬行三釋首楞嚴。	分 釋 又 三 初 釋 諸 菩 薩 次 釋 萬 行 三 釋 首 楞 嚴 
X13n0284_001:0203a15	初釋諸菩薩者諸是眾義約時處則十方三世約	初 釋 諸 菩 薩 者 諸 是 眾 義 約 時 處 則 十 方 三 世 約 
X13n0284_001:0203a16	解行則徧圓權實菩薩是梵語具云摩訶菩提質	解 行 則 徧 圓 權 實 菩 薩 是 梵 語 具 云 摩訶菩提 質 
X13n0284_001:0203a17	帝薩埵此翻大道心成就眾生今略稱但云菩薩	帝 薩 埵 此 翻 大 道 心 成 就 眾 生 今 略 稱 但 云 菩 薩 
X13n0284_001:0203a18	或翻大士或翻開士亦翻始士始發心故亦翻高	或 翻 大 士 或 翻 開 士 亦 翻 始 士 始 發 心 故 亦 翻 高 
X13n0284_001:0203a19	士超一切故正翻覺有情雖已覺悟猶帶緣情單	士 超 一 切 故 正 翻 覺 有 情 雖 已 覺 悟 猶 帶 緣 情 單 
X13n0284_001:0203a20	約當體釋也以菩提道覺悟有情單約利他釋也	約 當 體 釋 也 以 菩 提 道 覺 悟 有 情 單 約 利 他 釋 也 
X13n0284_001:0203a21	覺道是所求有情是所化雙約二利釋也三大阿	覺 道 是 所 求 有 情 是 所 化 雙 約 二 利 釋 也 三 大 阿 
X13n0284_001:0203a22	僧祇劫伏惑利生功德成滿直至樹下方斷結者	僧 祇 劫 伏 惑 利 生 功 德 成 滿 直 至 樹 下 方 斷 結 者 
X13n0284_001:0203a23	藏菩薩也亦自斷惑亦化眾生正使雖盡扶習潤	藏 菩 薩 也 亦 自 斷 惑 亦 化 眾 生 正 使 雖 盡 扶 習 潤 
X13n0284_001:0203a24	生者通菩薩也知有中道佛性用次第三觀斷惑	生 者 通 菩 薩 也 知 有 中 道 佛 性 用 次 第 三 觀 斷 惑 
X13n0284_001:0203b01	利生者別菩薩也了知心佛眾生三無差別從始	利 生 者 別 菩 薩 也 了 知 心 佛 眾 生 三無差別 從 始 
X13n0284_001:0203b02	至終圓伏圓斷圓成二利者圓菩薩也即此經始	至 終 圓 伏 圓 斷 圓 成 二 利 者 圓 菩 薩 也 即 此 經 始 
X13n0284_001:0203b03	自乾慧終至等覺五十五位真菩提路是也科簡者	自 乾 慧 終 至 等 覺 五 十 五 位 真 菩 提 路 是 也 科 簡 者 
X13n0284_001:0203b04	時處則通收十方三世經云過去諸如來斯門已	時 處 則 通 收 十 方 三 世 經 云 過 去 諸 如 來 斯 門 已 
X13n0284_001:0203b05	成就現在諸菩薩今各入圓明未來修覺人當依	成 就 現 在 諸 菩 薩 今 各 入 圓 明 未 來 修 覺 人 當 依 
X13n0284_001:0203b06	如是法也解行則簡偏取圓簡權取實經云諸修	如 是 法 也 解 行 則 簡 偏 取 圓 簡 權 取 實 經 云 諸 修 
X13n0284_001:0203b07	行人不能得成無上菩提乃至別成聲聞緣覺等	行 人 不 能 得 成 無上菩提 乃 至 別 成 聲 聞 緣 覺 等 
X13n0284_001:0203b08	皆繇不知二種根本又云得循圓根與不圓根日	皆 繇 不 知 二 種 根 本 又 云 得 循 圓 根 與 不 圓 根 日 
X13n0284_001:0203b09	劫相倍也。次釋萬行者萬是此方總數表其最	劫 相 倍 也 次 釋 萬 行 者 萬 是 此 方 總 數 表 其 最 
X13n0284_001:0203b10	多行是修德都名不出二種謂慧行行行般若名	多 行 是 修 德 都 名 不 出 二 種 謂 慧 行 行 行 般 若 名 
X13n0284_001:0203b11	慧行五波羅密名行行慧行名正行行行名助行	慧 行 五 波 羅 密 名 行 行 慧 行 名 正 行 行 行 名 助 行 
X13n0284_001:0203b12	又助行有顯有密清淨律儀為顯行壇儀心呪為	又 助 行 有 顯 有 密 清 淨 律 儀 為 顯 行 壇 儀 心 呪 為 
X13n0284_001:0203b13	密行又涅槃明五種行一聖行二梵行三天行四	密 行 又 涅 槃 明 五 種 行 一 聖 行 二 梵 行 三 天 行 四 
X13n0284_001:0203b14	嬰兒行五病行聖行天行為上求佛道之行梵行	嬰 兒 行 五 病 行 聖 行 天 行 為 上 求 佛 道 之 行 梵 行 
X13n0284_001:0203b15	嬰兒行病行為下化眾生之行又有次第五行一	嬰 兒 行 病 行 為 下 化 眾 生 之 行 又 有 次 第 五 行 一 
X13n0284_001:0203b16	心五行如是等種種分別不同故總名萬行今且	心 五 行 如 是 等 種 種 分 別 不 同 故 總 名 萬 行 今 且 
X13n0284_001:0203b17	依次第五行略出其相一聖行者復有三種謂戒	依 次 第 五 行 略 出 其 相 一 聖 行 者 復 有 三 種 謂 戒 
X13n0284_001:0203b18	聖行定聖行慧聖行戒聖行者所謂具足根本業	聖 行 定 聖 行 慧 聖 行 戒 聖 行 者 所 謂 具 足 根 本 業 
X13n0284_001:0203b19	清淨戒前後眷屬餘清淨戒非諸惡覺覺清淨戒	清 淨 戒 前 後 眷 屬 餘 清 淨 戒 非 諸 惡 覺 覺 清 淨 戒 
X13n0284_001:0203b20	護持正念念清淨戒迴向具足無上道戒經云要	護 持 正 念 念 清 淨 戒 迴 向 具 足 無 上 道 戒 經 云 要 
X13n0284_001:0203b21	先持此四種律儀皎如氷霜此即業清淨戒又云	先 持 此 四 種 律 儀 皎 如 氷 霜 此 即 業 清 淨 戒 又 云 
X13n0284_001:0203b22	自不能生一切枝葉心三口四生必無因此即餘	自 不 能 生 一 切 枝 葉 心 三 口 四 生 必 無 因 此 即 餘 
X13n0284_001:0203b23	清淨戒又云心滅貪婬持佛淨戒而四明誨中一	清 淨 戒 又 云 心 滅 貪 婬 持 佛 淨 戒 而 四 明 誨 中 一 
X13n0284_001:0203b24	一皆約心說即是覺清淨戒又云心尚不緣色香	一 皆 約 心 說 即 是 覺 清 淨 戒 又 云 心 尚 不 緣 色 香 
X13n0284_001:0203c01	味觸一切魔事云何發生又云必使婬機身心俱	味 觸 一 切 魔 事 云 何 發 生 又 云 必 使 婬 機 身 心 俱 
X13n0284_001:0203c02	斷斷性亦無即是念清淨戒又云若得妙發三摩	斷 斷 性 亦 無 即 是 念 清 淨 戒 又 云 若 得 妙 發 三 摩 
X13n0284_001:0203c03	提者則妙常寂有無二無無二亦滅尚無不殺不	提 者 則 妙 常 寂 有 無 二 無 無 二 亦 滅 尚 無 不 殺 不 
X13n0284_001:0203c04	盜不婬云何更墮殺盜婬事又云欲得菩提要除	盜 不 婬 云 何 更 墮 殺 盜 婬 事 又 云 欲 得 菩 提 要 除 
X13n0284_001:0203c05	三惑當知即是無上道戒也定聖行者一世間禪	三 惑 當 知 即 是 無 上 道 戒 也 定 聖 行 者 一 世 間 禪 
X13n0284_001:0203c06	二出世禪三出世上上禪世間禪復二種一根本	二 出 世 禪 三 出 世 上 上 禪 世 間 禪 復 二 種 一 根 本 
X13n0284_001:0203c07	味禪二根本淨禪一味禪者即四禪四等四空總	味 禪 二 根 本 淨 禪 一 味 禪 者 即 四 禪 四 等 四 空 總 
X13n0284_001:0203c08	名十二門禪一切凡夫外道以六行觀修之所謂	名 十 二 門 禪 一 切 凡 夫 外 道 以 六 行 觀 修 之 所 謂 
X13n0284_001:0203c09	厭下苦麤障欣上淨妙離但以隱沒故有垢故無	厭 下 苦 麤 障 欣 上 淨 妙 離 但 以 隱 沒 故 有 垢 故 無 
X13n0284_001:0203c10	記故名為味禪隱沒者闇證無觀慧有垢者地地	記 故 名 為 味 禪 隱 沒 者 闇 證 無 觀 慧 有 垢 者 地 地 
X13n0284_001:0203c11	生愛味無記者境界不分明此經所明色界有十	生 愛 味 無 記 者 境 界 不 分 明 此 經 所 明 色 界 有 十 
X13n0284_001:0203c12	三天除五不還無色四天除鈍羅漢餘皆是此禪	三 天 除 五 不 還 無 色 四 天 除 鈍 羅 漢 餘 皆 是 此 禪 
X13n0284_001:0203c13	定果報故云一切世間所修心人不假禪那無有	定 果 報 故 云 一切世間 所 修 心 人 不 假 禪 那 無 有 
X13n0284_001:0203c14	智慧但能執身不行婬欲若行若坐想念俱無愛	智 慧 但 能 執 身 不 行 婬 欲 若 行 若 坐 想 念 俱 無 愛 
X13n0284_001:0203c15	染不生無留欲界乃至窮空不歸迷漏無聞便入	染 不 生 無 留 欲 界 乃 至 窮 空 不 歸 迷 漏 無 聞 便 入 
X13n0284_001:0203c16	輪轉此之謂也二淨禪者名相與味禪不異但以	輪 轉 此 之 謂 也 二 淨 禪 者 名 相 與 味 禪 不 異 但 以 
X13n0284_001:0203c17	不隱沒故無垢故有記故與上相反謂佛弟子修	不 隱 沒 故 無 垢 故 有 記 故 與 上 相 反 謂 佛 弟 子 修 
X13n0284_001:0203c18	之有觀慧不味著境界分明故名淨禪此又三品	之 有 觀 慧 不 味 著 境 界 分 明 故 名 淨 禪 此 又 三 品 
X13n0284_001:0203c19	一者六妙門禪謂一數二隨三止四觀五還六淨	一 者 六 妙 門 禪 謂 一 數 二 隨 三 止 四 觀 五 還 六 淨 
X13n0284_001:0203c20	二者十六特勝謂知息出知息入等亦名安那般	二 者 十 六 特 勝 謂 知 息 出 知 息 入 等 亦 名 安 那 般 
