X55n0917_001:0736a04	止觀科節	止 觀 科 節 
X55n0917_001:0738a20	故。不接別。不接十住。斷無明故。不接圓。問。接別義如	故 不 接 別 不 接 十 住 斷 無 明 故 不 接 圓 問 接 別 義 如 
X55n0917_001:0738a21	何。答。若將通佛接取別家行位入通果中。方名接別。	何 答 若 將 通 佛 接 取 別 家 行 位 入 通 果 中 方 名 接 別 
X55n0917_001:0738a22	今既不爾。故不接別。不接圓例別。非色非心為戒體	今 既 不 爾 故 不 接 別 不 接 圓 例 別 非 色 非 心 為 戒 體 
X55n0917_001:0738a23	者。準百法論是無表色。此色法處所攝。有一極逈。二	者 準 百 法 論 是 無 表 色 此 色 法處所攝 有 一 極 逈 二 
X55n0917_001:0738a24	極略。三遍計。四受所引。五定果。今戒體正是受所引。	極 略 三 遍 計 四 受 所 引 五 定 果 今 戒 體 正 是 受 所 引 
X55n0917_001:0738b01	因領受師言引起此色。故名受所引。內外大小乘戒	因 領 受 師 言 引 起 此 色 故 名 受 所 引 內 外 大 小 乘 戒 
X55n0917_001:0738b02	悉以此為體。其體是思願種子。如何人欲受戒時。皆	悉 以 此 為 體 其 體 是 思 願 種 子 如 何 人 欲 受 戒 時 皆 
X55n0917_001:0738b03	思願欲得戒。此是現思願。熏在藏識名種子。至壇場	思 願 欲 得 戒 此 是 現 思 願 熏 在 藏 識 名 種 子 至 壇 場 
X55n0917_001:0738b04	上三番羯磨竟。師告云。汝已得戒竟。更不起思願心。	上 三 番 羯 磨 竟 師 告 云 汝 已 得 戒 竟 更 不 起 思 願 心 
X55n0917_001:0738b05	唯有種子能防七支以為戒體。此種子非色。不對礙	唯 有 種 子 能 防 七 支 以 為 戒 體 此 種 子 非 色 不 對 礙 
X55n0917_001:0738b06	故。非心。不緣慮故。若言色為體。是無表色故。若言心	故 非 心 不 緣 慮 故 若 言 色 為 體 是 無 表 色 故 若 言 心 
X55n0917_001:0738b07	為體。是思願種子故。隨部異名。體更不易。輔行云。別	為 體 是 思 願 種 子 故 隨 部 異 名 體 更 不 易 輔 行 云 別 
X55n0917_001:0738b08	教從心生十界。圓教心具十界也。生者。心但有能生	教 從 心 生 十 界 圓 教 心 具 十 界 也 生 者 心 但 有 能 生 
X55n0917_001:0738b09	十界。性未即便是十界。如從地生一切艸木也。具者。	十 界 性 未 即 便 是 十 界 如 從 地 生 一 切 艸 木 也 具 者 
X55n0917_001:0738b10	即一念心全具十界。不待生亦無前後。只一念是十	即 一 念 心 全 具 十 界 不 待 生 亦 無 前 後 只 一 念 是 十 
X55n0917_001:0738b11	界。只十界是一念。一切時．一切處．一切法。念念之中	界 只 十 界 是 一 念 一 切 時 一 切 處 一 切 法 念 念 之 中 
X55n0917_001:0738b12	體常圓滿。塵沙萬德不欠少一分。八萬惑業不除斷	體 常 圓 滿 塵 沙 萬 德 不 欠 少 一 分 八 萬 惑 業 不 除 斷 
X55n0917_001:0738b13	一分。不謂佛果是極聖我未證得。不謂凡是底下穢	一 分 不 謂 佛 果 是 極 聖 我 未 證 得 不 謂 凡 是 底 下 穢 
X55n0917_001:0738b14	濁我應捨離。總攬法界在一念心頭。如一圓珠瑩徹。	濁 我 應 捨 離 總 攬 法 界 在 一 念 心 頭 如 一 圓 珠 瑩 徹 
X55n0917_001:0738b15	明白圓解。更無別覺觀進修。亦不見有凡聖。取捨分	明 白 圓 解 更 無 別 覺 觀 進 修 亦 不 見 有 凡 聖 取 捨 分 
X55n0917_001:0738b16	別妄念悉盡也。問。既云念盡。應齊極聖。答。心性本體	別 妄 念 悉 盡 也 問 既 云 念 盡 應 齊 極 聖 答 心 性 本 體 
X55n0917_001:0738b17	齊上聖。大師云。見己智慧與如來等。但未能常照隨	齊 上 聖 大 師 云 見 己 智 慧 與 如 來 等 但 未 能 常 照 隨 
X55n0917_001:0738b18	境生心。此心分別校計萬端把人。有時猶不定。或發	境 生 心 此 心 分 別 校 計 萬 端 把 人 有 時 猶 不 定 或 發 
X55n0917_001:0738b19	地獄心餓鬼畜生心。何況三善。何況小乘。無始妄習	地 獄 心 餓 鬼 畜 生 心 何 況 三 善 何 況 小 乘 無 始 妄 習 
X55n0917_001:0738b20	何能頓遣。雖有解心未常用解。故是凡也。若能暫照	何 能 頓 遣 雖 有 解 心 未 常 用 解 故 是 凡 也 若 能 暫 照 
X55n0917_001:0738b21	諦理。即坐佛座。證佛身。用佛法。當此一念圓現時。不	諦 理 即 坐 佛 座 證 佛 身 用 佛 法 當 此 一 念 圓 現 時 不 
X55n0917_001:0738b22	見十方佛異我此身此念也。解而未修是名字即。念	見 十 方 佛 異 我 此 身 此 念 也 解 而 未 修 是 名 字 即 念 
X55n0917_001:0738b23	有分數名觀行即。念似於境名相似即。境入於念名	有 分 數 名 觀 行 即 念 似 於 境 名 相 似 即 境 入 於 念 名 
X55n0917_001:0738b24	分真即。無境無念名究竟即。雖六常一。何凡何聖。雖	分 真 即 無 境 無 念 名 究 竟 即 雖 六 常 一 何 凡 何 聖 雖 
X55n0917_001:0738c01	一常六。凡聖天絕。此止觀大意。讀者宜細意。記云。闡	一 常 六 凡 聖 天 絕 此 止 觀 大 意 讀 者 宜 細 意 記 云 闡 
X55n0917_001:0738c02	提不斷性善。諸佛不斷性惡者。善惡以無性為性。此	提 不 斷 性 善 諸 佛 不 斷 性 惡 者 善 惡 以 無 性 為 性 此 
X55n0917_001:0738c03	性即佛性。即無性。本即法性故不可斷也。即今推自	性 即 佛 性 即 無 性 本 即 法 性 故 不 可 斷 也 即 今 推 自 
X55n0917_001:0738c04	心性不可得。即無住處。能遍一切處。即善惡性也。性	心 性 不 可 得 即 無 住 處 能 遍 一 切 處 即 善 惡 性 也 性 
X55n0917_001:0738c05	無善惡能生善惡。善惡可斷性不可斷。縱墮三途。性	無 善 惡 能 生 善 惡 善 惡 可 斷 性 不 可 斷 縱 墮 三 途 性 
X55n0917_001:0738c06	善不滅性惡不增。直至成佛。性善不增性惡不滅。此	善 不 滅 性 惡 不 增 直 至 成 佛 性 善 不 增 性 惡 不 滅 此 
X55n0917_001:0738c07	性即法身也。猶如明鏡本無好醜眾像。能現一切好	性 即 法 身 也 猶 如 明 鏡 本 無 好 醜 眾 像 能 現 一 切 好 
X55n0917_001:0738c08	醜眾像。像有增減。明淨光體不增減也。鏡本無像。故	醜 眾 像 像 有 增 減 明 淨 光 體 不 增 減 也 鏡 本 無 像 故 
X55n0917_001:0738c09	能現像。性本無善惡。能現善惡也。眾生不得性。但得	能 現 像 性 本 無 善 惡 能 現 善 惡 也 眾 生 不 得 性 但 得 
X55n0917_001:0738c10	善惡所拘。不得自在也。性善不壞故。地獄發佛界。性	善 惡 所 拘 不得自在 也 性 善 不 壞 故 地 獄 發 佛 界 性 
X55n0917_001:0738c11	惡不壞故。佛現六趣生也。開一心為三止觀。合三止	惡 不 壞 故 佛 現 六 趣 生 也 開 一 心 為 三 止 觀 合 三 止 
X55n0917_001:0738c12	觀歸一心者。一心即三中圓頓也。開出漸次不定。并	觀 歸 一 心 者 一 心 即 三 中 圓 頓 也 開 出 漸 次 不 定 并 
X55n0917_001:0738c13	一心三也。一心即三中一也。開合對辨。故有四種觀	一 心 三 也 一 心 即 三 中 一 也 開 合 對 辨 故 有 四 種 觀 
X55n0917_001:0738c14	法。成五百一十二安心也。剋實只有三。無第四。一心	法 成 五 百 一 十 二 安 心 也 剋 實 只 有 三 無 第 四 一 心 
X55n0917_001:0738c15	即圓頓故也。思議不思議俱十界者。思議十界。唯佛	即 圓 頓 故 也 思 議 不 思 議 俱 十 界 者 思 議 十 界 唯 佛 
X55n0917_001:0738c16	界極。前九麤淺次第至極。思議也。不思議界。界界具	界 極 前 九 麤 淺 次 第 至 極 思 議 也 不思議界 界 界 具 
X55n0917_001:0738c17	十。不待至佛方玅極。地獄即齊佛。不可捨。佛即地獄。	十 不 待 至 佛 方 玅 極 地 獄 即 齊 佛 不 可 捨 佛 即 地 獄 
X55n0917_001:0738c18	不可取。何故爾。此十界全我一念。何以故有取捨者。	不 可 取 何 故 爾 此 十 界 全 我 一 念 何 以 故 有 取 捨 者 
X55n0917_001:0738c19	念未圓耳。圓心往望。法法皆圓。無一毫塵在我念外	念 未 圓 耳 圓 心 往 望 法 法 皆 圓 無 一 毫 塵 在 我 念 外 
X55n0917_001:0738c20	也。此意極大開懷抱。盛取品得。若取捨纔生。圓即遠	也 此 意 極 大 開 懷 抱 盛 取 品 得 若 取 捨 纔 生 圓 即 遠 
X55n0917_001:0738c21	矣。圓頓往望漸次不定。皆一心也。漸次不定往望。唯	矣 圓 頓 往 望 漸 次 不 定 皆 一 心 也 漸 次 不 定 往 望 唯 
X55n0917_001:0738c22	圓一心。二非一心也。故有開合。或三或四。或別明一	圓 一 心 二 非 一 心 也 故 有 開 合 或 三 或 四 或 別 明 一 
X55n0917_001:0738c23	心三即。思議也。一心即。不思議也。亦不全一。亦不全	心 三 即 思 議 也 一 心 即 不 思 議 也 亦 不 全 一 亦 不 全 
X55n0917_001:0738c24	異(此段續前安心文)。今欲借別顯總。舉次而論不次。故先三	異 此 段 續 前 安 心 文 今 欲 借 別 顯 總 舉 次 而 論 不 次 故 先 三 
X55n0917_001:0739a01	義解釋者。此上下文意竝前次後不次。不次無多。只	義 解 釋 者 此 上 下 文 意 竝 前 次 後 不 次 不 次 無 多 只 
X55n0917_001:0739a02	一念即破即立。即修即證。無別觀智。此理難信解行	一 念 即 破 即 立 即 修 即 證 無 別 觀 智 此 理 難 信 解 行 
X55n0917_001:0739a03	用。須假次第。故開門戶說。或豎或橫。或非橫非豎。或	用 須 假 次 第 故 開 門 戶 說 或 豎 或 橫 或 非 橫 非 豎 或 
X55n0917_001:0739a04	從假入空。從空入假。或兩觀為方便得入中。或先見	從 假 入 空 從 空 入 假 或 兩 觀 為 方 便 得 入 中 或 先 見 
X55n0917_001:0739a05	假次思假。如上所列。竝借別顯總也。若得別意。一一	假 次 思 假 如 上 所 列 竝 借 別 顯 總 也 若 得 別 意 一 一 
X55n0917_001:0739a06	別中悉圓極也。就前根本。都合三百四十八句者。此	別 中 悉 圓 極 也 就 前 根 本 都 合 三 百 四 十 八 句 者 此 
X55n0917_001:0739a07	中本末合計。前四句三假合十二句。又從四句出悉	中 本 末 合 計 前 四 句 三 假 合 十 二 句 又 從 四 句 出 悉 
X55n0917_001:0739a08	檀十二句。合四十八。悉檀并本十二計六十句。又一	檀 十 二 句 合 四 十 八 悉 檀 并 本 十 二 計 六 十 句 又 一 
X55n0917_001:0739a09	悉檀出性相空合九十六性相空。性相空九十六合	悉 檀 出 性 相 空 合 九 十 六 性 相 空 性 相 空 九 十 六 合 
X55n0917_001:0739a10	前六十根本句計一百五十六句。一一句各有止觀	前 六 十 根 本 句 計 一 百 五 十 六 句 一 一 句 各 有 止 觀 
X55n0917_001:0739a11	合一百九十二句。止觀一百九十二合前一百五十	合 一 百 九 十 二 句 止 觀 一 百 九 十 二 合 前 一 百 五 十 
X55n0917_001:0739a12	六根本。即都合三百四十八句。此是子本合算法也。	六 根 本 即 都 合 三 百 四 十 八 句 此 是 子 本 合 算 法 也 
X55n0917_001:0739a13	後就四人四見。能所自行化他。都合七萬三千三百	後 就 四 人 四 見 能 所 自 行 化 他 都 合 七 萬 三 千 三 百 
X55n0917_001:0739a14	八十四句。此直論計句不兼本算也。不可說見如初	八 十 四 句 此 直 論 計 句 不 兼 本 算 也 不 可 說 見 如 初 
X55n0917_001:0739a15	有見。但一千三百九十二句者。此絕言見。只約單四	有 見 但 一 千 三 百 九 十 二 句 者 此 絕 言 見 只 約 單 四 
X55n0917_001:0739a16	見。句後出故。只如此。若約複．具竝出。即更兩倍。今不	見 句 後 出 故 只 如 此 若 約 複 具 竝 出 即 更 兩 倍 今 不 
X55n0917_001:0739a17	出者。隨作者意耳。足前合為一千一百五十二者。三	出 者 隨 作 者 意 耳 足 前 合 為 一 千 一 百 五 十 二 者 三 
X55n0917_001:0739a18	百八十四句合七百六十八句也。合根本一千一百	百 八 十 四 句 合 七 百 六 十 八 句 也 合 根 本 一 千 一 百 
X55n0917_001:0739a19	六十四句者。根本十二句也。一品如此。下直論不兼	六 十 四 句 者 根 本 十 二 句 也 一 品 如 此 下 直 論 不 兼 
X55n0917_001:0739a20	本算也。不動不退方名薩埵。薩埵。唐云勇猛。即是菩	本 算 也 不 動 不 退 方 名 薩 埵 薩 埵 唐 云 勇 猛 即 是 菩 
X55n0917_001:0739a21	薩別名。下文亦頻言薩埵。恐不指薩埵王子一人。器	薩 別 名 下 文 亦 頻 言 薩 埵 恐 不 指 薩 埵 王 子 一 人 器 
X55n0917_001:0739a22	械鈍者。別教道品歷別。鈍也。應云一人器械利者。圓	械 鈍 者 別 教 道 品 歷 別 鈍 也 應 云 一 人 器 械 利 者 圓 
X55n0917_001:0739a23	道品一念具利也。文無者。略耳。記云。身壯喻三諦。兵	道 品 一 念 具 利 也 文 無 者 略 耳 記 云 身 壯 喻 三 諦 兵 
X55n0917_001:0739a24	利喻三止。權多喻三觀。今意謂三諦是髻珠戰具。今	利 喻 三 止 權 多 喻 三 觀 今 意 謂 三 諦 是 髻 珠 戰 具 今 
X55n0917_001:0739b01	取五緣中無緣慈。即是行廣。求佛智。即智大。行廣智	取 五 緣 中 無 緣 慈 即 是 行 廣 求 佛 智 即 智 大 行 廣 智 
X55n0917_001:0739b02	大。為身壯牢彊。精進即是兵利。滿弘誓大方便即是	大 為 身 壯 牢 彊 精 進 即 是 兵 利 滿 弘 誓 大 方 便 即 是 
X55n0917_001:0739b03	謀多也。修中意者。初心即修。不待二觀成者。倚在身	謀 多 也 修 中 意 者 初 心 即 修 不 待 二 觀 成 者 倚 在 身 
X55n0917_001:0739b04	壯兵利權多也。古珠者。了心性本源常具萬德。不增	壯 兵 利 權 多 也 古 珠 者 了 心 性 本 源 常 具 萬 德 不 增 
X55n0917_001:0739b05	不減。不用鍛鍊。體自明利也。智障三義。若從能障得	不 減 不 用 鍛 鍊 體 自 明 利 也 智 障 三 義 若 從 能 障 得 
X55n0917_001:0739b06	名。智即分別智。此智即障。若從所障得名。智即中智。	名 智 即 分 別 智 此 智 即 障 若 從 所 障 得 名 智 即 中 智 
X55n0917_001:0739b07	智上有障。如鏡有塵耳。若能所對受名。中智為他無	智 上 有 障 如 鏡 有 塵 耳 若 能 所 對 受 名 中 智 為 他 無 
X55n0917_001:0739b08	明障。如鏡在塵。除塵鏡自明淨。若斷不斷者。從能得	明 障 如 鏡 在 塵 除 塵 鏡 自 明 淨 若 斷 不 斷 者 從 能 得 
X55n0917_001:0739b09	名。此智須斷。從所及對。此智不斷。非碩異者。心性如	名 此 智 須 斷 從 所 及 對 此 智 不 斷 非 碩 異 者 心 性 如 
X55n0917_001:0739b10	水。風鼓浪生。浪生。分別智也。但斷其浪。水不可斷也。	水 風 鼓 浪 生 浪 生 分 別 智 也 但 斷 其 浪 水 不 可 斷 也 
X55n0917_001:0739b11	息風浪止。空日自現。空即止也。日即觀也。止觀現前。	息 風 浪 止 空 日 自 現 空 即 止 也 日 即 觀 也 止 觀 現 前 
X55n0917_001:0739b12	萬德斯備。空日在池。萬象到景。準新經論名所知障。	萬 德 斯 備 空 日 在 池 萬 象 到 景 準 新 經 論 名 所 知 障 
X55n0917_001:0739b13	所知是智。為無明所障。所知家障亦能所受名也。大	所 知 是 智 為 無 明 所 障 所 知 家 障 亦 能 所 受 名 也 大 
X55n0917_001:0739b14	品有菩薩從初發心即與薩婆若相應者。準輔行。引	品 有 菩 薩 從 初 發 心 即 與 薩 婆 若 相 應 者 準 輔 行 引 
X55n0917_001:0739b15	經三文釋云。經列前深後淺。今列從淺至深。詳所引	經 三 文 釋 云 經 列 前 深 後 淺 今 列 從 淺 至 深 詳 所 引 
X55n0917_001:0739b16	經。前亦不深。前是跋致位。次是菩提位。菩提豈淺於	經 前 亦 不 深 前 是 跋 致 位 次 是 菩 提 位 菩 提 豈 淺 於 
X55n0917_001:0739b17	跋致。但借彼文權為次第。未必彼經剋定深淺。攝佛	跋 致 但 借 彼 文 權 為 次 第 未 必 彼 經 剋 定 深 淺 攝 佛 
X55n0917_001:0739b18	威儀。以十力無畏不共法等為威儀。一念中修者。只	威 儀 以 十 力 無 畏 不 共 法 等 為 威 儀 一 念 中 修 者 只 
X55n0917_001:0739b19	今學人一念圓解心。具佛果中一切萬德。萬德雖多。	今 學 人 一 念 圓 解 心 具 佛 果 中 一 切 萬 德 萬 德 雖 多 
X55n0917_001:0739b20	以十二事攝盡。此意不偏行位。但言境智。本體自具。	以 十 二 事 攝 盡 此 意 不 偏 行 位 但 言 境 智 本 體 自 具 
X55n0917_001:0739b21	修與不修未曾增減。本自圓足。非新生也。前三教人	修 與 不 修 未 曾 增 減 本 自 圓 足 非 新 生 也 前 三 教 人 
X55n0917_001:0739b22	無眼不見。凡夫外道都不知有。我今圓解一念全收。	無 眼 不 見 凡 夫 外 道 都 不 知 有 我 今 圓 解 一 念 全 收 
X55n0917_001:0739b23	亦只是一念三千世間耳。十界中有佛界。佛界豈無	亦 只 是 一 念 三 千 世 間 耳 十 界 中 有 佛 界 佛 界 豈 無 
X55n0917_001:0739b24	德。佛德乃三千中一分也。有云。佛性如木中火。鑽研	德 佛 德 乃 三 千 中 一 分 也 有 云 佛 性 如 木 中 火 鑽 研 
X55n0917_001:0739c01	乃出。此乃藏教析色得空。全未及通。況乃別圓。仍引	乃 出 此 乃 藏 教 析 色 得 空 全 未 及 通 況 乃 別 圓 仍 引 
X55n0917_001:0739c02	大師文云。禿船鳥空。此斥無圓解人妄執。言即不得	大 師 文 云 禿 船 鳥 空 此 斥 無 圓 解 人 妄 執 言 即 不 得 
X55n0917_001:0739c03	即意。圓方有即。汝未解圓。學言即。即故失也。十力章	即 意 圓 方 有 即 汝 未 解 圓 學 言 即 即 故 失 也 十 力 章 
X55n0917_001:0739c04	云。豈非初心有修有證。三據明矣。豈非正文。宜審此	云 豈 非 初 心 有 修 有 證 三 據 明 矣 豈 非 正 文 宜 審 此 
X55n0917_001:0739c05	段。記云。十意融通經論。有人將對十乘。深不便也。但	段 記 云 十 意 融 通 經 論 有 人 將 對 十 乘 深 不 便 也 但 
X55n0917_001:0739c06	對五重玄義。今詳文體釋名及明宗。亦不便。何必作	對 五 重 玄 義 今 詳 文 體 釋 名 及 明 宗 亦 不 便 何 必 作 
X55n0917_001:0739c07	此相對。但消文意。義理自明。何用對十對五。五悔名	此 相 對 但 消 文 意 義 理 自 明 何 用 對 十 對 五 五 悔 名 
X55n0917_001:0739c08	者。從初懺悔受名取語便耳。如云五拘隣。拘隣是五	者 從 初 懺 悔 受 名 取 語 便 耳 如 云 五 拘 隣 拘 隣 是 五 
X55n0917_001:0739c09	人首也。若準義。合云拘隣等五人。新翻。梵云懺摩。唐	人 首 也 若 準 義 合 云 拘 隣 等 五 人 新 翻 梵 云 懺 摩 唐 
X55n0917_001:0739c10	云悔往。今懺悔。唐梵合舉。我以善施眾生者。記云。今	云 悔 往 今 懺 悔 唐 梵 合 舉 我 以 善 施 眾 生 者 記 云 今 
X55n0917_001:0739c11	說果中故言共與。若因時與將何成道。今謂因果俱	說 果 中 故 言 共 與 若 因 時 與 將 何 成 道 今 謂 因 果 俱 
X55n0917_001:0739c12	共施眾生。此善是不思議迴施他。自善益勝。後當重	共 施 眾 生 此 善 是 不 思 議 迴 施 他 自 善 益 勝 後 當 重 
X55n0917_001:0739c13	辨。輔行云。至菩薩境中應辨。夏終不說。下無所論。今	辨 輔 行 云 至 菩 薩 境 中 應 辨 夏 終 不 說 下 無 所 論 今 
X55n0917_001:0739c14	詳此指。自是一途。未必全爾。何者。十境明乘。今當第	詳 此 指 自 是 一 途 未 必 全 爾 何 者 十 境 明 乘 今 當 第 
X55n0917_001:0739c15	一。猶有九境。九境十乘。乘有法喻。今纔法說。車喻猶	一 猶 有 九 境 九 境 十 乘 乘 有 法 喻 今 纔 法 說 車 喻 猶 
X55n0917_001:0739c16	明。況後九境。縱後三境無文。尚有六境并陰境一喻。	明 況 後 九 境 縱 後 三 境 無 文 尚 有 六 境 并 陰 境 一 喻 
X55n0917_001:0739c17	總十三度說此無法愛入住之意在。輔行將車對十	總 十 三 度 說 此 無 法 愛 入 住 之 意 在 輔 行 將 車 對 十 
X55n0917_001:0739c18	乘。云整足者。今謂十乘是行路。車是所乘。乘此車行	乘 云 整 足 者 今 謂 十 乘 是 行 路 車 是 所 乘 乘 此 車 行 
X55n0917_001:0739c19	十乘路。念念之中等。一大車行乃至十方。云整足。故	十 乘 路 念 念 之 中 等 一 大 車 行 乃 至 十 方 云 整 足 故 
X55n0917_001:0739c20	境文竟云。若得悟者不俟餘九。止觀第三第九竝明	境 文 竟 云 若 得 悟 者 不 俟 餘 九 止 觀 第 三 第 九 竝 明 
X55n0917_001:0739c21	八教。大師意。頓等四為化儀為綱。攝一代時教盡。藏	八 教 大 師 意 頓 等 四 為 化 儀 為 綱 攝 一 代 時 教 盡 藏 
X55n0917_001:0739c22	等四為法為網。亦攝一代教盡。若約法。法華唯圓唯	等 四 為 法 為 網 亦 攝 一 代 教 盡 若 約 法 法 華 唯 圓 唯 
X55n0917_001:0739c23	頓。諸教諸理悉無比竝。獨一無侶故。文云。即中捨三	頓 諸 教 諸 理 悉 無 比 竝 獨 一 無 侶 故 文 云 即 中 捨 三 
X55n0917_001:0739c24	方便也。若約化儀。當第五時漸說也。大師言。唯華嚴	方 便 也 若 約 化 儀 當 第 五 時 漸 說 也 大 師 言 唯 華 嚴 
X55n0917_001:0740a01	頓。餘悉屬漸。輔行云。法華涅槃非漸非頓。色塵空塵	頓 餘 悉 屬 漸 輔 行 云 法 華 涅 槃 非 漸 非 頓 色 塵 空 塵 
X55n0917_001:0740a02	皆具佛功德。有大經卷。經卷以法界為體。法界在眾	皆 具 佛 功 德 有 大 經 卷 經 卷 以 法 界 為 體 法 界 在 眾 
X55n0917_001:0740a03	生心中。法性心性無二無別。心生即法生。心滅即法	生 心 中 法 性 心 性 無 二 無 別 心 生 即 法 生 心 滅 即 法 
X55n0917_001:0740a04	滅。心性無生滅而能遍生滅。一念心外更無一毫法	滅 心 性 無 生 滅 而 能 遍 生 滅 一 念 心 外 更 無 一 毫 法 
X55n0917_001:0740a05	可得。全此心性是法界性。一念若有。法界一時有。一	可 得 全 此 心 性 是 法 界 性 一 念 若 有 法 界 一 時 有 一 
X55n0917_001:0740a06	念若空。法界一時空。見一塵時全見法界。理事萬德	念 若 空 法 界 一 時 空 見 一 塵 時 全 見 法 界 理 事 萬 德 
X55n0917_001:0740a07	無不圓足。或名佛性佛智佛德神通威儀經卷。種種	無 不 圓 足 或 名 佛 性 佛 智 佛 德 神 通 威 儀 經 卷 種 種 
X55n0917_001:0740a08	異名。其體不易。非新非故。無得無失。無時無處。皆於	異 名 其 體 不 易 非 新 非 故 無 得 無 失 無 時 無 處 皆 於 
X55n0917_001:0740a09	今日一念上現。了了分明。是名圓頓止觀也。一切法	今 日 一 念 上 現 了 了 分 明 是 名 圓 頓 止 觀 也 一 切 法 
X55n0917_001:0740a10	趣欲。是趣不過。不壞於身。而隨一相。貪欲即是道。恚	趣 欲 是 趣 不 過 不 壞 於 身 而 隨 一 相 貪 欲 即 是 道 恚 
X55n0917_001:0740a11	癡亦復然。殃掘無減。修吹即即唾。一塵入正受。一切	癡 亦 復 然 殃 掘 無 減 修 吹 即 即 唾 一 塵 入 正 受 一 切 
X55n0917_001:0740a12	三昧起。如是等比類。悉此一義具。如義海中說。	三 昧 起 如 是 等 比 類 悉 此 一 義 具 如 義 海 中 說 
X55n0917_001:0740a13	於越州開元寺鈔寫此文。	於 越 州 開 元 寺 鈔 寫 此 文 
X55n0917_001:0740a14	大中九年二月十日日本國天台問法沙門囗	大 中 九 年 二 月 十 日 日 本 國 天 台 問 法 沙 門 囗 
X55n0917_001:0740a15	王記。	王 記 
X55n0917_001:0740a16	義海是法藏和上作。俗姓康。本胡。依儼受華	義 海 是 法 藏 和 上 作 俗 姓 康 本 胡 依 儼 受 華 
X55n0917_001:0740a17	嚴。儼依杜順。禪師姓杜。此文殊化身。具如傳	嚴 儼 依 杜 順 禪 師 姓 杜 此 文 殊 化 身 具 如 傳 
X55n0917_001:0740a18	錄。	錄 
X55n0917_001:0740a19	永仁六年三月十八日一校了。	永 仁 六 年 三 月 十 八 日 一 校 了 
