X51n0825_001:0454b06	 序〔龍省〕	 序 龍 省 
X51n0825_001:0469a17	初徵答總標(此)	初 徵 答 總 標 此 
X51n0825_001:0469a18	次廣釋頌義(二)	次 廣 釋 頌 義 二 
X51n0825_001:0469a19	初正明捨阿賴耶(二)	初 正 明 捨 阿 賴 耶 二 
X51n0825_001:0469a20	初總明(謂)	初 總 明 謂 
X51n0825_001:0469a21	次別釋(二)	次 別 釋 二 
X51n0825_001:0469a22	初明能捨諸位(二)	初 明 能 捨 諸 位 二 
X51n0825_001:0469a23	初明正義(二)	初 明 正 義 二 
X51n0825_001:0469a24	初正釋(二)	初 正 釋 二 
X51n0825_001:0469a25	初釋義(此)	初 釋 義 此 
X51n0825_001:0469a26	次引證(云)	次 引 證 云 
X51n0825_001:0469a27	次釋妨(二)	次 釋 妨 二 
X51n0825_001:0469a28	初難(若)	初 難 若 
X51n0825_001:0469a29	次答(二)	次 答 二 
X51n0825_001:0469a30	初約迴心向大釋(彼)	初 約 迴心向大 釋 彼 
X51n0825_001:0469a31	次約直修大乘釋(又)	次 約 直 修 大 乘 釋 又 
X51n0825_001:0469a32	次斥異解(二)	次 斥 異 解 二 
X51n0825_001:0469a33	初正破(二)	初 正 破 二 
X51n0825_001:0469a34	初敘(有)	初 敘 有 
X51n0825_001:0469a35	次破(彼)	次 破 彼 
X51n0825_001:0469a36	次破救(二)	次 破 救 二 
X51n0825_001:0469a37	初敘(地)	初 敘 地 
X51n0825_001:0469a38	次破(彼)	次 破 彼 
X51n0825_001:0469a39	次簡所捨唯名(然)	次 簡 所 捨 唯 名 然 
X51n0825_001:0469a40	次通明第八異名(二)	次 通 明 第 八 異 名 二 
X51n0825_001:0469a41	初廣釋諸名(二)	初 廣 釋 諸 名 二 
X51n0825_001:0469a42	初釋名義(二)	初 釋 名 義 二 
X51n0825_001:0469a43	初總標(然)	初 總 標 然 
X51n0825_001:0469a44	次別釋(四)	次 別 釋 四 
X51n0825_001:0469a45	初釋心等四名(謂)	初 釋 心 等 四 名 謂 
X51n0825_001:0469a46	二釋阿賴耶名(或)	二 釋 阿 賴 耶 名 或 
X51n0825_001:0469a47	三釋異熟識名(或)	三 釋 異 熟 識 名 或 
X51n0825_001:0469a48	四釋無垢識名(或)	四 釋 無 垢 識 名 或 
X51n0825_001:0469a49	次簡所捨(阿)	次 簡 所 捨 阿 
X51n0825_001:0469a50	次結歸二位(然)	次 結 歸 二 位 然 
X51n0825_001:0469a52	○次證有本識(三)	 次 證 有 本 識 三 
X51n0825_001:0469a53	初徵答總標(云)	初 徵 答 總 標 云 
X51n0825_001:0469a54	次教理別明(二)	次 教 理 別 明 二 
X51n0825_001:0470a01	初引教(二)	初 引 教 二 
X51n0825_001:0470a02	初引大乘(二)	初 引 大 乘 二 
X51n0825_001:0470a03	初引契經證有第八(二)	初 引 契 經 證 有 第 八 二 
X51n0825_001:0470a04	初三經四頌(四)	初 三 經 四 頌 四 
X51n0825_001:0470a05	初引阿毗達摩頌(二)	初 引 阿 毗 達 摩 頌 二 
X51n0825_001:0470a06	初引頌(謂)	初 引 頌 謂 
X51n0825_001:0470a07	次釋義(二)	次 釋 義 二 
X51n0825_001:0470a08	初時釋(三)	初 時 釋 三 
X51n0825_001:0470a09	初約二用釋(二)	初 約 二 用 釋 二 
X51n0825_001:0470a10	初略判頌文(此)	初 略 判 頌 文 此 
X51n0825_001:0470a11	次廣釋頌義(二)	次 廣 釋 頌 義 二 
X51n0825_001:0470a12	初因緣用(二)	初 因 緣 用 二 
X51n0825_001:0470a13	初釋(二)	初 釋 二 
X51n0825_001:0470a14	初正釋因緣(界)	初 正 釋 因 緣 界 
X51n0825_001:0470a15	次轉釋緣用(謂)	次 轉 釋 緣 用 謂 
X51n0825_001:0470a16	次結(是)	次 結 是 
X51n0825_001:0470a17	次依持用(二)	次 依 持 用 二 
X51n0825_001:0470a18	初明流轉依持(三)	初 明 流 轉 依 持 三 
X51n0825_001:0470a19	初標(由)	初 標 由 
X51n0825_001:0470a20	次釋(謂)	次 釋 謂 
X51n0825_001:0470a21	三結(諸)	三 結 諸 
X51n0825_001:0470a22	次明還滅依持(三)	次 明 還 滅 依 持 三 
X51n0825_001:0470a23	初標(及)	初 標 及 
X51n0825_001:0470a24	次釋(謂)	次 釋 謂 
X51n0825_001:0470a25	三結(能)	三 結 能 
X51n0825_001:0470a26	次約染淨釋(又)	次 約 染 淨 釋 又 
X51n0825_001:0470a27	三約三性釋(或)	三 約 三 性 釋 或 
X51n0825_001:0470a28	次結證(今)	次 結 證 今 
X51n0825_001:0470a29	二重引前經中頌(二)	二 重 引 前 經 中 頌 二 
X51n0825_001:0470a30	初引頌(即)	初 引 頌 即 
X51n0825_001:0470a31	次釋義(二)	次 釋 義 二 
X51n0825_001:0470a32	初正釋(二)	初 正 釋 二 
X51n0825_001:0470a33	初釋前三句(二)	初 釋 前 三 句 二 
X51n0825_001:0470a34	初約含藏義釋(由)	初 約 含 藏 義 釋 由 
X51n0825_001:0470a35	次約三藏義釋(與)	次 約 三 藏 義 釋 與 
X51n0825_001:0470a36	次釋第四句(二)	次 釋 第 四 句 二 
X51n0825_001:0470a37	初約地上釋(已)	初 約 地 上 釋 已 
X51n0825_001:0470a38	次通地前釋(或)	次 通 地 前 釋 或 
X51n0825_001:0470a39	次結證(非)	次 結 證 非 
X51n0825_001:0470a40	三引解深密經頌(二)	三 引 解 深 密 經 頌 二 
X51n0825_001:0470a41	初引頌(解)	初 引 頌 解 
X51n0825_001:0470a42	次釋義(二)	次 釋 義 二 
X51n0825_001:0470a43	初正釋(三)	初 正 釋 三 
X51n0825_001:0470a44	初釋第一句(以)	初 釋 第 一 句 以 
X51n0825_001:0470a45	次釋第二句(是)	次 釋 第 二 句 是 
X51n0825_001:0470a46	三釋後二句(凡)	三 釋 後 二 句 凡 
X51n0825_001:0470a47	次結證(唯)	次 結 證 唯 
X51n0825_001:0470a48	四引入楞伽經頌(二)	四 引 入 楞 伽 經 頌 二 
X51n0825_001:0470a49	初引頌(入)	初 引 頌 入 
X51n0825_001:0470a50	次釋義(眼)	次 釋 義 眼 
X51n0825_001:0470a51	次指廣證有(此)	次 指 廣 證 有 此 
X51n0825_001:0470a52	次顯大乘是至教量○	次 顯 大 乘 是 至 教 量 
X51n0825_001:0470a53	次引餘部○	次 引 餘 部 
X51n0825_001:0470a54	次顯理○	次 顯 理 
X51n0825_001:0470a55	三總結勸信○	三 總 結 勸 信 
X51n0825_001:0470a57	○次顯大乘是至教量(二)	 次 顯 大 乘 是 至 教 量 二 
X51n0825_001:0470a58	初立比量證(諸)	初 立 比 量 證 諸 
X51n0825_001:0470a59	次引七因證(二)	次 引 七 因 證 二 
X51n0825_001:0470a60	初引聖慈氏七因(二)	初 引 聖 慈 氏 七 因 二 
X51n0825_001:0470a61	初總標(又)	初 總 標 又 
X51n0825_001:0470a62	次別明(七)	次 別 明 七 
X51n0825_001:0470a63	一先不記(一)	一 先 不 記 一 
X51n0825_001:0470a64	二本俱行(二)	二 本 俱 行 二 
X51n0825_001:0470a65	三非餘境(三)	三 非 餘 境 三 
X51n0825_001:0470a66	四應極成(四)	四 應 極 成 四 
X51n0825_001:0470a67	五有無有(五)	五 有 無 有 五 
X51n0825_001:0470a68	六能對治(六)	六 能 對 治 六 
X51n0825_001:0470a69	七義異文(七)	七 義 異 文 七 
X51n0825_001:0470a70	次引莊嚴論頌義(如)	次 引 莊 嚴 論 頌 義 如 
X51n0825_001:0470a72	○次引餘部(二)	 次 引 餘 部 二 
X51n0825_001:0471a01	初總標(餘)	初 總 標 餘 
X51n0825_001:0471a02	次別引(四)	次 別 引 四 
X51n0825_001:0471a03	初大眾部(謂)	初 大 眾 部 謂 
X51n0825_001:0471a04	三上座部(上)	三 上 座 部 上 
X51n0825_001:0471a05	三化地部(化)	三 化 地 部 化 
X51n0825_001:0471a06	四說一切有部(二)	四 說 一 切 有 部 二 
X51n0825_001:0471a07	初引文(說)	初 引 文 說 
X51n0825_001:0471a08	次論釋(二)	次 論 釋 二 
X51n0825_001:0471a09	初釋義(三)	初 釋 義 三 
X51n0825_001:0471a10	初明正義(謂)	初 明 正 義 謂 
X51n0825_001:0471a11	次別簡釋(七)	次 別 簡 釋 七 
X51n0825_001:0471a12	初簡餘蘊(謂)	初 簡 餘 蘊 謂 
X51n0825_001:0471a13	二簡五欲(五)	二 簡 五 欲 五 
X51n0825_001:0471a14	三簡樂受(樂)	三 簡 樂 受 樂 
X51n0825_001:0471a15	四簡身見(身)	四 簡 身 見 身 
X51n0825_001:0471a16	五簡轉識(轉)	五 簡 轉 識 轉 
X51n0825_001:0471a17	六簡色身(色)	六 簡 色 身 色 
X51n0825_001:0471a18	七簡不相應行(又)	七 簡 不相應行 又 
X51n0825_001:0471a19	三總結示(異)	三 總 結 示 異 
X51n0825_001:0471a20	次結證(由)	次 結 證 由 
X51n0825_001:0471a22	○次顯理(三)	 次 顯 理 三 
X51n0825_001:0471a23	初結前起後(已)	初 結 前 起 後 已 
X51n0825_001:0471a24	次依經廣顯(十)	次 依 經 廣 顯 十 
X51n0825_001:0471a25	初持種心(三)	初 持 種 心 三 
X51n0825_001:0472a01	初引經證有(謂)	初 引 經 證 有 謂 
X51n0825_001:0472a02	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0472a03	初明正義(二)	初 明 正 義 二 
X51n0825_001:0472a04	初正釋(二)	初 正 釋 二 
X51n0825_001:0472a05	初簡轉識非持種心(謂)	初 簡 轉 識 非 持 種 心 謂 
X51n0825_001:0472a06	次明第八是持種心(二)	次 明 第 八 是 持 種 心 二 
X51n0825_001:0472a07	初正釋(二)	初 正 釋 二 
X51n0825_001:0472a08	初順明(此)	初 順 明 此 
X51n0825_001:0472a09	次反顯(若)	次 反 顯 若 
X51n0825_001:0472a10	次簡非(二)	次 簡 非 二 
X51n0825_001:0472a11	初簡色不相應(色)	初 簡 色 不 相 應 色 
X51n0825_001:0472a12	次簡轉識心所(轉)	次 簡 轉 識 心 所 轉 
X51n0825_001:0472a13	次結示(故)	次 結 示 故 
X51n0825_001:0472a14	次斥異解(五)	次 斥 異 解 五 
X51n0825_001:0472a15	初破識類受熏持種(二)	初 破 識 類 受 熏 持 種 二 
X51n0825_001:0472a16	初敘(有)	初 敘 有 
X51n0825_001:0472a17	次破(六)	次 破 六 
X51n0825_001:0472a18	初約假實破(彼)	初 約 假 實 破 彼 
X51n0825_001:0472a19	二約三性破(又)	二 約 三 性 破 又 
X51n0825_001:0472a20	三約無心位破(又)	三 約 無 心 位 破 又 
X51n0825_001:0472a21	四約凡聖類同破(又)	四 約 凡 聖 類 同 破 又 
X51n0825_001:0472a22	五約根法類同破(又)	五 約 根 法 類 同 破 又 
X51n0825_001:0472a23	六約事類不俱破(又)	六 約 事 類 不 俱 破 又 
X51n0825_001:0472a24	二破六識俱轉受熏持種(執)	二 破 六 識 俱 轉 受 熏 持 種 執 
X51n0825_001:0472a25	三破色心自類前為後種(二)	三 破 色 心 自 類 前 為 後 種 二 
X51n0825_001:0472a26	初敘(有)	初 敘 有 
X51n0825_001:0472a27	次破(二)	次 破 二 
X51n0825_001:0472a28	初正破(二)	初 正 破 二 
X51n0825_001:0472a29	初約無熏習義破(彼)	初 約 無 熏 習 義 破 彼 
X51n0825_001:0472a30	次約間斷不生破(又)	次 約 間 斷 不 生 破 又 
X51n0825_001:0472a31	次遮救(亦)	次 遮 救 亦 
X51n0825_001:0472a32	四破三世實有能成因果(二)	四 破 三 世 實 有 能 成 因 果 二 
X51n0825_001:0472a33	初敘(有)	初 敘 有 
X51n0825_001:0472a34	次破(彼)	次 破 彼 
X51n0825_001:0472a35	五破執遣相空撥無本識(二)	五 破 執 遣 相 空 撥 無 本 識 二 
X51n0825_001:0472a36	初敘執斥違經(有)	初 敘 執 斥 違 經 有 
X51n0825_001:0472a37	次約法斥違理(二)	次 約 法 斥 違 理 二 
X51n0825_001:0472a38	初斥成邪見(智)	初 斥 成 邪 見 智 
X51n0825_001:0472a39	次斥反正智(若)	次 斥 反 正 智 若 
X51n0825_001:0472a40	三總結證成(故)	三 總 結 證 成 故 
X51n0825_001:0472a41	二異熟心○	二 異 熟 心 
X51n0825_001:0472a42	三界趣生體○	三 界 趣 生 體 
X51n0825_001:0472a43	四有執受○	四 有 執 受 
X51n0825_001:0472a44	五持壽煖識○	五 持 壽 煖 識 
X51n0825_001:0472a45	六生死時心○	六 生 死 時 心 
X51n0825_001:0472a46	七緣起依○	七 緣 起 依 
X51n0825_001:0472a47	八識食體○	八 識 食 體 
X51n0825_001:0472a48	九滅定有心○	九 滅 定 有 心 
X51n0825_001:0472a49	十染淨心○	十 染 淨 心 
X51n0825_001:0472a50	三指廣結略○	三 指 廣 結 略 
X51n0825_001:0472a52	○二異熟心(三)	 二 異 熟 心 三 
X51n0825_001:0472a53	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0472a54	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0472a55	初簡轉識非真異熟(謂)	初 簡 轉 識 非 真 異 熟 謂 
X51n0825_001:0472a56	次明第八是真異熟(三)	次 明 第 八 是 真 異 熟 三 
X51n0825_001:0472a57	初約有情身器顯有真異熟(定)	初 約 有 情 身 器 顯 有 真 異 熟 定 
X51n0825_001:0472a58	次約身受怡勞顯有真異熟(又)	次 約 身 受 怡 勞 顯 有 真 異 熟 又 
X51n0825_001:0472a59	三約非佛有情顯有真異熟(非)	三 約 非 佛 有 情 顯 有 真 異 熟 非 
X51n0825_001:0472a60	三總結證成(由)	三 總 結 證 成 由 
X51n0825_001:0472a62	○三界趣生體(三)	 三 界 趣 生 體 三 
X51n0825_001:0472a63	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0472a64	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0472a65	初標義(謂)	初 標 義 謂 
X51n0825_001:0472a66	次釋成(二)	次 釋 成 二 
X51n0825_001:0472a67	初簡轉識等非趣生體(非)	初 簡 轉 識 等 非 趣 生 體 非 
X51n0825_001:0472a68	次明第八心品是趣生體(三)	次 明 第 八 心 品 是 趣 生 體 三 
X51n0825_001:0472a69	初約實等四義順明(唯)	初 約 實 等 四 義 順 明 唯 
X51n0825_001:0472a70	次約無色第六反釋(此)	次 約 無 色 第 六 反 釋 此 
X51n0825_001:0472a71	三約佛非趣生反證(由)	三 約 佛 非 趣 生 反 證 由 
X51n0825_001:0472a72	三總結證成(正)	三 總 結 證 成 正 
X51n0825_001:0472a74	○四有執受(三)	 四 有 執 受 三 
X51n0825_001:0472a75	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0472a76	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0472a77	初明第八是能執受(二)	初 明 第 八 是 能 執 受 二 
X51n0825_001:0472a78	初顯有能執受心(謂)	初 顯 有 能 執 受 心 謂 
X51n0825_001:0472a79	次立第八是能執受(二)	次 立 第 八 是 能 執 受 二 
X51n0825_001:0472a80	初正立(唯)	初 正 立 唯 
X51n0825_001:0472a81	次簡別(此)	次 簡 別 此 
X51n0825_001:0472a82	次簡轉識等非能執受(三)	次 簡 轉 識 等 非 能 執 受 三 
X51n0825_001:0472a83	初簡諸轉識(謂)	初 簡 諸 轉 識 謂 
X51n0825_001:0472a84	次簡諸心所(諸)	次 簡 諸 心 所 諸 
X51n0825_001:0472a85	三簡色根命根(非)	三 簡 色 根 命 根 非 
X51n0825_001:0472a86	三總結證成(故)	三 總 結 證 成 故 
X51n0825_001:0472a88	○五持壽煖識(三)	 五 持 壽 煖 識 三 
X51n0825_001:0472a89	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0472a90	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0472a91	初簡轉識非持壽煖識(謂)	初 簡 轉 識 非 持 壽 煖 識 謂 
X51n0825_001:0472a92	次明第八是持壽煖識(二)	次 明 第 八 是 持 壽 煖 識 二 
X51n0825_001:0472a93	初正立(唯)	初 正 立 唯 
X51n0825_001:0472a94	次釋成(二)	次 釋 成 二 
X51n0825_001:0472a95	初正釋(經)	初 正 釋 經 
X51n0825_001:0472a96	次通妨(二)	次 通 妨 二 
X51n0825_001:0472a97	初難(雖)	初 難 雖 
X51n0825_001:0472a98	次釋(二)	次 釋 二 
X51n0825_001:0472a99	初約三法具處釋(此)	初 約 三 法 具 處 釋 此 
X51n0825_001:0473a01	次約煖不徧處釋(又)	次 約 煖 不 徧 處 釋 又 
X51n0825_001:0473a02	三總結證成(由)	三 總 結 證 成 由 
X51n0825_001:0473a04	○六生死時心(三)	 六 生 死 時 心 三 
X51n0825_001:0473a05	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0473a06	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0473a07	初正明生死時心(二)	初 正 明 生 死 時 心 二 
X51n0825_001:0473a08	初明正義(二)	初 明 正 義 二 
X51n0825_001:0473a09	初簡轉識非生死時心(謂)	初 簡 轉 識 非 生 死 時 心 謂 
X51n0825_001:0473a10	次明第八是生死時心(真)	次 明 第 八 是 生 死 時 心 真 
X51n0825_001:0473a11	次斥異說(二)	次 斥 異 說 二 
X51n0825_001:0473a12	初異說(二)	初 異 說 二 
X51n0825_001:0473a13	初敘(有)	初 敘 有 
X51n0825_001:0473a14	次破(二)	次 破 二 
X51n0825_001:0473a15	初正破(若)	初 正 破 若 
X51n0825_001:0473a16	次遮救(若)	次 遮 救 若 
X51n0825_001:0473a17	次餘部(有)	次 餘 部 有 
X51n0825_001:0473a18	次別明將死時心(二)	次 別 明 將 死 時 心 二 
X51n0825_001:0473a19	初立義(又)	初 立 義 又 
X51n0825_001:0473a20	次釋成(二)	次 釋 成 二 
X51n0825_001:0473a21	初簡轉識不生冷觸(眼)	初 簡 轉 識 不 生 冷 觸 眼 
X51n0825_001:0473a22	次明第八能生冷觸(唯)	次 明 第 八 能 生 冷 觸 唯 
X51n0825_001:0473a23	三總結證成(故)	三 總 結 證 成 故 
X51n0825_001:0473a25	○七緣起依(三)	 七 緣 起 依 三 
X51n0825_001:0473a26	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0473a27	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0473a28	初引經釋(謂)	初 引 經 釋 謂 
X51n0825_001:0473a29	次明論釋(二)	次 明 論 釋 二 
X51n0825_001:0473a30	初明第八是名色緣(二)	初 明 第 八 是 名 色 緣 二 
X51n0825_001:0473a31	初正明(眼)	初 正 明 眼 
X51n0825_001:0473a32	次遮救(亦)	次 遮 救 亦 
X51n0825_001:0473a33	次簡轉識非名色緣(又)	次 簡 轉 識 非 名 色 緣 又 
X51n0825_001:0473a34	三總結證成(故)	三 總 結 證 成 故 
X51n0825_001:0473a36	第四卷	第 四 卷 
X51n0825_001:0473a38	○八識食體(三)	 八 識 食 體 三 
X51n0825_001:0473a39	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0473a40	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0473a41	初通明四食相(三)	初 通 明 四 食 相 三 
X51n0825_001:0473a42	初總標(謂)	初 總 標 謂 
X51n0825_001:0473a43	次別釋(四)	次 別 釋 四 
X51n0825_001:0473a44	初段食(一)	初 段 食 一 
X51n0825_001:0473a45	二觸食(二)	二 觸 食 二 
X51n0825_001:0473a46	三思食(三)	三 思 食 三 
X51n0825_001:0473a47	四識食(四)	四 識 食 四 
X51n0825_001:0473a48	三結判(二)	三 結 判 二 
X51n0825_001:0473a49	初約三科判(由)	初 約 三 科 判 由 
X51n0825_001:0473a50	次約三界判(段)	次 約 三 界 判 段 
X51n0825_001:0473a51	次別明識食體(二)	次 別 明 識 食 體 二 
X51n0825_001:0473a52	初簡轉識非識食體(二)	初 簡 轉 識 非 識 食 體 二 
X51n0825_001:0473a53	初正簡(眼)	初 正 簡 眼 
X51n0825_001:0473a54	次斥異(四)	次 斥 異 四 
X51n0825_001:0473a55	初破過未識等為食(非)	初 破 過 未 識 等 為 食 非 
X51n0825_001:0473a56	二破入定心等為食(亦)	二 破 入 定 心 等 為 食 亦 
X51n0825_001:0473a57	三破不相應行為食(又)	三 破 不相應行 為 食 又 
X51n0825_001:0473a58	四破第六意識為食(二)	四 破 第六意識 為 食 二 
X51n0825_001:0473a59	初敘(有)	初 敘 有 
X51n0825_001:0473a60	次破(二)	次 破 二 
X51n0825_001:0473a61	初總斥指廣(彼)	初 總 斥 指 廣 彼 
X51n0825_001:0473a62	次約義別破(三)	次 約 義 別 破 三 
X51n0825_001:0473a63	初破無漏識為食(又)	初 破 無 漏 識 為 食 又 
X51n0825_001:0474a01	次破有漏種為食(亦)	次 破 有 漏 種 為 食 亦 
X51n0825_001:0474a02	三破身命互為食(復)	三 破 身 命 互 為 食 復 
X51n0825_001:0474a03	次明異熟是識食體(二)	次 明 異 熟 是 識 食 體 二 
X51n0825_001:0474a04	初正釋(由)	初 正 釋 由 
X51n0825_001:0474a05	次通妨(唯)	次 通 妨 唯 
X51n0825_001:0474a06	三總結證成(既)	三 總 結 證 成 既 
X51n0825_001:0474a08	○九滅定有心(三)	 九 滅 定 有 心 三 
X51n0825_001:0474a09	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0474a10	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0474a11	初明滅定有第八識(三)	初 明 滅 定 有 第 八 識 三 
X51n0825_001:0474a12	初依義明滅定有識(二)	初 依 義 明 滅 定 有 識 二 
X51n0825_001:0474a13	初明定中第八為不離身識(謂)	初 明 定 中 第 八 為 不 離 身 識 謂 
X51n0825_001:0474a14	次破後時還起名不離身識(若)	次 破 後 時 還 起 名 不 離 身 識 若 
X51n0825_001:0474a15	次據理破滅定無識(三)	次 據 理 破 滅 定 無 識 三 
X51n0825_001:0474a16	初破全無識(又)	初 破 全 無 識 又 
X51n0825_001:0474a17	次破無異熟識(又)	次 破 無 異 熟 識 又 
X51n0825_001:0474a18	三破無持種識(又)	三 破 無 持 種 識 又 
X51n0825_001:0474a19	三立量顯滅定有識(然)	三 立 量 顯 滅 定 有 識 然 
X51n0825_001:0474a20	次破滅定有第六識(二)	次 破 滅 定 有 第 六 識 二 
X51n0825_001:0474a21	初約名位破(二)	初 約 名 位 破 二 
X51n0825_001:0474a22	初約名(二)	初 約 名 二 
X51n0825_001:0474a23	初正破(若)	初 正 破 若 
X51n0825_001:0474a24	次破救(若)	次 破 救 若 
X51n0825_001:0474a25	次約位(或)	次 約 位 或 
X51n0825_001:0474a26	次約心所破(二)	次 約 心 所 破 二 
X51n0825_001:0474a27	初總徵(又)	初 總 徵 又 
X51n0825_001:0474a28	次別破(二)	次 別 破 二 
X51n0825_001:0474a29	初約有心所破(三)	初 約 有 心 所 破 三 
X51n0825_001:0474a30	初標違教名(若)	初 標 違 教 名 若 
X51n0825_001:0474a31	次釋違教名(三)	次 釋 違 教 名 三 
X51n0825_001:0474a32	初破唯滅受想(二)	初 破 唯 滅 受 想 二 
X51n0825_001:0474a33	初救(此)	初 救 此 
X51n0825_001:0474a34	次破(無)	次 破 無 
X51n0825_001:0474a35	次破心不同行亦滅(三)	次 破 心 不 同 行 亦 滅 三 
X51n0825_001:0474a36	初救(如)	初 救 如 
X51n0825_001:0474a37	次破(二)	次 破 二 
X51n0825_001:0474a38	初以語行對破(若)	初 以 語 行 對 破 若 
X51n0825_001:0474a39	次明行有徧不徧(然)	次 明 行 有 徧 不 徧 然 
X51n0825_001:0474a40	三結(受)	三 結 受 
X51n0825_001:0474a41	三受想與思等互破(二)	三 受 想 與 思 等 互 破 二 
X51n0825_001:0474a42	初以受想例思等亦應滅(又)	初 以 受 想 例 思 等 亦 應 滅 又 
X51n0825_001:0474a43	次以思等例受想應不滅(三)	次 以 思 等 例 受 想 應 不 滅 三 
X51n0825_001:0474a44	初例難(既)	初 例 難 既 
X51n0825_001:0474a45	次轉救(如)	次 轉 救 如 
X51n0825_001:0474a46	三復破(彼)	三 復 破 彼 
X51n0825_001:0474a47	三結違教名(或)	三 結 違 教 名 或 
X51n0825_001:0474a48	次約無心所破(二)	次 約 無 心 所 破 二 
X51n0825_001:0474a49	初正破(二)	初 正 破 二 
X51n0825_001:0474a50	初約王所例破(二)	初 約 王 所 例 破 二 
X51n0825_001:0474a51	初正例無所亦應無王(若)	初 正 例 無 所 亦 應 無 王 若 
X51n0825_001:0474a52	次反例有王亦應有所(二)	次 反 例 有 王 亦 應 有 所 二 
X51n0825_001:0474a53	初正例(又)	初 正 例 又 
X51n0825_001:0474a54	次遮救(二)	次 遮 救 二 
X51n0825_001:0474a55	初遮定位三和不生觸等(二)	初 遮 定 位 三 和 不 生 觸 等 二 
X51n0825_001:0474a56	初牒救詞(若)	初 牒 救 詞 若 
X51n0825_001:0474a57	次破斥(若)	次 破 斥 若 
X51n0825_001:0474a58	次遮依前所厭不違定名(二)	次 遮 依 前 所 厭 不 違 定 名 二 
X51n0825_001:0474a59	初牒救詞(若)	初 牒 救 詞 若 
X51n0825_001:0474a60	次破斥(既)	次 破 斥 既 
X51n0825_001:0474a61	次約三性推破(二)	次 約 三 性 推 破 二 
X51n0825_001:0474a62	初徵(又)	初 徵 又 
X51n0825_001:0475a01	次破(二)	次 破 二 
X51n0825_001:0475a02	初正破(二)	初 正 破 二 
X51n0825_001:0475a03	初破染無記(不)	初 破 染 無 記 不 
X51n0825_001:0475a04	次破善性(三)	次 破 善 性 三 
X51n0825_001:0475a05	初破相應善(若)	初 破 相 應 善 若 
X51n0825_001:0475a06	次破自性勝義善(此)	次 破 自 性 勝 義 善 此 
X51n0825_001:0475a07	三破等起善(若)	三 破 等 起 善 若 
X51n0825_001:0475a08	次結斥(故)	次 結 斥 故 
X51n0825_001:0475a09	次結破(故)	次 結 破 故 
X51n0825_001:0475a10	三總結證成○	三 總 結 證 成 
X51n0825_001:0475a12	○三總結證成(如)	 三 總 結 證 成 如 
X51n0825_001:0475a14	○十染淨心(三)	 十 染 淨 心 三 
X51n0825_001:0475a15	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0475a16	次依義廣釋(二)	次 依 義 廣 釋 二 
X51n0825_001:0475a17	初總釋(謂)	初 總 釋 謂 
X51n0825_001:0475a18	次別釋(二)	次 別 釋 二 
X51n0825_001:0475a19	初約雜染釋(二)	初 約 雜 染 釋 二 
X51n0825_001:0475a20	初標(然)	初 標 然 
X51n0825_001:0475a21	次釋(二)	次 釋 二 
X51n0825_001:0475a22	初明無第八煩惱無因(若)	初 明 無 第 八 煩 惱 無 因 若 
X51n0825_001:0475a23	次明無第八業果無因(二)	次 明 無 第 八 業 果 無 因 二 
X51n0825_001:0475a24	初正明業果無因失(若)	初 正 明 業 果 無 因 失 若 
X51n0825_001:0475a25	次兼明有支不成失(又)	次 兼 明 有 支 不 成 失 又 
X51n0825_001:0475a26	次約清淨釋(二)	次 約 清 淨 釋 二 
X51n0825_001:0475a27	初標(諸)	初 標 諸 
X51n0825_001:0475a28	次釋(二)	次 釋 二 
X51n0825_001:0475a29	初明無第八淨道無因(二)	初 明 無 第 八 淨 道 無 因 二 
X51n0825_001:0475a30	初總明清淨道無因失(若)	初 總 明 清 淨 道 無 因 失 若 
X51n0825_001:0475a31	次別明出世道無因失(又)	次 別 明 出 世 道 無 因 失 又 
X51n0825_001:0475a32	次明無第八斷果不成(二)	次 明 無 第 八 斷 果 不 成 二 
X51n0825_001:0475a33	初正釋(若)	初 正 釋 若 
X51n0825_001:0475a34	次破救(若)	次 破 救 若 
X51n0825_001:0475a35	三總結證成(許)	三 總 結 證 成 許 
X51n0825_001:0475a37	○三指廣結略(體)	 三 指 廣 結 略 體 
X51n0825_001:0475a39	○三總結勸信(別)	 三 總 結 勸 信 別 
